SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																				
#																																							
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus														
Legend Lore				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=4|Sorcerer=6|Wizard=6	COMPS:V, S, M, F	CASTTIME:See text	RANGE:Personal	TARGETAREA:You.	DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:Legend lore brings to your mind legends about an important person, place, or thing. Material Component: Incense worth at least 250 gp. Focus: Four strips of ivory (worth 50 gp each) formed into a rectangle.	SOURCEPAGE:PHB		COST:450																				
Leomund's Secret Chest				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, F	CASTTIME:10 minutes	RANGE:See text	TARGETAREA:One chest and up to 1-cu-ft of goods/caster level	DURATION:60 days or until discharged	SAVEINFO:None	SPELLRES:No	DESC:You hide a chest on the Ethereal Plane for as long as sixty days and can retrieve it at will. Focus: The chest and its replica.	SOURCEPAGE:PHB																						
Leomund's Secure Shelter				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Bard=4|Sorcerer=4|Wizard=4	COMPS:V, S, F; see text	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:20-sq-ft structure.	DURATION:2 hours/level	SAVEINFO:None	SPELLRES:No	DESC:You conjure a sturdy cottage or lodge made of material that is common in the area where the spell is cast-stone, timber, or (at worst) sod. Material Component: A square chip of stone, crushed lime, a few grains of sand, a sprinkling of water, and several splinters of wood. These must be augmented by the components of the unseen servant spell (string and a bit of wood) if this benefit is to be included. Focus: The focus of the alarm spell (silver wire and a tiny bell) if this benefit is to be included.	SOURCEPAGE:PHB																						
Leomund's Tiny Hut				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Bard=3|Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:20-ft.	TARGETAREA:20-ft-radius sphere centered on your location.	DURATION:2 hours/level	SAVEINFO:None	SPELLRES:No	DESC:You create an unmoving, opaque sphere of force of any color you desire around yourself. Material Component: A small crystal bead that shatters when the spell duration expires or the hut is dispelled.	SOURCEPAGE:PHB																						
Leomund's Trap				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Object touched.	DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:This spell makes a lock or small mechanism seem to be trapped to anyone who can detect traps. Material Component: A piece of iron pyrite touched to the object to the trapped while the object is sprinkled with a special dust requiring 50gp to prepare.	SOURCEPAGE:PHB																						
Levitate				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You or one willing creature or one object (total weight up to 100-lb/level)	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Levitate allows you to move yourself, another creature, or an object up and down as you wish. Focus: Either a small leather loop or a piece of golden wire bent into a cup shape with a long shank on one end.	SOURCEPAGE:PHB																						
Light				TYPE:Spell.WizardBaseCantrip	SCHOOL:Evocation		DESCRIPTOR:Light	CLASSES:Bard=0|Cleric=0|Druid=0|Sorcerer=0|Wizard=0	COMPS:V, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Object touched.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:This spell causes an object to glow like a torch, shedding bright light in a 20-footradius (and dim light for an additional 20 feet) from the point you touch. Arcane Material Component: A firefly or a piece of phosphorescent moss.	SOURCEPAGE:PHB																						
Lightning Bolt				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Electricity	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:120-ft.	TARGETAREA:120-ft line.	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:You release a powerful stroke of electrical energy that deals 1d6 points of electricity damage per caster level (maximum 10d6) to each creature within its area. The bolt begins at your fingertips. Material Component: A bit of fur and an amber, crystal, or glass rod.	SOURCEPAGE:PHB																						
Limited Wish				TYPE:Spell	SCHOOL:Universal			CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, XP	CASTTIME:1 standard action	RANGE:See text	TARGETAREA:See text.	DURATION:See text	SAVEINFO:None; See text	SPELLRES:Yes	DESC:A limited wish lets you create nearly any type of effect. XP Cost: 300 XP or more (see above).	SOURCEPAGE:PHB			XPCOST:300																			
Liveoak				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=6	COMPS:V, S	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Tree touched.	DURATION:1 day/level	SAVEINFO:None	SPELLRES:No	DESC:This spell turns an oak tree into a protector or guardian.	SOURCEPAGE:PHB																						
Locate Creature				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=4|Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Circle, centered on you, with a radius of 400-ft + 40-ft/level.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like locate object, except this spell locates a known or familiar creature. Material Component: A bit of fur from a bloodhound.	SOURCEPAGE:PHB																						
Locate Object				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=2|Cleric=3|Sorcerer=2|Wizard=2	COMPS:V, S, F/DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Circle, centered on you, with a radius of 400-ft + 40-ft/level.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You sense the direction of a well-known or clearly visualized object. Arcane Focus: A forked twig.	SOURCEPAGE:PHB																						
Longstrider				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=1|Ranger=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:This spell increases your base land speed by 10 feet. Material Component: A pinch of dirt.	SOURCEPAGE:PHB						TEMPDESC:Applies movement bonus.	TEMPBONUS:PC|POSTMOVEADD|TYPE.Walk|10|TYPE=Enhancement															
Lullaby				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Bard=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Living creatures within a 10-ft-radius burst.	DURATION:Concentration + 1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Any creature within the area that fails a Will save becomes drowsy and inattentive, taking a -5 penalty on Listen and Spot checks and a -2 penalty on Will saves against sleep effects while the lullaby is in effect.	SOURCEPAGE:PHB						TEMPDESC:Applies Listen and Spot penalties.	TEMPBONUS:ANYPC|SKILL|Listen,Spot|-5|TYPE=Temporary															
Mage Armor				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:An invisible but tangible field of force surrounds the subject of a mage armor spell, providing a +4 armor bonus to AC. Focus: A piece of cured leather.	SOURCEPAGE:PHB						TEMPDESC:Grants armor bonus	TEMPBONUS:ANYPC|COMBAT|AC|4|TYPE=Armor															
Mage Hand				TYPE:Spell.WizardBaseCantrip	SCHOOL:Transmutation			CLASSES:Bard=0|Sorcerer=0|Wizard=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One nonmagical, unattended object weighing up to 5 lb.	DURATION:Concentration	SAVEINFO:None	SPELLRES:No	DESC:You point your finger at an object and can lift it and move it at will from a distance.	SOURCEPAGE:PHB																						
Magic Circle against Chaos				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Lawful	CLASSES:Cleric=3|Paladin=3|Sorcerer=3|Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:10-ft-radius emanation from touched creature.	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:This spell functions like magic circle against evil, except that it is similar to protection from chaos instead of protection from evil, and it can imprison a nonlawful called creature.	SOURCEPAGE:PHB																						
Magic Circle against Evil				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Good	CLASSES:Cleric=3|Paladin=3|Sorcerer=3|Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:10-ft-radius emanation from touched creature.	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:All creatures within the area gain the effects of a protection from evil spell, and no nongood summoned creatures can enter the area either. Arcane Material Component: A little powdered silver with which you trace a 3-footdiameter circle on the floor (or ground) around the creature to be warded.	SOURCEPAGE:PHB																						
Magic Circle against Good				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Evil	CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:10-ft-radius emanation from touched creature.	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:This spell functions like magic circle against evil, except that it is similar to protection from good instead of protection from evil, and it can imprison a nonevil called creature.	SOURCEPAGE:PHB																						
Magic Circle against Law				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Chaotic	CLASSES:Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:10-ft-radius emanation from touched creature.	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:This spell functions like magic circle against evil, except that it is similar to protection from law instead of protection from evil, and it can imprison a nonchaotic called creature.	SOURCEPAGE:PHB																						
Magic Fang				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=1|Ranger=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Magic fang gives one natural weapon of the subject a +1 enhancement bonus on attack and damage rolls.	SOURCEPAGE:PHB						TEMPDESC:Grants bonus to a natural weapon	TEMPBONUS:EQ|Weapon,Natural|WEAPON|TOHIT,DAMAGE|1|TYPE=Enhancement															
Magic Fang (Greater)	OUTPUTNAME:Magic Fang, Greater			TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=3|Ranger=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:This spell functions like magic fang, except that the enhancement bonus on attack and damage rolls is +1 per four caster levels (maximum +5).	SOURCEPAGE:PHB						TEMPDESC:Grants bonus to a natural weapon	TEMPVALUE:MIN=1|MAX=20|TITLE=Choose spell caster level	TEMPBONUS:EQ|Weapon,Natural|WEAPON|TOHIT,DAMAGE|MIN(floor(%CHOICE/4),5)|TYPE=Enhancement														
Magic Jar				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.	DURATION:1 hour/level or until you return to your body	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:By casting magic jar, you place your soul in a gem or large crystal (known as the magic jar), leaving your body lifeless. Focus: A gem or crystal worth at least 100 gp.	SOURCEPAGE:PHB		COST:100																				
Magic Missile				TYPE:Spell	SCHOOL:Evocation			CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Up to five creatures, no two of which can be more than 15-ft apart.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:A missile of magical energy darts forth from your fingertip and strikes its target, dealing 1d4+1 points of force damage.	SOURCEPAGE:PHB																						
Magic Mouth				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Bard=1|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature or object.	DURATION:Permanent until discharged	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:This spell imbues the chosen object or creature with an enchanted mouth that suddenly appears and speaks its message the next time a specified event occurs. Material Component: A small bit of honeycomb and jade dust worth 10 gp.	SOURCEPAGE:PHB		COST:10																				
Magic Stone				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=1|Druid=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Up to three pebbles touched.	DURATION:30 minures or until discharged	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:You transmute as many as three pebbles, which can be no larger than sling bullets, so that they strike with great force when thrown or slung.	SOURCEPAGE:PHB																						
Magic Vestment				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Armor or Shield touched.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:You imbue a suit of armor or a shield with an enhancement bonus of +1 per four caster levels (maximum +5 at 20th level).	SOURCEPAGE:PHB																						
Magic Weapon				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=1|Paladin=1|Sorcerer=1|Wizard=1	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:Magic weapon gives a weapon a +1 enhancement bonus on attack and damage rolls.	SOURCEPAGE:PHB						TEMPDESC:Applies bonus to weapon.  Not intended for normal unarmed strikes	TEMPBONUS:EQ|Simple;Martial;Exotic|WEAPON|TOHIT,DAMAGE|1|TYPE=Enhancement															
Magic Weapon (Greater)	OUTPUTNAME:Magic Weapon (Greater)			TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=4|Paladin=3|Sorcerer=3|Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One weapon or fifty projectiles, all of which must be in contact with each other at the time of casting.	DURATION:1 hour/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:This spell functions like magic weapon, except that it gives a weapon an enhancement bonus on attack and damage rolls of +1 per four caster levels (maximum +5). Arcane Material Component: Powdered lime and carbon.	SOURCEPAGE:PHB						TEMPDESC:Applies bonus to weapon based on caster level.  Not intended for normal unarmed strikes	TEMPVALUE:MIN=1|MAX=20|TITLE=Choose spell caster level	TEMPBONUS:EQ|Simple;Martial;Exotic|WEAPON|TOHIT,DAMAGE|MIN(floor(%CHOICE/4),5)|TYPE=Enhancement														
Major Creation				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:Unattended, nonmagical object of nonliving plant matter, up to 1-cu-ft/level.	DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like minor creation, except that you can also create an object of mineral nature: stone, crystal, metal, or the like.	SOURCEPAGE:PHB																						
Major Image				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Figment		CLASSES:Bard=3|Sorcerer=3|Wizard=3	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Visual figment that cannot extend beyond a 10-ft cube + one 10-ft cube/level.	DURATION:Concentration + 3 rounds	SAVEINFO:Will disbelief (if interacted with)	SPELLRES:No	DESC:This spell functions like silent image, except that sound, smell, and thermal illusions are included in the spell effect.	SOURCEPAGE:PHB																						
Make Whole				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One object of up to 10-cu-ft/level.	DURATION:Instantaneous	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:This spell functions like mending, except that make whole completely repairs an object made of any substance, even one with multiple breaks, to be as strong as new.	SOURCEPAGE:PHB																						
Mark of Justice				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=5|Paladin=4	COMPS:V, S, DF	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Permanent; see text	SAVEINFO:None	SPELLRES:Yes	DESC:When moral persuasion fails to win a criminal over to right conduct, you can use mark of justice to encourage the miscreant to walk the straight and narrow path.	SOURCEPAGE:PHB																						
Maze				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Teleportation		CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:See text	SAVEINFO:None	SPELLRES:Yes	DESC:You banish the subject into an extradimensional labyrinth of force planes.	SOURCEPAGE:PHB																						
Meld into Stone				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Earth	CLASSES:Cleric=3|Druid=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Meld into stone enables you to meld your body and possessions into a single block of stone.	SOURCEPAGE:PHB																						
Melf's Acid Arrow				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, M, F	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:One arrow of acid.	DURATION:1 round + 1 round/3 levels	SAVEINFO:None	SPELLRES:No	DESC:A magical arrow of acid springs from your hand and speeds to its target. Focus: A dart.	SOURCEPAGE:PHB																						
Mending				TYPE:Spell.WizardBaseCantrip	SCHOOL:Transmutation			CLASSES:Bard=0|Cleric=0|Druid=0|Sorcerer=0|Wizard=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:10-ft.	TARGETAREA:One object of up to 1 lb.	DURATION:Instantaneous	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:Mending repairs small breaks or tears in objects (but not warps, such as might be caused by a warp wood spell).	SOURCEPAGE:PHB																						
Message				TYPE:Spell.WizardBaseCantrip	SCHOOL:Transmutation		DESCRIPTOR:Language-Dependent	CLASSES:Bard=0|Sorcerer=0|Wizard=0	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature/level.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You can whisper messages and receive whispered replies with little chance of being overheard. Focus: A short piece of copper wire.	SOURCEPAGE:PHB																						
Meteor Swarm				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Fire	CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Four 40-ft-radius spreads; see text.	DURATION:Instantaneous	SAVEINFO:None or Reflex half; see text	SPELLRES:Yes	DESC:.Meteor swarm is a very powerful and spectacular spell that is similar to fireball in many aspects.	SOURCEPAGE:PHB																						
Mind Blank				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:24 hours	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The subject is protected from all devices and spells that detect, influence, or read emotions or thoughts.	SOURCEPAGE:PHB																						
Mind Fog				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Bard=5|Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Fog spreads in 20-ft. radius, 20 ft. High.	DURATION:30 minures and 2d6 rounds; see text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Mind fog produces a bank of thin mist that weakens the mental resistance of those caught in it.	SOURCEPAGE:PHB						TEMPDESC:Applies penalty to Will saves and Wisdom based skill checks	TEMPBONUS:ANYPC|SAVE|Will|-10|TYPE=Competence	TEMPBONUS:ANYPC|SKILL|STAT.WIS|-10|TYPE=Competence														
Minor Creation				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:1 minute	RANGE:0-ft.	TARGETAREA:Unattended, nonmagical object of nonliving plant matter, up to 1-cu-ft/level.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:You create a nonmagical, unattended object of nonliving, vegetable matter-linen clothes, a hemp rope, a wooden ladder, and so forth. Material Component: A tiny piece of matter of the same sort of item you plan to create with minor creation-a bit of twisted hemp to create rope, and so forth.	SOURCEPAGE:PHB																						
Minor Image				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Figment		CLASSES:Bard=2|Sorcerer=2|Wizard=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Visual figment that cannot extend beyond a 10-ft cube + one 10-ft cube/level.	DURATION:Concentration + 2 rounds	SAVEINFO:Will disbelief (if interacted with)	SPELLRES:No	DESC:This spell functions like silent image, except that minor image includes some minor sounds but not understandable speech.	SOURCEPAGE:PHB																						
Miracle				TYPE:Spell	SCHOOL:Evocation			CLASSES:Cleric=9	COMPS:V, S, XP	CASTTIME:1 standard action	RANGE:See text	TARGETAREA:See text.	DURATION:See text	SAVEINFO:See text	SPELLRES:No	DESC:You don't so much cast a miracle as request one. XP Cost: 5,000 XP (for some uses of the miracle spell; see above).	SOURCEPAGE:PHB			XPCOST:5000																			
Mirage Arcana				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Bard=5|Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:one 20-ft cube/level.	DURATION:Concentration + 1 hour/level	SAVEINFO:Will disbelief (if interacted with)	SPELLRES:No	DESC:This spell functions like hallucinatory terrain, except that it enables you to make any area appear to be something other than it is.	SOURCEPAGE:PHB																						
Mirror Image				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Figment		CLASSES:Bard=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Several illusory duplicates of you pop into being, making it difficult for enemies to know which target to attack.	SOURCEPAGE:PHB																						
Misdirection				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Bard=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature or object, up to a 10-ft cube in size.	DURATION:1 hour/level	SAVEINFO:None or Will negates; see text	SPELLRES:No	DESC:By means of this spell, you misdirect the information from divination spells that reveal auras (detect evil, detect magic, discern lies, and the like).	SOURCEPAGE:PHB																						
Mislead				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Figment|Glamer		CLASSES:Bard=5|Sorcerer=6|Wizard=6	COMPS:S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You/one illusory double.	DURATION:1 round/level and Concentration + 3 rounds; see text	SAVEINFO:None or Will disbelief (if interacted with); see text	SPELLRES:No	DESC:You become invisible (as improved invisibility, a glamer), and at the same time, an illusory double of you (as major image, a figment) appears.	SOURCEPAGE:PHB																						
Modify Memory				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Bard=4	COMPS:V, S	CASTTIME:1 round; see text	RANGE:Close	TARGETAREA:One living creature.	DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You reach into the subject's mind and modify as many as 5 minutes of its memories in one way.	SOURCEPAGE:PHB																						
Moment of Prescience				TYPE:Spell	SCHOOL:Divination			CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:This spell grants you a powerful sixth sense in relation to yourself.	SOURCEPAGE:PHB																						
Mordenkainen's Disjunction				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=9|Wizard=9	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:All magical effects and magic items within a 40-ft-radius burst.	DURATION:Instantaneous	SAVEINFO:Will negates (object)	SPELLRES:No	DESC:All magical effects and magic items within the radius of the spell, except for those that you carry or touch, are disjoined.	SOURCEPAGE:PHB																						
Mordenkainen's Faithful Hound				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Phantom watchdog.	DURATION:1 hour/level or until discharged, then 1 round/level; see text	SAVEINFO:None	SPELLRES:No	DESC:You conjure up a phantom watchdog that is invisible to everyone but yourself. Material Component: A tiny silver whistle, a piece of bone, and a thread.	SOURCEPAGE:PHB																						
Mordenkainen's Lucubration				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Wizard=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You instantly recall any one spell of 5th level or lower that you have used during the past 24 hours.	SOURCEPAGE:PHB																						
Mordenkainen's Magnificent Mansion				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Extradimensional mansion, up to three 10-ft cubes/level.	DURATION:2 hours/level	SAVEINFO:None	SPELLRES:No	DESC:You conjure up an extradimensional dwelling that has a single entrance on the plane from which the spell was cast. Focus: A miniature portal carved from ivory, a small piece of polished marble, and a tiny silver spoon (each item worth 5 gp).	SOURCEPAGE:PHB		COST:15																				
Mordenkainen's Private Sanctum				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:30-ft cube/level.	DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:This spell ensures privacy. Material Component: A thin sheet of lead, a piece of opaque glass, a wad of cotton or cloth, and powdered chrysolite.	SOURCEPAGE:PHB																						
Mordenkainen's Sword				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One sword.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:This spell brings into being a shimmering, swordlike plane of force. Focus: A miniature platinum sword with a grip and pommel of copper and zinc. It costs 250 gp to construct.	SOURCEPAGE:PHB		COST:250																				
Mount				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One mount.	DURATION:2 hours/level	SAVEINFO:None	SPELLRES:No	DESC:You summon a light horse or a pony (your choice) to serve you as a mount. Material Component: A bit of horse hair.	SOURCEPAGE:PHB																						
