SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07
																																		
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Empty Body	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 19th level, a monk gains the ability to assume an ethereal state for 1 round per monk level per day, as though using the spell etherealness. She may go ethereal on a number of different occasions during any single day, as long as the total number of rounds spent in an ethereal state does not exceed her monk level.	KEY:Monk ~ Empty Body	DESC:%1 rounds/day|EmptyBodyDuration			DEFINE:EmptyBodyDuration|0					BONUS:VAR|EmptyBodyDuration|MonkLVL																	SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Perfect Self	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 20th level, a monk has tuned her body with skill and quasi-magical abilities to the point that she becomes a magical creature. She is forevermore treated as an outsider (an extraplanar creature) rather than as a humanoid for the purpose of spells and magical effects. For instance, charm person does not affect her. Additionally, the monk gains damage reduction 10/magic, which allows her to ignore the first 10 points of damage from any attack made by a nonmagical weapon or by any natural attack made by a creature that doesn't have similar damage reduction (see Damage Reduction, page 291 of the Dungeon Master's Guide). Unlike other outsiders, the monk can still be brought back from the dead as if she were a member of her previous creature type.	KEY:Monk ~ Perfect Self																		TEMPLATE:Monk ~ Perfect Self								SORTKEY:Class_Monk	SOURCEPAGE:PHB		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.PaladinClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Paladins are proficient with all simple and martial weapons, with all types of armor (heavy, medium, and light), and with shields (except tower shields).	KEY:Paladin ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Paladin	SOURCEPAGE:PHB		
Aura of Good	CATEGORY:Special Ability	TYPE:ClassFeatures.PaladinClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The power of a paladin's aura of good (see the detect good spell) is equal to her paladin level, just like the aura of a cleric of a good deity.	KEY:Paladin ~ Aura of Good				DEFINE:AlignmentAura|0					BONUS:VAR|AlignmentAura|PaladinLVL									ABILITY:Special Ability|VIRTUAL|Aura of Good								SORTKEY:Class_Paladin	SOURCEPAGE:PHB		
Detect Evil	CATEGORY:Special Ability	TYPE:ClassFeatures.PaladinClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At will, a paladin can use detect evil, as the spell.	KEY:Paladin ~ Detect Evil																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=PaladinLVL|Detect Evil								SORTKEY:Class_Paladin	SOURCEPAGE:PHB		
Smite Evil	CATEGORY:Special Ability	TYPE:ClassFeatures.PaladinClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Once per day, a paladin may attempt to smite evil with one normal melee attack. She adds her Charisma bonus (if any) to her attack roll and deals 1 extra point of damage per paladin level. For example, a 13th-level paladin armed with a longsword would deal 1d8+13 points of damage, plus any additional bonuses for high Strength or magical affects that would normally apply. If the paladin accidentally smites a creature that is not evil, the smite has no effect, but the ability is still used up for that day. At 5th level, and at every five levels thereafter, the paladin may smite evil one additional time per day, as indicated on Table 3-12: The Paladin, to a maximum of five times per day at 20th level.	KEY:Paladin ~ Smite Evil									BONUS:VAR|SmiteEvilLVL|PaladinLVL	BONUS:VAR|SmiteEvilToHit|max(CHA,0)|TYPE=Base	BONUS:VAR|SmiteEvilDamage|PaladinLVL	BONUS:VAR|SmiteEvil|(PaladinLVL/5)+1						ABILITY:Special Ability|VIRTUAL|Smite Evil								SORTKEY:Class_Paladin	SOURCEPAGE:PHB		
Divine Grace	CATEGORY:Special Ability	TYPE:ClassFeatures.PaladinClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 2nd level, a paladin gains a bonus equal to her Charisma bonus (if any) on all saving throws.	KEY:Paladin ~ Divine Grace									BONUS:SAVE|ALL|max(CHA,0)																	SORTKEY:Class_Paladin	SOURCEPAGE:PHB		
Lay on Hands	CATEGORY:Special Ability	TYPE:ClassFeatures.PaladinClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 2nd level, a paladin with a Charisma score of 12 or higher can heal wounds (her own or those of others) by touch. Each day she can heal a total number of hit points of damage equal to her paladin level x her Charisma bonus. For example, a 7th-level paladin with a 16 Charisma (+3 bonus) can heal 21 points of damage per day. A paladin may choose to divide her healing among multiple recipients, and she doesn't have to use it all at once. Using lay on hands is a standard action. Alternatively, a paladin can use any or all of this healing power to deal damage to undead creatures. Using lay on hands in this way requires a successful melee touch attack and doesn't provoke an attack of opportunity. The paladin decides how many of her daily allotment of points to use as damage after successfully touching an undead creature.	KEY:Paladin ~ Lay on Hands									BONUS:VAR|LayOnHandsLVL|PaladinLVL*CHA																	SORTKEY:Class_Paladin	SOURCEPAGE:PHB		
Aura of Courage	CATEGORY:Special Ability	TYPE:ClassFeatures.PaladinClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 3rd level, a paladin is immune to fear (magical or otherwise). Each ally within 10 feet of her gains a +4 morale bonus on saving throws against fear effects. This ability functions while the paladin is conscious, but not if she is unconscious or dead.	KEY:Paladin ~ Aura of Courage																		ABILITY:Special Ability|AUTOMATIC|Immunity To Fear								SORTKEY:Class_Paladin	SOURCEPAGE:PHB		
Divine Health	CATEGORY:Special Ability	TYPE:ClassFeatures.PaladinClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a paladin gains immunity to all diseases, including supernatural and magical diseases (such as mummy rot and lycanthropy).	KEY:Paladin ~ Divine Health																		ABILITY:Special Ability|AUTOMATIC|Immunity To Disease								SORTKEY:Class_Paladin	SOURCEPAGE:PHB		
Turn Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.PaladinClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:When a paladin reaches 4th level, she gains the supernatural ability to turn undead. She may use this ability a number of times per day equal to 3 + her Charisma modifier. She turns undead as a cleric of three levels lower would. (See Turn or Rebuke Undead, page 159.)	KEY:Paladin ~ Turn Undead									BONUS:ABILITYPOOL|Turn Undead|1|TYPE=ClassAbility	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|PaladinLVL-3|TYPE=Level.REPLACE								ABILITY:Special Ability|AUTOMATIC|Basic Turning								SORTKEY:Class_Paladin	SOURCEPAGE:PHB		
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.PaladinClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 4th level, a paladin gains the ability to cast a small number of divine spells (the same type of spells available to the cleric, druid, and ranger), which are drawn from the paladin spell list (page 191). A paladin must choose and prepare her spells in advance. To prepare or cast a spell, a paladin must have a Wisdom score equal to at least 10 + the spell level (Wis 11 for 1st-level spells, Wis 12 for 2nd-level spells, and so forth). The Difficulty Class for a saving throw against a paladin's spell is 10 + the spell level + the paladin's Wisdom modifier. Like other spellcasters, a paladin can cast only a certain number of spells of each spell level per day. Her base daily spell allotment is given on Table 3-12: The Paladin. In addition, she receives bonus spells per day if she has a high Wisdom score (see Table 1-1: Ability Modifiers and Bonus Spells, page 8). When Table 3-12 indicates that the paladin gets 0 spells per day of a given spell level (for instance, 1st-level spells for a 4th-level paladin), she gains only the bonus spells she would be entitled to based on her Wisdom score for that spell level The paladin does not have access to any domain spells or granted powers, as a cleric does. A paladin prepares and casts spells the way a cleric does, though she cannot lose a prepared spell to spontaneously cast a cure spell in its place. A paladin may prepare and cast any spell on the paladin spell list (page 191), provided that she can cast spells of that level, but she must choose which spells to prepare during her daily meditation. Through 3rd level, a paladin has no caster level. At 4th level and higher, her caster level is one-half her paladin level.	KEY:Paladin ~ Spells																										SORTKEY:Class_Paladin	SOURCEPAGE:PHB		
Special Mount	CATEGORY:Special Ability	TYPE:ClassFeatures.PaladinClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Upon reaching 5th level, a paladin gains the service of an unusually intelligent, strong, and loyal steed to serve her in her crusade against evil (see the sidebar). This mount is usually a heavy warhorse (for a Medium paladin) or a warpony (for a Small paladin). Once per day, as a full-round action, a paladin may magically call her mount from the celestial realms in which it resides. The mount immediately appears adjacent to the paladin and remains for 2 hours per paladin level it may be dismissed at any time as a free action. The mount is the same creature each time it is summoned, though the paladin may release a particular mount from service (if it has grown too old to join her crusade, for instance). Each time the mount is called, it appears in full health, regardless of any damage it may have taken previously. The mount also appears wearing or carrying any gear it had when it was last dismissed including barding, saddle, saddlebags, and the like. Calling a mount is a conjuration (calling) effect. Equal to a spell level 1/3 the paladin level. Should the paladin's mount die, it immediately disappears, leaving behind any equipment it was carrying. The paladin may not summon another mount for thirty days or until she gains a paladin level, whichever comes first, even if the mount is somehow returned from the dead. During this thirty-day period, the paladin takes a -1 penalty on attack and weapon damage rolls.	KEY:Paladin ~ Special Mount									BONUS:VAR|SpecialMountLVL|PaladinLVL									ABILITY:Internal|AUTOMATIC|Special Mount (Base)								SORTKEY:Class_Paladin	SOURCEPAGE:PHB		
Remove Disease	CATEGORY:Special Ability	TYPE:ClassFeatures.PaladinClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 6th level, a paladin can produce a remove disease effect, as the spell, once per week. She can use this ability one additional time per week for every three levels after 6th (twice per week at 9th, three times at 12th, and so forth).	KEY:Paladin ~ Remove Disease	DESC:%1/week|RemoveDiseaseTimes			DEFINE:RemoveDiseaseTimes|0					BONUS:VAR|RemoveDiseaseTimes|(PaladinLVL/3)-1																	SORTKEY:Class_Paladin	SOURCEPAGE:PHB		
Code of Conduct	CATEGORY:Special Ability	TYPE:ClassFeatures.PaladinClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A paladin must be of lawful good alignment and loses all class abilities if she ever willingly commits an evil act. Additionally, a paladin's code requires that she respect legitimate authority, act with honor (not lying, not cheating, not using poison, and so forth), help those in need (provided they do not use the help for evil or chaotic ends), and punish those who harm or threaten innocents.	KEY:Paladin ~ Code of Conduct																										SORTKEY:Class_Paladin	SOURCEPAGE:PHB		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A ranger is proficient with all simple and martial weapons, and with light armor and shields (except tower shields).	KEY:Ranger ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Favored Enemy	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, a ranger may select a type of creature from among those given on Table 3-14: Ranger Favored Enemies. Due to his extensive study on his chosen type of foe and training in the proper techniques for combating such creatures, the ranger gains a +2 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks when using these skills against creatures of this type. Likewise, he gets a +2 bonus on weapon damage rolls against such creatures. At 5th level and every five levels thereafter (10th, 15th, and 20th level), the ranger may select an additional favored enemy from those given on the table. In addition, at each such interval, the bonus against any one favored enemy (including the one just selected, if so desired) increases by 2. For example, a 5th-level ranger has two favored enemies against one he gains a +4 bonus on Bluff, Listen, Sense Motive, Spot, and Survival checks and weapon damage rolls, and against the other he has a +2 bonus. At 10th level, he has three favored enemies, and he gains an additional +2 bonus, which he can allocate to the bonus against any one of his three favored enemies. Thus, his bonuses could be either +4, +4, +2 or +6, +2, +2. If the ranger chooses humanoids or outsiders as a favored enemy, he must also choose an associated subtype, as indicated on the table. If a specific creature falls into more than one category of favored enemy (for instance, devils are both evil outsiders and lawful outsiders), the ranger's bonuses do not stack he simply uses whichever bonus is higher. See the Monster Manual for more information on types of creatures.	KEY:Ranger ~ Favored Enemy				DEFINE:RangerFavoredEnemyLVL|0					BONUS:VAR|RangerFavoredEnemyLVL|RangerLVL	BONUS:VAR|FavoredEnemyCount|RangerFavoredEnemyLVL/5+1	BONUS:VAR|FavoredEnemyBonusCount|RangerFavoredEnemyLVL/5	BONUS:VAR|FavoredEnemyBaseBonus|2|TYPE=Base		ABILITY:Special Ability|AUTOMATIC|Favored Enemy												SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Track	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A ranger gains Track (see page 101) as a bonus feat.	KEY:Ranger ~ Track																		ABILITY:FEAT|AUTOMATIC|Track								SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Wild Empathy	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:ranger can use body language, vocalizations, and demeanor to improve the attitude of an animal (such as a bear or a monitor lizard). This ability functions just like a Diplomacy check to improve the attitude of a person (see page 72). The ranger rolls 1d20 and adds his ranger level and his Charisma bonus to determine the wild empathy check result. The typical domestic animal has a starting attitude of indifferent, while wild animals are usually unfriendly. To use wild empathy, the ranger and the animal must be able to study each other, which means that they must be within 30 feet of one another under normal visibility conditions. Generally influencing an animal in this way takes 1 minute, but, as with influencing people, it might take more or less time. The ranger can also use this ability to influence a magical beast with an Intelligence score of 1 or 2 (such as a basilisk or a girallon), but he takes a -4 penalty on the check.	KEY:Ranger ~ Wild Empathy									BONUS:VAR|WildEmpathyBonus|RangerLVL									ABILITY:Special Ability|AUTOMATIC|Wild Empathy								SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Combat Style	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, a ranger must select one of two combat styles to pursue: archery or two-weapon combat. This choice affects the character's class features but does not restrict his selection of feats or special abilities in any way. If the ranger selects archery, he is treated as having the Rapid Shot feat, even if he does not have the normal prerequisites for that feat. If the ranger selects two-weapon combat, he is treated as having the Two-Weapon Fighting feat, even if he does not have the normal prerequisites for that feat. The benefits of the ranger's chosen style apply only when he wears light or no armor. He loses all benefits of his combat style when wearing medium or heavy armor.	KEY:Ranger ~ Combat Style				DEFINE:RangerCombatTreeLVL|0					BONUS:ABILITYPOOL|Ranger Combat Style|1	BONUS:VAR|RangerCombatTreeLVL|RangerLVL	BONUS:VAR|RangerCombatTreeTier|1															SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Endurance	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A ranger gains Endurance (see page 93) as a bonus feat at 3rd level.	KEY:Ranger ~ Endurance																		ABILITY:FEAT|AUTOMATIC|Endurance								SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Animal Companion	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level, a ranger gains an animal companion selected from the following list: badger, camel, dire rat, dog, riding dog, eagle, hawk, horse (light or heavy), owl, pony, snake (Small or Medium viper), or wolf. If the DM's campaign takes place wholly or partly in an aquatic environment, the DM may add the following creatures to the ranger's list of options: crocodile, porpoise, Medium shark, and squid. This animal is a loyal companion that accompanies the ranger on his adventures as appropriate for its kind. (For instance, an aquatic creature can't adventure with a ranger on land and shouldn't be selected by a nonaquatic character without extenuating circumstances). In most cases, the animal companion functions as a mount, sentry, scout, or hunting animal, rather than as a protector.	KEY:Ranger ~ Animal Companion									BONUS:VAR|AnimalCompanionLVL|RangerLVL/2									ABILITY:Internal|AUTOMATIC|Animal Companion (Base)								SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 4th level, a ranger gains the ability to cast a small number of divine spells (the same type of spells available to the cleric, druid, and paladin), which are drawn from the ranger spell list (page 191). A ranger must choose and prepare his spells in advance (see below). To prepare or cast a spell, a ranger must have a Wisdom score equal to at least 10 + the spell level (Wis 11 for 1st-level spells, Wis 12 for 2nd-level spells, and so forth). The Difficulty Class for a saving throw against a ranger's spell is 10 + the spell level + the ranger's Wisdom modifier.	KEY:Ranger ~ Spells																										SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Improved Combat Style	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 6th level, a ranger's aptitude in his chosen combat style (archery or two-weapon combat) improves. If he selected archery at 2nd level, he is treated as having the Manyshot feat (page 97), even if he does not have the normal prerequisites for that feat. If the ranger selected two-weapon combat at 2nd level, he is treated as having the Improved Two-Weapon Fighting feat (page 96), even if he does not have the normal prerequisites for that feat. As before, the benefits of the ranger's chosen style apply only when he wears light or no armor. He loses all benefits of his combat style when wearing medium or heavy armor.	KEY:Ranger ~ Improved Combat Style									BONUS:VAR|RangerCombatTreeTier|1																	SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Woodland Stride	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 7th level, a ranger may move through any sort of undergrowth (such as natural thorns, briars, overgrown areas, and similar terrain) at his normal speed and without taking damage or suffering any other impairment. However, thorns, briars, and overgrown areas that are enchanted or magically manipulated to impede motion still affect him.	KEY:Ranger ~ Woodland Stride																										SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Swift Tracker	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 8th level, a ranger can move at his normal speed while following tracks without taking the normal -5 penalty. He takes only a -10 penalty (instead of the normal -20) when moving at up to twice normal speed while tracking.	KEY:Ranger ~ Swift Tracker																										SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality.Extraordinary.Evasion	VISIBLE:YES	DESC:At 9th level, a ranger can avoid even magical and unusual attacks with great agility. If he makes a successful Reflex saving throw against an attack that normally deals half damage on a successful save (such as a red dragon's fiery breath or a fireball), he instead takes no damage. Evasion can be used only if the ranger is wearing light armor or no armor. A helpless ranger (such as one who is unconscious or paralysed) does not gain the benefit of evasion.	KEY:Ranger ~ Evasion																										SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Combat Style Mastery	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 11th level, a ranger's aptitude in his chosen combat style (archery or two-weapon combat) improves again. If he selected archery at 2nd level, he is treated as having the Improved Precise Shot feat (page 96), even if he does not have the normal prerequisites for that feat. If the ranger selected two-weapon combat at 2nd level, he is treated as having the Greater Two-Weapon Fighting feat (page 95), even if he does not have the normal prerequisites for that feat. As before, the benefits of the ranger's chosen style apply only when he wears light or no armor. He loses all benefits of his combat style when wearing medium or heavy armor.	KEY:Ranger ~ Combat Style Mastery									BONUS:VAR|RangerCombatTreeTier|1																	SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Camouflage	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A ranger of 13th level or higher can use the Hide skill in any sort of natural terrain, even if the terrain doesn't grant cover or concealment.	KEY:Ranger ~ Camouflage																										SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Hide in Plain Sight	CATEGORY:Special Ability	TYPE:ClassFeatures.RangerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:While in any sort of natural terrain, a ranger of 17th level or higher can use the Hide skill even while being observed.	KEY:Ranger ~ Hide in Plain Sight																		ABILITY:Special Ability|AUTOMATIC|Hide in Plain Sight								SORTKEY:Class_Ranger	SOURCEPAGE:PHB		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.RogueClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Rogues are proficient with all simple weapons, plus the hand crossbow, rapier, sap, shortbow, and short sword. Rogues are proficient with light armor, but not with shields.	KEY:Rogue ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|TYPE=WeaponProfRogue	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Rogue	SOURCEPAGE:PHB		
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.RogueClassFeatures.SpecialAttack	VISIBLE:YES	DESC:If a rogue can catch an opponent when he is unable to defend himself effectively from her attack, she can strike a vital spot for extra damage. Basically, the rogue's attack deals extra damage any time her target would be denied a Dexterity bonus to AC (whether the target actually has a Dexterity bonus or not), or when the rogue flanks her target. This extra damage is 1d6 at 1st level, and it increases by 1d6 every two rogue levels thereafter. Should the rogue score a critical hit with a sneak attack, this extra damage is not multiplied. (See Table 8-5: Attack Roll Modifiers and Table 8-6: Armor Class Modifiers, page 151, for combat situations in which the rogue flanks an opponent or the opponent loses his Dexterity bonus to AC.) Ranged attacks can count as sneak attacks only if the target is within 30 feet. A rogue can't strike with deadly accuracy from beyond that range. With a sap (blackjack) or an unarmed strike, a rogue can make a sneak attack that deals nonlethal damage instead of lethal damage. She cannot use a weapon that deals lethal damage to deal nonlethal damage in a sneak attack, not even with the usual -4 penalty, because she must make optimal use of her weapon in order to execute a sneak attack. (See Nonlethal Damage, page 146.) A rogue can sneak attack only living creatures with discernible anatomies-undead, constructs, oozes, plants, and incorporeal creatures lack vital areas to attack. Any creature that is immune to critical hits is not vulnerable to sneak attacks. The rogue must be able to see the target well enough to pick out a vital spot and must be able to reach such a spot. A rogue cannot sneak attack while striking a creature with concealment (see page 152) or striking the limbs of a creature whose vitals are beyond reach.	KEY:Rogue ~ Sneak Attack									BONUS:VAR|SneakAttackDice|(1+RogueLVL)/2									ABILITY:Special Ability|AUTOMATIC|Sneak Attack								SORTKEY:Class_Rogue	SOURCEPAGE:PHB		
Trapfinding	CATEGORY:Special Ability	TYPE:ClassFeatures.RogueClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Rogues (and only rogues) can use the Search skill to locate traps when the task has a Difficulty Class higher than 20. Finding a nonmagical trap has a DC of at least 20, or higher if it is well hidden. Finding a magic trap has a DC of 25 + the level of the spell used to create it. Rogues (and only rogues) can use the Disable Device skill to disarm magic traps. A magic trap generally has a DC of 25 + the level of the spell used to create it. A rogue who beats a trap's DC by 10 or more with a Disable Device check can study a trap, figure out how it works, and bypass it (with her party) without disarming it.	KEY:Rogue ~ Trapfinding																										SORTKEY:Class_Rogue	SOURCEPAGE:PHB		
Evasion	CATEGORY:Special Ability	TYPE:ClassFeatures.RogueClassFeatures.SpecialQuality.Extraordinary.Evasion	VISIBLE:YES	DESC:At 2nd level and higher, a rogue can avoid even magical and unusual attacks with great agility. If she makes a successful Reflex saving throw against an attack that normally deals half damage on a successful save (such as a red dragon's fiery breath or a fireball), she instead takes no damage. Evasion can be used only if the rogue is wearing light armor or no armor. A helpless rogue (such as one who is unconscious or paralysed) does not gain the benefit of evasion.	KEY:Rogue ~ Evasion																										SORTKEY:Class_Rogue	SOURCEPAGE:PHB		
Trap Sense	CATEGORY:Special Ability	TYPE:ClassFeatures.RogueClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a rogue gains an intuitive sense that alerts her to danger from traps, giving her a +1 bonus on Reflex saves made to avoid traps and a +1 dodge bonus to AC against attacks made by traps. These bonuses rise to +2 when the rogue reaches 6th level, to +3 when she reaches 9th level, to +4 when she reaches 12th level, to +5 at 15th, and to +6 at 18th level. Trap sense bonuses gained from multiple classes stack.	KEY:Rogue ~ Trap Sense				DEFINE:RogueTrapSense|0					BONUS:VAR|TrapSenseBonus|RogueLVL/3									ABILITY:Special Ability|AUTOMATIC|Trap Sense								SORTKEY:Class_Rogue	SOURCEPAGE:PHB		
Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.RogueClassFeatures.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:Starting at 4th level, a rogue can react to danger before her senses would normally allow her to do so. She retains her Dexterity bonus to AC (if any) even if she is caught flat-footed or struck by an invisible attacker. However, she still loses her Dexterity bonus to AC if immobilized. If a rogue already has uncanny dodge from a different class (a rogue with at least two levels of barbarian, for example), she automatically gains improved uncanny dodge (see below) instead.	KEY:Rogue ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeFlankingLevel|RogueLVL|TYPE=EachClass.REPLACE																	SORTKEY:Class_Rogue	SOURCEPAGE:PHB		
Improved Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.RogueClassFeatures.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:A rogue of 8th level or higher can no longer be flanked she can react to opponents on opposite sides of her as easily as she can react to a single attacker. This defense denies another rogue the ability to sneak attack the character by flanking her, unless the attacker has at least four more rogue levels than the target does. If a character already has uncanny dodge (see above) from a second class, the character automatically gains improved uncanny dodge instead, and the levels from the classes that grant uncanny dodge stack to determine the minimum rogue level required to flank the character.	KEY:Rogue ~ Improved Uncanny Dodge																										SORTKEY:Class_Rogue	SOURCEPAGE:PHB		
Special Abilities	CATEGORY:Special Ability	TYPE:ClassFeatures.RogueClassFeatures.SpecialQuality	VISIBLE:YES	DESC:On attaining 10th level, and at every three levels thereafter (13th, 16th, and 19th), a rogue gains a special ability of her choice from among the following options.	KEY:Rogue ~ Special Abilities									BONUS:ABILITYPOOL|Rogue Special Ability|min(4,(RogueLVL-7)/3)																	SORTKEY:Class_Rogue	SOURCEPAGE:PHB		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SorcererClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Sorcerers are proficient with all simple weapons. They are not proficient with any type of armor or shield. Armor of any type interferes with a sorcerer's arcane gestures, which can cause his spells with somatic components to fail.	KEY:Sorcerer ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple								SORTKEY:Class_Sorcerer	SOURCEPAGE:PHB		
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.SorcererClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A sorcerer casts arcane spells (the same type of spells available to bards and wizards), which are drawn primarily from the sorcerer/wizard spell list (page 192). He can cast any spell he knows without preparing it ahead of time, the way a wizard or a cleric must (see below). To learn or cast a spell, a sorcerer must have a Charisma score equal to at least 10 + the spell level (Cha 10 for 0-level spells, Cha 11 for 1st-level spells, and so forth). The Difficulty Class for a saving throw against a sorcerer's spell is 10 + the spell level + the sorcerer's Charisma modifier. Like other spellcasters, a sorcerer can cast only a certain number of spells of each spell level per day. His base daily spell allotment is given on Table 3- 6: The Sorcerer. In addition, he receives bonus spells per day if he has a high Charisma score (see Table 1-1: Ability Modifiers and Bonus Spells, page 8).	KEY:Sorcerer ~ Spells																										SORTKEY:Class_Sorcerer	SOURCEPAGE:PHB		
