SOURCELONG:Expanded Psionics Handbook	SOURCESHORT:EPH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-04
#																								
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:|!PRERULE:1,DisplayFullSpell	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST:	DESC:	Bonus	Bonus
Escape Detection				TYPE:Power	SCHOOL:Clairsentience			CLASSES:Psychic Warrior=3	COMPS:None	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5.		
Ethereal Jaunt		KEY:Ethereal Jaunt (Psionic)		TYPE:Power	SCHOOL:Psychoportation				COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 13.		
Etherealness		KEY:Etherealness (Psionic)		TYPE:Power	SCHOOL:Psychoportation			CLASSES:Psion=9|Wilder=9	COMPS:None	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and one other touched creature/three levels; all targets must be joined by linked hands.	DURATION:1 minute/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 17.		
Evade Burst				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psion=7|Wilder=7|Psychic Warrior=3	COMPS:Ma	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: Psion/Wilder 13, Psychic Warrior 5. Augment: If you spend 4 additional power points, you take only half damage on a failed Reflex save.		
Exhalation of the Black Dragon				TYPE:Power	SCHOOL:Psychometabolism		DESCRIPTOR:Acid	CLASSES:Psychic Warrior=3	COMPS:Vi	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Ray.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: For every 2 additional power points you spend, this power's damage increases by 1d6 points.		
Expansion				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=1	COMPS:Ol	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: You can augment this power in one or more of the following ways. &nl;1. If you spend 6 additional power points, this power increases your size by two size categories instead of one. You gain a +4 size bonus to Strength, a -4 size penalty to Dexterity (to a minimum effective Dexterity score of 1), a -2 size penalty on attack rolls, and a -2 size penalty to Armor Class due to your increased size. &nl;2. If you spend 6 additional power points, you can manifest this power as a swift action instead of a standard action. &nl;3. If you spend 2 additional power points, this power's duration is 1 minute per level rather than 1 round per level.		
Fabricate		KEY:Fabricate (Psionic)		TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation			COMPS:Ma	CASTTIME:See text	RANGE:Close	TARGETAREA:Up to 10 cu ft/level; see text	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7.		
Fabricate (Greater)	OUTPUTNAME:Fabricate, Greater	KEY:Fabricate (Greater/Psionic)		TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation			COMPS:Ma	CASTTIME:See text	RANGE:Close	TARGETAREA:Up to 100 cu ft/level; see text	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 11.		
False Sensory Input				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting		COMPS:Me	CASTTIME:1 round	RANGE:Long	TARGETAREA:One creature.	DURATION:Concentration, up to 1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: For every 2 additional power points you spend, this power can affect an additional target. Any additional target cannot be more than 15 feet from another target of the power.		
Far Hand				TYPE:Power	SCHOOL:Psychokinesis			CLASSES:Psion=1|Wilder=1	COMPS:Vi	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:A nonmagical, unattended object wighing up to 5 lb.	DURATION:Concentration, up to 1 minute	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: You can augment this power in one or both of the following ways. &nl;1. For every 2 additional power points you spend, this power's range increases by 5 feet. &nl;2. For every additional power point you spend, the weight limit of the target increases by 2 pounds.		
Fate Link				TYPE:Power	SCHOOL:Clairsentience				COMPS:Ol	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Any two living creature that are initially no more than 30-ft apart.	DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: For every 2 additional power points you spend, this power's save DC increases by 1.		
Fate of One				TYPE:Power	SCHOOL:Clairsentience				COMPS:Me, Vi	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 13.		
Feat Leech				TYPE:Power	SCHOOL:Clairsentience			CLASSES:Psion=2|Wilder=2|Psychic Warrior=2	COMPS:Me, Vi	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: For every 2 additional power points you spend, this power's save DC increases by 1.		
Fiery Discorporation				TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:Fire		COMPS:Vi	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous and up to one day; see text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 9. Augment: For every 3 additional power points you spend, you gain a +1 bonus on your Will save to determine whether you discorporate.		
Fission				TYPE:Power	SCHOOL:Psychometabolism				COMPS:Ol	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Duplicate of yourself.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 13.		
Float				TYPE:Power	SCHOOL:Psychoportation			CLASSES:Psion=1|Wilder=1|Psychic Warrior=1	COMPS:Au	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Fly		KEY:Fly (Psionic)		TYPE:Power	SCHOOL:Psychoportation				COMPS:Au	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7.		
Force Screen				TYPE:Power	SCHOOL:Psychokinesis		DESCRIPTOR:Force	CLASSES:Psion=1|Wilder=1|Psychic Warrior=1	COMPS:Au	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 4 additional power points you spend, the shield bonus to Armor Class improves by 1.		
Form of Doom				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=6	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 11. Augment: For every additional power point you spend, this power's duration increases by 2 rounds.		
Freedom of Movement		KEY:Freedom of Movement (Psionic)		TYPE:Power	SCHOOL:Psychoportation			CLASSES:Psion=4|Wilder=4|Psychic Warrior=4	COMPS:Au	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7.		
Fuse Flesh				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psion=6|Wilder=6	COMPS:Vi	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 round/level	SAVEINFO:Fortitude negates and Fortitude partial; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 11. Augment: For every 2 additional power points you spend, this power's save DC increases by 1.		
Fusion				TYPE:Power	SCHOOL:Psychometabolism				COMPS:Au, Ma, Vi	CASTTIME:1 round	RANGE:Touch	TARGETAREA:You and one touched willing creature of your type and your size or smaller.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH			XPCOST:50		DESC:Power Points: 15. XP Cost: 50 XP.		
Genesis				TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation			COMPS:Ma	CASTTIME:1 week	RANGE:180-ft; see text	TARGETAREA:a demiplane coterminous with the astral plane, centered on your location.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH			XPCOST:1000		DESC:Power Points: 17. XP Cost: 1000 XP.		
Graft Weapon				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=3	COMPS:Ol	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5.		
Grease		KEY:Grease (Psionic)		TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation		CLASSES:Psion=1|Wilder=1	COMPS:Vi, Ol	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One object or a 10-ft square.	DURATION:1 round/level	SAVEINFO:See spell text	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Grip of Iron				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=1	COMPS:Vi	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 4 additional power points you spend, the enhancement bonus on your grapple checks increases by 2.		
Hail of Crystals				TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation			COMPS:Au, Vi	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius burst.	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 9. Augment: For every additional power point you spend, this power's damage from the explosion of the crystal increases by 1d4 points.		
Hammer				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psion=1|Wilder=1|Psychic Warrior=1	COMPS:Au, Ma	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every additional power point you spend, this power's duration increases by 1 round.		
Hustle				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=2	COMPS:Au	CASTTIME:1 swift action	RANGE:Personal	TARGETAREA:You.	DURATION:1 extra move action	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: Egoist 5, psychic warrior 3.		
Hypercognition				TYPE:Power	SCHOOL:Clairsentience				COMPS:Me	CASTTIME:1 standard action or 1 immediate action	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 15.		
Id Insinuation				TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Psion=2|Wilder=2	COMPS:Au	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:Concentration + 1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: For every 2 additional power points you spend, this power's save DC increases by 1, and the power can affect an additional target. Any additional target cannot be more than 15 feet from another target of the power.		
Identify		KEY:Identify (Psionic)		TYPE:Power	SCHOOL:Clairsentience			CLASSES:Psion=2|Wilder=2	COMPS:Ma, Me	CASTTIME:1 day	RANGE:Touch	TARGETAREA:One touched object.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3.		
Immovability				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=4	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:Concentration	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7. Augment: If you spend 8 additional power points, you can manifest this power as an immediate action.		
Incarnate				TYPE:Power	SCHOOL:Metacreativity			CLASSES:Psion=5|Wilder=5	COMPS:Ma	CASTTIME:2 rounds	RANGE:See text	TARGETAREA:See text.	DURATION:Permanent; see text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 9. XP Cost: see table.		
Inertial Armor				TYPE:Power	SCHOOL:Psychokinesis			CLASSES:Psion=1|Wilder=1|Psychic Warrior=1	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every 2 additional power points you spend, the armor bonus to Armor Class increases by 1.		
Inertial Barrier				TYPE:Power	SCHOOL:Psychokinesis			CLASSES:Psychic Warrior=4	COMPS:Au, Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7.		
Inflict Pain				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=2|Wilder=2	COMPS:Me	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:1 round/level	SAVEINFO:Will partial; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: For every 2 additional power points you spend, this power's save DC increases by 1, and the power can affect an additional target. Any additional target cannot be more than 15 feet from another target of the power.		
Insanity (Psionic)		KEY:Insanity (Psionic)		TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Psion=7|Wilder=7	COMPS:Me	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature.	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 13. Augment: For every 2 additional power points you spend, this power's save DC increases by 1, and the power can affect an additional target. Any additional target cannot be more than 15 feet from another target of the power.		
Intellect Fortress				TYPE:Power	SCHOOL:Psychokinesis			CLASSES:Psion=4|Wilder=4	COMPS:Au	CASTTIME:1 immediate action	RANGE:20-ft.	TARGETAREA:20-ft-radius spread centered on you.	DURATION:1 round	SAVEINFO:None	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7. Augment: For every additional power point you spend, this power's duration increases by 1 round.		
Iron Body		KEY:Iron Body (Psionic)		TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation		CLASSES:Psion=8|Wilder=8	COMPS:Au	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 15.		
Keen Edge		KEY:Keen Edge (Psionic)		TYPE:Power	SCHOOL:Metacreativity			CLASSES:Psion=3|Wilder=3|Psychic Warrior=3	COMPS:Vi	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One weapon or fifty projectiles, all of which must be in contact with each other at the time of manifestation.	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5.		
Knock		KEY:Knock (Psionic)		TYPE:Power	SCHOOL:Psychoportation			CLASSES:Psion=2|Wilder=2	COMPS:Ma	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One door, box or chest with an area of up to 10-sq-ft/level.	DURATION:Instantaneous; see text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3.		
Know Direction and Location				TYPE:Power	SCHOOL:Clairsentience			CLASSES:Psion=1|Wilder=1	COMPS:Me	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Leech Field				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psion=5|Wilder=5	COMPS:Vi	CASTTIME:1 standard action	RANGE:Personal; see text	TARGETAREA:You.	DURATION:1 minute	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 9. Augment: For every 2 additional power points you spend, this power's duration increases by 1 minute.		
Levitate		KEY:Levitate (Psionic)		TYPE:Power	SCHOOL:Psychoportation			CLASSES:Wilder=2|Psychic Warrior=2	COMPS:Ol	CASTTIME:1 standard action	RANGE:Personal or Close	TARGETAREA:You or one willing creature or one object (object weighing up to 100 lb/level)	DURATION:10 minutes/level	SAVEINFO:None (harmless, object)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Special: When a psion, wilder, or a psychic warrior manifests this power, the target is the manifester (not a willing creature or an object).		
Major Creation		KEY:Major Creation (Psionic)		TYPE:Power	SCHOOL:Metacreativity	SUBSCHOOL:Creation		CLASSES:Psion=5|Wilder=5	COMPS:None	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:Unattended, nonmagical object of nonliving plant matter, up to 1-cu-ft/level.	DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 9.		
Matter Agitation				TYPE:Power	SCHOOL:Psychokinesis			CLASSES:Psion=1|Wilder=1	COMPS:Au, Ma	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:2-sq-ft of surface area of an object or creature.	DURATION:Concentration, up to 1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1.		
Matter Manipulation				TYPE:Power	SCHOOL:Metacreativity			CLASSES:Psion=8|Wilder=8	COMPS:Au, Me	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:1-cu-ft/level of inanimate material.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH			XPCOST:250		DESC:Power Points: 15. XP Cost: 250 XP for each point by which the object's hardness is altered.		
Mental Barrier				TYPE:Power	SCHOOL:Clairsentience			CLASSES:Psion=3|Wilder=3|Psychic Warrior=3	COMPS:Au	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: You can augment this power in one or both of the following ways. &nl;1. If you spend 4 additional power points, the defl ection bonus to Armor Class increases by 1. &nl;2. For every additional power point you spend, this power's duration increases by 1 round.		
Mental Disruption				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=2|Wilder=2	COMPS:Me	CASTTIME:1 standard action	RANGE:10-ft.	TARGETAREA:10-ft-radius spread centered on you.	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 3. Augment: You can augment this power in one or both of the following ways. &nl;1. For every 2 additional power points you spend, this power's save DC increases by 1. &nl;2. For every 2 additional power points you spend, this power's range and the radius of its area both increase by 5 feet.		
Metaconcert				TYPE:Power	SCHOOL:Telepathy			CLASSES:Psychic Warrior=5	COMPS:Vi	CASTTIME:1 minute	RANGE:20-ft.	TARGETAREA:You and up to nine other willing psionic creatures in range.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 9. Augment: For every additional power point you spend, this power's duration increases by 1 minute.		
Metafaculty				TYPE:Power	SCHOOL:Clairsentience				COMPS:Me, Ol, Vi	CASTTIME:1 hour	RANGE:Personal	TARGETAREA:You.	DURATION:Instantaneous and 1 minute/level; see text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH			XPCOST:1000		DESC:Power Points: 17. XP Cost: 1000 XP.		
Metamorphosis				TYPE:Power	SCHOOL:Psychometabolism				COMPS:Ma, Ol	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7.		
Metamorphosis (Greater)	OUTPUTNAME:Metamorphosis, Greater			TYPE:Power	SCHOOL:Psychometabolism				COMPS:Ma, Vi	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH			XPCOST:200		DESC:Power Points: 17. XP Cost: 200 XP.		
Metaphysical Claw				TYPE:Power	SCHOOL:Psychometabolism			CLASSES:Psychic Warrior=1	COMPS:Au	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: If you spend 4 additional power points, this power's duration increases to 1 hour per level. In addition, for every 4 additional power points you spend, this power improves the natural weapon's enhancement bonus on attack rolls and damage rolls by 1.		
Metaphysical Weapon				TYPE:Power	SCHOOL:Metacreativity			CLASSES:Psychic Warrior=1	COMPS:Au	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Weapon touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless, object)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: If you spend 4 additional power points, this power's duration increases to 1 hour per level. In addition, for every 4 additional power points you spend, this power improves the weapon's enhancement bonus on attack rolls and damage rolls by 1.		
Microcosm				TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Psion=9|Wilder=9	COMPS:Ma	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature or one or more creatures within a 15-ft-radius sphere.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 17. Augment: For every additional power point you spend, the number of individual and group hit points the power can affect increases by 10. For example, if you spend 2 additional points, the single target version of the power affects a creature that currently has 120 or fewer hit points, and the area effect version is usable against creatures that each currently have 50 or fewer hit points, up to a total of 320 hit points of such creatures.		
Mind Blank (Personal)	OUTPUTNAME:Mind Blank, Personal			TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=7|Wilder=7|Psychic Warrior=6	COMPS:Ol	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 day	SAVEINFO:None	SPELLRES:No	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: Psion/wilder 13, Psychic warrior 11		
Mind Blank		KEY:Mind Blank (Psionic)		TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=8|Wilder=8	COMPS:Ol	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:1 day	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 15.		
Mind Probe				TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Charm	DESCRIPTOR:Mind-Affecting		COMPS:Au, Ma, Vi	CASTTIME:1 minute	RANGE:Close	TARGETAREA:One creature.	DURATION:1 round/level	SAVEINFO:Will partial; see text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 9.		
Mind Seed				TYPE:Power	SCHOOL:Telepathy	SUBSCHOOL:Compulsion	DESCRIPTOR:Evil|Mind-Affecting		COMPS:Me	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One touched Medium or smaller humanoid.	DURATION:Instantaneous; see text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH			XPCOST:3000		DESC:Power Points: 15. XP Cost: 3,000 XP.		
Mind Switch				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting		COMPS:Vi	CASTTIME:1 round	RANGE:Close	TARGETAREA:You and one other creature.	DURATION:10 minutes/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH			XPCOST:100		DESC:Power Points: 11. XP Cost: 100 XP. Augment: For every 2 additional power points you spend, this power's save DC increases by 1.		
Mind Switch (True)	OUTPUTNAME:Mind Switch, True			TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting		COMPS:Vi	CASTTIME:1 minute	RANGE:Close	TARGETAREA:You and one other creature.	DURATION:Instantaneous	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH			XPCOST:100		DESC:Power Points: 17. XP XP Cost: 10,000 XP. Augment: For every 2 additional power points you spend, this power's save DC increases by 1.		
Mind Thrust				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=1|Wilder=1	COMPS:Au	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: For every additional power point you spend, this power's damage increases by 1d10 points. For each extra 2d10 points of damage, this power's save DC increases by 1.		
Mind Trap				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting	CLASSES:Psion=3|Wilder=3	COMPS:Au	CASTTIME:1 immediate action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 5. Augment: For every additional power point you spend, this power's duration increases by 1 round.		
Mindlink				TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting		COMPS:Me	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You and one other willing creature within range that has an Intelligence score of 3 or higher.	DURATION:10 minutes/level	SAVEINFO:None (harmless); See text	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 1. Augment: You can augment this power in one or both of the following ways. &nl;1. If you spend 4 additional power points, you can attempt to create a telepathic bond with a creature that is not willing (Will save negates). &nl;2. For every additional power point you spend, this power can affect an additional target. Any additional target cannot be more than 15 feet from another target of the power.		
Mindlink (Thieving)	OUTPUTNAME:Mindlink, Thieving			TYPE:Power	SCHOOL:Telepathy		DESCRIPTOR:Mind-Affecting		COMPS:Me	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:You and one other willing creature within range that has an Intelligence score of 3 or higher.	DURATION:10 minutes/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:.	SOURCEPAGE:EPH					DESC:Power Points: 7. Augment: For every 2 additional power points you spend, this power's save DC increases by 1.		
