SOURCELONG:Gozzilioni Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-03																																
																																			
# Equipment Name	Output Name	Required Proficiency	Type	Cost	Weight	Wield Category	Slot Needed	Size	Damage	Critical Hit Range	Critical Hit Multiplier	Modifier	Alternative Type	Alternative Damage	Alternative Critical Range	Alternative Critical	Alternative Modifier	SOURCEPAGE:	Range	Reach	Reach Multiplier			BONUS:EQM	Special Property	Weapon prop. bonus									
Trap Poison - Raeliss Smoke	KEY:TRAP_POISON_ARAE		TYPE:Trap	COST:40000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|6					SPROP:Trap Poison - Raeliss Smoke	DEFINE:TrapCR|0															
Trap Poison - Raeliss Smoke	KEY:TRAP_POISON_RAE		TYPE:Trap	COST:2000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|6					SPROP:Trap Poison - Raeliss Smoke	DEFINE:TrapCR|0															
Trap Poison - Roshon Vapor	KEY:TRAP_POISON_AROS		TYPE:Trap	COST:62000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|4					SPROP:Trap Poison - Roshon Vapor	DEFINE:TrapCR|0															
Trap Poison - Roshon Vapor	KEY:TRAP_POISON_ROS		TYPE:Trap	COST:3100	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|4					SPROP:Trap Poison - Roshon Vapor	DEFINE:TrapCR|0															
Trap Poison - Scorcher Fumes	KEY:TRAP_POISON_ASCO		TYPE:Trap	COST:16000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|4					SPROP:Trap Poison - Scorcher Fumes	DEFINE:TrapCR|0															
Trap Poison - Scorcher Fumes	KEY:TRAP_POISON_SCO		TYPE:Trap	COST:800	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|4					SPROP:Trap Poison - Scorcher Fumes	DEFINE:TrapCR|0															
Trap Poison - Thever Fumes	KEY:TRAP_POISON_ATHF		TYPE:Trap	COST:60000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|4					SPROP:Trap Poison - Thever Fumes	DEFINE:TrapCR|0															
Trap Poison - Thever Fumes	KEY:TRAP_POISON_THF		TYPE:Trap	COST:3000	VISIBLE:QUALIFY	ITYPE:TrapAddOn.Poison	REPLACES:TRAP_POISON_ABLE,TRAP_POISON_ABLR,TRAP_POISON_ABOL,TRAP_POISON_ABWH,TRAP_POISON_ACCB,TRAP_POISON_ADBL,TRAP_POISON_ADRB,TRAP_POISON_AGBL,TRAP_POISON_AGWP,TRAP_POISON_AIM,TRAP_POISON_ALSV,TRAP_POISON_AMRP,TRAP_POISON_AMSV,TRAP_POISON_ANIT,TRAP_POISON_APWP,TRAP_POISON_ASCP,TRAP_POISON_ASHE,TRAP_POISON_ASLR,TRAP_POISON_ATRR,TRAP_POISON_AUD,TRAP_POISON_AWP	SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Mechanical],[!PRETYPE:1,Automatic]					BONUS:VAR|TrapCR|4					SPROP:Trap Poison - Thever Fumes	DEFINE:TrapCR|0															
																																			
###Block:Armor Modification																																			
Quick Escape	KEY:QUICK_ESC	TYPE:Armor		COST:300	VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Masterwork,Armor															SPROP:Reduce the time to remove the armor. Double the time to don.											
Acidic	KEY:ACIDIC	TYPE:Armor.Shield	PLUS:4		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]															SPROP:2d4 acid damage per round of contact during a grapple.											
Aquatic	KEY:AQUATIC	TYPE:Armor	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]															SPROP:Move freely in the water without need of Swim checks											
Aquatic (Water Breathing)	KEY:AQUATIC_WTB	TYPE:Armor	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:3,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor],[PRETYPE:1,EQMOD=AQUATIC]															SPROP:Move freely in the water without need of Swim checks, persistent water breathing effect	ABILITY:Special Ability|VIRTUAL|Water Breathing										
Arrow Catching	KEY:ARW_CAT	TYPE:Shield	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Shield]															SPROP:+1 deflection bonus to AC against ranged weapons.											
Bane Blind	KEY:BANE_BLN	TYPE:Armor	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor]															SPROP:Greater Invisibility vs. %CHOICE				CHOOSE:STRING|Aberrations|Animals|Constructs|Elementals|Fey|Giants|Humanoids (aquatic)|Humanoids (dwarf)|Humanoids (elf)|Humanoids (gnoll)|Humanoids (gnome)|Humanoids (goblinoid)|Humanoids (halfling)|Humanoids (human)|Humanoids (reptilian)|Humanoids (orc)|Magical Beasts|Monstrous Humanoids|Oozes|Outsiders (chaotic)|Outsiders (evil)|Outsiders (good)|Outsiders (lawful)|Undead|Vermin|TITLE=Designated Foe							
Buffering	KEY:BUFF	TYPE:Armor.Shield	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]															SPROP:Absorbs ability draining and level draining effects equal to the enhancement bonus.											
Command	KEY:CMD	TYPE:Armor.Shield	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]									BONUS:SKILL|STAT.CHA|4|TYPE=Competence	BONUS:SKILL|Hide|-6	BONUS:SAVE|Will|2|TYPE=Morale				SPROP:+4 competence bonus on Cha-based skill checks and reaction checks, +2 morale bonus on Will saves to all allies within 30-ft.											
Dancing	KEY:DANCE_SH	TYPE:Shield	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Shield]															SPROP:can be loosed to attack on its own											
Daylight	KEY:DAYLGHT_AR	TYPE:Armor.Shield	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]															SPROP:Glows as Daylight spell for 30 minutes/day											
Distracting	KEY:DISTRCT	TYPE:Armor.Shield	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]															SPROP:Target engaged in combat must succeed on Will save DC 10, 1/day Hypnotic Pattern	SPELLS:Distracting|TIMES=1|CASTERLEVEL=9|Hypnotic Pattern,14										
Fearsome	KEY:FEAR	TYPE:Armor.Shield	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]															SPROP:Fear aura 40-ft affect all opponents	ABILITY:Special Ability|VIRTUAL|Eqmod ~ Fearsome ~ Fear Aura										
Feathered	KEY:FEATHER	TYPE:Armor.Shield	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]															SPROP:Fly as Fly spell for 50 minutes/day											
Sacred	KEY:SACRED	TYPE:Armor.Shield	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]												BONUS:VAR|TurnLevelBase|2|TYPE=Enhancement			SPROP:+2 owner's effective level for turning check.											
Wrapping	KEY:WRAP	TYPE:Shield	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Shield]															SPROP:Wrap around the target, STR check DC 20 to free.											
																																			
###Block:Weapons Modification																																			
Acidic Burst	KEY:ACD_BR_M	TYPE:Weapon.Melee.Thrown	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+1d6 acid damage, on a critical hit deals +%d10 additional acid damage|CRITMULT-1											
Acidic Burst	KEY:ACD_BR_R	TYPE:Weapon.Ranged	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:+1d6 acid damage bestowed on ammunition, on a critical hit deals +%d10 additional acid damage|CRITMULT-1											
Balanced	KEY:BALANCE	TYPE:Weapon.Melee	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Melee								BONUS:WEAPON|WIELDCATEGORY|-1							SPROP:Can be wielded by smaller character.											
Binding	KEY:BIND_A	TYPE:Ammunition	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Ammunition															SPROP:1/day Dimension Anchor on target on succesful hit.											
Binding	KEY:BIND_M	TYPE:Weapon.Melee.Thrown	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:1/day Dimension Anchor on target on succesful hit.											
Binding	KEY:BIND_R	TYPE:Weapon.Ranged	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:1/day Dimension Anchor on target on succesful hit.											
Commanding	KEY:COMMAND	TYPE:Weapon.Melee	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon									BONUS:SKILL|Bluff,Diplomacy,Intimidate|2|TYPE=Enhancement						SPROP:+4 enhancement bonus on Intimidate when held or drawn.	SPELLS:Weapon|TIMES=1|CASTERLEVEL=7|Suggestion,15										
Corrosive	KEY:CORR_A	TYPE:Ammunition	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Ammunition															SPROP:+1d6 acid damage											
Corrosive	KEY:CORR_M	TYPE:Weapon.Melee.Thrown	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+1d6 acid damage											
Corrosive	KEY:CORR_R	TYPE:Weapon.Ranged	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:+1d6 acid damage bestowed on ammunition											
Crazed	KEY:CRAZD	TYPE:Weapon.Melee	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:Wielder can Rage 1/day.											
Disarming	KEY:DISARM_M	TYPE:Weapon.Melee	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:Eliminate opponent bonus for size and two-handed weapon when disarming. +1 bonus on opposed attack roll during disarm attempt.											
Energy Aura	KEY:ENERGY_AURA_A	TYPE:Ammunition	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Ammunition															SPROP:Choose +1d6 elemental damage (acid, cold, electricity, fire, sonic) as free action each round.											
Energy Aura	KEY:ENERGY_AURA_M	TYPE:Weapon.Melee.Thrown	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:Choose +1d6 elemental damage (acid, cold, electricity, fire, sonic) as free action each round.											
Energy Aura	KEY:ENERGY_AURA_R	TYPE:Weapon.Ranged	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:Choose +1d6 elemental damage (acid, cold, electricity, fire, sonic) as free action each round bestowed on ammuntition.											
Eager	KEY:EAG	TYPE:Weapon.Melee	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown							BONUS:COMBAT|INITIATIVE|2							SPROP:Grants +2 bonus on initiative checks, drawns as free action.											
Everbright	KEY:EVR_BRGT_A	TYPE:Ammunition	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Ammunition															SPROP:The weapon is immune to acid and rust attack, 2/day all in 20-ft radius must Reflex DC 14 or Blind 1d4 rounds											
Everbright	KEY:EVR_BRGT_M	TYPE:Weapon.Melee.Thrown	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:The weapon is immune to acid and rust attack, 2/day all in 20-ft radius must Reflex DC 14 or Blind 1d4 rounds											
Everbright	KEY:EVR_BRGT_R	TYPE:Weapon.Ranged	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:The weapon is immune to acid and rust attack, 2/day all in 20-ft radius must Reflex DC 14 or Blind 1d4 rounds											
Fierce	KEY:FIERCE	TYPE:Weapon.Melee	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:can transfer AC Dex bonus to Damage.											
Force	KEY:FORCE_A	TYPE:Ammunition	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Ammunition															SPROP:+1d6 Force damage											
Force	KEY:FORCE_M	TYPE:Weapon.Melee.Thrown	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+1d6 Force damage											
Force	KEY:FORCE_R	TYPE:Weapon.Ranged	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:+1d6 Force damage bestowed on ammunition											
Fortunate	KEY:FORTUNE	TYPE:Weapon.Melee	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon										BONUS:SAVE|Fortitude,Will,Reflex|1|TYPE=Luck					SPROP:+1 luck bonus on all saving throws.											
Grasping	KEY:GRASP_M	TYPE:Weapon.Melee.Thrown	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+2 circumstance bonus on Trip and Disarm checks, doesn't provoke attacks of opportunity											
Harmony	KEY:HARMONY_M	TYPE:Weapon.Melee.Thrown	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+4 bonus on flanking attacks instead of +2.											
Heartfinder	KEY:HRTFIND_M	TYPE:Weapon.Melee.Thrown.Piercing	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,Piercing						BONUS:VAR|SneakAttack|1							SPROP:+1d6 Sneak Attack damage	ABILITY:Special Ability|VIRTUAL|Sneak Attack										
Impact	KEY:IMPACT	TYPE:Weapon.Bludgeoning	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	PRETYPE:1,Bludgeoning					BONUS:EQMWEAPON|CRITRANGEDOUBLE|1|TYPE=NonStackingCrit								SPROP:Threat range doubled											
Ki Focus	KEY:KIFOC	TYPE:Weapon.Melee	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:can use ki attacks through weapon.											
Knockback	KEY:KNOCK_M	TYPE:Weapon.Melee	PLUS:3		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:On successful hit target must succeeds ohn a Fort save (DC 19) or be knocked back 10-feet. If knocked back, another Fort save (DC 19) or stunned 1 round.											
Merciful	KEY:MERC_A	TYPE:Ammunition	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Ammunition															SPROP:deals extra 1d6 damage, deals subdual damage unless otherwise desired											
Merciful	KEY:MERC_M	TYPE:Weapon.Melee.Thrown	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:deals extra 1d6 damage, deals subdual damage unless otherwise desired											
Merciful	KEY:MERC_R	TYPE:Weapon.Ranged	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:deals extra 1d6 damage bestowed on ammunition, deals subdual damage unless otherwise desired											
Precise	KEY:PRECISE_R	TYPE:Weapon.Ranged	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:Shot to an opponent engaged in melee without the standard -4 penalty|!PREABILITY:1,CATEGORY=FEAT,Precise Shot											
Proficent	KEY:PROF_M	TYPE:Weapon.Melee.Thrown	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:Negate non proficent penalty											
Proficent	KEY:PROF_R	TYPE:Weapon.Ranged	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:Negate non proficent penalty											
###TODO: Quick Loading CONTAINS:1|Bolt=100																																			
Quick Loading	KEY:QUICK_LOAD	TYPE:Weapon.Ranged	PLUS:2		VISIBLE:QUALIFY	ITYPE:Container		SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:Load up to 100 bolts as free action if hand or light crossbow, move equivalent action if heavy crossbow											
Radiant	KEY:RADIANT_A	TYPE:Ammunition	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Ammunition															SPROP:Daylight as the spell at will	SPELLS:Weapon|TIMES=ATWILL|CASTERLEVEL=9|Daylight,14										
Radiant	KEY:RADIANT_M	TYPE:Weapon.Melee.Thrown	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:Daylight as the spell at will	SPELLS:Weapon|TIMES=ATWILL|CASTERLEVEL=9|Daylight,14										
Radiant	KEY:RADIANT_R	TYPE:Weapon.Ranged	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:Daylight as the spell at will	SPELLS:Weapon|TIMES=ATWILL|CASTERLEVEL=9|Daylight,14										
Screaming	KEY:SCREAM_A	TYPE:Ammunition	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Ammunition															SPROP:+1d6 sonic damage											
Screaming	KEY:SCREAM_M	TYPE:Weapon.Melee.Thrown	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+1d6 sonic damage											
Screaming	KEY:SCREAM_R	TYPE:Weapon.Ranged	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:+1d6 sonic damage bestowed on ammunition											
Seeking	KEY:SEEK_A	TYPE:Ammunition	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Ammunition															SPROP:veers to target negating any miss chance											
Seeking	KEY:SEEK_R	TYPE:Weapon.Ranged	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:veers to target negating any miss chance											
Shadowstrike	KEY:SHDW_M	TYPE:Weapon.Melee.Thrown	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:1/day reach the target 5-ft through his shadow (negating hi Dex bonus to AC for this attack)											
Shrink	KEY:SHRINK_M	TYPE:Weapon.Melee.Thrown	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:the weapon can shrink as the spell Shrink Item											
Shrink	KEY:SHRINK_R	TYPE:Weapon.Ranged	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:the weapon can shrink as the spell Shrink Item											
Stunning	KEY:STUN_A	TYPE:Ammunition	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Ammunition															SPROP:+1d6 sonic damage. Fort DC 17 or stunned on critical hits.											
Stunning	KEY:STUN_M	TYPE:Weapon.Melee.Thrown	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+1d6 sonic damage. Fort DC 17 or stunned on critical hits.											
Stunning	KEY:STUN_R	TYPE:Weapon.Ranged	PLUS:2		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown														SPROP:+1d6 sonic damage. Fort DC 17 or stunned on critical hits.											
Sure Striking	KEY:SRSTRK_A	TYPE:Ammunition	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Ammunition															SPROP:Overcome any /Magic damage reduction											
