SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:GenieQorrashiRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Genie (Qorrashi) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Endure Elements|Invisibility ~ Self only	SPELLS:Innate|TIMES=3|CASTERLEVEL=14|Cone of Cold,15+CHA|Ice Storm	SPELLS:Innate|TIMES=1|CASTERLEVEL=14|Create Food and Water|Gaseous Form|Major Creation|Persistent Image,15+CHA|Wind Walk							SOURCEPAGE:Fro		
Icewalking	CATEGORY:Special Ability	TYPE:GenieQorrashiRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:This ability works like the spider climb spell but applies to all icy surfaces. A qorrashi can move normally on any icy surface.	KEY:Genie (Qorrashi) ~ Icewalking																											SOURCEPAGE:Fro		
Telepathy	CATEGORY:Special Ability	TYPE:GenieQorrashiRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A qorrashi can communicate telepathically with any creature within 100 feet that has a language.	KEY:Genie (Qorrashi) ~ Telepathy									BONUS:VAR|TelepathyRange|100|TYPE=Base																		SOURCEPAGE:Fro		
																																		
Chill Ray	CATEGORY:Special Ability	TYPE:GhostRaceTrait.GhostSpecialAttack.SpecialAttack.Supernatural.Gaze	VISIBLE:YES	DESC:A frostfell ghost can attack with a ray of cold light. The ray has a range of 90 feet. The ghost must make a ranged touch attack to hit with the ray. On a successful hit, the chill ray deals 1d8 points of Constitution damage. In addition, the target must make a Will save DC %1 or be affected as if by a slow spell for 5 rounds. A ghost that uses its chill ray power must wait 1d4 rounds before it can use the power again.|ChillRayDC	KEY:Ghost ~ Chill Ray				DEFINE:ChillRayDC|0					BONUS:VAR|ChillRayDC|GhostAbilityDC	BONUS:VAR|ChillRayDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Chill Ray)								ABILITY:Ability Focus|AUTOMATIC|Chill Ray									SOURCEPAGE:Fro		
Coldfire Radiance	CATEGORY:Special Ability	TYPE:GhostRaceTrait.GhostSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A frostfell ghost can manifest an aura of coldfire in a 10-foot radius. The aura lasts until the beginning of the ghost's next turn. Any creature within this area takes 2d6 points of frostburn damage, plus an additional 1d6 points of frostburn damage on the following round. In addition, creatures exposed to coldfire may contract coldfire ruin (see Disease, page 14).	KEY:Ghost ~ Coldfire Radiance																											SOURCEPAGE:Fro		
Frigid Touch	CATEGORY:Special Ability	TYPE:GhostRaceTrait.GhostSpecialAttack.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A frostfell ghost that hits with its frigid touch attack deals 2d6 points of frostburn damage. Against ethereal opponents, the frigid touch deals no damage. Against nonethereal opponents, the ghost adds its Dexterity modifi er instead of its Strength modifier to attack rolls.	KEY:Ghost ~ Frigid Touch																											SOURCEPAGE:Fro		
Immunity to Cold	CATEGORY:Special Ability	TYPE:GhostRaceTrait.GhostSpecialAttack.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Some frostfell ghosts are immune to cold damage.	KEY:Ghost ~ Immunity to Cold																		ABILITY:Special Ability|AUTOMATIC|Immunity to Cold									SOURCEPAGE:Fro		
Spell Resistance	CATEGORY:Special Ability	TYPE:GhostRaceTrait.GhostSpecialAttack.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Some frostfell ghosts have spell resistance equal to 13 + Hit Dice. Increase the ghost's Challenge Rating by 1 if you assign it this power.	KEY:Ghost ~ Spell Resistance				DEFINE:GhostSR|0					BONUS:VAR|GhostSR|13+HD|TYPE=Base	BONUS:MISC|CR|1								SR:GhostSR									SOURCEPAGE:Fro		
																																		
Race Traits ~ Golem (Ice)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Golem Subtraits|TYPE=GolemIceRaceTrait	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base																													
Ice Shards	CATEGORY:Special Ability	TYPE:GolemIceRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a free action once every 1d4+1 rounds, an ice golem can generate a spray of deadly ice shards from its body, dealing 2d6 points of piercing damage and 1d6 points of cold damage to all creatures within 10 feet. In addition, living creatures must succeed on a DC %1 Fortitude save or be blinded for 1d4 rounds. The save DC is Constitution-based.|IceShardsDC	KEY:Golem (Ice) ~ Ice Shards				DEFINE:IceShardsDC|0					BONUS:VAR|IceShardsDC|DefaultDCCon	BONUS:VAR|IceShardsDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Ice Shards)								ABILITY:Ability Focus|AUTOMATIC|Ice Shards									SOURCEPAGE:Fro		
Improved Grab	CATEGORY:Special Ability	TYPE:GolemIceRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, the ice golem must hit a Large or smaller creature with its slam attack. It can then attempt to start a grapple as a free action without provoking attacks of opportunity.	KEY:Golem (Ice) ~ Improved Grab																											SOURCEPAGE:Fro		
Icewalking	CATEGORY:Special Ability	TYPE:GolemIceRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:This ability works like the spider climb spell but applies to all icy surfaces. An ice golem can move normally on any icy surface.	KEY:Golem (Ice) ~ Icewalking																											SOURCEPAGE:Fro		
Immunity To Magic	CATEGORY:Special Ability	TYPE:GolemIceRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An ice golem is immune to any spell or spell-like ability that allows spell resistance. In addition, certain spells and effects function differently against the creature, as noted below. Fire spells and effects affect the golem normally, even if they permit spell resistance (but note the golem's vulnerability to fi re). A magical attack that deals cold damage heals an ice golem of 1 point of damage for each 3 points of damage such an attack would otherwise deal. If the amount of healing would cause the golem to exceed its full normal hit points, it gains any excess as temporary hit points.	KEY:Golem (Ice) ~ Immunity To Magic																											SOURCEPAGE:Fro		
																																		
Cold Aura	CATEGORY:Special Ability	TYPE:IceBeastRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The ice beast deals 1d6 points of cold damage to all creatures within 10 feet as a free action at the beginning of its turn each round.	KEY:Ice Beast ~ Cold Aura																											SOURCEPAGE:Fro		
Engulf	CATEGORY:Special Ability	TYPE:IceBeastRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a standard action, the ice beast can attempt to engulf a single opponent it threatens. The opponent must be one size or more smaller than the ice beast, so a Large ice beast can engulf Medium or smaller creatures. The target is entitled to a Reflex save DC %1 (DC 10 + 1/2 the ice beast's Hit Dice + the ice beast's Str modifi er) to avoid being engulfed. A creature engulfed by the ice beast is considered to be pinned and trapped inside its body. The engulfed creature takes 2d6 points of cold damage per round on its turn, and may begin to drown (although it can hold its breath). An ice beast can only engulf one victim at a time. To escape, the victim must escape the pin and then escape the grapple by winning grapple checks against the ice beast. The victim can choose to make Escape Artist checks in place of grapple checks. If the ice beast is killed, any engulfed victims are freed.|EngulfDC	KEY:Ice Beast ~ Engulf				DEFINE:EngulfDC|0					BONUS:VAR|EngulfDC|DefaultDCStr	BONUS:VAR|EngulfDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Engulf)																	SOURCEPAGE:Fro		
Frigid Touch	CATEGORY:Special Ability	TYPE:IceBeastRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The ice beast deals an extra 1d6 points of cold damage with each successful melee attack.	KEY:Ice Beast ~ Frigid Touch																											SOURCEPAGE:Fro		
Ice Breath	CATEGORY:Special Ability	TYPE:IceBeastRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:As a standard action, the ice beast can breathe cold. Its breath weapon deals %2d%3 points of cold damage per 2 HD it possesses (minimum 1d6, maximum 10d6) in a %1-foot cone DC %4 (DC 10 + 1/2 the ice beast's HD, Reflex save half). Once an ice beast uses its ice breath, it must wait 1d4 rounds before it can use its breath weapon again.|BreathWeaponCone|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Ice Beast ~ Ice Breath				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponCone|30	BONUS:VAR|BreathWeaponDice|2*HD	BONUS:VAR|BreathWeaponDamageDie|6|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:Fro		
																																		
Race Traits ~ Ice Toad	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=IceToadRaceTrait																															
Improved Grab	CATEGORY:Special Ability	TYPE:IceToadRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, an ice toad must hit a Medium or smaller creature with its tongue attack. If it gets a hold, it begins to drag its target to its mouth. In subsequent rounds, the toad and the target make opposed Strength checks. The toad and the target gain a +4 bonus on this check for each size category larger than Medium, or a -4 penalty for each size category smaller than Medium (an ice toad's usual modifi er is +8 for size and Strength). If the ice toad wins the opposed Strength check, the toad drags the victim closer by 1 foot for every point of difference between the check results. If the victim wins the opposed check, it breaks free. If the distance between the toad and the victim is reduced to 0 (when the victim is drawn into the toad's mouth), the toad immediately makes a bite attack as a free action. The target is considered grappled, and loses any Dexterity bonus to AC. Toads also have improved grab with their bite attacks. To use this ability, the ice toad must hit with its bite attack, either after dragging an opponent to its mouth or simply as a normal melee attack. If it gets a hold, it can swallow whole.	KEY:Ice Toad ~ Improved Grab																											SOURCEPAGE:Fro		
Sphere of Cold	CATEGORY:Special Ability	TYPE:IceToadRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a standard action, an ice toad can exude a sphere of numbing cold in a 10-foot radius from its body. Creatures within this radius take 3d6 points of cold damage (Fortitude DC %1 half). The save DC is Constitution-based. An ice toad can activate this sphere of cold every other round, starting in the fi rst round of combat.|SphereOfColdDC	KEY:Ice Toad ~ Sphere of Cold				DEFINE:SphereOfColdDC|0					BONUS:VAR|SphereOfColdDC|DefaultDCCon	BONUS:VAR|SphereOfColdDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Sphere of Cold)								ABILITY:Ability Focus|AUTOMATIC|Sphere of Cold									SOURCEPAGE:Fro		
Swallow Whole	CATEGORY:Special Ability	TYPE:IceToadRaceTrait.SpecialAttack.Extraordinary.Swallow Whole	VISIBLE:YES	DESC:An ice toad can try to swallow a grabbed opponent that is at least two size catagories smaller than it is (that is, Small or smaller).To swallow a creature, the ice toad must make a successful grapple check. Once inside, the opponent takes 1d6+6 points of crushing damage plus 1d4 points of acid damage per round. A swallowed creature can cut its way out by using a light slashing weapon to kill the toad from the inside (AC 13). A Large ice toad can hold one Small, two Tiny, four Diminutive, or eight Fine creatures in its gut. A Huge ice toad can hold one Medium, two Small, four Tiny, eight Diminutive, or sixteen Fine creatures in its gut.	KEY:Ice Toad ~ Swallow Whole																											SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:IceToadRaceTrait.SpecialQuality	VISIBLE:YES	DESC:*Ice toads receive a +8 racial bonus on Hide checks in snowy or icy environments. All toads receive a +6 racial bonus on Jump checks.	KEY:Ice Toad ~ Skills									BONUS:SKILL|Jump|6|TYPE=Racial	BONUS:SITUATION|Hide=Icy or snow terrain|8|TYPE=Racial																	SOURCEPAGE:Fro		
																																		
Race Traits ~ Icegaunt	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=IcegauntRaceTrait	BONUS:VAR|DarkvisionRange|60|TYPE=Base		AUTO:LANG|Common																												
Constitution Drain	CATEGORY:Special Ability	TYPE:IcegauntRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Living creatures hit by an icegaunt's slam attack must succeed on a DC %1 Fortitude save or take 1d4 points of Constitution drain. The save DC is Charisma-based. On each successful drain, the icegaunt gains 5 temporary hit points. Temporary hit points gained in this manner last for up to 1 hour.|ConstitutionDrainDC	KEY:Icegaunt ~ Constitution Drain				DEFINE:ConstitutionDrainDC|0					BONUS:VAR|ConstitutionDrainDC|DefaultDCCha	BONUS:VAR|ConstitutionDrainDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Constitution Drain)								ABILITY:Ability Focus|AUTOMATIC|Constitution Drain									SOURCEPAGE:Fro		
Create Spawn	CATEGORY:Special Ability	TYPE:IcegauntRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any humanoid slain by an icegaunt rises as an icegaunt at the next midnight. Spawn are under the command of the icegaunt that created them and remain enslaved until its death. They do not possess any of the abilities they had in life.	KEY:Icegaunt ~ Create Spawn																											SOURCEPAGE:Fro		
Frost Touch	CATEGORY:Special Ability	TYPE:IcegauntRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An icegaunt deals an extra 1d6 points of cold damage with each successful slam attack.	KEY:Icegaunt ~ Frost Touch																											SOURCEPAGE:Fro		
Spells	CATEGORY:Special Ability	TYPE:IcegauntRaceTrait.SpecialAttack	VISIBLE:YES	DESC:Icegaunts cast spells as 5th-level druids. They can never prepare or cast fi re spells.	KEY:Icegaunt ~ Spells																											SOURCEPAGE:Fro		
																																		
Race Traits ~ Malasynep	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MalasynepRaceTrait	BONUS:VAR|DarkvisionRange|60|TYPE=Base		AUTO:LANG|Aquan																												
Improved Grab	CATEGORY:Special Ability	TYPE:MalasynepRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, a malasynep must hit a Large or smaller foe with its bite attack. It can then attempt to start a grapple as a free action without provoking attacks of opportunity. If it wins the grapple check, it establishes a hold and can attempt to swallow the foe the following round.	KEY:Malasynep ~ Improved Grab																											SOURCEPAGE:Fro		
Psi-Like Abilities	CATEGORY:Special Ability	TYPE:MalasynepRaceTrait.SpecialAttack.PsiLike	VISIBLE:YES		KEY:Malasynep ~ Psi-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=9|Energy Emanation ~ Cold only,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=9|Energy Flash ~ Cold only,15+CHA								SOURCEPAGE:Fro		
Swallow Whole	CATEGORY:Special Ability	TYPE:MalasynepRaceTrait.SpecialAttack.Extraordinary.Swallow Whole	VISIBLE:YES	DESC:A malasynep can try to swallow a grabbed opponent of Large or smaller size by making a successful grapple check. Once inside, the opponent takes 2d6+7 points of crushing damage plus 1d6 points of cold damage and 1d6 points of acid damage per round from the malasynep's gizzard. A swallowed creature can cut its way out by using a light slashing or piercing weapon to deal 20 points of damage to the gizzard (AC 13). Once the creature exits, muscular action closes the hole; other swallowed opponents must cut their own way out. A Huge malasynep's interior can hold 1 Large, 4 Medium, 16 Small, 64 Tiny, or 256 Diminutive or smaller opponents.	KEY:Malasynep ~ Swallow Whole																											SOURCEPAGE:Fro		
Amphibious	CATEGORY:Special Ability	TYPE:MalasynepRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Although a malasynep breathes with gills, it can survive indefi nitely out of the water.	KEY:Malasynep ~ Amphibious																											SOURCEPAGE:Fro		
Heat Sense	CATEGORY:Special Ability	TYPE:MalasynepRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A malasynep can automatically sense heat sources within 60 feet, as the spell detect fire. It senses only the presence or absence of heat, but if it chooses to use a standard action to concentrate on this ability, it can establish the number and location of heat auras and the strength of each in the second and third rounds of concentration. Invisible creatures whose location is pinpointed by heat sense still have total concealment from the malasynep.	KEY:Malasynep ~ Heat Sense																											SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:MalasynepRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A malasynep has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.	KEY:Malasynep ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																				
																																		
Race Traits ~ Marzanna	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MarzannaRaceTrait	BONUS:VAR|DarkvisionRange|90|TYPE=Base	BONUS:VAR|AdvancementByClass|1	AUTO:LANG|Common|Giant																												
Dreadful Eye	CATEGORY:Special Ability	TYPE:MarzannaRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Three times per day a marzanna can cast her dire gaze upon any single creature within 30 feet. The target must succeed on a DC %1 Will save or become panicked for 10 rounds. Creatures that are panicked by a marzanna's dreadful eye must succeed on a DC %1 Fortitude save or die from fright. This is a mind-affecting fear effect. The save DC is Charisma-based.|DreadfulEyeDC	KEY:Marzanna ~ Dreadful Eye				DEFINE:DreadfulEyeDC|0					BONUS:VAR|DreadfulEyeDC|DefaultDCCha	BONUS:VAR|DreadfulEyeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Dreadful Eye)								ABILITY:Ability Focus|AUTOMATIC|Dreadful Eye									SOURCEPAGE:Fro		
Rend	CATEGORY:Special Ability	TYPE:MarzannaRaceTrait.SpecialAttack.Extraordinary.Rend	VISIBLE:YES	DESC:A marzanna that hits with both claw attacks latches onto the opponent's body and tears the f lesh. This attack automatically deals an extra 2d6+7 points of damage.	KEY:Marzanna ~ Rend									BONUS:VAR|RendDice|2	BONUS:VAR|RendDieSize|6|TYPE=Base																	SOURCEPAGE:Fro		
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:MarzannaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Marzanna ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Dancing Light|Ghost Sound,10+CHA|Obscuring Snow|Pass without Trace|Ray of Frost	SPELLS:Innate|TIMES=3|CASTERLEVEL=8|Alter Self|Bestow Curse,14+CHA|Numbing Sphere,12+CHA|Wall of Ice,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=8|Ice Storm	SPELLS:Innate|TIMES=1|TIMEUNIT=Week|CASTERLEVEL=8|Control Weather|Nightmare,15+CHA						SOURCEPAGE:Fro		
																																		
Race Traits ~ Ooze (White)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Ooze Subtraits|TYPE=OozeWhiteRaceTrait																															
Acid	CATEGORY:Special Ability	TYPE:OozeWhiteRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A white pudding secretes a digestive acid that dissolves organic material quickly, but does not affect stone or metal. Any melee hit or constrict attack deals acid damage, and the opponent's armor (if not metal) and clothing dissolves and become immediately useless unless it succeeds on a DC %1 Reflex saving throw. A wooden weapon that strikes a white pudding also dissolves immediately unless it succeeds on a DC %1 Reflex save. The save DCs are Constitution-based. The pudding's acidic touch deals 19 points of damage per round to wooden, leather, or other organic objects, but the ooze must remain in contact with the object for 1 full round to deal this damage.|AcidDC	KEY:Ooze (White) ~ Acid				DEFINE:AcidDC|0					BONUS:VAR|AcidDC|DefaultDCCon	BONUS:VAR|AcidDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Acid)								ABILITY:Ability Focus|AUTOMATIC|Acid									SOURCEPAGE:Fro		
Constrict	CATEGORY:Special Ability	TYPE:OozeWhiteRaceTrait.SpecialAttack.Extraordinary.Constrict	VISIBLE:YES	DESC:A white pudding deals automatic slam and acid damage with a successful grapple check. The opponent's clothing and armor take a -4 penalty on Reflex saves against the acid.	KEY:Ooze (White) ~ Constrict									BONUS:VAR|ConstrictDice|2	BONUS:VAR|ConstrictDieSize|4|TYPE=Base																	SOURCEPAGE:Fro		
Improved Grab	CATEGORY:Special Ability	TYPE:OozeWhiteRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, a pudding must hit with its slam attack. It can then attempt to start a grapple as a free action without provoking attacks of opportunity. If it wins the grapple check, it establishes a hold and can constrict its prey.	KEY:Ooze (White) ~ Improved Grab																											SOURCEPAGE:Fro		
Split	CATEGORY:Special Ability	TYPE:OozeWhiteRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Slashing and piercing weapons deal no damage to a white pudding. Instead the creature splits into two identical puddings, each with half the original pudding's hit points (round down). A pudding with 10 hit points or less cannot be further split and dies if reduced to 0 hit points.	KEY:Ooze (White) ~ Split																											SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:OozeWhiteRaceTrait.SpecialQuality	VISIBLE:YES	DESC:*White puddings are difficult to spot against snow and ice. They gain a +16 racial bonus on Hide checks in snowy or icy environments.	KEY:Ooze (White) ~ Skills									BONUS:SITUATION|Hide=Icy or snow terrain|16|TYPE=Racial																		SOURCEPAGE:Fro		
																																		
Race Traits ~ Raven (Giant)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=RavenGiantRaceTrait	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	AUTO:LANG|Common|Giant								BONUS:VAR|Maneuverability|1|TYPE=Base																				
Evasion	CATEGORY:Special Ability	TYPE:RavenGiantRaceTrait.SpecialQuality.Extraodinary.Evasion	VISIBLE:YES	DESC:If exposed to any effect that normally allows a Refl ex save for half damage, a giant raven takes no damage with a successful saving throw.	KEY:Raven (Giant) ~ Evasion																											SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:RavenGiantRaceTrait.SpecialQuality	VISIBLE:YES	DESC:*Giant ravens receive a +4 racial bonus on Spot checks during daylight hours.	KEY:Raven (Giant) ~ Skills									BONUS:SKILL|Spot|4|TYPE=Racial																		SOURCEPAGE:Fro		
Training	CATEGORY:Special Ability	TYPE:RavenGiantRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Although intelligent, a giant raven requires training before it can bear a rider in combat. To be trained, a giant raven must have a friendly attitude toward the trainer (this can be achieved through a successful Diplomacy check). Training a friendly giant raven requires six weeks of work and a DC 25 Handle Animal check. Riding a giant raven requires an exotic saddle. A giant raven can fi ght while carrying a rider, but the rider cannot also attack unless he or she succeeds on a Ride check.	KEY:Raven (Giant) ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:Fro		
																																		
Race Traits ~ Rimefire Eidolon	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=RimefireEidolonRaceTrait			AUTO:LANG|Common|Auran|Aquan|Sylvan								BONUS:VAR|Maneuverability|5|TYPE=Base																				
Frost Touch	CATEGORY:Special Ability	TYPE:RimefireEidolonRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A rimefi re eidolon deals an extra 1d6 points of cold damage with each successful slam attack.	KEY:Rimefire Eidolon ~ Frost Touch																											SOURCEPAGE:Fro		
Rimefire Bolt	CATEGORY:Special Ability	TYPE:RimefireEidolonRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A rimefire eidolon can hurl bolts of the burning radiance that constantly surrounds it. A rimefi re bolt has a range of 100 feet, and attacks as a ranged touch attack. The bolt deals damage equal to 3d6 plus the rimefi re eidolon's Charisma modifi er. Half of this damage is cold damage, and half is fi re damage. A rimefi re eidolon may use the full attack action to make multiple attacks with rimefi re bolts.	KEY:Rimefire Eidolon ~ Rimefire Bolt									BONUS:VAR|RimefireBolt|3	BONUS:VAR|RimefireBoltDamage|CHA|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Rimefire Bolt									SOURCEPAGE:Fro		
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:RimefireEidolonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Rimefire Eidolon ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Blur|Clairaudience/Clairvoyance|Detect Evil|Detect Magic|Ice Shape|Ice Slick|Obscuring Snow|See Invisibility	SPELLS:Innate|TIMES=3|CASTERLEVEL=12|Chill Metal,12+CHA|Cone of Cold,15+CHA|Ice Storm|Wall of Ice|Winter's Embrace,14+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Entomb,16+CHA|Polar Ray							SOURCEPAGE:Fro		
Iceberg Dependent	CATEGORY:Special Ability	TYPE:RimefireEidolonRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A rimefire eidolon risks death if it travels more than 300 yards from its iceberg home; if forced to do so, it takes 1d6 points of damage per round until it either dies or is allowed to return to its iceberg. As long as a rimefi re eidolon is inside of or in contact with its iceberg, it can use clairaudience/clairvoyance as a spell-like ability at will, as long as the area observed is within 300 yards. Finally, a rimefi re eidolon can cause its iceberg to move by concentrating; each round it maintains its concentration, the iceberg moves as it directs at a speed of 20 feet.	KEY:Rimefire Eidolon ~ Iceberg Dependent																											SOURCEPAGE:Fro		
Ice Glide	CATEGORY:Special Ability	TYPE:RimefireEidolonRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An eidolon can glide through ice, snow, or slush as easily as a fi sh swims through water. Its burrowing leaves behind no tunnel or hole, and its passage does not create any ripples or other signs of its presence. A rimefi re eidolon often fi ghts from the cover of an ice wall or snow fi eld in much the same way that an incorporeal creature can use a wall or fl oor for cover. An eidolon attacking a creature outside the ice or snow in which it is hiding gains the benefi t of cover.	KEY:Rimefire Eidolon ~ Ice Glide																											SOURCEPAGE:Fro		
Rimefire Bond	CATEGORY:Special Ability	TYPE:RimefireEidolonRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A rimefire eidolon may forge a powerful spiritual bond with an aspiring rimefire witch. Doing so requires the rimefire eidolon to simply touch the target and will the bond to exist. Once it is forged, this bond is a permanent effect and cannot be dispelled or destroyed. If a rimefire witch or her eidolon is killed, this bond is broken. If the slain member of the bond is brought back to life within a year of death, the rimefire bond instantly reforges itself despite any physical distance between the two. As long as the bond exists, a rimefi re eidolon knows the location and condition of its bonded witch as if by the status spell. Additionally, the rimefi re eidolon gains a +2 morale bonus on all saving throws against mind-affecting and death effects. This bond is powerful enough that it can extend across planar boundaries.	KEY:Rimefire Eidolon ~ Rimefire Bond																											SOURCEPAGE:Fro		
Tremorsense	CATEGORY:Special Ability	TYPE:RimefireEidolonRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An eidolon can automatically sense the location of anything within 60 feet that is in contact with the ground (or ice or snow on top of the ground).	KEY:Rimefire Eidolon ~ Tremorsense									BONUS:VAR|TremorsenseVisionRange|60|TYPE=Racial																		SOURCEPAGE:Fro		
Combat Bonus	CATEGORY:Special Ability	TYPE:RimefireEidolonRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:*The eidolon gains a +2 sacred bonus to AC against evil creatures with the cold subtype.	KEY:Rimefire Eidolon ~ Combat Bonus																											SOURCEPAGE:Fro	ASPECT:AttackBonus|*The eidolon gains a +2 sacred bonus to AC against evil creatures with the cold subtype.	
																																		
Race Traits ~ Rusalka	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=RusalkaRaceTrait			AUTO:LANG|Common|Aquan|Sylvan																												
