SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2024-08																																																																																																																																																																																																																
Healing Word					KEY:Druid Magic Initiate Spell ~ Healing Word				CATEGORY:Internal			TYPE:DruidMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Healing Word,DruidSpellDC																																																																																																																																																																																							
Jump							KEY:Druid Magic Initiate Spell ~ Jump					CATEGORY:Internal			TYPE:DruidMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Jump,DruidSpellDC																																																																																																																																																																																				
Longstrider						KEY:Druid Magic Initiate Spell ~ Longstrider				CATEGORY:Internal			TYPE:DruidMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Longstrider,DruidSpellDC																																																																																																																																																																																						
Purify Food and Drink				KEY:Druid Magic Initiate Spell ~ Purify Food and Drink		CATEGORY:Internal			TYPE:DruidMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Purify Food and Drink,DruidSpellDC																																																																																																																																																																																										
Speak with Animals				KEY:Druid Magic Initiate Spell ~ Speak with Animals			CATEGORY:Internal			TYPE:DruidMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Speak with Animals,DruidSpellDC																																																																																																																																																																																									
Thunderwave						KEY:Druid Magic Initiate Spell ~ Thunderwave				CATEGORY:Internal			TYPE:DruidMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Thunderwave,DruidSpellDC																																																																																																																																																																																						
																																																																																																																																																																																																																			
Burning Hands					KEY:Sorcerer Magic Initiate Spell ~ Burning Hands			CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Burning Hands,SorcererSpellDC																																																																																																																																																																																									
Charm Person					KEY:Sorcerer Magic Initiate Spell ~ Charm Person			CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Charm Person,SorcererSpellDC																																																																																																																																																																																									
Chromatic Orb					KEY:Sorcerer Magic Initiate Spell ~ Chromatic Orb			CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Chromatic Orb,SorcererSpellDC																																																																																																																																																																																									
Color Spray						KEY:Sorcerer Magic Initiate Spell ~ Color Spray				CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Color Spray,SorcererSpellDC																																																																																																																																																																																							
Comprehend Languages				KEY:Sorcerer Magic Initiate Spell ~ Comprehend Languages		CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Comprehend Languages,SorcererSpellDC																																																																																																																																																																																											
Detect Magic					KEY:Sorcerer Magic Initiate Spell ~ Detect Magic			CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Detect Magic,SorcererSpellDC																																																																																																																																																																																									
Disguise Self					KEY:Sorcerer Magic Initiate Spell ~ Disguise Self			CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Disguise Self,SorcererSpellDC																																																																																																																																																																																									
Expeditious Retreat				KEY:Sorcerer Magic Initiate Spell ~ Expeditious Retreat		CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Expeditious Retreat,SorcererSpellDC																																																																																																																																																																																											
False Life						KEY:Sorcerer Magic Initiate Spell ~ False Life				CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|False Life,SorcererSpellDC																																																																																																																																																																																							
Feather Fall					KEY:Sorcerer Magic Initiate Spell ~ Feather Fall			CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Feather Fall,SorcererSpellDC																																																																																																																																																																																									
Fog Cloud						KEY:Sorcerer Magic Initiate Spell ~ Fog Cloud				CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Fog Cloud,SorcererSpellDC																																																																																																																																																																																							
Jump							KEY:Sorcerer Magic Initiate Spell ~ Jump					CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Jump,SorcererSpellDC																																																																																																																																																																																					
Mage Armor						KEY:Sorcerer Magic Initiate Spell ~ Mage Armor				CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Mage Armor,SorcererSpellDC																																																																																																																																																																																							
Magic Missile					KEY:Sorcerer Magic Initiate Spell ~ Magic Missile			CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Magic Missile,SorcererSpellDC																																																																																																																																																																																									
Ray of Sickness					KEY:Sorcerer Magic Initiate Spell ~ Ray of Sickness			CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Ray of Sickness,SorcererSpellDC																																																																																																																																																																																									
Shield						KEY:Sorcerer Magic Initiate Spell ~ Shield				CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Shield,SorcererSpellDC																																																																																																																																																																																							
Silent Image					KEY:Sorcerer Magic Initiate Spell ~ Silent Image			CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Silent Image,SorcererSpellDC																																																																																																																																																																																									
Sleep							KEY:Sorcerer Magic Initiate Spell ~ Sleep					CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Sleep,SorcererSpellDC																																																																																																																																																																																					
Thunderwave						KEY:Sorcerer Magic Initiate Spell ~ Thunderwave				CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Thunderwave,SorcererSpellDC																																																																																																																																																																																							
Witch Bolt						KEY:Sorcerer Magic Initiate Spell ~ Witch Bolt				CATEGORY:Internal			TYPE:SorcererMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Witch Bolt,SorcererSpellDC																																																																																																																																																																																							
																																																																																																																																																																																																																			
Armor of Agathys					KEY:Warlock Magic Initiate Spell ~ Armor of Agathys			CATEGORY:Internal			TYPE:WarlockMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Armor of Agathys,WarlockSpellDC																																																																																																																																																																																									
Arms of Hadar					KEY:Warlock Magic Initiate Spell ~ Arms of Hadar			CATEGORY:Internal			TYPE:WarlockMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Arms of Hadar,WarlockSpellDC																																																																																																																																																																																									
Charm Person					KEY:Warlock Magic Initiate Spell ~ Charm Person				CATEGORY:Internal			TYPE:WarlockMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Charm Person,WarlockSpellDC																																																																																																																																																																																								
Comprehend Languages				KEY:Warlock Magic Initiate Spell ~ Comprehend Languages		CATEGORY:Internal			TYPE:WarlockMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Comprehend Languages,WarlockSpellDC																																																																																																																																																																																											
Expeditious Retreat				KEY:Warlock Magic Initiate Spell ~ Expeditious Retreat		CATEGORY:Internal			TYPE:WarlockMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Expeditious Retreat,WarlockSpellDC																																																																																																																																																																																											
Hellish Rebuke					KEY:Warlock Magic Initiate Spell ~ Hellish Rebuke			CATEGORY:Internal			TYPE:WarlockMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Hellish Rebuke,WarlockSpellDC																																																																																																																																																																																									
Hex							KEY:Warlock Magic Initiate Spell ~ Hex					CATEGORY:Internal			TYPE:WarlockMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Hex,WarlockSpellDC																																																																																																																																																																																					
Illusory Script					KEY:Warlock Magic Initiate Spell ~ Illusory Script			CATEGORY:Internal			TYPE:WarlockMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Illusory Script,WarlockSpellDC																																																																																																																																																																																									
Protection from Evil and Good			KEY:Warlock Magic Initiate Spell ~ Protection from Evil and Good	CATEGORY:Internal			TYPE:WarlockMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Protection from Evil and Good,WarlockSpellDC																																																																																																																																																																																													
Unseen Servant					KEY:Warlock Magic Initiate Spell ~ Unseen Servant			CATEGORY:Internal			TYPE:WarlockMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Unseen Servant,WarlockSpellDC																																																																																																																																																																																									
Witch Bolt						KEY:Warlock Magic Initiate Spell ~ Witch Bolt				CATEGORY:Internal			TYPE:WarlockMagicInitiateSpell															SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Witch Bolt,WarlockSpellDC																																																																																																																																																																																							
																																																																																																																																																																																																																			
Alarm							KEY:Wizard Magic Initiate Spell ~ Alarm					CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Alarm,WizardSpellDC																																																																																																																																																																																				
Burning Hands					KEY:Wizard Magic Initiate Spell ~ Burning Hands				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Burning Hands,WizardSpellDC																																																																																																																																																																																							
Charm Person					KEY:Wizard Magic Initiate Spell ~ Charm Person				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Charm Person,WizardSpellDC																																																																																																																																																																																							
Chromatic Orb					KEY:Wizard Magic Initiate Spell ~ Chromatic Orb				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Chromatic Orb,WizardSpellDC																																																																																																																																																																																							
Color Spray						KEY:Wizard Magic Initiate Spell ~ Color Spray				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Color Spray,WizardSpellDC																																																																																																																																																																																						
Comprehend Languages				KEY:Wizard Magic Initiate Spell ~ Comprehend Languages		CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Comprehend Languages,WizardSpellDC																																																																																																																																																																																										
Detect Magic					KEY:Wizard Magic Initiate Spell ~ Detect Magic				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Detect Magic,WizardSpellDC																																																																																																																																																																																							
Disguise Self					KEY:Wizard Magic Initiate Spell ~ Disguise Self				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Disguise Self,WizardSpellDC																																																																																																																																																																																							
Expeditious Retreat				KEY:Wizard Magic Initiate Spell ~ Expeditious Retreat			CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Expeditious Retreat,WizardSpellDC																																																																																																																																																																																									
False Life						KEY:Wizard Magic Initiate Spell ~ False Life				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|False Life,WizardSpellDC																																																																																																																																																																																						
Feather Fall					KEY:Wizard Magic Initiate Spell ~ Feather Fall				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Feather Fall,WizardSpellDC																																																																																																																																																																																							
Find Familiar					KEY:Wizard Magic Initiate Spell ~ Find Familiar				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Find Familiar,WizardSpellDC																																																																																																																																																																																							
Fog Cloud						KEY:Wizard Magic Initiate Spell ~ Fog Cloud				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Fog Cloud,WizardSpellDC																																																																																																																																																																																						
Grease						KEY:Wizard Magic Initiate Spell ~ Grease					CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Grease,WizardSpellDC																																																																																																																																																																																					
Identify						KEY:Wizard Magic Initiate Spell ~ Identify				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Identify,WizardSpellDC																																																																																																																																																																																						
Illusory Script					KEY:Wizard Magic Initiate Spell ~ Illusory Script			CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Illusory Script,WizardSpellDC																																																																																																																																																																																								
Jump							KEY:Wizard Magic Initiate Spell ~ Jump					CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Jump,WizardSpellDC																																																																																																																																																																																				
Longstrider						KEY:Wizard Magic Initiate Spell ~ Longstrider				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Longstrider,WizardSpellDC																																																																																																																																																																																						
Mage Armor						KEY:Wizard Magic Initiate Spell ~ Mage Armor				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Mage Armor,WizardSpellDC																																																																																																																																																																																						
Magic Missile					KEY:Wizard Magic Initiate Spell ~ Magic Missile				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Magic Missile,WizardSpellDC																																																																																																																																																																																							
Protection from Evil and Good			KEY:Wizard Magic Initiate Spell ~ Protection from Evil and Good	CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Protection from Evil and Good,WizardSpellDC																																																																																																																																																																																												
Ray of Sickness					KEY:Wizard Magic Initiate Spell ~ Ray of Sickness			CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Ray of Sickness,WizardSpellDC																																																																																																																																																																																								
Shield						KEY:Wizard Magic Initiate Spell ~ Shield					CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Shield,WizardSpellDC																																																																																																																																																																																					
Silent Image					KEY:Wizard Magic Initiate Spell ~ Silent Image				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Silent Image,WizardSpellDC																																																																																																																																																																																							
Sleep							KEY:Wizard Magic Initiate Spell ~ Sleep					CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Sleep,WizardSpellDC																																																																																																																																																																																				
Tasha's Hideous Laughter			KEY:Wizard Magic Initiate Spell ~ Tasha's Hideous Laughter		CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Tasha's Hideous Laughter,WizardSpellDC																																																																																																																																																																																											
Tenser's Floating Disk				KEY:Wizard Magic Initiate Spell ~ Tenser's Floating Disk		CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Tenser's Floating Disk,WizardSpellDC																																																																																																																																																																																										
Thunderwave						KEY:Wizard Magic Initiate Spell ~ Thunderwave				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Thunderwave,WizardSpellDC																																																																																																																																																																																						
Unseen Servant					KEY:Wizard Magic Initiate Spell ~ Unseen Servant			CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Unseen Servant,WizardSpellDC																																																																																																																																																																																								
Witch Bolt						KEY:Wizard Magic Initiate Spell ~ Witch Bolt				CATEGORY:Internal			TYPE:WizardMagicInitiateSpell																SPELLS:Magic Initiate|TIMES=1|TIMEUNIT=Day|Witch Bolt,WizardSpellDC																																																																																																																																																																																						
																																																																																																																																																																																																																			
###Block: Skilled																																																																																																																																																																																																																			
Add Skill Proficiency		KEY:Add Skill Proficiency		CATEGORY:Internal		TYPE:Skilled							MULT:YES	CHOOSE:ABILITYSELECTION|Skill|!PC[TYPE=Skill Proficiency]												ABILITY:Skill|AUTOMATIC|%LIST																																																																																																																																																																																									
Add Tool Proficiency		KEY:Add Tool Proficiency		CATEGORY:Internal		TYPE:Skilled							MULT:YES	CHOOSE:ABILITYSELECTION|Internal|!PC[TYPE=Tool Proficiency]												ABILITY:Internal|AUTOMATIC|%LIST																																																																																																																																																																																									
###Block: Athlete																																																																																																																																																																																																																			
Strength		KEY:Athlete ~ Strength		CATEGORY:Internal		TYPE:Athlete Stats																				BONUS:STAT|STR|1																																																																																																																																																																																									
Dexterity		KEY:Athlete ~ Dexterity		CATEGORY:Internal		TYPE:Athlete Stats																				BONUS:STAT|DEX|1																																																																																																																																																																																									
###Block: Charger																																																																																																																																																																																																																			
Strength		KEY:Charger ~ Strength		CATEGORY:Internal		TYPE:Charger Stats																				BONUS:STAT|STR|1																																																																																																																																																																																									
Dexterity		KEY:Charger ~ Dexterity		CATEGORY:Internal		TYPE:Charger Stats																				BONUS:STAT|DEX|1																																																																																																																																																																																									
###Block: Charger																																																																																																																																																																																																																			
Strength		KEY:Charger ~ Strength		CATEGORY:Internal		TYPE:Charger Stats																				BONUS:STAT|STR|1																																																																																																																																																																																									
Constitution		KEY:Charger ~ Constitution	CATEGORY:Internal		TYPE:Charger Stats																				BONUS:STAT|CON|1																																																																																																																																																																																										
###Block: Dual Wielder																																																																																																																																																																																																																			
Strength		KEY:Dual Wielder ~ Strength		CATEGORY:Internal		TYPE:Dual Wielder Stats																				BONUS:STAT|STR|1																																																																																																																																																																																									
Dexterity		KEY:Dual Wielder ~ Dexterity		CATEGORY:Internal		TYPE:Dual Wielder Stats																				BONUS:STAT|DEX|1																																																																																																																																																																																									
###Block: Elemental Adept																																																																																																																																																																																																																			
Intelligence		KEY:Elemental Adept ~ Intelligence	CATEGORY:Internal		TYPE:Elemental Adept Stats																				BONUS:STAT|INT|1																																																																																																																																																																																										
Wisdom		KEY:Elemental Adept ~ Wisdom		CATEGORY:Internal		TYPE:Elemental Adept Stats																				BONUS:STAT|WIS|1																																																																																																																																																																																									
Charisma		KEY:Elemental Adept ~ Charisma	CATEGORY:Internal		TYPE:Elemental Adept Stats																				BONUS:STAT|CHA|1																																																																																																																																																																																										
#Elementad Adept Element Types																																																																																																																																																																																																																			
Acid			KEY:Elemental Adept ~ Acid		CATEGORY:Internal		TYPE:Elemental Adept																																																																																																																																																																																																												
Cold			KEY:Elemental Adept ~ Cold		CATEGORY:Internal		TYPE:Elemental Adept																																																																																																																																																																																																												
Fire			KEY:Elemental Adept ~ Fire		CATEGORY:Internal		TYPE:Elemental Adept																																																																																																																																																																																																												
Lightning		KEY:Elemental Adept ~ Lightning		CATEGORY:Internal		TYPE:Elemental Adept																																																																																																																																																																																																													
Thunder			KEY:Elemental Adept ~ Thunder		CATEGORY:Internal		TYPE:Elemental Adept																																																																																																																																																																																																												
###Block:Fey-Touched																																																																																																																																																																																																																			
Intelligence	KEY:Fey-Touched ~ Intelligence	CATEGORY:Internal		TYPE:Fey-Touched Stats																				BONUS:STAT|INT|1																																																																																																																																																																																											
Wisdom		KEY:Fey-Touched ~ Wisdom		CATEGORY:Internal		TYPE:Fey-Touched Stats																				BONUS:STAT|WIS|1																																																																																																																																																																																									
Charisma		KEY:Fey-Touched ~ Charisma	CATEGORY:Internal		TYPE:Fey-Touched Stats																				BONUS:STAT|CHA|1																																																																																																																																																																																										
#Fey-Touched Spells																																																																																																																																																																																																																			
Animal Friendship					KEY:Fey-Touched ~ Animal Friendship			CATEGORY:Internal			TYPE:Fey-Touched Spell																SPELLS:Fey-Touched|TIMES=1|Animal Friendship,SpellDC_INT|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Intelligence	SPELLS:Fey-Touched|TIMES=1|Animal Friendship,SpellDC_WIS|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Wisdom	SPELLS:Fey-Touched|TIMES=1|Animal Friendship,SpellDC_CHA|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Charisma																																																																																																																																																																																						
Bane							KEY:Fey-Touched ~ Bane					CATEGORY:Internal			TYPE:Fey-Touched Spell																SPELLS:Fey-Touched|TIMES=1|Bane,SpellDC_INT|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Intelligence	SPELLS:Fey-Touched|TIMES=1|Bane,SpellDC_WIS|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Wisdom	SPELLS:Fey-Touched|TIMES=1|Bane,SpellDC_CHA|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Charisma																																																																																																																																																																																		
Bless							KEY:Fey-Touched ~ Bless					CATEGORY:Internal			TYPE:Fey-Touched Spell																SPELLS:Fey-Touched|TIMES=1|Bless,SpellDC_INT|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Intelligence	SPELLS:Fey-Touched|TIMES=1|Bless,SpellDC_WIS|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Wisdom	SPELLS:Fey-Touched|TIMES=1|Bless,SpellDC_CHA|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Charisma																																																																																																																																																																																		
Charm Person					KEY:Fey-Touched ~ Charm Person				CATEGORY:Internal			TYPE:Fey-Touched Spell																SPELLS:Fey-Touched|TIMES=1|Charm Person,SpellDC_INT|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Intelligence	SPELLS:Fey-Touched|TIMES=1|Charm Person,SpellDC_WIS|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Wisdom	SPELLS:Fey-Touched|TIMES=1|Charm Person,SpellDC_CHA|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Charisma																																																																																																																																																																																					
Command					KEY:Fey-Touched ~ Command				CATEGORY:Internal			TYPE:Fey-Touched Spell																SPELLS:Fey-Touched|TIMES=1|Command,SpellDC_INT|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Intelligence	SPELLS:Fey-Touched|TIMES=1|Command,SpellDC_WIS|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Wisdom	SPELLS:Fey-Touched|TIMES=1|Command,SpellDC_CHA|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Charisma																																																																																																																																																																																					
Compelled Duel					KEY:Fey-Touched ~ Compelled Duel			CATEGORY:Internal			TYPE:Fey-Touched Spell																SPELLS:Fey-Touched|TIMES=1|Compelled Duel,SpellDC_INT|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Intelligence	SPELLS:Fey-Touched|TIMES=1|Compelled Duel,SpellDC_WIS|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Wisdom	SPELLS:Fey-Touched|TIMES=1|Compelled Duel,SpellDC_CHA|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Charisma																																																																																																																																																																																						
Comprehend Languages				KEY:Fey-Touched ~ Comprehend Languages		CATEGORY:Internal			TYPE:Fey-Touched Spell																SPELLS:Fey-Touched|TIMES=1|Comprehend Languages,SpellDC_INT|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Intelligence	SPELLS:Fey-Touched|TIMES=1|Comprehend Languages,SpellDC_WIS|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Wisdom	SPELLS:Fey-Touched|TIMES=1|Comprehend Languages,SpellDC_CHA|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Charisma																																																																																																																																																																																								
Detect Evil and Good				KEY:Fey-Touched ~ Detect Evil and Good		CATEGORY:Internal			TYPE:Fey-Touched Spell																SPELLS:Fey-Touched|TIMES=1|Detect Evil and Good,SpellDC_INT|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Intelligence	SPELLS:Fey-Touched|TIMES=1|Detect Evil and Good,SpellDC_WIS|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Wisdom	SPELLS:Fey-Touched|TIMES=1|Detect Evil and Good,SpellDC_CHA|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Charisma																																																																																																																																																																																								
Detect Magic					KEY:Fey-Touched ~ Detect Magic				CATEGORY:Internal			TYPE:Fey-Touched Spell																SPELLS:Fey-Touched|TIMES=1|Detect Magic,SpellDC_INT|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Intelligence	SPELLS:Fey-Touched|TIMES=1|Detect Magic,SpellDC_WIS|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Wisdom	SPELLS:Fey-Touched|TIMES=1|Detect Magic,SpellDC_CHA|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Charisma																																																																																																																																																																																					
Detect Poison and Disease			KEY:Fey-Touched ~ Detect Poison and Disease		CATEGORY:Internal			TYPE:Fey-Touched Spell																SPELLS:Fey-Touched|TIMES=1|Detect Poison and Disease,SpellDC_INT|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Intelligence	SPELLS:Fey-Touched|TIMES=1|Detect Poison and Disease,SpellDC_WIS|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Wisdom	SPELLS:Fey-Touched|TIMES=1|Detect Poison and Disease,SpellDC_CHA|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Charisma																																																																																																																																																																																									
Dissonant Whispers				KEY:Fey-Touched ~ Dissonant Whispers			CATEGORY:Internal			TYPE:Fey-Touched Spell																SPELLS:Fey-Touched|TIMES=1|Dissonant Whispers,SpellDC_INT|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Intelligence	SPELLS:Fey-Touched|TIMES=1|Dissonant Whispers,SpellDC_WIS|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Wisdom	SPELLS:Fey-Touched|TIMES=1|Dissonant Whispers,SpellDC_CHA|PREABILITY:1,CATEGORY=Internal,Fey-Touched ~ Charisma																																																																																																																																																																																							
