SOURCELONG:Core Ruleset	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																							
Resistance To Good spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:GoodResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Good spells Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Good spells,Vulnerability To Good spells													SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Resistance To Good spells Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Good spells	DESC:You get a +%1 bonus on saving throws against spells with Good Descriptor.|GoodResistanceBonus	ASPECT:Resistance|Good	ASPECT:Ability Benefit|%1|GoodResistanceBonus																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Immunity To Good spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are immune to spells with Good descriptor.				ASPECT:Immunity|Good																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																						
Vulnerability To Good spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to spells with Good descriptor.																												SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Holy spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:HolyResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Holy spells Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Holy spells,Vulnerability To Holy spells													SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Resistance To Holy spells Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Holy spells	DESC:You get a +%1 bonus on saving throws against spells with Holy Descriptor.|HolyResistanceBonus	ASPECT:Resistance|Holy	ASPECT:Ability Benefit|%1|HolyResistanceBonus																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Immunity To Holy spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are immune to spells with Holy descriptor.				ASPECT:Immunity|Holy																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																						
Vulnerability To Holy spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to spells with Holy descriptor.																												SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Light spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:LightResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Light spells Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Light spells,Vulnerability To Light spells													SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Resistance To Light spells Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Light spells	DESC:You get a +%1 bonus on saving throws against spells with Light Descriptor.|LightResistanceBonus	ASPECT:Resistance|Light	ASPECT:Ability Benefit|%1|LightResistanceBonus																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Immunity To Light spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are immune to spells with Light descriptor.				ASPECT:Immunity|Light																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																						
Vulnerability To Light spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to spells with Light descriptor.																												SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Darkness spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:DarknessResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Darkness spells Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Darkness spells,Vulnerability To Darkness spells													SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Resistance To Darkness spells Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Darkness spells	DESC:You get a +%1 bonus on saving throws against spells with Darkness Descriptor.|DarknessResistanceBonus	ASPECT:Resistance|Darkness	ASPECT:Ability Benefit|%1|DarknessResistanceBonus																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Immunity To Darkness spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are immune to spells with Darkness descriptor.				ASPECT:Immunity|Darkness																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																						
Vulnerability To Darkness spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to spells with Darkness descriptor.																												SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Water spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:WaterResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Water spells Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Water spells,Vulnerability To Water spells													SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Resistance To Water spells Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Water spells	DESC:You get a +%1 bonus on saving throws against spells with Water Descriptor.|WaterResistanceBonus	ASPECT:Resistance|Water	ASPECT:Ability Benefit|%1|WaterResistanceBonus																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Immunity To Water spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are immune to spells with Water descriptor.				ASPECT:Immunity|Water																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																						
Vulnerability To Water spells	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to spells with Water descriptor.																												SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
#Immunities against spell schools																																																																																																																																																																																																																																																																																																																							
Resistance To Enchantment	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:EnchantmentResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Enchantment Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Enchantment,Vulnerability To Enchantment													SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Resistance To Enchantment Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Enchantment	DESC:You get a +%1 bonus on saving throws against Enchantment-based effects.|EnchantmentResistanceBonus	ASPECT:Resistance|Enchantment	ASPECT:Ability Benefit|%1|EnchantmentResistanceBonus																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Immunity To Enchantment	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You never take Enchantment-based effects damage				ASPECT:Immunity|Enchantment																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																						
Vulnerability To Enchantment	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Enchantment-based effects.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Illusion	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:IllusionResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Illusion Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Illusion,Vulnerability To Illusion													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Illusion Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Illusion	DESC:You get a +%1 bonus on saving throws against Illusion-based effects.|IllusionResistanceBonus	ASPECT:Resistance|Illusion	ASPECT:Ability Benefit|%1|IllusionResistanceBonus																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Immunity To Illusion	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You never take Illusion-based effects damage				ASPECT:Immunity|Illusion																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Illusion	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Illusion-based effects.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Necromancy	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:NecromancyResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Necromancy Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Necromancy,Vulnerability To Necromancy													SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
Resistance To Necromancy Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Necromancy	DESC:You get a +%1 bonus on saving throws against Necromancy-based effects.|NecromancyResistanceBonus	ASPECT:Resistance|Necromancy	ASPECT:Ability Benefit|%1|NecromancyResistanceBonus																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Immunity To Necromancy	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You never take Necromancy-based effects damage				ASPECT:Immunity|Necromancy																									SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																						
Vulnerability To Necromancy	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Necromancy-based effects.																												SOURCEPAGE:MM1																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
Resistance To Force Effects	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:NO					DEFINE:ForceEffectsResistanceBonus|0											ABILITY:Special Ability|VIRTUAL|Resistance To Force Effects Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Force Effects,Vulnerability To Force Effects													SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Resistance To Force Effects Output	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	OUTPUTNAME:Resistance To Force Effects	DESC:You get a +%1 bonus on saving throws against Force Effects-based effects.|ForceEffectsResistanceBonus	ASPECT:Resistance|ForceEffects	ASPECT:Ability Benefit|%1|ForceEffectsResistanceBonus																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
Immunity To Force Effects	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You are never subject to force effects.				ASPECT:Immunity|Force Effects																									SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																						
Vulnerability To Force Effects	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You are particular susceptible to Force Effects-based effects.																												SOURCEPAGE:MM2																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																																							
#Immunities against elements																																																																																																																																																																																																																																																																																																																							
Resistance To Acid		CATEGORY:Special Ability	VISIBLE:NO	DEFINE:AcidResistanceBonus|0		ABILITY:Special Ability|VIRTUAL|Resistance To Acid Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Acid																																																																																																																																																																																																																																																																																																																	
Resistance To Acid Output		OUTPUTNAME:Resistance To Acid			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	DESC:You may ignore %1 points of Acid damage each time you take Acid damage|AcidResistanceBonus					ASPECT:Resistance|Acid	ASPECT:Ability Benefit|%1|AcidResistanceBonus																																																																																																																																																																																																																																																																																																									
Immunity To Acid		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You never take Acid damage		ASPECT:Immunity|Acid																																																																																																																																																																																																																																																																																																																
Vulnerability To Acid				CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You take half again as much (+50%%) damage as normal from Acid, regardless of whether a saving throw is allowed, or if the save is a success or failure																																																																																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																							
Resistance To Cold		CATEGORY:Special Ability	VISIBLE:NO	DEFINE:ColdResistanceBonus|0		ABILITY:Special Ability|VIRTUAL|Resistance To Cold Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Cold																																																																																																																																																																																																																																																																																																																	
Resistance To Cold Output		OUTPUTNAME:Resistance To Cold			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	DESC:You may ignore %1 points of Cold damage each time you take Cold damage|ColdResistanceBonus					ASPECT:Resistance|Cold	ASPECT:Ability Benefit|%1|ColdResistanceBonus																																																																																																																																																																																																																																																																																																									
Immunity To Cold		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You never take Cold damage		ASPECT:Immunity|Cold																																																																																																																																																																																																																																																																																																																
Vulnerability To Cold				CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You take half again as much (+50%%) damage as normal from Cold, regardless of whether a saving throw is allowed, or if the save is a success or failure																																																																																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																							
Resistance To Fire		CATEGORY:Special Ability	VISIBLE:NO	DEFINE:FireResistanceBonus|0		ABILITY:Special Ability|VIRTUAL|Resistance To Fire Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Fire																																																																																																																																																																																																																																																																																																																	
Resistance To Fire Output		OUTPUTNAME:Resistance To Fire			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	DESC:You may ignore %1 points of Fire damage each time you take Fire damage|FireResistanceBonus					ASPECT:Resistance|Fire	ASPECT:Ability Benefit|%1|FireResistanceBonus																																																																																																																																																																																																																																																																																																									
Immunity To Fire		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You never take Fire damage		ASPECT:Immunity|Fire																																																																																																																																																																																																																																																																																																																
Vulnerability To Fire				CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You take half again as much (+50%%) damage as normal from Fire, regardless of whether a saving throw is allowed, or if the save is a success or failure																																																																																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																							
Resistance To Electricity	CATEGORY:Special Ability	VISIBLE:NO	DEFINE:ElectricityResistanceBonus|0	ABILITY:Special Ability|VIRTUAL|Resistance To Electricity Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Electricity																																																																																																																																																																																																																																																																																																																			
Resistance To Electricity Output	OUTPUTNAME:Resistance To Electricity	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	DESC:You may ignore %1 points of Electricity damage each time you take Electricity damage|ElectricityResistanceBonus	ASPECT:Resistance|Electricity	ASPECT:Ability Benefit|%1|ElectricityResistanceBonus																																																																																																																																																																																																																																																																																																																
Immunity To Electricity	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You never take Electricity damage	ASPECT:Immunity|Electricity																																																																																																																																																																																																																																																																																																																		
Vulnerability To Electricity			CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You take half again as much (+50%%) damage as normal from Electricity, regardless of whether a saving throw is allowed, or if the save is a success or failure																																																																																																																																																																																																																																																																																																																	
																																																																																																																																																																																																																																																																																																																							
Resistance To Sonic		CATEGORY:Special Ability	VISIBLE:NO	DEFINE:SonicResistanceBonus|0		ABILITY:Special Ability|VIRTUAL|Resistance To Sonic Output|!PREABILITY:1,CATEGORY=Special Ability,Immunity To Sonic																																																																																																																																																																																																																																																																																																																	
Resistance To Sonic Output		OUTPUTNAME:Resistance To Sonic		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Resistance	VISIBLE:YES	DESC:You may ignore %1 points of Sonic damage each time you take Sonic damage|SonicResistanceBonus				ASPECT:Resistance|Sonic	ASPECT:Ability Benefit|%1|SonicResistanceBonus																																																																																																																																																																																																																																																																																																											
Immunity To Sonic		CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Immunity	VISIBLE:YES	DESC:You never take Sonic damage		ASPECT:Immunity|Sonic																																																																																																																																																																																																																																																																																																																
Vulnerability To Sonic				CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Weakness	VISIBLE:YES	DESC:You take half again as much (+50%%) damage as normal from Sonic, regardless of whether a saving throw is allowed, or if the save is a success or failure																																																																																																																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																							
###Block Turning type																																																																																																																																																																																																																																																																																																																							
Basic Turning	CATEGORY:Special Ability	TYPE:Internal.ClassFeatures.Turning	VISIBLE:NO	DEFINE:AllowExtraTurning|0	DEFINE:AllowImprovedTurning|0	DEFINE:TurnTimesBase|0	DEFINE:TurnLevelBase|0	DEFINE:TurnDiceBase|0	DEFINE:TurnDieSizeBase|0	DEFINE:TurnDamagePlusBase|0	DEFINE:TurnCheckBase|0	BONUS:VAR|AllowExtraTurning|1	BONUS:VAR|AllowImprovedTurning|1	BONUS:VAR|TurnDiceBase|2	BONUS:VAR|TurnDieSizeBase|6	BONUS:VAR|TurnDamagePlusBase|CHA	BONUS:VAR|TurnTimesBase|3+CHA|TYPE=Base	BONUS:VAR|TurnCheckBase|CHA|TYPE=Base																																																																																																																																																																																																																																																																																																					
Turn Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialAttack.Supernatural.Turning.TurnUndead	VISIBLE:YES	!PREABILITY:1,CATEGORY=Special Ability,Rebuke Undead	PREALIGN:LG,LN,NG,TN,CG,CN	PREVARNEQ:TurnProhibitedByDeity,1	DEFINE:TurnTimesUndead|0	DEFINE:TurnLevelUndead|0	DEFINE:TurnDiceUndead|0	DEFINE:TurnDieSizeUndead|0	DEFINE:TurnDamagePlusUndead|0	DEFINE:TurnCheckUndead|0	DESC:%1/day (turn level %2) (turn damage %3d%4+%5)|TurnTimesUndead|TurnLevelUndead|TurnDiceUndead|TurnDieSizeUndead|TurnDamagePlusUndead	BONUS:VAR|TurnTimesUndead|TurnTimesBase	BONUS:VAR|TurnLevelUndead|TurnLevelBase	BONUS:VAR|TurnDiceUndead|TurnDiceBase	BONUS:VAR|TurnDieSizeUndead|TurnDieSizeBase	BONUS:VAR|TurnDamagePlusUndead|TurnDamagePlusBase	BONUS:VAR|TurnCheckUndead|TurnCheckBase	SOURCESHORT:PHB	ASPECT:TurnType|Turn	ASPECT:TurnKind|Undead	ASPECT:TurnTimes|%1|TurnTimesUndead	ASPECT:TurnLevel|%1|TurnLevelUndead	ASPECT:TurnDamage|%1d%2+%3|TurnDiceUndead|TurnDieSizeUndead|TurnDamagePlusUndead	ASPECT:TurnCheck|%1|TurnCheckUndead	ASPECT:TurnNotes|You destroy Undead creatures with total hit dice up to %1.|TurnLevelUndead/2																																																																																																																																																																																																																																																																																												
Rebuke Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialAttack.Supernatural.Rebuke.RebukeUndead	VISIBLE:YES	!PREABILITY:1,CATEGORY=Special Ability,Turn Undead	PREALIGN:LN,LE,TN,NE,CN,CE	PREVARNEQ:RebukeProhibitedByDeity,1	DEFINE:RebukeTimesUndead|0	DEFINE:RebukeLevelUndead|0	DEFINE:RebukeDiceUndead|0	DEFINE:RebukeDieSizeUndead|0	DEFINE:RebukeDamagePlusUndead|0	DEFINE:RebukeCheckUndead|0	DESC:%1/day (Rebuke level %2) (Rebuke damage %3d%4+%5)|RebukeTimesUndead|RebukeLevelUndead|RebukeDiceUndead|RebukeDieSizeUndead|RebukeDamagePlusUndead	BONUS:VAR|RebukeTimesUndead|TurnTimesBase	BONUS:VAR|RebukeLevelUndead|TurnLevelBase	BONUS:VAR|RebukeDiceUndead|TurnDiceBase	BONUS:VAR|RebukeDieSizeUndead|TurnDieSizeBase	BONUS:VAR|RebukeDamagePlusUndead|TurnDamagePlusBase	BONUS:VAR|RebukeCheckUndead|TurnCheckBase	SOURCESHORT:PHB	ASPECT:TurnType|Rebuke	ASPECT:TurnKind|Undead	ASPECT:TurnTimes|%1|RebukeTimesUndead	ASPECT:TurnLevel|%1|RebukeLevelUndead	ASPECT:TurnDamage|%1d%2+%3|RebukeDiceUndead|RebukeDieSizeUndead|RebukeDamagePlusUndead	ASPECT:TurnCheck|%1|RebukeCheckUndead	ASPECT:TurnNotes|You command Undead creatures with total hit dice up to %1.|RebukeLevelUndead/2																																																																																																																																																																																																																																																																																												
# Turn Cold	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialAttack.Supernatural.Turning.TurnCold	VISIBLE:YES	!PREABILITY:1,CATEGORY=Special Ability,Rebuke Cold	PREALIGN:LG,LN,NG,TN,CG,CN	PREVARNEQ:TurnProhibitedByDeity,1	DEFINE:TurnTimesCold|0	DEFINE:TurnLevelCold|0	DEFINE:TurnDiceCold|0	DEFINE:TurnDieSizeCold|0	DEFINE:TurnDamagePlusCold|0	DEFINE:TurnCheckCold|0	DESC:%1/day (turn level %2) (turn damage %3d%4+%5)|TurnTimesCold|TurnLevelCold|TurnDiceCold|TurnDieSizeCold|TurnDamagePlusCold	BONUS:VAR|TurnTimesCold|TurnTimesBase	BONUS:VAR|TurnLevelCold|TurnLevelBase	BONUS:VAR|TurnDiceCold|TurnDiceBase	BONUS:VAR|TurnDieSizeCold|TurnDieSizeBase	BONUS:VAR|TurnDamagePlusCold|TurnDamagePlusBase	BONUS:VAR|TurnCheckCold|TurnCheckBase	SOURCESHORT:PHB	ASPECT:TurnType|Turn	ASPECT:TurnKind|Cold	ASPECT:TurnTimes|%1|TurnTimesCold	ASPECT:TurnLevel|%1|TurnLevelCold	ASPECT:TurnDamage|%1d%2+%3|TurnDiceCold|TurnDieSizeCold|TurnDamagePlusCold	ASPECT:TurnCheck|%1|TurnCheckCold	ASPECT:TurnNotes|You destroy Cold creatures with total hit dice up to %1.|TurnLevelCold/2																																																																																																																																																																																																																																																																																												
Rebuke Cold	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialAttack.Supernatural.Rebuke.RebukeCold	VISIBLE:YES	!PREABILITY:1,CATEGORY=Special Ability,Turn Cold		PREVARNEQ:RebukeProhibitedByDeity,1	DEFINE:RebukeTimesCold|0	DEFINE:RebukeLevelCold|0	DEFINE:RebukeDiceCold|0	DEFINE:RebukeDieSizeCold|0	DEFINE:RebukeDamagePlusCold|0	DEFINE:RebukeCheckCold|0	DESC:%1/day (rebuke level %2) (Rebuke damage %3d%4+%5)|RebukeTimesCold|RebukeLevelCold|RebukeDiceCold|RebukeDieSizeCold|RebukeDamagePlusCold	BONUS:VAR|RebukeTimesCold|TurnTimesBase	BONUS:VAR|RebukeLevelCold|TurnLevelBase	BONUS:VAR|RebukeDiceCold|TurnDiceBase	BONUS:VAR|RebukeDieSizeCold|TurnDieSizeBase	BONUS:VAR|RebukeDamagePlusCold|TurnDamagePlusBase	BONUS:VAR|RebukeCheckCold|TurnCheckBase	SOURCESHORT:PHB	ASPECT:TurnType|Rebuke	ASPECT:TurnKind|Cold	ASPECT:TurnTimes|%1|RebukeTimesCold	ASPECT:TurnLevel|%1|RebukeLevelCold	ASPECT:TurnDamage|%1d%2+%3|RebukeDiceCold|RebukeDieSizeCold|RebukeDamagePlusCold	ASPECT:TurnCheck|%1|RebukeCheckCold	ASPECT:TurnNotes|You command Cold creatures with total hit dice up to %1.|RebukeLevelCold/2																																																																																																																																																																																																																																																																																												
Turn Air	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialAttack.Supernatural.Turning.TurnAir	VISIBLE:YES	!PREABILITY:1,CATEGORY=Special Ability,Rebuke Air		PREVARNEQ:TurnProhibitedByDeity,1	DEFINE:TurnTimesAir|0	DEFINE:TurnLevelAir|0	DEFINE:TurnDiceAir|0	DEFINE:TurnDieSizeAir|0	DEFINE:TurnDamagePlusAir|0	DEFINE:TurnCheckAir|0	DESC:%1/day (turn level %2) (turn damage %3d%4+%5)|TurnTimesAir|TurnLevelAir|TurnDiceAir|TurnDieSizeAir|TurnDamagePlusAir	BONUS:VAR|TurnTimesAir|TurnTimesBase	BONUS:VAR|TurnLevelAir|TurnLevelBase	BONUS:VAR|TurnDiceAir|TurnDiceBase	BONUS:VAR|TurnDieSizeAir|TurnDieSizeBase	BONUS:VAR|TurnDamagePlusAir|TurnDamagePlusBase	BONUS:VAR|TurnCheckAir|TurnCheckBase	SOURCESHORT:PHB	ASPECT:TurnType|Turn	ASPECT:TurnKind|Air	ASPECT:TurnTimes|%1|TurnTimesAir	ASPECT:TurnLevel|%1|TurnLevelAir	ASPECT:TurnDamage|%1d%2+%3|TurnDiceAir|TurnDieSizeAir|TurnDamagePlusAir	ASPECT:TurnCheck|%1|TurnCheckAir	ASPECT:TurnNotes|You destroy Air creatures with total hit dice up to %1.|TurnLevelAir/2																																																																																																																																																																																																																																																																																												
Rebuke Air	CATEGORY:Special Ability	TYPE:ClassFeatures.SpecialAttack.Supernatural.Rebuke.RebukeAir	VISIBLE:YES	!PREABILITY:1,CATEGORY=Special Ability,Turn Air		PREVARNEQ:RebukeProhibitedByDeity,1	DEFINE:RebukeTimesAir|0	DEFINE:RebukeLevelAir|0	DEFINE:RebukeDiceAir|0	DEFINE:RebukeDieSizeAir|0	DEFINE:RebukeDamagePlusAir|0	DEFINE:RebukeCheckAir|0	DESC:%1/day (rebuke level %2) (Rebuke damage %3d%4+%5)|RebukeTimesAir|RebukeLevelAir|RebukeDiceAir|RebukeDieSizeAir|RebukeDamagePlusAir	BONUS:VAR|RebukeTimesAir|TurnTimesBase	BONUS:VAR|RebukeLevelAir|TurnLevelBase	BONUS:VAR|RebukeDiceAir|TurnDiceBase	BONUS:VAR|RebukeDieSizeAir|TurnDieSizeBase	BONUS:VAR|RebukeDamagePlusAir|TurnDamagePlusBase	BONUS:VAR|RebukeCheckAir|TurnCheckBase	SOURCESHORT:PHB	ASPECT:TurnType|Rebuke	ASPECT:TurnKind|Air	ASPECT:TurnTimes|%1|RebukeTimesAir	ASPECT:TurnLevel|%1|RebukeLevelAir	ASPECT:TurnDamage|%1d%2+%3|RebukeDiceAir|RebukeDieSizeAir|RebukeDamagePlusAir	ASPECT:TurnCheck|%1|RebukeCheckAir	ASPECT:TurnNotes|You command Air creatures with total hit dice up to %1.|RebukeLevelAir/2																																																																																																																																																																																																																																																																																												
