SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-10																							
																										
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	DESC:	Bonus	Bonus	
Unheavened				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Evil	CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, Drug	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature	DURATION:10 min/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:Subject gains +4 save bonus against power of good outsiders.	SOURCEPAGE:BoVD						DESC:Drug Component: Vodare.			
Unliving Weapon				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=3	COMPS:V, S, M	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:One undead creature	DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Undead subject explodes for 1d6 damage/2 levels when struck or at specific time.	SOURCEPAGE:BoVD						DESC:Material Component: A drop of bile and a bit of sulfur.			
Unnerving Gaze				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Phantasm		CLASSES:Sorcerer=0|Wizard=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid creature	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject takes -1 penalty on attacks for 1d3 rounds.	SOURCEPAGE:BoVD							TEMPBONUS:ANYPC|COMBAT|TOHIT|-1|TYPE=Morale		
Utterdark				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S, M/DF	CASTTIME:1 hour	RANGE:Close	TARGETAREA:100-ft./level radius spread, centered on caster	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:100-ft/level radius of darkness that evil creature 	SOURCEPAGE:BoVD						DESC:Arcane Material Component: A black stick, 6 inches long, with humanoid blood smeared upon it.			
Vile Lance				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil	CLASSES:Blackguard=4|Cleric=3|Sorcerer=3|Wizard=3	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One shortspear	DURATION:10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Creates +2 shortspear that deals vile damage.	SOURCEPAGE:BoVD						DESC:Arcane Material Component: A bone fragment of a good-aligned creature.			
Wall of Chains				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A wall whose area is up to one 5-ft. square/level (S) (see text)	DURATION:1 min/level	SAVEINFO:None	SPELLRES:No	DESC:Creates barrier of woven chains that has 20 hp/2 caster levels.	SOURCEPAGE:BoVD						DESC:Material Component: A single link from an iron chain.			
Wall of Deadly Chains				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A wall whose area is up to one 5-ft. square/level (S) (see text)	DURATION:1 min/level	SAVEINFO:Reflex half	SPELLRES:No	DESC:Creates barrier of woven chains that has 20 hp/4 caster levels and deals 3d6 damage to all within 5-ft.	SOURCEPAGE:BoVD									
Wall of Eyes				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A wall whose area is up to one 5-ft. square/level (S) (see text)	DURATION:Instantaneous	SAVEINFO:Will negates; See text	SPELLRES:No	DESC:Creates barrier that caster can see through and that paralyzes and consumes those that touch it.	SOURCEPAGE:BoVD						DESC:Material Component: A single humanoid eye.			
Wall of Ooze				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Cleric=5|Sorcerer=5|Wizard=5	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:A wall whose area is up to one 5-ft. square/level (S) (see text)	DURATION:Concentration + 1 round/level	SAVEINFO:Fort partial; See text	SPELLRES:No	DESC:Creates barrier that has 50 hp/4 levels that paralyzes and deals 2d6 damage to all that touch it.	SOURCEPAGE:BoVD						DESC:Arcane Material Component: A bit of an ochre jelly or gray ooze.			
Wave of Grief				TYPE:Spell	SCHOOL:Enchantment		DESCRIPTOR:Evil|Mind-Affecting	CLASSES:Bard=2|Cleric=2	COMPS:S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:All within cone take -3 penalty on attacks, saves and checks.	SOURCEPAGE:BoVD						DESC:Material Component: Three tears.	TEMPBONUS:ANYPC|COMBAT|TOHIT|-3|TYPE=Morale	TEMPBONUS:ANYPC|SAVE|ALL|-3|TYPE=Morale	TEMPBONUS:ANYPC|SKILL|ALL|-3|TYPE=Morale
Wave of Pain				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Bard=6	COMPS:S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone	DURATION:1 round/2 levels	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Stuns all within cone for 1 round/2 levels.	SOURCEPAGE:BoVD						DESC:Material Component: A needle.			
Were-Doom				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Chaos|Evil	CLASSES:Cleric=9|Druid=9	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Long	TARGETAREA:50-ft./level radius	DURATION:24 hours	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:1d4 creatures are infected with Lycanthropy.	SOURCEPAGE:BoVD						DESC:Material Component: A bit of a lycanthrope's fur or skin.			
Whirlwind of Teeth				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil	CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:5-ft./level radius cylinder 10 ft./level high	DURATION:1 round/level	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Creates moving 5-ft/level cylinder that deals 1d8 damage/2 levels each round.	SOURCEPAGE:BoVD						DESC:Arcane Material Component: A handful of bloody teeth.			
Wither Limb				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid creature with limbs	DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Caster reduces subject's speed to 5-ft or make it impossible for subject to use objects or cast somatic spells.	SOURCEPAGE:BoVD									
Wrack				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=3|Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One humanoid creature	DURATION:1 round/level	SAVEINFO:Fort negates	SPELLRES:Yes	DESC:Blinds subject and render it helpless for 1 round/level, then -2 on attacks, saves and checks for 1d10 minutes.	SOURCEPAGE:BoVD									
Wretched Blight				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil	CLASSES:Cleric=7	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft.-radius spread	DURATION:Instantaneous	SAVEINFO:Fort partial; See text	SPELLRES:Yes	DESC:Deals 1d8 damage/level, in 20-ft radius and stuns foes for 1d4 rounds.	SOURCEPAGE:BoVD									
																										
																										
See Invisibility.COPY=See Invisibility	KEY:See Invisibility ~ 1 minute																									
See Invisibility ~ 1 minute.MOD	OUTPUTNAME:See Invisibility	DURATION:.CLEAR	DURATION:1 minute																							
																										
Summon Monster I.COPY=Summon Monster I	KEY:Disciple of Asmodeus ~ Summon Monster I																									
Disciple of Asmodeus ~ Summon Monster I.MOD	OUTPUTNAME:Summon Monster I	CLASSES:.CLEARALL	DESC:Only summons 1 Hellcat.																							
Summon Monster V.COPY=Summon Monster V	KEY:Disciple of Asmodeus ~ Summon Monster V																									
Disciple of Asmodeus ~ Summon Monster V.MOD	OUTPUTNAME:Summon Monster V	CLASSES:.CLEARALL	DESC:Only summons 1d4 Hellcat.																							
Summon Monster I.COPY=Summon Monster I	KEY:Disciple of Baalzebul ~ Summon Osyluth																									
Disciple of Baalzebul ~ Summon Osyluth.MOD	OUTPUTNAME:Summon Monster I	CLASSES:.CLEARALL	DESC:Only summons 1 Osyluth.																							
Summon Monster I.COPY=Summon Monster I	KEY:Disciple of Baalzebul ~ Summon Cornugon																									
Disciple of Baalzebul ~ Summon Cornugon.MOD	OUTPUTNAME:Summon Monster I	CLASSES:.CLEARALL	DESC:Only summons 1 Cornugon.																							
Summon Monster I.COPY=Summon Monster I	KEY:Disciple of Dispater ~ Summon Erinyes I																									
Disciple of Dispater ~ Summon Erinyes I.MOD	OUTPUTNAME:Summon Monster I	CLASSES:.CLEARALL	DESC:Only summons 1 Erinyes.																							
Summon Monster V.COPY=Summon Monster V	KEY:Disciple of Dispater ~ Summon Erinyes II																									
Disciple of Dispater ~ Summon Erinyes II.MOD	OUTPUTNAME:Summon Monster V	CLASSES:.CLEARALL	DESC:Only summons 1d4 Erinyes.																							
Summon Monster I.COPY=Summon Monster I	KEY:Disciple of Mammon ~ Summon Osyluth																									
Disciple of Mammon ~ Summon Osyluth.MOD	OUTPUTNAME:Summon Monster I	CLASSES:.CLEARALL	DESC:Only summons 1 Osyluth.																							
Summon Monster I.COPY=Summon Monster I	KEY:Disciple of Mammon ~ Summon Gelugon																									
Disciple of Mammon ~ Summon Gelugon.MOD	OUTPUTNAME:Summon Monster I	CLASSES:.CLEARALL	DESC:Only summons 1 Gelugon.																							
Summon Monster I.COPY=Summon Monster I	KEY:Disciple of Mephistopheles ~ Summon Hamatula I																									
Disciple of Mephistopheles ~ Summon Hamatula I.MOD	OUTPUTNAME:Summon Monster I	CLASSES:.CLEARALL	DESC:Only summons 1 Hamatula.																							
Summon Monster V.COPY=Summon Monster V	KEY:Disciple of Mephistopheles ~ Summon Hamatula II																									
Disciple of Mephistopheles ~ Summon Hamatula II.MOD	OUTPUTNAME:Summon Monster V	CLASSES:.CLEARALL	DESC:Only summons 1d4 Hamatula.																							
Detect Undead.COPY=Detect Undead	KEY:Detect Mortals																									
Detect Mortals.MOD	OUTPUTNAME:Detect Mortals	CLASSES:.CLEARALL																								
Summon Monster I.COPY=Summon Monster I	KEY:Thrall of Demogorgon ~ Summon Monster I																									
Thrall of Demogorgon ~ Summon Monster I.MOD	OUTPUTNAME:Summon Monster I	CLASSES:.CLEARALL	DESC:Only summons a demon of 5 HD.																							
Summon Monster V.COPY=Summon Monster II	KEY:Thrall of Demogorgon ~ Summon Monster II																									
Thrall of Demogorgon ~ Summon Monster II.MOD	OUTPUTNAME:Summon Monster II	CLASSES:.CLEARALL	DESC:Only summons a demon of 10 HD.																							
Summon Monster I.COPY=Summon Monster I	KEY:Thrall of Graz'zt ~ Summon Monster I																									
Thrall of Graz'zt ~ Summon Monster I.MOD	OUTPUTNAME:Summon Monster I	CLASSES:.CLEARALL	DESC:Only summons a demon of 5 HD.																							
Summon Monster V.COPY=Summon Monster II	KEY:Thrall of Graz'zt ~ Summon Monster II																									
Thrall of Graz'zt ~ Summon Monster II.MOD	OUTPUTNAME:Summon Monster II	CLASSES:.CLEARALL	DESC:Only summons a demon of 10 HD.																							
Summon Monster I.COPY=Summon Monster I	KEY:Thrall of Juiblex ~ Summon Ooze																									
Thrall of Juiblex ~ Summon Ooze.MOD	OUTPUTNAME:Summon Ooze	CLASSES:.CLEARALL	DESC:Only summons a patch of green slime, a gray ooze, an ochre jelly, or a gelatinous cube.																							
Summon Monster I.COPY=Summon Monster I	KEY:Thrall of Juiblex ~ Summon Monster I																									
Thrall of Juiblex ~ Summon Monster I.MOD	OUTPUTNAME:Summon Monster I	CLASSES:.CLEARALL	DESC:Only summons a demon of 5 HD.																							
Summon Monster V.COPY=Summon Monster II	KEY:Thrall of Juiblex ~ Summon Monster II																									
Thrall of Juiblex ~ Summon Monster II.MOD	OUTPUTNAME:Summon Monster II	CLASSES:.CLEARALL	DESC:Only summons a demon of 10 HD.																							
Summon Monster I.COPY=Summon Monster I	KEY:Thrall of Juiblex ~ Summon Pudding																									
Thrall of Juiblex ~ Summon Pudding.MOD	OUTPUTNAME:Summon Pudding	CLASSES:.CLEARALL	DESC:Only summons a black pudding.																							
Summon Monster I.COPY=Summon Monster I	KEY:Thrall of Orcus ~ Summon Monster I																									
Thrall of Orcus ~ Summon Monster I.MOD	OUTPUTNAME:Summon Monster I	CLASSES:.CLEARALL	DESC:Only summons 1d4 ghouls, 1d3 shadows, 1 wight, or 1 wraith.																							
Summon Monster V.COPY=Summon Monster V	KEY:Thrall of Orcus ~ Summon Monster II																									
Thrall of Orcus ~ Summon Monster II.MOD	OUTPUTNAME:Summon Monster II	CLASSES:.CLEARALL	DESC:Only summons 1d3 mummies, 1 spectre, 1 mohrg, 1 vampire, or 1 ghost.																							
Summon Monster IX.COPY=Summon Monster IX	KEY:Thrall of Orcus ~ Summon Monster III																									
Thrall of Orcus ~ Summon Monster III.MOD	OUTPUTNAME:Summon Monster III	CLASSES:.CLEARALL	DESC:Only summons 1 nightwing.																							
																										
																										
																										
																										
Bane.MOD	CLASSES:Demonologist=1																									
Demonflesh.MOD	CLASSES:Demonologist=1																									
Doom.MOD	CLASSES:Demonologist=1																									
Protection from Evil.MOD	CLASSES:Demonologist=1																									
Protection from Good.MOD	CLASSES:Demonologist=1																									
Spores of the Vrock.MOD	CLASSES:Demonologist=1																									
Summon Monster I.MOD	CLASSES:Demonologist=1																									
Unnerving Gaze.MOD	CLASSES:Demonologist=1																									
Bestow Curse.MOD	CLASSES:Demonologist=2																									
Dance of Ruin.MOD	CLASSES:Demonologist=2																									
Demoncall.MOD	CLASSES:Demonologist=2																									
Magic Circle against Evil.MOD	CLASSES:Demonologist=2																									
Magic Circle against Good.MOD	CLASSES:Demonologist=2																									
Protection from Energy.MOD	CLASSES:Demonologist=2																									
Stunning Screech.MOD	CLASSES:Demonologist=2																									
Summon Monster II.MOD	CLASSES:Demonologist=2																									
Abyssal Might.MOD	CLASSES:Demonologist=3																									
Call Dretch Horde.MOD	CLASSES:Demonologist=3																									
Distort Summon.MOD	CLASSES:Demonologist=3																									
Demon Wings.MOD	CLASSES:Demonologist=3																									
Dread Word.MOD	CLASSES:Demonologist=3																									
Dimensional Anchor.MOD	CLASSES:Demonologist=3																									
Planar Binding (Lesser).MOD	CLASSES:Demonologist=3																									
Summon Monster III.MOD	CLASSES:Demonologist=3																									
Bestow Curse (Greater).MOD	CLASSES:Demonologist=4																									
Call Nightmare.MOD	CLASSES:Demonologist=4																									
Cloud of the Achaierai.MOD	CLASSES:Demonologist=4																									
Dismissal.MOD	CLASSES:Demonologist=4																									
Impotent Possessor.MOD	CLASSES:Demonologist=4																									
Imprison Possessor.MOD	CLASSES:Demonologist=4																									
Planar Binding.MOD	CLASSES:Demonologist=4																									
Summon Monster IV.MOD	CLASSES:Demonologist=4																									
Cause Fear.MOD	CLASSES:Mortal Hunter=1																									
Charm Person.MOD	CLASSES:Mortal Hunter=1																									
Detect Good.MOD	CLASSES:Mortal Hunter=1																									
Heartache.MOD	CLASSES:Mortal Hunter=1																									
Protection from Good.MOD	CLASSES:Mortal Hunter=1																									
Sleep.MOD	CLASSES:Mortal Hunter=1																									
Unnerving Gaze.MOD	CLASSES:Mortal Hunter=1																									
Detect Thoughts.MOD	CLASSES:Mortal Hunter=2																									
Evil Eye.MOD	CLASSES:Mortal Hunter=2																									
Hold Person.MOD	CLASSES:Mortal Hunter=2																									
Magic Circle against Good.MOD	CLASSES:Mortal Hunter=2																									
See Invisibility.MOD	CLASSES:Mortal Hunter=2																									
Web.MOD	CLASSES:Mortal Hunter=2																									
Wither Limb.MOD	CLASSES:Mortal Hunter=2																									
Flesh Ripper.MOD	CLASSES:Mortal Hunter=3																									
Mirror Sending.MOD	CLASSES:Mortal Hunter=3																									
Nondetection.MOD	CLASSES:Mortal Hunter=3																									
Scrying.MOD	CLASSES:Mortal Hunter=3																									
Suggestion.MOD	CLASSES:Mortal Hunter=3																									
Vile Lance.MOD	CLASSES:Mortal Hunter=3																									
Wrack.MOD	CLASSES:Mortal Hunter=3																									
Arcane Eye.MOD	CLASSES:Mortal Hunter=4																									
Call Dretch Horde.MOD	CLASSES:Mortal Hunter=4																									
Locate Creature.MOD	CLASSES:Mortal Hunter=4																									
Morality Undone.MOD	CLASSES:Mortal Hunter=4																									
Phantasmal Killer.MOD	CLASSES:Mortal Hunter=4																									
Resonating Resistance.MOD	CLASSES:Mortal Hunter=4																									
																										
Bestow Greater Curse Option 1	OUTPUTNAME:Bestow Greater Curse (-8 penalty on attack rolls, saves, skill checks)	KEY:Bestow Greater Curse ~ Option1																						TEMPBONUS:ANYPC|SAVE|ALL|-8|TYPE=Temporary	TEMPBONUS:ANYPC|COMBAT|TOHIT|-8|TYPE=Temporary	TEMPBONUS:ANYPC|SKILL|ALL|-8|TYPE=Temporary
Bestow Greater Curse Option 2a	OUTPUTNAME:Bestow Greater Curse (-6 to Strength)	KEY:Bestow Greater Curse ~ Option2a																						TEMPBONUS:ANYPC|STAT|STR|-6		
Bestow Greater Curse Option 2b	OUTPUTNAME:Bestow Greater Curse (-6 to Dexterity)	KEY:Bestow Greater Curse ~ Option2b																						TEMPBONUS:ANYPC|STAT|DEX|-6		
Bestow Greater Curse Option 2c	OUTPUTNAME:Bestow Greater Curse (-6 to Constitution)	KEY:Bestow Greater Curse ~ Option2c																						TEMPBONUS:ANYPC|STAT|CON|-6		
Bestow Greater Curse Option 2d	OUTPUTNAME:Bestow Greater Curse (-6 to Intelligence)	KEY:Bestow Greater Curse ~ Option2d																						TEMPBONUS:ANYPC|STAT|INT|-6		
Bestow Greater Curse Option 2e	OUTPUTNAME:Bestow Greater Curse (-6 to Wisdom)	KEY:Bestow Greater Curse ~ Option2e																						TEMPBONUS:ANYPC|STAT|WIS|-6		
Bestow Greater Curse Option 2f	OUTPUTNAME:Bestow Greater Curse (-6 to Charisma)	KEY:Bestow Greater Curse ~ Option2f																						TEMPBONUS:ANYPC|STAT|CHA|-6		
