SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																														
Tongues	CATEGORY:Special Ability	TYPE:DemonSuccubusRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A succubus has a permanent tongues ability (as the spell, caster level 12th). Succubi usually use verbal communication with mortals.	KEY:Demon ~ Succubus ~ Tongues																											SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:DemonSuccubusRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Succubi have a +8 racial bonus on Listen and Spot checks.&nl;*While using her Alter Self ability, a succubus gains a +10 circumstance bonus on Disguise checks.	KEY:Demon ~ Succubus ~ Skills									BONUS:SKILL|Listen,Spot|8|TYPE=Racial																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Demon (Vrock)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DemonVrockRaceTrait|Flight Maneuverability|Telepathy						DEFINE:TelepathyRange|0					BONUS:VAR|Maneuverability|3|TYPE=Racial	BONUS:VAR|TelepathyRange|100																																		
Natural Weapons	CATEGORY:Special Ability	TYPE:DemonVrockRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A vrock's natural weapons, as well as any weapons it wields, are treated as chaotic-aligned and evilaligned for the purpose of overcoming damage reduction.	KEY:Demon ~ Vrock ~ Natural Weapons																											SOURCEPAGE:MM																	
Dance of Ruin	CATEGORY:Special Ability	TYPE:DemonVrockRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:To use this ability, a group of at least three vrocks must join hands in a circle, dancing wildly and chanting. At the end of 3 rounds of dancing, a wave of crackling energy flashes outward in a 100-foot radius. All creatures except for demons within the radius take 20d6 points of damage (Reflex DC %1 half ). Stunning, paralyzing, or slaying one of the vrocks stops the dance. The save DC is Charisma-based.|DanceOfRuinDC	KEY:Demon ~ Vrock ~ Dance of Ruin				DEFINE:DanceOfRuinDC|0					BONUS:VAR|DanceOfRuinDC|DefaultDCCha	BONUS:VAR|DanceOfRuinDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Dance of Ruin)								ABILITY:Ability Focus|AUTOMATIC|Dance of Ruin									SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DemonVrockRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Demon ~ Vrock ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ARWILL|CASTERLEVEL=12|Mirror Image|Telekinesis,15+CHA|Teleport (Greater/Self Only)	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Heroism								SOURCEPAGE:MM																	
Spores	CATEGORY:Special Ability	TYPE:DemonVrockRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A vrock can release masses of spores from its body once every 3 rounds as a free action. The spores automatically deal 1d8 points of damage to all creatures adjacent to the vrock. They then penetrate the skin and grow, dealing an additional 1d4 points of damage each round for 10 rounds. At the end of this time, the victim is covered with a tangle of viny growths. (The vines are harmless and wither away in 1d4 days.) A delay poison spell stops the spores' growth for its duration. Bless, neutralize poison, or remove disease kills the spores, as does sprinkling the victim with a vial of holy water.	KEY:Demon ~ Vrock ~ Spores																											SOURCEPAGE:MM																	
Stunning Screech	CATEGORY:Special Ability	TYPE:DemonVrockRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per hour a vrock can emit a piercing screech. All creatures except for demons within a 30-foot radius must succeed on a DC %1 Fortitude save or be stunned for 1 round. The save DC is Constitution-based.|StunningScreechDC	KEY:Demon ~ Vrock ~ Stunning Screech				DEFINE:StunningScreechDC|0					BONUS:VAR|StunningScreechDC|DefaultDCCon	BONUS:VAR|StunningScreechDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Stunning Screech)								ABILITY:Ability Focus|AUTOMATIC|Stunning Screech									SOURCEPAGE:MM																	
Summon Tanar'ri	CATEGORY:Special Ability	TYPE:DemonVrockRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day a vrock can attempt to summon 2d10 dretches or another vrock with a 35%% chance of success. This ability is the equivalent of a 3rd-level spell.	KEY:Demon ~ Vrock ~ Summon Tanar'ri																											SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:DemonVrockRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Vrocks have a +8 racial bonus on Listen and Spot checks.	KEY:Demon ~ Vrock ~ Skills									BONUS:SKILL|Listen,Spot|8|TYPE=Racial																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Derro	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DerroRaceTrait	AUTO:LANG|Dwarven|Undercommon																			AUTO:WEAPONPROF|Sword (Short)																										
Madness	CATEGORY:Special Ability	TYPE:DerroRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Derro use their Charisma modifier on Will saves instead of their Wisdom modifier, and have immunity to Confusion and Insanity effects. A derro cannot be restored to sanity by any means short of a Miracle or Wish spell.&nl;*The racial madness of the derro provides a +6 bonus to their Charisma scores and a -6 penalty to their Wisdom scores. A derro restored to sanity gains 6 points of Wisdom and loses 6 points of Charisma.	KEY:Derro ~ Madness									BONUS:SAVE|Will|max(WIS,CHA)-WIS									TEMPLATE:Derro ~ Insanity									SOURCEPAGE:MM																	
Poison Use	CATEGORY:Special Ability	TYPE:DerroRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Derro typically carry 2d4 doses of greenblood oil or Medium monstrous spider venom (see Poison, page 296 of the DMG), applying it to their crossbow bolts. Derro are not at risk of poisoning themselves when handling poisons.	KEY:Derro ~ Poison Use																											SOURCEPAGE:MM																	
Sneak Attack	CATEGORY:Special Ability	TYPE:DerroRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Any time a derro's opponent is denied his Dexterity bonus to AC, or if a derro flanks his opponent, he deals an extra 1d6 points of damage. This ability is just like the rogue's sneak attack and subject to the same limitations.	KEY:Derro ~ Sneak Attack									BONUS:VAR|SneakAttackDice|1	BONUS:VAR|SneakAttackDieSize|6|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Sneak Attack									SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DerroRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Derro ~ Spell-Like																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=3|Darkness|Ghost Sound	SPELLS:Innate|TIMES=1|CASTERLEVEL=3|Daze,10+CHA|Sound Burst,12+CHA								SOURCEPAGE:MM																	
Vulnerability To Sunlight	CATEGORY:Special Ability	TYPE:DerroRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A derro takes 1 point of Constitution damage for every hour it is exposed to sunlight, and it dies if its Constitution score reaches 0. Lost Constitution points are recovered at the rate of 1 per every 24-hour period spent underground or otherwise sheltered from the sun.	KEY:Derro ~ Vulnerability To Sunlight																		ABILITY:Special Ability|AUTOMATIC|Vulnerability To Sunlight									SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:DerroRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Derro have a +4 racial bonus on Hide and Move Silently Checks.	KEY:Derro ~ Skills									BONUS:SKILL|Hide,Move Silently|4|TYPE=Racial																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Destrachan	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DestrachanRaceTrait	AUTO:LANG|Common																																													
Destructive Harmonics	CATEGORY:Special Ability	TYPE:DestrachanRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A destrachan can blast sonic energy in a cone up to 80 feet long. It can also use this attack to affect any creatures or objects within a 30-foot radius. It can tune the harmonics of this destructive power to affect different types of targets. All save DCs are Charisma-based.&nl; Flesh:Disrupting tissue and rending bone, this attack deals 4d6 points of damage to all within the area (Reflex DC %1 half ). &nl;Nerves: A destrachan can focus its harmonics to knock out foes rather than slay them. This attack deals 6d6 points of nonlethal damage to all within the area (Reflex DC %1 half ).&nl;Material: When using this form of harmonics, a destrachan chooses wood, stone, metal, or glass. All objects made of that material within the area must succeed on a DC %1  Fortitude save or shatter. Objects (or portions of objects) that have up to 30 hit points are potentially affected by this attack.|DestructiiveHarmonicsDC	KEY:Destrachan ~ Destructive Harmonics				DEFINE:DestructiiveHarmonicsDC|0					BONUS:VAR|DestructiiveHarmonicsDC|DefaultDCCha	BONUS:VAR|DestructiiveHarmonicsDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Destructive Harmonics)								ABILITY:Ability Focus|AUTOMATIC|Destructive Harmonics									SOURCEPAGE:MM																	
Blindsight	CATEGORY:Special Ability	TYPE:DestrachanRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A destrachan can use hearing to ascertain all foes within 100 feet as a sighted creature would.	KEY:Destrachan ~ Blindsight									BONUS:VAR|BlindsightRange|100|TYPE=Base																		SOURCEPAGE:MM																	
Immunities	CATEGORY:Special Ability	TYPE:DestrachanRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Destrachans have immunity to gaze attacks, visual effects, illusions, and other attack forms that rely on sight.	KEY:Destrachan ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity To Gaze Attack|Immunity To Illusion Effects									SOURCEPAGE:MM																	
Protection from Sonics	CATEGORY:Special Ability	TYPE:DestrachanRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:While they can be affected by loud noises and sonic spells (such as Ghost Sound or Silence), destrachans are less vulnerable to sonic attacks (+4 circumstance bonus on all saves) because they can protect their ears. A destrachan whose sense of hearing is impaired is effectively blinded, and all targets are treated as having total concealment.	KEY:Destrachan ~ Protection from Sonics									BONUS:VAR|ResistanceToSonic|4|TYPE=Circumstance									ABILITY:Special Ability|AUTOMATIC|Resistance To Sonic									SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:DestrachanRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A destrachan has a +10 racial bonus on Listen checks.	KEY:Destrachan ~ Skills									BONUS:SKILL|Listen|10|TYPE=Racial																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Devil (Barbed)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DevilBarbedRaceTrait|Telepathy						DEFINE:TelepathyRange|0					BONUS:VAR|TelepathyRange|100																																			
Natural Weapons	CATEGORY:Special Ability	TYPE:DevilBarbedRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A barbed devil's natural weapons, as well as any weapons it wields, are treated as evil-aligned and lawful-aligned for the purpose of overcoming damage reduction.	KEY:Devil ~ Barbed ~ Natural Weapons																											SOURCEPAGE:MM																	
Fear	CATEGORY:Special Ability	TYPE:DevilBarbedRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A creature hit by a barbed devil must succeed on a DC %1 Will save or be affected as though by Fear (caster level 9th). Whether or not the save is successful, that creature cannot be affected by that same barbed devil's fear ability for 24 hours. The save DC is Charisma-based.|FearDC	KEY:Devil ~ Barbed ~ Fear				DEFINE:FearDC|0					BONUS:VAR|FearDC|DefaultDCCha	BONUS:VAR|FearDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Fear)								ABILITY:Ability Focus|AUTOMATIC|Fear									SOURCEPAGE:MM																	
Impale	CATEGORY:Special Ability	TYPE:DevilBarbedRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:barbed devil deals 3d8+9 points of piercing damage to a grabbed opponent with a successful grapple check.	KEY:Devil ~ Barbed ~ Impale																											SOURCEPAGE:MM																	
Improved Grab	CATEGORY:Special Ability	TYPE:DevilBarbedRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, a barbed devil must hit with a claw attack. It can then attempt to start a grapple as a free action without provoking an attack of opportunity. If it wins the grapple check, it establishes a hold and can impale the opponent on its barbed body.	KEY:Devil ~ Barbed ~ Improved Grab																											SOURCEPAGE:MM																	
Summon Baatezu	CATEGORY:Special Ability	TYPE:DevilBarbedRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day a barbed devil can attempt to summon 1d6 bearded devils or another barbed devil with a 35%% chance of success. This ability is the equivalent of a 4th-level spell.	KEY:Devil ~ Barbed ~ Summon Baatezu																											SOURCEPAGE:MM																	
Barbed Defense	CATEGORY:Special Ability	TYPE:DevilBarbedRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Any creature striking a barbed devil with handheld weapons or natural weapons takes 1d8+6 points of piercing and slashing damage from the devil's barbs. Note that weapons with exceptional reach, such as longspears, do not endanger their users in this way.	KEY:Devil ~ Barbed ~ Barbed Defense																											SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DevilBarbedRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Devil ~ Barbed ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Teleport (Greater/Self Only)|Hold Person,12+CHA|Major Image,13+CHA|Scorching Ray (2 rays only)	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Order's Wrath,14+CHA|Unholy Blight,14+CHA								SOURCEPAGE:MM																	
																																																	
Race Traits ~ Devil (Bearded)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DevilBeardedRaceTrait|Telepathy						DEFINE:TelepathyRange|0					BONUS:VAR|TelepathyRange|100																																			
Natural Weapons	CATEGORY:Special Ability	TYPE:DevilBeardedRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A bearded devil's natural weapons, as well as any weapons it wields, are treated as evilaligned and lawful aligned for the purpose of overcoming damage reduction.	KEY:Devil ~ Bearded ~ Natural Weapons																											SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DevilBeardedRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Devil ~ Bearded ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Teleport (Greater/Self Only)									SOURCEPAGE:MM																	
Infernal Wound	CATEGORY:Special Ability	TYPE:DevilBeardedRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The damage a bearded devil deals with its glaive causes a persistent wound. An injured creature loses 2 additional hit points each round. The wound does not heal naturally and resists healing spells. The continuing hit point loss can be stopped by a DC %1 Heal check, a Cure spell, or a Heal spell. However, a character attempting to cast a Cure spell or a Heal spell on a creature damaged by a bearded devil's glaive must succeed on a DC %1 caster level check, or the spell has no effect on the injured character. A successful Heal check automatically stops the continuing hit point loss as well as restoring hit points. The infernal wound is a supernatural ability of the bearded devil, not of the weapon. The check DC is Constitution-based.|InfernalWoundDC	KEY:Devil ~ Bearded ~ Infernal Wound				DEFINE:InfernalWoundDC|0					BONUS:VAR|InfernalWoundDC|DefaultDCCon	BONUS:VAR|InfernalWoundDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Infernal Wound)								ABILITY:Ability Focus|AUTOMATIC|Infernal Wound									SOURCEPAGE:MM																	
Beard	CATEGORY:Special Ability	TYPE:DevilBeardedRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If a bearded devil hits a single opponent with both claw attacks, it automatically hits with its beard. The affected creature takes 1d8+2 points of damage and must succeed on a DC %1 Fortitude save or be infected with a vile disease known as devil chills (incubation period 1d4 days, damage 1d4 Str). Damage is dealt each day until the afflicted creature succeeds on three consecutive Fortitude saves, the disease is cured magically, or the creature dies. The save DC is Constitution-based.|BeardDC	KEY:Devil ~ Bearded ~ Beard				DEFINE:BeardDC|0					BONUS:VAR|BeardDC|DefaultDCCon	BONUS:VAR|BeardDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Beard)								ABILITY:Ability Focus|AUTOMATIC|Beard									SOURCEPAGE:MM																	
Battle Frenzy	CATEGORY:Special Ability	TYPE:DevilBeardedRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Twice per day, a bearded devil can work itself into a battle frenzy similar to the barbarian's rage (+4 Strength, +4 Constitution, +2 morale bonus on Will saves, -2 AC penalty). The frenzy lasts for 6 rounds, and the bearded devil suffers no ill effects afterward.	KEY:Devil ~ Bearded ~ Battle Frenzy									BONUS:VAR|FrenzyTimes|2	BONUS:VAR|FrenzyBonus|4								ABILITY:Special Ability|AUTOMATIC|Frenzy									SOURCEPAGE:MM																	
Summon Baatezu	CATEGORY:Special Ability	TYPE:DevilBeardedRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day a bearded devil can attempt to summon 2d10 lemures with a 50%% chance of success, or another bearded devil with a 35%% chance of success. This ability is the equivalent of a 3rd-level spell.	KEY:Devil ~ Bearded ~ Suummon Baatezu																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Devil (Bone)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DevilBoneRaceTrait|Telepathy						DEFINE:TelepathyRange|0					BONUS:VAR|TelepathyRange|100																																			
Natural Weapons	CATEGORY:Special Ability	TYPE:DevilBoneRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A bone devil's natural weapons, as well as any weapons it wields, are treated as evil-aligned and lawfulaligned for the purpose of overcoming damage reduction.	KEY:Devil ~ Bone ~ Natural Weapons																											SOURCEPAGE:MM																	
Fear Aura	CATEGORY:Special Ability	TYPE:DevilBoneRaceTrait.SpecialAttack.Supernatural.Aura	VISIBLE:YES	DESC:Bone devils can radiate a %1-foot-radius fear aura as a free action. Affected creatures must succeed on a DC %2 Will save or be affected as though by a Fear spell (caster level 7th). A creature that successfully saves cannot be affected again by the same bone devil's aura for 24 hours. Other baatezu are immune to the aura. The save DC is Charismabased.|FearAuraRadius|FearAuraDC	KEY:Devil ~ Bone ~ Fear Aura				DEFINE:FearAuraDC|0	DEFINE:FearAuraRadius|0				BONUS:VAR|FearAuraDC|DefaultDCCha	BONUS:VAR|FearAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Fear Aura)	BONUS:VAR|FearAuraRadius|5							ABILITY:Ability Focus|AUTOMATIC|Fear Aura									SOURCEPAGE:MM																	
Poison	CATEGORY:Special Ability	TYPE:DevilBoneRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d6 STR, secondary damage 2d6 STR.|PoisonDC	KEY:Devil ~ Bone ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DevilBoneRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Devil ~ Bone ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Teleport (Greater/Self Only)|Dimensional Anchor|Fly|Invisibility (Self Only)|Major Image,13+CHA|Wall of Ice									SOURCEPAGE:MM																	
Summon Baatezu	CATEGORY:Special Ability	TYPE:DevilBoneRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day a bone devil can attempt to summon 2d10 lemures with a 50%% chance of success, or another bone devil with a 35%% chance of success. This ability is the equivalent of a 4th-level spell.	KEY:Devil ~ Bone ~ Summon Baatezu																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Devil (Chain)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DevilChainRaceTrait|Immunity To Cold	AUTO:LANG|Infernal|Common																			AUTO:WEAPONPROF|Chain																										
Natural Weapons	CATEGORY:Special Ability	TYPE:DevilChainRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A chain devil's natural weapons, as well as any weapons it wields, are treated as evil-aligned and lawfulaligned for the purpose of overcoming damage reduction.	KEY:Devil ~ Chain ~ Natural Weapons																											SOURCEPAGE:MM																	
Dancing Chain	CATEGORY:Special Ability	TYPE:DevilChainRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:chain devil's most awesome attack is its ability to control up to four chains within 20 feet as a standard action, making the chains dance or move as it wishes. In addition, a chain devil can increase these chains' length by up to 15 feet and cause them to sprout razor-edged barbs. These chains attack as effectively as the devil itself. If a chain is in another creature's possession, the creature can attempt a DC %1 Will save to break the chain devil's power over that chain. If the save is successful, the kyton cannot attempt to control that particular chain again for 24 hours or until the chain leaves the creature's possession. The save DC is Charisma-based. A chain devil can climb chains it controls at its normal speed without making Climb checks.|DancingChainDC	KEY:Devil ~ Chain ~ Dancing Chain				DEFINE:DancingChainDC|0					BONUS:VAR|DancingChainDC|DefaultDCCha	BONUS:VAR|DancingChainDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Dancing Chain)								ABILITY:Ability Focus|AUTOMATIC|Dancing Chain									SOURCEPAGE:MM																	
Unnerving Gaze	CATEGORY:Special Ability	TYPE:DevilChainRaceTrait.SpecialAttack.Supernatural.Gaze	VISIBLE:YES	DESC:Range 30 ft., Will DC %1 negates. A chain devil can make its face resemble one of an opponent's departed loved ones or bitter enemies. Those who fail their saves take a -2 penalty on attack rolls for 1d3 rounds. The save DC is Charisma-based.|UnnervingGazeDC	KEY:Devil ~ Chain ~ Unnerving Gaze				DEFINE:UnnervingGazeDC|0					BONUS:VAR|UnnervingGazeDC|DefaultDCCha	BONUS:VAR|UnnervingGazeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Unnerving Gaze)								ABILITY:Ability Focus|AUTOMATIC|Unnerving Gaze									SOURCEPAGE:MM																	
Regeneration	CATEGORY:Special Ability	TYPE:DevilChainRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Chain devils take normal damage from silvered weapons, good-aligned weapons, and spells or effects with the good descriptor. A chain devil that loses a piece of its body regrows it in 2d6×10 minutes. Holding the severed member against the stump enables it to reattach instantly.	KEY:Devil ~ Chain ~ Regeneration	ASPECT:NAME|Regeneration %1|RegenerationRate			DEFINE:RegenerationRate|0					BONUS:VAR|RegenerationRate|2																		SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:DevilChainRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Chain devils have a +8 racial bonus on Craft checks involving metalwork.	KEY:Devil ~ Chain ~ Skills																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Devil (Erinyes)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DevilErinyesRaceTrait|Flight Maneuverability|Telepathy		ABILITY:FEAT|AUTOMATIC|Dodge|Mobility									BONUS:VAR|Maneuverability|4|TYPE=Racial	BONUS:VAR|TelepathyRange|100								AUTO:WEAPONPROF|Longsword|Longbow																										
Natural Weapons	CATEGORY:Special Ability	TYPE:DevilErinyesRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An erinyes's natural weapons, as well as any weapons it wields, are treated as evil-aligned and lawful-aligned for the purpose of overcoming damage reduction.	KEY:Devil ~ Erinyes ~ Natural Weapons																											SOURCEPAGE:MM																	
Entangle	CATEGORY:Special Ability	TYPE:DevilErinyesRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Each Erinyes carries a stout rope some 50 feet long that entangles opponents of any size as an Animate Rope spell (casterlevel 16th). An Erinyes can hurl its rope 30 feet with no range penalty. Typically, an Erinyes entangles a foe, lift it into the air and drops it from a great heigth.	KEY:Devil ~ Erinyes ~ Entangle																											SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DevilErinyesRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Devil ~ Erinyes ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Teleport (Greater/Self Only)|Charm Monster,14+CHA|Minor Image,14+CHA|Unholy Blight,14+CHA									SOURCEPAGE:MM																	
Summon Baatezu	CATEGORY:Special Ability	TYPE:DevilErinyesRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Once per day an erinyes can attempt to summon 2d10 lemures or 1d4 bearded devils with a 50%% chance of success. This ability is the equivalent of a 3rd-level spell.	KEY:Devil ~ Erinyes ~ Summon Baatezu																											SOURCEPAGE:MM																	
True Seeing	CATEGORY:Special Ability	TYPE:DevilErinyesRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Erinyes continuously use true seeing, as the spell (caster level 14th).	KEY:Devil ~ Erinyes ~ True Seeing									BONUS:VAR|HasTrueSeeingVision|1|TYPE=Base																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Devil (Hellcat)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DevilHellcatRaceTrait|Telepathy|Resistance To Fire|Scent											BONUS:VAR|TelepathyRange|100	BONUS:VAR|FireResistanceBonus|10|TYPE=Resistance																																		
Natural Weapons	CATEGORY:Special Ability	TYPE:DevilHellcatRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A hellcat's natural weapons, as well as any weapons it wields, are treated as evil-aligned and lawful-aligned for the purpose of overcoming damage reduction.	KEY:Devil ~ Hellcat ~ Natural Weapons																											SOURCEPAGE:MM																	
Improved Grab	CATEGORY:Special Ability	TYPE:DevilHellcatRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, a hellcat must hit with its bite attack. It can then attempt to start a grapple as a free action without provoking an attack of opportunity. If it wins the grapple check, it establishes a hold and can rake.	KEY:Devil ~ Hellcat ~ Improved Grab																											SOURCEPAGE:MM																	
Pounce	CATEGORY:Special Ability	TYPE:DevilHellcatRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If a hellcat charges, it can make a full attack, including two rake attacks.	KEY:Devil ~ Hellcat ~ Pounce																											SOURCEPAGE:MM																	
Rake	CATEGORY:Special Ability	TYPE:DevilHellcatRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Attack bonus +13 melee, damage 1d8+3.	KEY:Devil ~ Hellcat ~ Rake																											SOURCEPAGE:MM																	
Invisible in Light	CATEGORY:Special Ability	TYPE:DevilHellcatRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A hellcat is invisible in any area lit well enough for a human to see. In a darkened area, it shows up as a faintly glowing outline visible up to 30 feet away (60 feet if the viewer has low-light vision). Magical darkness smothers the glow and conceals the outline.	KEY:Devil ~ Hellcat ~ Invisible in Light																											SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:DevilHellcatRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Hellcats have a +4 racial bonus on Listen and Move Silently checks.	KEY:Devil ~ Hellcat ~ Skills									BONUS:SKILL|Listen,Move Silently|4|TYPE=Racial																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Devil (Horned)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DevilHornedRaceTrait|Telepathy											BONUS:VAR|TelepathyRange|100																																			
Natural Weapons	CATEGORY:Special Ability	TYPE:DevilHornedRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A horned devil's natural weapons, as well as any weapons it wields, are treated as evil-aligned and lawful-aligned for the purpose of overcoming damage reduction.	KEY:Devil ~ Horned ~ Natural Weapons																											SOURCEPAGE:MM																	
