SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																																														
																																																																	
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	MOVE:	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								MONCSKILL:	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS:	RACETYPE:	RACESUBTYPE:	TYPE:	Template			Hit Dice	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	CR:	SOURCEPAGE:	Innate Spells	
Devil (Bearded)	OUTPUTNAME:Devil, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-4					MONCSKILL:Climb|Diplomacy|Hide|Listen|Move Silently|Sense Motive|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Devil (Bearded)						SR:17	DR:10/Silver or Good		MONSTERCLASS:Outsider:6	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Evil|Extraplanar|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:9,18	LEVELADJUSTMENT:6	CR:5	SOURCEPAGE:MM		
Devil (Bone)	OUTPUTNAME:Devil, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|11|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|10	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Hide|Intimidate|TYPE=Knowledge|Listen|Move Silently|Search|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Sting,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,3d4,SPROP=Poison		ABILITY:Internal|AUTOMATIC|Race Traits ~ Devil (Bone)						SR:21	DR:10/Good		MONSTERCLASS:Outsider:10	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Evil|Extraplanar|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:20,30		CR:9	SOURCEPAGE:MM		
Devil (Chain)	OUTPUTNAME:Devil, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-4		BONUS:STAT|CHA|2			MONCSKILL:Climb|Craft (Blacksmithing)|Escape Artist|Intimidate|Listen|Spot|Use Rope									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Devil (Chain)						SR:18	DR:5/Silver or Good		MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Evil|Extraplanar|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:16	LEVELADJUSTMENT:6	CR:6	SOURCEPAGE:MM		
Devil (Erinyes)	OUTPUTNAME:Devil, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,50	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|10	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|8	BONUS:STAT|CHA|10			MONCSKILL:Concentration|Diplomacy|Escape Artist|Hide|TYPE=Knowledge|Listen|Move Silently|Search|Sense Motive|Spot|Survival|Use Rope									LEGS:2	HANDS:2				NATURALATTACKS:Rope,Weapon.Natural.Ranged.Entangle,*1,1d0		ABILITY:Internal|AUTOMATIC|Race Traits ~ Devil (Erinyes)						SR:20	DR:5/Good		MONSTERCLASS:Outsider:9	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Evil|Extraplanar|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:18	LEVELADJUSTMENT:7	CR:8	SOURCEPAGE:MM		
Devil (Hellcat)	OUTPUTNAME:Devil, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|12	BONUS:STAT|DEX|10	BONUS:STAT|CON|6		BONUS:STAT|WIS|4				MONCSKILL:Balance|Climb|Hide|Jump|Listen|Move Silently|Spot|Swim									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Devil (Hellcat)						SR:19	DR:5/Good		MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Evil|Extraplanar|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:10,24		CR:7	SOURCEPAGE:MM		
Devil (Horned)	OUTPUTNAME:Devil, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,20,Fly,50	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|19|TYPE=NaturalArmor						BONUS:STAT|STR|20	BONUS:STAT|DEX|14	BONUS:STAT|CON|14	BONUS:STAT|INT|4	BONUS:STAT|WIS|8	BONUS:STAT|CHA|12			MONCSKILL:Bluff|Climb|Concentration|Diplomacy|Disguise|Hide|Intimidate|Listen|Move Silently|Search|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d8|Tail,Weapon.Natural.Melee.Bludgeoning,*1,2d6,SPROP=Infernal Wound		ABILITY:Internal|AUTOMATIC|Race Traits ~ Devil (Horned)						SR:28	DR:10/Good and Silver		MONSTERCLASS:Outsider:15	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Evil|Extraplanar|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:20,45		CR:16	SOURCEPAGE:MM		
Devil (Ice)	OUTPUTNAME:Devil, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,20,Fly,50	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|19|TYPE=NaturalArmor						BONUS:STAT|STR|20	BONUS:STAT|DEX|14	BONUS:STAT|CON|14	BONUS:STAT|INT|4	BONUS:STAT|WIS|8	BONUS:STAT|CHA|12			MONCSKILL:Bluff|Climb|Concentration|Diplomacy|Disguise|Hide|Intimidate|Listen|Move Silently|Search|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d8|Tail,Weapon.Natural.Melee.Bludgeoning,*1,2d6,SPROP=Infernal Wound		ABILITY:Internal|AUTOMATIC|Race Traits ~ Devil (Ice)						SR:25	DR:10/Good		MONSTERCLASS:Outsider:14	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Evil|Extraplanar|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:28,42		CR:13	SOURCEPAGE:MM		
Devil (Imp)	OUTPUTNAME:Devil, [NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,20,Fly,50	FACE:2.5	REACH:0	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|5|TYPE=NaturalArmor							BONUS:STAT|DEX|6			BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Diplomacy|Hide|TYPE=Knowledge|Listen|Move Silently|Search|Spellcraft|Spot|Survival									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Sting|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Sting,Weapon.Natural.Melee.Piercing,*1,1d4,SPROP=Poison		ABILITY:Internal|AUTOMATIC|Race Traits ~ Devil (Imp)							DR:5/Good or Silver		MONSTERCLASS:Outsider:3	RACETYPE:Outsider	RACESUBTYPE:Evil|Extraplanar|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:6		CR:2	SOURCEPAGE:MM		
Devil (Lemure)	OUTPUTNAME:Devil, [NAME]			SIZE:M	MOVE:Walk,20	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|4|TYPE=NaturalArmor											BONUS:STAT|CHA|-6												LEGS:0	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Devil (Lemure)							DR:5/Good or Silver		MONSTERCLASS:Outsider (Mindless):2	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Evil|Extraplanar|Lawful	TYPE:Outsider	TEMPLATE:Mindless				HITDICEADVANCEMENT:6		CR:1	SOURCEPAGE:MM		
Devil (Pit Fiend)	OUTPUTNAME:Devil, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,60	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|23|TYPE=NaturalArmor						BONUS:STAT|STR|26	BONUS:STAT|DEX|16	BONUS:STAT|CON|16	BONUS:STAT|INT|16	BONUS:STAT|WIS|16	BONUS:STAT|CHA|16			MONCSKILL:Balance|Bluff|Climb|Concentration|Diplomacy|Disguise|Hide|Intimidate|Jump|Knowledge (Arcana)|Knowledge (Nature)|Knowledge (The Planes)|Knowledge (Religion)|Listen|Move Silently|Search|Spellcraft|Spot|Survival|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Wing,Weapon.Natural.Melee.Bludgeoning.Slashing,*2,2d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,4d6,SPROP=Poison|Tail Slap,Weapon.Natural.Melee.Bludgeoning,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Devil (Pit Fiend)						SR:32	DR:15/Good and Silver		MONSTERCLASS:Outsider:18	RACETYPE:Outsider	RACESUBTYPE:Baatezu|Evil|Extraplanar|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:36,54		CR:20	SOURCEPAGE:MM		
Devourer			STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|NE			BONUS:COMBAT|AC|15|TYPE=NaturalArmor						BONUS:STAT|STR|18			BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Climb|Concentration|Jump|Listen|Move Silently|Search|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Devourer						SR:21			MONSTERCLASS:Undead:12	RACETYPE:Undead	RACESUBTYPE:Extraplanar	TYPE:Undead					HITDICEADVANCEMENT:24,36		CR:11	SOURCEPAGE:MM		
Digester			STARTFEATS:1	SIZE:M	MOVE:Walk,60	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Hide|Listen|Jump|Spot									LEGS:2	HANDS:0	BONUS:WEAPONPROF=Claw|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Digester									MONSTERCLASS:Magical Beast:8	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:12,24		CR:6	SOURCEPAGE:MM		
Dinosaur (Deinonychus)	OUTPUTNAME:Dinosaur, [NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,60	FACE:10	REACH:5		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Hide|Jump|Listen|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Talon,Weapon.Natural.Melee.Piercing.Slashing,*1,2d6|Foreclaw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d3|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dinosaur (Deinonychus)									MONSTERCLASS:Animal:4	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:8		CR:3	SOURCEPAGE:MM		
Dinosaur (Elasmosaurus)	OUTPUTNAME:Dinosaur, [NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,20,Swim,50	FACE:15	REACH:10		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|16	BONUS:STAT|DEX|4	BONUS:STAT|CON|12	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Hide|Listen|Spot|Swim									LEGS:0	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dinosaur (Elasmosaurus)									MONSTERCLASS:Animal:10	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:20,30		CR:7	SOURCEPAGE:MM		
Dinosaur (Megaraptor)	OUTPUTNAME:Dinosaur, [NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,60	FACE:15	REACH:10		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Hide|Jump|Listen|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Talon,Weapon.Natural.Melee.Piercing.Slashing,*1,2d8|Foreclaw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dinosaur (Megaraptor)									MONSTERCLASS:Animal:8	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:16,24		CR:6	SOURCEPAGE:MM		
Dinosaur (Triceratops)	OUTPUTNAME:Dinosaur, [NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,30	FACE:15	REACH:10		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|11|TYPE=NaturalArmor						BONUS:STAT|STR|20	BONUS:STAT|DEX|-2	BONUS:STAT|CON|14	BONUS:STAT|INT|-10	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Gore|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Gore,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dinosaur (Triceratops)									MONSTERCLASS:Animal:16	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:32,48		CR:8	SOURCEPAGE:MM		
Dinosaur (Tyrannosaurus)	OUTPUTNAME:Dinosaur, [NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40	FACE:15	REACH:10		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|18	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Hide|Listen|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,3d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dinosaur (Tyrannosaurus)									MONSTERCLASS:Animal:18	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:36,54		CR:8	SOURCEPAGE:MM		
Dire Animal (Dire Ape)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Climb,15	FACE:10	REACH:10		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|12	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Climb|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Animal (Dire Ape)									MONSTERCLASS:Animal (Dire):5	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:15		CR:3	SOURCEPAGE:MM		
Dire Animal (Dire Badger)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Burrow,10	FACE:5	REACH:5		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|6	BONUS:STAT|CON|8	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Animal (Dire Badger)									MONSTERCLASS:Animal (Dire):3	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:3,9		CR:2	SOURCEPAGE:MM		
Dire Animal (Dire Bat)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,40	FACE:10	REACH:5			KIT:1|TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|6	BONUS:STAT|DEX|12	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Gore|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Animal (Dire Bat)									MONSTERCLASS:Animal (Dire):4	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:12		CR:2	SOURCEPAGE:MM		
Dire Animal (Dire Bear)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5			KIT:1|TN			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|20	BONUS:STAT|DEX|2	BONUS:STAT|CON|8	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Listen|Spot|Swim									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d4|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Animal (Dire Bear)									MONSTERCLASS:Animal (Dire):12	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:16,36		CR:7	SOURCEPAGE:MM		
Dire Animal (Dire Boar)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|16		BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Gore,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Animal (Dire Boar)									MONSTERCLASS:Animal (Dire):7	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:16,21		CR:4	SOURCEPAGE:MM		
Dire Animal (Dire Lion)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|14	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Animal (Dire Lion)									MONSTERCLASS:Animal (Dire):8	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:16,24		CR:5	SOURCEPAGE:MM		
Dire Animal (Dire Rat)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:S	MOVE:Walk,40,Climb,20	FACE:5	REACH:5		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|1|TYPE=NaturalArmor							BONUS:STAT|DEX|6	BONUS:STAT|CON|2	BONUS:STAT|INT|-10	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-6			MONCSKILL:Climb|Hide|Listen|Move Silently|Spot|Swim									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d4,SPROP=Disease		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Animal (Dire Rat)									MONSTERCLASS:Animal (Dire):1	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:3,6		CR:1/3	SOURCEPAGE:MM		
Dire Animal (Dire Shark)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Swim,60	FACE:15	REACH:10			KIT:1|TN			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|12	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-10	BONUS:STAT|WIS|2				MONCSKILL:Listen|Spot|Swim									LEGS:0	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Animal (Dire Shark)									MONSTERCLASS:Animal (Dire):18	RACETYPE:Animal	RACESUBTYPE:Aquatic|Dire	TYPE:Animal					HITDICEADVANCEMENT:32,54		CR:9	SOURCEPAGE:MM		
Dire Animal (Dire Tiger)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|16	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Hide|Jump|Listen|Move Silently|Spot|Swim									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d4|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Animal (Dire Tiger)									MONSTERCLASS:Animal (Dire):16	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:32,48		CR:8	SOURCEPAGE:MM		
Dire Animal (Dire Weasel)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|2|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|8		BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Animal (Dire Weasel)									MONSTERCLASS:Animal (Dire):3	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:6,9		CR:2	SOURCEPAGE:MM		
