SOURCELONG:Gozzilioni Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-09																																																																	
																																																																				
#MM2 aggiornato alla 3.5																																																																				
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells	SORTKEY:			
Dire Animal (Dire Toad)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5		BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor							BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Hide|Jump|Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4	NATURALATTACKS:Tongue,Weapon.Natural.Finesseable.Ranged.Slashing,*1,0	ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Toad									MONSTERCLASS:Animal (Will):4	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:6,10		CR:3	SOURCEPAGE:MM2					
Dire Animal (Dire Hawk)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,10,Fly,80	FACE:5	REACH:5		BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|2	BONUS:STAT|DEX|12	BONUS:STAT|CON|4	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4				MONCSKILL:Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Hawk									MONSTERCLASS:Animal (Will):5	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:8,12		CR:2	SOURCEPAGE:MM2					
Dire Animal (Dire Snake)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,30,Climb,20,Swim,20	FACE:15	REACH:10		BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|14	BONUS:STAT|DEX|10	BONUS:STAT|CON|6	BONUS:STAT|INT|-10	BONUS:STAT|WIS|2				MONCSKILL:Balance|Climb|Hide|Listen|Spot									LEGS:0	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Snake									MONSTERCLASS:Animal (Will):7	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:12,16		CR:5	SOURCEPAGE:MM2					
Amethyst Dragon	KEY:Dragon (Amethyst)		STARTFEATS:1		MOVE:Walk,40					KIT:1|TN																	MONCSKILL:Bluff|Concentration|Diplomacy|Escape Artist|Hide|Intimidate|Listen|Move Silently|Search|Sense Motive|Spot|Use Magic Device|TYPE=Knowledge									LEGS:4	HANDS:0						ABILITY:Internal|AUTOMATIC|Race Traits ~ Amethyst Dragon	ABILITY:Internal|AUTOMATIC|Race Size ~ Long								MONSTERCLASS:Dragon:6	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Psionic|Psion Caster Support						CR:3	SOURCEPAGE:MM2		SORTKEY:Dragon_Gem	ADD:SPELLCASTER|Psion	BONUS:PCLEVEL|Psion|-1|PREVARLTEQ:DragonAgeCategory,3	BONUS:PCLEVEL|Psion|2+((DragonAgeCategory-5)*2)|PREVARGTEQ:DragonAgeCategory,4
Crystal Dragon	KEY:Dragon (Crystal)		STARTFEATS:1		MOVE:Walk,40					KIT:1|CN																	MONCSKILL:Concentration|Diplomacy|Escape Artist|Gather Information|Intimidate|Jump|Listen|Search|Sense Motive|Spot|Swim|Use Magic Device|TYPE=Knowledge									LEGS:4	HANDS:0						ABILITY:Internal|AUTOMATIC|Race Traits ~ Crystal Dragon	ABILITY:Internal|AUTOMATIC|Race Size ~ Long								MONSTERCLASS:Dragon:5	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon	TEMPLATE:Psionic|Psion Caster Support						CR:2	SOURCEPAGE:MM2		SORTKEY:Dragon_Gem	ADD:SPELLCASTER|Psion	BONUS:PCLEVEL|Psion|-1|PREVARLTEQ:DragonAgeCategory,5	BONUS:PCLEVEL|Psion|2+((DragonAgeCategory-5)*2)|PREVARGTEQ:DragonAgeCategory,6
Emerald Dragon	KEY:Dragon (Emerald)		STARTFEATS:1		MOVE:Walk,40					KIT:1|LN																	MONCSKILL:Concentration|Diplomacy|Escape Artist|Gather Information|Hide|Intimidate|Listen|Search|Sense Motive|Spot|Swim|Use Magic Device|TYPE=Knowledge									LEGS:4	HANDS:0						ABILITY:Internal|AUTOMATIC|Race Traits ~ Emerald Dragon	ABILITY:Internal|AUTOMATIC|Race Size ~ Long								MONSTERCLASS:Dragon:6	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon	TEMPLATE:Psionic|Psion Caster Support						CR:2	SOURCEPAGE:MM2		SORTKEY:Dragon_Gem	ADD:SPELLCASTER|Psion	BONUS:PCLEVEL|Psion|-1|PREVARLTEQ:DragonAgeCategory,2	BONUS:PCLEVEL|Psion|2+((DragonAgeCategory-4)*2)|PREVARGTEQ:DragonAgeCategory,3
Sapphire Dragon	KEY:Dragon (Sapphire)		STARTFEATS:1		MOVE:Walk,40					KIT:1|LN																	MONCSKILL:Climb|Concentration|Diplomacy|Escape Artist|Intimidate|Jump|Listen|Move Silently|Search|Sense Motive|Spot|Use Magic Device|TYPE=Knowledge									LEGS:4	HANDS:0						ABILITY:Internal|AUTOMATIC|Race Traits ~ Sapphire Dragon	ABILITY:Internal|AUTOMATIC|Race Size ~ Long								MONSTERCLASS:Dragon:5	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon	TEMPLATE:Psionic|Psion Caster Support						CR:2	SOURCEPAGE:MM2		SORTKEY:Dragon_Gem	ADD:SPELLCASTER|Psion	BONUS:PCLEVEL|Psion|-1|PREVARLTEQ:DragonAgeCategory,2	BONUS:PCLEVEL|Psion|2+((DragonAgeCategory-4)*2)|PREVARGTEQ:DragonAgeCategory,3
Topaz Dragon	KEY:Dragon (Topaz)		STARTFEATS:1		MOVE:Walk,40					KIT:1|CN																	MONCSKILL:Concentration|Diplomacy|Escape Artist|Hide|Intimidate|Listen|Search|Sense Motive|Spot|Survival|Swim|Use Magic Device|TYPE=Knowledge									LEGS:4	HANDS:0						ABILITY:Internal|AUTOMATIC|Race Traits ~ Sapphire Dragon	ABILITY:Internal|AUTOMATIC|Race Size ~ Long								MONSTERCLASS:Dragon:7	RACETYPE:Dragon	RACESUBTYPE:Water	TYPE:Dragon	TEMPLATE:Psionic|Psion Caster Support						CR:3	SOURCEPAGE:MM2		SORTKEY:Dragon_Gem	ADD:SPELLCASTER|Psion	BONUS:PCLEVEL|Psion|-1|PREVARLTEQ:DragonAgeCategory,3	BONUS:PCLEVEL|Psion|2+((DragonAgeCategory-3)*2)|PREVARGTEQ:DragonAgeCategory,4
Dread Guard			STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5			KIT:1|TN									BONUS:STAT|STR|6			BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8			MONCSKILL:Spot									LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Dread Guard									MONSTERCLASS:Construct:5	RACETYPE:Construct		TYPE:Construct					HITDICEADVANCEMENT:10,15		CR:3	SOURCEPAGE:MM2					
Dune Stalker			STARTFEATS:1	SIZE:M	MOVE:Walk,40,Climb,20	FACE:5	REACH:5			KIT:1|NE			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|6		BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|4				MONCSKILL:Balance|Climb|Hide|Intimidate|Jump|Knowledge (Nature)|Listen|Move Silently|Search|Spot|Survival|Tumble									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dune Stalker						SR:20	DR:10/Magic		MONSTERCLASS:Outsider:6	RACETYPE:Outsider	RACESUBTYPE:Earth	TYPE:Outsider					HITDICEADVANCEMENT:12,18	LEVELADJUSTMENT:5	CR:9	SOURCEPAGE:MM2					
Effigy			STARTFEATS:1	SIZE:M	MOVE:Fly,60	FACE:5	REACH:5			KIT:1|CE			BONUS:COMBAT|AC|5|TYPE=NaturalArmor							BONUS:STAT|DEX|4		BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Balance|Escape Artist|Hide|Intimidate|Jump|Listen|Search|Spot|Tumble									LEGS:2	HANDS:2				NATURALATTACKS:Incorporeal Touch,Weapon.Natural.Finesseable.Melee.Finesseable.Piercing,*2,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Effigy						SR:28			MONSTERCLASS:Undead:27	RACETYPE:Undead	RACESUBTYPE:Incorporeal|Fire	TYPE:Undead					HITDICEADVANCEMENT:54		CR:17	SOURCEPAGE:MM2					
Air Weird	KEY:Elemental Weird (Air Weird)		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,60	FACE:10	REACH:10	BONUS:VAR|BreathsenseRange|60|TYPE=Base					BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|Intimidate|Listen|Sense Motive|Spot|TYPE=Knowledge									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Air Weird						SR:25	DR:10/-		MONSTERCLASS:Air Weird:15	RACETYPE:Elemental	RACESUBTYPE:Elemental Weird|Air	TYPE:Elemental					HITDICEADVANCEMENT:30,45		CR:12	SOURCEPAGE:MM2		SORTKEY:Elemental_Weird			
Earth Weird	KEY:Elemental Weird (Earth Weird)		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Burrow,30	FACE:10	REACH:10	BONUS:VAR|TremorsenseRange|60|TYPE=Base					BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|Intimidate|Listen|Sense Motive|Spot|TYPE=Knowledge									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Earth Weird						SR:25	DR:10/-		MONSTERCLASS:Earth Weird:15	RACETYPE:Elemental	RACESUBTYPE:Elemental Weird|Earth	TYPE:Elemental					HITDICEADVANCEMENT:30,45		CR:12	SOURCEPAGE:MM2		SORTKEY:Elemental_Weird			
Fire Weird	KEY:Elemental Weird (Fire Weird)		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,60	FACE:10	REACH:10						BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|Intimidate|Listen|Sense Motive|Spot|TYPE=Knowledge									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6,SPROP=Burn		ABILITY:Internal|AUTOMATIC|Race Traits ~ Fire Weird						SR:25	DR:10/-		MONSTERCLASS:Fire Weird:15	RACETYPE:Elemental	RACESUBTYPE:Elemental Weird|Fire	TYPE:Elemental					HITDICEADVANCEMENT:30,45		CR:12	SOURCEPAGE:MM2		SORTKEY:Elemental_Weird			
Water Weird	KEY:Elemental Weird (Water Weird)		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Swim,30	FACE:10	REACH:10						BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|12	BONUS:STAT|CHA|12			MONCSKILL:Concentration|Diplomacy|Intimidate|Listen|Sense Motive|Spot|TYPE=Knowledge									LEGS:0	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Water Weird						SR:25	DR:10/-		MONSTERCLASS:Water Weird:15	RACETYPE:Elemental	RACESUBTYPE:Elemental Weird|Water	TYPE:Elemental					HITDICEADVANCEMENT:30,45		CR:12	SOURCEPAGE:MM2		SORTKEY:Elemental_Weird			
Ether Scarab			STARTFEATS:1	SIZE:T	MOVE:Walk,10	FACE:2.5	REACH:0			KIT:1|TN									BONUS:STAT|STR|-2	BONUS:STAT|DEX|4		BONUS:STAT|INT|-8	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-6			MONCSKILL:Hide|Listen|Spot									LEGS:6	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d3		ABILITY:Internal|AUTOMATIC|Race Traits ~ Ether Scarab									MONSTERCLASS:Outsider:1	RACETYPE:Outsider		TYPE:Outsider					HITDICEADVANCEMENT:3		CR:1	SOURCEPAGE:MM2					
Doppelganger (Ethereal)	OUTPUTNAME:[NAME] Doppelganger		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base				LANGBONUS:Aquan,Auran,Ignan,Terran	BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|-2	BONUS:STAT|DEX|2		BONUS:STAT|INT|4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Bluff|Diplomacy|Disguise|Intimidate|Listen|Sense Motive|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Ethereal Doppelganger						SR:20	DR:10/Magic and Piercing		MONSTERCLASS:Monstrous Humanoid:20	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Shapechanger	TYPE:Monstrous Humanoid							CR:15	SOURCEPAGE:MM2		SORTKEY:Doppelganger			
Ethereal Slayer			STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:10			KIT:1|CE			BONUS:COMBAT|AC|10|TYPE=NaturalArmor						BONUS:STAT|STR|2	BONUS:STAT|DEX|8	BONUS:STAT|CON|4	BONUS:STAT|INT|-6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|-2			MONCSKILL:Hide|Jump|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d8|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Ethereal Slayer						SR:23	DR:10/Magic		MONSTERCLASS:Outsider:16	RACETYPE:Outsider		TYPE:Outsider					HITDICEADVANCEMENT:24,32,40,48		CR:12	SOURCEPAGE:MM2					
Famine Spirit			STARTFEATS:1	SIZE:M	MOVE:Walk,60	FACE:5	REACH:5		BONUS:VAR|HasSeeInvisibilityVision|1	KIT:1|NE			BONUS:COMBAT|AC|18|TYPE=NaturalArmor						BONUS:STAT|STR|6			BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Balance|Climb|Jump|Listen|Search|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8,SPROP=Vorpal|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Famine Spirit									MONSTERCLASS:Undead:32	RACETYPE:Undead		TYPE:Undead					HITDICEADVANCEMENT:64		CR:19	SOURCEPAGE:MM2					
Crested Felldrake	KEY:Felldrake (Crested)		STARTFEATS:1	SIZE:S	MOVE:Walk,40	FACE:5	REACH:5			KIT:1|NG			BONUS:COMBAT|AC|2|TYPE=NaturalArmor								BONUS:STAT|CON|4	BONUS:STAT|INT|-4	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Hide|Jump|Listen|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Crested Felldrake									MONSTERCLASS:Dragon:2	RACETYPE:Dragon	RACESUBTYPE:Felldrake	TYPE:Dragon					HITDICEADVANCEMENT:4,6	LEVELADJUSTMENT:2	CR:1	SOURCEPAGE:MM2		SORTKEY:Felldrake			
Spitting Felldrake	KEY:Felldrake (Spitting)		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			KIT:1|NG			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|-2		BONUS:STAT|CHA|-2			MONCSKILL:Hide|Jump|Listen|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Spitting Felldrake									MONSTERCLASS:Dragon:3	RACETYPE:Dragon	RACESUBTYPE:Felldrake	TYPE:Dragon					HITDICEADVANCEMENT:9	LEVELADJUSTMENT:2	CR:2	SOURCEPAGE:MM2					
Horned Felldrake	KEY:Felldrake (Horned)		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			KIT:1|NG			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|6		BONUS:STAT|CON|4	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Hide|Jump|Listen|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Horn|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Horn,Weapon.Natural.Finesseable.Melee.Piercing,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Horned Felldrake									MONSTERCLASS:Dragon:4	RACETYPE:Dragon	RACESUBTYPE:Felldrake	TYPE:Dragon					HITDICEADVANCEMENT:8,12	LEVELADJUSTMENT:2	CR:3	SOURCEPAGE:MM2					
Fiendwurm			STARTFEATS:1	SIZE:G	MOVE:Walk,60,Burrow,60	FACE:20	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|CE			BONUS:COMBAT|AC|20|TYPE=NaturalArmor						BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|18	BONUS:STAT|INT|-4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-2			MONCSKILL:Listen|Spot									LEGS:0	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Fiendwurm	BONUS:VAR|TremorsenseRange|120|TYPE=Base						DR:15/Magic		MONSTERCLASS:Magical Beast:24	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:24,72		CR:28	SOURCEPAGE:MM2					
Fihyr	KEY:Fihyr		STARTFEATS:1	SIZE:S	MOVE:Walk,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|CE			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|-4	BONUS:STAT|DEX|6		BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Move Silently|Spot									LEGS:0	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Fihyr						SR:10			MONSTERCLASS:Aberration:4	RACETYPE:Aberration	RACESUBTYPE:Fihyr	TYPE:Aberration					HITDICEADVANCEMENT:8,12		CR:3	SOURCEPAGE:MM2					
Great Fihyr	KEY:Fihyr (Great)		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Fly,50	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|CE			BONUS:COMBAT|AC|6|TYPE=NaturalArmor							BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Hide|Move Silently|Open Lock|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*4,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Great Fihyr						SR:18			MONSTERCLASS:Aberration:16	RACETYPE:Aberration	RACESUBTYPE:Fihyr	TYPE:Aberration					HITDICEADVANCEMENT:24,48		CR:15	SOURCEPAGE:MM2					
Giant (Firbolg)	OUTPUTNAME:[NAME] Giant	FAVCLASS:Druid	STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|12|TYPE=NaturalArmor						BONUS:STAT|STR|26	BONUS:STAT|DEX|2	BONUS:STAT|CON|12	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Knowledge (Nature)|Move Silently|Spot|Survival									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Thrown Rock|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Thrown Rock,Weapon.Natural.Ranged.Thrown.Bludgeoning,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Giant (Firbolg)									MONSTERCLASS:Giant:13	RACETYPE:Giant		TYPE:Giant						LEVELADJUSTMENT:5	CR:12	SOURCEPAGE:MM2					
Fire Bat			STARTFEATS:1	SIZE:S	MOVE:Walk,10,Fly,50	FACE:5	REACH:5	BONUS:VAR|BlindsenseRange|120|TYPE=Base		KIT:1|NE			BONUS:COMBAT|AC|2|TYPE=NaturalArmor						BONUS:STAT|STR|-2	BONUS:STAT|DEX|6	BONUS:STAT|CON|-2	BONUS:STAT|INT|-4	BONUS:STAT|WIS|-4	BONUS:STAT|CHA|-6			MONCSKILL:Hide|Listen|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Fire Bat									MONSTERCLASS:Elemental (Air/Fire):6	RACETYPE:Elemental	RACESUBTYPE:Fire	TYPE:Elemental					HITDICEADVANCEMENT:12,18		CR:3	SOURCEPAGE:MM2					
Flesh Jelly				SIZE:G	MOVE:Walk,20	FACE:20	REACH:15	BONUS:VAR|BlindsightRange|60|TYPE=Base		KIT:1|TN									BONUS:STAT|STR|22	BONUS:STAT|DEX|-4	BONUS:STAT|CON|12		BONUS:STAT|WIS|-10	BONUS:STAT|CHA|-10												LEGS:0	HANDS:0				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Flesh Jelly									MONSTERCLASS:Ooze:18	RACETYPE:Ooze		TYPE:Ooze	TEMPLATE:Mindless				HITDICEADVANCEMENT:18,36		CR:19	SOURCEPAGE:MM2					
Fomorian		FAVCLASS:Barbarian	STARTFEATS:1	SIZE:H	MOVE:Walk,40	FACE:15	REACH:15					LANGBONUS:TYPE=Spoken	BONUS:COMBAT|AC|9|TYPE=NaturalArmor						BONUS:STAT|STR|24	BONUS:STAT|DEX|2	BONUS:STAT|CON|12		BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Fomorian							DR:5/-		MONSTERCLASS:Giant:15	RACETYPE:Giant		TYPE:Giant						LEVELADJUSTMENT:4	CR:11	SOURCEPAGE:MM2					
Forest Sloth			STARTFEATS:1	SIZE:L	MOVE:Walk,40,Brachiation,40,Climb,60	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1	KIT:1|TN			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|14	BONUS:STAT|DEX|10	BONUS:STAT|CON|10	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Climb|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d4|Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Forest Sloth									MONSTERCLASS:Animal:14	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:21,42		CR:11	SOURCEPAGE:MM2					
