SOURCELONG:Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net									
#											
# Name	OUTPUTNAME:	TYPE:	COST:	WT:	SOURCEPAGE:	Requires Modification?		Special Property			
Dwarven Tunneler		TYPE:Goods.Transportation.Ships.UndergroundShip	COST:70000	WT:40000	SOURCEPAGE:AaEG	SPROP:5 man crew + 10 soldiers			SIZE:H		
Carriage (Large)	OUTPUTNAME:Carriage, Large	TYPE:Goods.Transportation.Container	COST:200	WT:100	SOURCEPAGE:AaEG		CONTAINS:400|Any		SIZE:L		
											
											
#Hirelings											
Hireling (Alchemist)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Alchemy)					
Hireling (Animal tender/groom)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Handle Animal					
Hireling (Animal Trainer)		TYPE:Service	COST:0.8		SOURCEPAGE:AaEG	SPROP:Expert/Handle Animal					
Hireling (Animal Trainer/Exotic)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert/Handle Animal					
Hireling (Apothecary)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert/Knowledge (Herbs), Craft (Alchemy)					
Hireling (Appraiser)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Appraise					
Hireling (Architect)		TYPE:Service	COST:0.5		SOURCEPAGE:AaEG	SPROP:Expert/Profession (Architect)					
Hireling (Armorer)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Armorsmithing)					
Hireling (Barrister)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert/Diplomacy					
Hireling (Blacksmith)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Blacksmith)					
Hireling (Bookbinder)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Bookbinding)					
Hireling (Bowyer)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Bowmaking)					
Hireling (Brazier)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Brassmaking)					
Hireling (Brewer)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Brewing)					
Hireling (Butler)		TYPE:Service	COST:0.5		SOURCEPAGE:AaEG	SPROP:Expert/Diplomacy or Profession (Butler)					
Hireling (Carpenter)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Woodworking)					
Hireling (Cartographer)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Mapmaking), Forgery					
Hireling (Cartwright)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Woodworking)					
Hireling (Chandler)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Candlemaking)					
Hireling (Clerk)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Profession (Clerk)					
Hireling (Cobbler)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Shoemaking)					
Hireling (Coiffeur)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner/Profession (Hairdresser)					
Hireling (Coffinmaker)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Woodworking)					
Hireling (Composer)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Perform (any)					
Hireling (Cook)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Profession (Cook)					
Hireling (Cooper)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Woodworking)					
Hireling (Courier/in town)		TYPE:Service	COST:0.02		SOURCEPAGE:AaEG	SPROP:Commoner/Knowledge (Local), Run feat. Cost per mile.					
Hireling (Courier/out of town)		TYPE:Service	COST:0.02		SOURCEPAGE:AaEG	SPROP:Commoner/Knowledge (Local), Ride. Cost per mile.					
Hireling (Coppersmith)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Coppersmithing)					
Hireling (Dowser)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Commoner or Adept/Survival					
Hireling (Dyer)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Dyemaking)					
Hireling (Embalmer)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Profession (Embalmer), Craft (Alchemy)					
Hireling (Engineer)		TYPE:Service	COST:0.5		SOURCEPAGE:AaEG	SPROP:Expert/Profession (Engineer)					
Hireling (Engineer/Siege)		TYPE:Service	COST:2		SOURCEPAGE:AaEG	SPROP:Expert/Knowledge (Tactics)					
Hireling (Entertainer)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Perform (any)					
Hireling (Performer)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Perform (any)					
Hireling (Fletcher)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Bowmaking)					
Hireling (Footman)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Diplomacy, Knowledge (Nobility)					
Hireling (Gemcutter)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Gemcutting)					
Hireling (Goldsmith)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Goldmithing)					
Hireling (Governess)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Diplomacy, Knowledge (Nobility)					
Hireling (Guide/Wilderness)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Knowledge (Local), Survival					
Hireling (Guide/City)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Knowledge (Local), Diplomacy					
Hireling (Haberdasher)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Hatmaking)					
Hireling (Healer)		TYPE:Service	COST:0.5		SOURCEPAGE:AaEG	SPROP:Adept/Heal, cure light wounds					
Hireling (Horner)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Hornmaking)					
Hireling (Interpreter)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Speak Language					
Hireling (Jeweler)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Jewelmaking)					
Hireling (Laborer)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Expert/Craft (any), Strength.					
Hireling (Launderer)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Profession (Launderer)					
Hireling (Limner/Painter)		TYPE:Service	COST:0.6		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Painting)					
Hireling (Locksmith)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Locksmithing)					
Hireling (Maid)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Profession (Maid)					
Hireling (Masseuse)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Expert/Profession (Masseuse)					
Hireling (Matchmaker)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner/Diplomacy, Sense Motive					
Hireling (Midwife)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Profession (Midwife)					
Hireling (Miller)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Milling)					
Hireling (Nursemaid)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Profession (Nursemaid)					
Hireling (Navigator)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Survival, Profession (Sailor)					
Hireling (Painter/Portrait)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Painting)					
Hireling (Parchmentmaker)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft(Parchmentmaking)					
Hireling (Pewtener)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Pewtenermaking)					
Hireling (Polisher/Cleaner)		TYPE:Service	COST:0.08		SOURCEPAGE:AaEG	SPROP:Commoner/Profession (Cleaner)					
Hireling (Porter)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Craft (any), Strength.					
Hireling (Potter)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner/Craft (Pottermaking)					
Hireling (Sage)		TYPE:Service	COST:2		SOURCEPAGE:AaEG	SPROP:Expert/Knowledge (any)					
Hireling (Sailor/Crew)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Profession (Sailor)					
Hireling (Sailor/Mate)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Profession (Sailor), Intimidate					
Hireling (Scribe)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Profession (Scribe)					
Hireling (Sculptor)		TYPE:Service	COST:0.6		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Sculpting)					
Hireling (Sheperd)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner/Handle Animal					
Hireling (Shipwright)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Shipmaking)					
Hireling (Silversmith)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Silversmithing)					
Hireling (Skinner)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner/Craft (Skinning)					
Hireling (Soapmaker)		TYPE:Service	COST:0.1		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Soapmaking)					
Hireling (Soothsayer)		TYPE:Service	COST:1		SOURCEPAGE:AaEG	SPROP:Expert or Adept/Scry, Divination					
Hireling (Tanner)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Tanning)					
Hireling (Teamster)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Commoner/Handle Animal, Ride					
Hireling (Valet)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner/Diplomacy					
Hireling (Vintner)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Winemaking)					
Hireling (Weaponsmithing)		TYPE:Service	COST:0.4		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Weaponsmithing)					
Hireling (Weaver)		TYPE:Service	COST:0.2		SOURCEPAGE:AaEG	SPROP:Commoner or Expert/Craft (Weaving)					
Hireling (Wheelwright)		TYPE:Service	COST:0.3		SOURCEPAGE:AaEG	SPROP:Expert/Craft (Wheelmaking)					
											
Howdah		TYPE:Goods.General.Mount	COST:200	WT:100	SOURCEPAGE:AaEG	SPROP:A howdah is a seat or box, usually with a canopy and railing, placed on the back of a Huge or larger creature. In addition to placing occupants out of the reach of most infantry, a howdah provides one-half cover.					
Sidecar Saddle		TYPE:Goods.Transportation.Container.Mount.Saddle	COST:60	WT:40	SOURCEPAGE:AaEG		CONTAINS:100|Any				

Golem (Equine)		KEY:Golem ~ Equine	TYPE:Monster.Construct.Container	COST:20000	WT:0	SOURCEPAGE:AaEG	CONTAINS:UNLIM|Any	SPROP:CL 12th; Craft Construct (see page 303), animate objects, geas/quest, limited wish, phantom steed, and shatter, caster must be at least 12th level.
