SOURCELONG:Magic of Faerun 3.0	SOURCESHORT:MoF30	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:02-2001																								
																											
###Block: AB																											
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus		
Master Earth				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=7	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You travel straight through the earth itself to a destination you choose. Focus: The fossil of any animal.	SOURCEPAGE:MoF30										
Maw of Chaos				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Chaotic	CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:15-ft-radius emanation.	DURATION:1 round/level	SAVEINFO:Will half; See text	SPELLRES:Yes	DESC:You create a yawning area of roiling purple-red energy resembling a great mouth. Material Component: A jawbone with teeth.	SOURCEPAGE:MoF30										
Memory Rot				TYPE:Spell	SCHOOL:Evocation			CLASSES:Druid=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You create a cloud of spores that infests the brain of the subject creature, gradually destroying the creature's mind.	SOURCEPAGE:MoF30										
Mestil's Acid Breath				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cone	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:You breathe forth a cone of acidic droplets. Material Component: A handful of fire ants (alive or dead).	SOURCEPAGE:MoF30										
Mestil's Acid Sheath				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Acid	CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, M, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You enclose yourself in a fluid sheath of acid that does not harm you. Material Component: A handful of fire ants (alive or dead). Focus: A glass sculpture of a humanoid.	SOURCEPAGE:MoF30										
Disguise (Minor)	OUTPUTNAME:Disguise, Minor			TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=0	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:1 hour	SAVEINFO:None	SPELLRES:No	DESC:You use magic to make minor, cosmetic changes in your appearance.	SOURCEPAGE:MoF30							TEMPBONUS:PC|SKILL|Disguise|2|TYPE=Competence		TEMPBONUS:PC|SKILL|Disguise|2|TYPE=Competence	TEMPDESC:Grants Disguise bonus
Monstrous Regeneration				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Healing		CLASSES:Cleric=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched	DURATION:1 round/2 levels	SAVEINFO:Will half (harmless)	SPELLRES:Yes	DESC:You give the target the regeneration ability that some monsters possess.	SOURCEPAGE:MoF30										
Murderous Mist				TYPE:Spell	SCHOOL:Evocation			CLASSES:Druid=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Cloud that spread in 30-ft radius, 20-ft high.	DURATION:1 round/level	SAVEINFO:Reflex half; See text	SPELLRES:Yes	DESC:You create a cloud of scalding hot steam that moves in a straight line, away from you, at a speed of 10 feet.	SOURCEPAGE:MoF30										
Mystic Lash				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Electricity|Evil	CLASSES:Cleric=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:Electric Whip	DURATION:1 round/level	SAVEINFO:Fortitude negates; See text	SPELLRES:Yes	DESC:You create a long whip of ghostly red energy that emanates from your hand and never harms you.	SOURCEPAGE:MoF30										
Nature's Balance				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 hour/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:You lend some of your ability score points to your target.	SOURCEPAGE:MoF30										
Naturewatch				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Druid=0|Ranger=1	COMPS:S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Quarter circle emanating from you to the extreme of the range.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:This is identical with deathwatch, but only functions on animals and plants.	SOURCEPAGE:MoF30										
Net of Shadows				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Shadow	DESCRIPTOR:Darkness	CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Up to one creature/levels, no two of which can be more than 25-ft apart	DURATION:3 rounds	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You cause ordinary shadows to fly toward the creatures in the area, forming dark nets that cover and enfold the target or targets.	SOURCEPAGE:MoF30										
Nightmare Lullaby				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	CLASSES:Bard=2	COMPS:V, S	CASTTIME:1 full round	RANGE:Long	TARGETAREA:One creature	DURATION:Concentration + 2 rounds	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You put your target into a surreal, sleepwalking state.	SOURCEPAGE:MoF30										
Nybor's Gentle Reminder				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.	DURATION:2 rounds	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:This spell was quite popular with slave overseers and those wishing to make their servants work a little faster. Focus: A stick at least 1 foot long.	SOURCEPAGE:MoF30										
Nybor's Mild Admonishment				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.	DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:This improvement on Nybor's gentle reminder causes intense pain in the subject. Focus: A pointed stick at least 1 foot long.	SOURCEPAGE:MoF30										
Nybor's Stern Reproof				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature.	DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:This spell causes stabbing pains even greater than those of Nybor's gentle reminder and Nybor's mild admonishment. Focus: A pointed metal rod at least 1 foot long.	SOURCEPAGE:MoF30										
Nybor's Wrathful Castigation				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature	DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Nybor's wrathful castigation is an even more potent version of Nybor's stern reproof. Focus: A whip.	SOURCEPAGE:MoF30										
One with the Land				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=2|Ranger=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:You forge a strong link with nature that gives you greater insight into your environment. 	SOURCEPAGE:MoF30							TEMPBONUS:PC|SKILL|Move Silently,Search,Hide,Handle Animal,Survival|2|TYPE=Competence			
Owl's Insight				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched	DURATION:1 hour	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:You invest your target with a taste of the ancient wisdom inherent in nature.	SOURCEPAGE:MoF30							TEMPVALUE:MIN=1|MAX=20|TITLE=Choose Choose caster level	TEMPBONUS:ANYPC|STAT|WIS|%CHOICE/2|TYPE=Enhancement		
Poison Vines				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Druid=7	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Spread of 10-ft radius/level	DURATION:10 minutes/level	SAVEINFO:Fortitude negates; See text	SPELLRES:Yes	DESC:As vine mine, but the vines you create are poisonous (contact, 1d6 Dex/2d6 Dex).	SOURCEPAGE:MoF30										
Prismatic Eye				TYPE:Spell	SCHOOL:Evocation			CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:Magical eye.	DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:You create a visible orb that can fire various ray effects. Focus: A polished rainbow-hued abalone shell.	SOURCEPAGE:MoF30										
Puppeteer				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion		CLASSES:Bard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You force your subject to mimic your actions.	SOURCEPAGE:MoF30										
Quillfire				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:Your hand sprouts poisonous quills that you can use in melee or as a ranged attack.	SOURCEPAGE:MoF30										
Ram's Might				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=0|Ranger=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You add extra power to your unarmed attacks.	SOURCEPAGE:MoF30										
Remedy Moderate Wounds				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Healing		CLASSES:Cleric=3|Druid=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched	DURATION:10 rounds + 1 round/2 levels	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:When laying your hand upon a living creature, you boost its life energy to grant it the fast healing ability.	SOURCEPAGE:MoF30							TEMPBONUS:ANYPC|VAR|FastHealing|2|TYPE=Temporary			
Reveille				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Language-Dependent|Sonic	CLASSES:Bard=3	COMPS:V, S	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:One recently dead creature	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You cause a recently dead creature (within three days of its death) to reveal information about events that led up to its death.	SOURCEPAGE:MoF30										
Revenance				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Healing		CLASSES:Bard=5|Cleric=4|Paladin=4	COMPS:V, S, M, DF	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Dead ally touched.	DURATION:1 minute/level	SAVEINFO:None (harmless); See Text	SPELLRES:Yes	DESC:You touch a recently slain ally and temporarily restore the character to life so he may continue to fight. Material Component: 500 gp of diamond dust sprinkled over the body.	SOURCEPAGE:MoF30		COST:500								
Reverse Arrows				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:10 minutes/level or until discharged	SAVEINFO:None	SPELLRES:No	DESC:As protection from arrows, except that if any missile that strikes you has all its damage negated by your damage reduction (10/+1), the missile is turned back upon its target. Focus: A piece of shell from a tortoise, and a ball of tree sap.	SOURCEPAGE:MoF30										
Righteous Fury				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Paladin=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Summoning the power of your deity, you charge yourself with positive energy.	SOURCEPAGE:MoF30					TEMPBONUS:PC|COMBAT|AC|2|TYPE=NaturalArmor		TEMPBONUS:PC|STAT|STR,DEX|2|TYPE=Enhancement		TEMPBONUS:PC|SAVE|Fortitude|2|TYPE=Sacred	
Rosemantle				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched	DURATION:1 round/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You cause the target to glow with a soft, faint, rosy radiance equal to candlelight.	SOURCEPAGE:MoF30										
Safe Clearing				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Ranger=3	COMPS:V, S	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:30-ft radius spread	DURATION:1 hour/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:You make an area safe from attacks.	SOURCEPAGE:MoF30										
Scent				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=2|Ranger=2|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 hour/level	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:You give the target an enhanced sense of smell, equivalent to the scent ability of some monsters. Arcane Material Components: A sprinkle of mustard and pepper, and a drop of sweat.	SOURCEPAGE:MoF30										
Scintillating Sphere				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Electricity	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft radius spread	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:As fireball, except as noted above and that the spell deals electricity damage. Material Components: A glass marble and a pinch of iron oxide.	SOURCEPAGE:MoF30										
Seek Eternal Rest				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Healing		CLASSES:Paladin=4	COMPS:V, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You improve your ability to turn undead.	SOURCEPAGE:MoF30							TEMPBONUS:PC|VAR|TurnLevelUndead|2			
Shadow Hand				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Shadow		CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:5-ft hand	DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:You create a floating Medium-size hand out of shadow material.	SOURCEPAGE:MoF30										
Shadow Well				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Shadow		CLASSES:Sorcerer=4|Wizard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You cause the target's shadow to become a temporary gateway to a pocket realm within the Plane of Shadow.	SOURCEPAGE:MoF30										
Share Husk				TYPE:Spell	SCHOOL:Divination			CLASSES:Druid=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Animal touched	DURATION:Concentration	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You sense through an animal's senses, seeing through its eyes, smelling through its nose, and hearing through its ears. Material Component: An edible treat that would appeal to the animal (vegetable or meat).	SOURCEPAGE:MoF30										
Shatterfloor				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Sonic	CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:15-ft-radius spread	DURATION:Instantaneous	SAVEINFO:Will half	SPELLRES:Yes	DESC:You create a loud, thrumming vibration that builds to a painful crescendo before fading. Focus: A miniature hammer and bell.	SOURCEPAGE:MoF30										
Shelgarn's Persistent Blade				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One small blade	DURATION:1 round/2 levels	SAVEINFO:None	SPELLRES:Yes	DESC:You bring into being a tiny blade of force. Focus: A silvered dagger.	SOURCEPAGE:MoF30										
Shroud of Undeath				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You shroud yourself with invisible negative energy so that nonintelligent undead perceive you as a fellow undead creature, ignoring you. Material Component: Dust or bone fragments from any destroyed undead creature.	SOURCEPAGE:MoF30										
Silent Portal				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Assassin=1|Sorcerer=0|Wizard=0	COMPS:S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Any single portal	DURATION:1 hour/level	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:This simple cantrip negates the sound of opening and closing a single portal (door, window, gate, drawer, chest lid, and so on).	SOURCEPAGE:MoF30										
Silverbeard				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Paladin=1	COMPS:V, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Personal	DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Your beard grows and turns to pure and magically hardened silver, increasing the armor bonus of your armor by +2.	SOURCEPAGE:MoF30					TEMPBONUS:PC|COMBAT|AC|2|TYPE=Armor.STACK					
Simbul's Skeletal Deliquescence				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched	DURATION:1 day/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You turn the bones and hard tissue of the subject to mush, making him a strange sort of oozelike creature.	SOURCEPAGE:MoF30										
Simbul's Spell Matrix				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Up to four of your spells.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:You prepare a magical matrix that allows you to store up to four spells of up to 3rd level that you can cast individually as free actions. Focus: A piece of amber with a minimum value of 500 gp.	SOURCEPAGE:MoF30		COST:500								
Simbul's Spell Sequencer				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Up to four of your spells.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:As Simbul's spell matrix, except that spells of up to 5th level may be placed in the matrix. Focus: A sapphire with a minimum value of 1,000 gp.	SOURCEPAGE:MoF30		COST:1000								
Simbul's Spell Trigger				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=9|Wizard=9	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Up to four of your spells.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:As Simbul's spell sequencer, except that the spells to be held in the matrix may be as high as 7th level, and you may create a spell sequence of spells of 4th level or less. Focus: A diamond with a minimum value of 1,500 gp.	SOURCEPAGE:MoF30		COST:1500								
Simbul's Synostodweomer				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:One of your spell	DURATION:1 round	SAVEINFO:None	SPELLRES:Yes	DESC:You channel the spell energy from a spell you know into healing magic.	SOURCEPAGE:MoF30										
Skeletal Guard				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One or more finger bones.	DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You create a number of loyal skeletons from finger bones. Material Components: One finger bone and one onyx gem worth 50 gp per skeleton to be created. If the finger bones come from a Medium-size creature, the skeleton that forms from that finger bone is that type of creature.	SOURCEPAGE:MoF30		COST:50								
Skull of Secrets				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Shadow		CLASSES:Cleric=4	COMPS:V, S	CASTTIME:1 full round	RANGE:Close	TARGETAREA:Intangible skull	DURATION:Permanent until discharged	SAVEINFO:Reflex half; See text	SPELLRES:Yes	DESC:You create an intangible image of a floating skull that trails black flames.	SOURCEPAGE:MoF30										
Smell of Fear				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Ranger=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched	DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You bestow your target with an aroma that attracts predators.	SOURCEPAGE:MoF30										
Snakebite				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=3|Ranger=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You	DURATION:1 round/level	SAVEINFO:See text	SPELLRES:No	DESC:One of your arms turns into a venomous snake with a fanged, biting mouth.	SOURCEPAGE:MoF30										
Songbird				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Bard=0	COMPS:V, S	CASTTIME:1 full round	RANGE:Personal	TARGETAREA:You	DURATION:Performance + 1 hour or until discharged	SAVEINFO:None	SPELLRES:No	DESC:You acquire an even greater Charisma when you perform.	SOURCEPAGE:MoF30										
Spectral Stag				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Cleric=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:0 ft.	TARGETAREA:One quasi-real staglike creature.	DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:You conjure a quasi-real, staglike creature.	SOURCEPAGE:MoF30										
Speechlink				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=4	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:You and one creature touched.	DURATION:10 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You and a willing target can communicate no matter how much distance you put between yourselves on the same plane.	SOURCEPAGE:MoF30										
Speed Swim				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=1|Ranger=1|Sorcerer=1|Wizard=1	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You give the subject creature the ability to swim at speed 30 feet (ignoring the effects of armor and encumbrance) without having to make Swim checks.	SOURCEPAGE:MoF30										
Spell Engine				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, M, XP	CASTTIME:10 minutes	RANGE:Close	TARGETAREA:5-ft radius magical wheel	DURATION:See text	SAVEINFO:None	SPELLRES:Yes	DESC:You create a disk of magical energy 10 feet in diameter and 2 feet thick. Material Components: A disk of polished bone, one of your tears, and a silver wheel worth 1,000 gp. XP Cost: 250 XP.	SOURCEPAGE:MoF30		COST:1000	XPCOST:250							
Spell Enhancer				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=4|Wizard=4	COMPS:V	CASTTIME:See text	RANGE:Personal	TARGETAREA:One of your spell	DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:This spell enhances the next spell you cast, making it more difficult for targets to resist.	SOURCEPAGE:MoF30										
Spellmantle				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=6	COMPS:V, S	CASTTIME:1 full round	RANGE:Touch	TARGETAREA:Creature touched	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You protect the subject with a magical aura that protects it against one specified spell for every four levels you have.	SOURCEPAGE:MoF30										
Spell Phylactery				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=5	COMPS:V, S, DF	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Scroll touched.	DURATION:Permanent until triggered	SAVEINFO:None (object)	SPELLRES:No	DESC:You create a set of triggering conditions for the targeted scroll so that if these conditions are met, the spell on the scroll is cast upon you as if you were spending a standard action to cast the scroll yourself.	SOURCEPAGE:MoF30										
Spell Shield				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Cleric=2	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:The subject gains a +3 resistance bonus on saving throws against spells and spell-like abilities (but not against supernatural and extraordinary abilities).	SOURCEPAGE:MoF30										
Spider Poison				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Assassin=3|Sorcerer=3|Wizard=3	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched	DURATION:Instantaneous	SAVEINFO:Fortitude negates; See text	SPELLRES:Yes	DESC:Similar to the divine spell poison, you inflict a paralyzing poison upon the subject by making a successful melee touch attack. Material Component: A poisonous spider, alive or dead.	SOURCEPAGE:MoF30										
Spirit Worm				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched	DURATION:1 round/level	SAVEINFO:Fortitude partial 	SPELLRES:Yes	DESC:You create a lingering decay in the spirit and body of the target. Material Component: A piece of fire-blackened ivory or bone carved in the shape of a segmented worm.	SOURCEPAGE:MoF30										
Stalking Brand				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Ranger=1	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched	DURATION:1 day/level	SAVEINFO:None	SPELLRES:Yes	DESC:Your touch marks your target with a tiny symbol visible only to you and to detect magic.	SOURCEPAGE:MoF30										
Steeldance				TYPE:Spell	SCHOOL:Evocation			CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Two daggers	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You cause two daggers in your possession to grow to the size and shape of longswords, which then attack creatures you specify. Focus: Two daggers.	SOURCEPAGE:MoF30										
Stone Bones				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=2|Sorcerer=2|Wizard=2	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Corporeal undead creature touched	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You cause the skeleton of the target corporeal undead to become thicker and as strong as stone. Arcane Focus: A miniature skull carved of granite.	SOURCEPAGE:MoF30					TEMPBONUS:ANYPC|COMBAT|AC|3|TYPE=NaturalArmor					
Stonehold				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Earth	CLASSES:Druid=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 10-ft square/level	DURATION:1 day/level	SAVEINFO:See text (object)	SPELLRES:Yes	DESC:This spell conjures thick, stony arms that spring forth from a rock or stone formation whenever anyone passes near it.	SOURCEPAGE:MoF30										
