SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Weapon Group (Heavy Blades)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Longsword|Greatsword|Falchion|Scimitar|Sword (Bastard)										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group (Light Blades)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Dagger|Dagger (Punching)|Rapier|Sword (Short)										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group (Maces and Clubs)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Club|Mace (Light)|Mace (Heavy)|Greatclub|Quarterstaff|Sap										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group (Monk)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Kama|Nunchaku|Sai|Shuriken|Siangham										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group (Pick and Hammers)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Pick (Light)|Pick (Heavy)|Hammer (Light)|Warhammer|Scythe										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group (Polearms)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Glaive|Guisarme|Halberd|Ranseur										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group (Slings and Thrown Weapon)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Dart|Sling										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group (Spears and Lances)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Javelin|Lance|Longspear|Shortspear|Trident										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
#Exotic weapon group grants exotic wepons only if the group is already taken																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Axes)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Axes)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Bows)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Bows)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Claw Weapons)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Claw Weapons)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Clubs and Maces)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Clubs and Maces)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Crossbows)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Crossbows)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Druid Weapons)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Druid Weapons)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Flails and Chains)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Flails and Chains)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Heavy Blades)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Heavy Blades)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Light Blades)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Light Blades)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Monk Weapons)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Monk Weapons)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Picks and Hammers)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Pick and Hammers)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Polearms)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Polearms)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Slings and Thrown Weapons)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Slings and Thrown Weapons)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
CATEGORY=Internal|Weapon Group (Exotic Weapons).MOD	ABILITY:Internal|AUTOMATIC|Weapon Group Exotic (Spears and Lances)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Spears and Lances)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Axes)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Waraxe (Dwarven)										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Bows)	CATEGORY:Internal		VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Claw Weapons)	CATEGORY:Internal		VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Clubs and Maces)	CATEGORY:Internal		VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Crossbows)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Crossbow (Hand)										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Druid Weapons)	CATEGORY:Internal		VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Flails and Chains)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Scourge|Chain (Spiked)|Whip										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Heavy Blades)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Sword (Bastard)										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Light Blades)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Kukri										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Monk Weapons)	CATEGORY:Internal		VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Picks and Hammers)	CATEGORY:Internal		VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Polearms)	CATEGORY:Internal		VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Slings and Thrown Weapons)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Bolas|Shuriken										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic (Spears and Lances)	CATEGORY:Internal		VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
#																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic Double (Axes)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Axe (Double/Orc)	AUTO:WEAPONPROF|Urgrosh (Dwarven)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Spears and Lances)									SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic Double (Druid Weapons)	CATEGORY:Internal		VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic Double (Flails and Chains)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Flail (Dire)										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic Double (Heavy Blades)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Sword (Two-Bladed)										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic Double (Maces and Clubs)	CATEGORY:Internal		VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic Double (Monk Weapons)	CATEGORY:Internal		VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic Double (Picks and Hammers)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Hammer (Hooked/Gnome)										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic Double (Polearms)	CATEGORY:Internal		VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic Double (Slings and Thrown Weapons)	CATEGORY:Internal		VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Weapon Group Exotic Double (Spears and Lances)	CATEGORY:Internal		VISIBLE:NO																			AUTO:WEAPONPROF|Urgrosh (Dwarven)|PREABILITY:1,CATEGORY=Internal,Weapon Group (Axes)										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Variant Rule ~ Use Item Creation feats	CATEGORY:Special Ability	TYPE:AltRules	VISIBLE:DISPLAY	DESC:Use Item Creation feats. No craft points implemented.	COST:0	DEFINE:UA_VAR_USEITEMCREATIONFEAT|0	BONUS:VAR|UA_VAR_USEITEMCREATIONFEAT|1|TYPE=Base																									SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Variant Rule ~ Use Additional Favored Class feat	CATEGORY:Special Ability	TYPE:AltRules	VISIBLE:DISPLAY	DESC:Use Additional favored class feats.	COST:0	DEFINE:UA_VAR_USEADDITIONALFAVOREDCLASSFEAT|0	BONUS:VAR|UA_VAR_USEADDITIONALFAVOREDCLASSFEAT|1|TYPE=Base																									SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
#BLOCK: Class Defense																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Varian Rulet ~ Use Class Defense	CATEGORY:Special Ability	TYPE:AltRules	VISIBLE:DISPLAY	DESC:Every character has a defense bonus based on his character level. The defense bonus applies to Armor Class. However, it does not stack with the character's armor bonus. A character wearing armor gains its armor bonus (including any enhancement to that bonus) or his defense bonus-whichever is higher-but not both.	COST:0	DEFINE:ClassDefenseTier|0	DEFINE:ClassDefenseBonus|0	BONUS:COMBAT|AC|ClassDefenseBonus|TYPE=ClassDefense	ABILITY:Special Ability|AUTOMATIC|Class Defense Bonus A|PREVAREQ:ClassDefenseTier,1	ABILITY:Special Ability|AUTOMATIC|Class Defense Bonus B|PREVAREQ:ClassDefenseTier,2	ABILITY:Special Ability|AUTOMATIC|Class Defense Bonus C|PREVAREQ:ClassDefenseTier,3	ABILITY:Special Ability|AUTOMATIC|Class Defense Bonus D|PREVAREQ:ClassDefenseTier,4																				SOURCEPAGE:UA																																		BONUS:VAR|ClassDefenseTier|1	BONUS:VAR|ClassDefenseTier|1|PREPROFWITHARMOR:1,TYPE.Light	BONUS:VAR|ClassDefenseTier|1|PREPROFWITHARMOR:1,TYPE.Medium	BONUS:VAR|ClassDefenseTier|1|PREPROFWITHARMOR:1,TYPE.Heavy																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
Class Defense Bonus A	CATEGORY:Special Ability	BONUS:VAR|ClassDefenseBonus|2|TYPE=Class|PRELEVEL:MIN=1	BONUS:VAR|ClassDefenseBonus|3|TYPE=Class|PRELEVEL:MIN=3	BONUS:VAR|ClassDefenseBonus|4|TYPE=Class|PRELEVEL:MIN=6	BONUS:VAR|ClassDefenseBonus|5|TYPE=Class|PRELEVEL:MIN=9	BONUS:VAR|ClassDefenseBonus|6|TYPE=Class|PRELEVEL:MIN=12	BONUS:VAR|ClassDefenseBonus|7|TYPE=Class|PRELEVEL:MIN=15	BONUS:VAR|ClassDefenseBonus|8|TYPE=Class|PRELEVEL:MIN=18																								SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Class Defense Bonus B	CATEGORY:Special Ability	BONUS:VAR|ClassDefenseBonus|3|TYPE=Class|PRELEVEL:MIN=1	BONUS:VAR|ClassDefenseBonus|4|TYPE=Class|PRELEVEL:MIN=3	BONUS:VAR|ClassDefenseBonus|5|TYPE=Class|PRELEVEL:MIN=6	BONUS:VAR|ClassDefenseBonus|6|TYPE=Class|PRELEVEL:MIN=9	BONUS:VAR|ClassDefenseBonus|7|TYPE=Class|PRELEVEL:MIN=12	BONUS:VAR|ClassDefenseBonus|8|TYPE=Class|PRELEVEL:MIN=15	BONUS:VAR|ClassDefenseBonus|9|TYPE=Class|PRELEVEL:MIN=18																								SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Class Defense Bonus C	CATEGORY:Special Ability	BONUS:VAR|ClassDefenseBonus|4|TYPE=Class|PRELEVEL:MIN=1	BONUS:VAR|ClassDefenseBonus|5|TYPE=Class|PRELEVEL:MIN=3	BONUS:VAR|ClassDefenseBonus|6|TYPE=Class|PRELEVEL:MIN=6	BONUS:VAR|ClassDefenseBonus|7|TYPE=Class|PRELEVEL:MIN=9	BONUS:VAR|ClassDefenseBonus|8|TYPE=Class|PRELEVEL:MIN=12	BONUS:VAR|ClassDefenseBonus|9|TYPE=Class|PRELEVEL:MIN=15	BONUS:VAR|ClassDefenseBonus|10|TYPE=Class|PRELEVEL:MIN=18																								SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Class Defense Bonus D	CATEGORY:Special Ability	BONUS:VAR|ClassDefenseBonus|6|TYPE=Class|PRELEVEL:MIN=1	BONUS:VAR|ClassDefenseBonus|7|TYPE=Class|PRELEVEL:MIN=3	BONUS:VAR|ClassDefenseBonus|8|TYPE=Class|PRELEVEL:MIN=6	BONUS:VAR|ClassDefenseBonus|9|TYPE=Class|PRELEVEL:MIN=9	BONUS:VAR|ClassDefenseBonus|10|TYPE=Class|PRELEVEL:MIN=12	BONUS:VAR|ClassDefenseBonus|11|TYPE=Class|PRELEVEL:MIN=15	BONUS:VAR|ClassDefenseBonus|12|TYPE=Class|PRELEVEL:MIN=18																								SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
###BLOCK:Armor as Damage Reduction																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
###TODO: PCGEN cannot extract natural armor																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
###TODO: check enhancement bonus on armor that should stack with ArmorBaseACValue																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
