SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2014-08																																			
																																						
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										SOURCEPAGE:						
Wall of Fire	CATEGORY:Internal	TYPE:EldritchKnightUnrestrictedSpell			KEY:Eldritch Knight Unrestricted Spell ~ Wall of Fire	PRECLASS:1,Fighter=19																	SPELLKNOWN:CLASS|Fighter=4|Wall of Fire									SOURCEPAGE:PHB						
																																						
																																						
###Block: Monk																																						
# Ability Name			Unique Key									SORTKEY																										
Unarmored Defense	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Beginning at 1st level, while you are wearing no armor and not wielding a shield, your AC equals 10 + your Dexterity modifier + your Wisdom modifier.	KEY:Monk ~ Unarmored Defense																											SOURCEPAGE:PHB						
Martial Arts	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:At 1st level, your practice of martial arts gives you mastery of combat styles that use unarmed strikes and monk weapons, which are shortswords and any simple melee weapons that don't have the two-handed or heavy property. You gain the following benefits while you are unarmed or wielding only monk weapons and you aren't wearing armor or wielding a shield: * You can use Dexterity instead of Strength for the attack and damage rolls of your unarmed strikes and monk weapons. * You can roll a d%1 in place of the normal damage of your unarmed strike or monk weapon. * When you use the Attack action with an unarmed strike or a monk weapon on your turn, you can make one unarmed strike as a bonus action. For example, if you take the Attack action and attack with a quarterstaff, you can also make an unarmed strike as a bonus action, assuming you haven't already taken a bonus action this turn. Certain monasteries use specialized forms of the monk weapons. For example, you might use a club that is two lengths of wood connected by a short chain (called a nunchaku) or a sickle with a shorter, straighter blade (called a kama). Whatever name you use for a monk weapon, you can use the game statistics provided for the weapon in chapter 5.|MonkDamageDiceType	KEY:Monk ~ Martial Arts				DEFINE:MonkDamageDiceType|0	DEFINE:MonkUnarmedDice|0	DEFINE:MonkUnarmedDieSize|0			BONUS:VAR|MonkDamageDiceType|4+(2*(MonkLVL>=5))+(2*(MonkLVL>=11))+(2*(MonkLVL>=17))	BONUS:COMBAT|TOHIT.Monk,DAMAGE.Monk|(-STR)+max(DEX,STR)|TYPE=Ability	BONUS:COMBAT|TOHIT.Unarmed,DAMAGE.Unarmed|(-STR)+max(DEX,STR)|TYPE=Ability																SOURCEPAGE:PHB						
Ki	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Starting at 2nd level, your training allows you to harness the mystic energy of ki. Your access to this energy is represented by a number of ki points. You have a total of %1 ki points. You can spend these points to fuel various ki features. You start knowing three such features: Flurry of Blows, Patient Defense, and Step of the Wind. You learn more ki features as you gain levels in this class. When you spend a ki point, it is unavailable until you finish a short or long rest, at the end of which you draw all of your expended ki back into yourself. You must spend at least 30 minutes of the rest meditating to regain your ki points. Some of your ki features require your target to make a saving throw to resist the feature's effects. The saving throw DC is as follows: Ki save DC = %2|MonkKiPoints|8+Proficiency_Bonus+WIS	KEY:Monk ~ Ki				DEFINE:MonkKiPoints|0					BONUS:VAR|MonkKiPoints|MonkLVL									ABILITY:Monk Class Feature|AUTOMATIC|Ki ~ Flurry of Blows	ABILITY:Monk Class Feature|AUTOMATIC|Ki ~ Patient Defense	ABILITY:Monk Class Feature|AUTOMATIC|Ki ~ Step of the Wind							SOURCEPAGE:PHB						
Unarmored Movement	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Starting at 2nd level, your speed increases by 10 feet while you are not wearing armor or wielding a shield. This bonus increases when you reach certain monk levels, as shown in the Monk table.	KEY:Monk ~ Unarmored Movement	DESC:At 9th level, you gain the ability to move along vertical surfaces and across liquids on your turn without falling during the move.|PRECLASS:1,Monk=9								BONUS:MOVEADD|TYPE.Walk|10+(5*(MonkLVL>=6))+(5*(MonkLVL>=10))+(5*(MonkLVL>=14))+(5*(MonkLVL>=18))|!PREEQUIP:1,TYPE=Armor,TYPE=Shield																		SOURCEPAGE:PHB						
Monastic Tradition	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:When you reach 3rd level, you commit yourself to a monastic tradition: the Way of the Open Hand, the Way of Shadow, or the Way of the Four Elements, all detailed at the end of the class description. Your tradition grants you features at 3rd level and again at 6th, 11th, and 17th level.	KEY:Monk ~ Monastic Tradition									BONUS:ABILITYPOOL|Monastic Tradition|1																		SOURCEPAGE:PHB						
Deflect Missiles	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Starting at 3rd level, you can use your reaction to deflect or catch the missile when you are hit by a ranged weapon attack. When you do so, the damage you take from the attack is reduced by 1d10 + %1. If you reduce the damage to 0, you can catch the missile if it is small enough for you to hold in one hand and you have at least one hand free. If you catch a missile in this way, you can spend 1 ki point to make a ranged attack with the weapon or piece of ammunition you just caught, as part of the same reaction. You make this attack with proficiency, regardless of your weapon proficiencies, and the missile counts as a monk weapon for the attack. The range of the monk's ranged attack is 20/60 feet.|DEX+MonkLVL	KEY:Monk ~ Deflect Missiles																											SOURCEPAGE:PHB						
Ability Score Improvement	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.	KEY:Monk ~ Ability Score Improvement									BONUS:VAR|POOL_Character_Advancement_Selection|2*((MonkLVL>=4)+(MonkLVL>=8)+(MonkLVL>=12)+(MonkLVL>=16)+(MonkLVL>=19))																		SOURCEPAGE:PHB						
Slow Fall	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Beginning at 4th level, you can use your reaction when you fall to reduce any falling damage you take by %1.|MonkLVL*5	KEY:Monk ~ Slow Fall																											SOURCEPAGE:PHB						
Extra Attack	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn.	KEY:Monk ~ Extra Attack																		ABILITY:Internal|AUTOMATIC|Extra Attack ~ 1									SOURCEPAGE:PHB						
Stunning Strike	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Starting at 5th level, you can interfere with the flow of ki in an opponent's body. When you hit another creature with a melee weapon attack, you can spend 1 ki point to attempt a stunning strike. The target must succeed on a Constitution saving throw or be stunned until the end of your next turn.	KEY:Monk ~ Stunning Strike																											SOURCEPAGE:PHB						
Ki-Empowered Strikes	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Starting at 6th level, your unarmed strikes count as magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage.	KEY:Monk ~ Ki-Empowered Strikes																											SOURCEPAGE:PHB						
Evasion	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:At 7th level, your instinctive agility lets you dodge out of the way of certain area effects, such as a blue dragon's lightning breath or a fireball spell. When you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw, and only half damage if you fail.	KEY:Monk ~ Evasion																											SOURCEPAGE:PHB						
Stillness of Mind	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Starting at 7th level, you can use your action to end one effect on yourself that is causing you to be charmed or frightened.	KEY:Monk ~ Stillness of Mind																											SOURCEPAGE:PHB						
Purity of Body	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:At 10th level, your mastery of the ki flowing through you makes you immune to disease and poison.	KEY:Monk ~ Purity of Body																											SOURCEPAGE:PHB						
Tongue of the Sun and Moon	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Starting at 13th level, you learn to touch the ki of other minds so that you understand all spoken languages. Moreover, any creature that can understand a language can understand what you say.	KEY:Monk ~ Tongue of the Sun and Moon																		AUTO:LANG|ALL									SOURCEPAGE:PHB						
Diamond Soul	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Beginning at 14th level, your mastery of ki grants you proficiency in all saving throws. Additionally, whenever you make a saving throw and fail, you can spend 1 ki point to reroll it and take the second result.	KEY:Monk ~ Diamond Soul																		ABILITY:Internal|AUTOMATIC|Saving Throw ~ Con|Saving Throw ~ Int|Saving Throw ~ Wis|Saving Throw ~ Cha									SOURCEPAGE:PHB						
Timeless Body	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:At 15th level, your ki sustains you so that you suffer none of the frailty of old age, and you can't be aged magically. You can still die of old age, however. In addition, you no longer need food or water.	KEY:Monk ~ Timeless Body																											SOURCEPAGE:PHB						
Empty Body	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Beginning at 18th level, you can use your action to spend 4 ki points to become invisible for 1 minute. During that time, you also have resistance to all damage but force damage. Additionally, you can spend 8 ki points to cast the astral projection spell, without needing material components. When you do so, you can't take any other creatures with you.	KEY:Monk ~ Empty Body																		SPELLS:Monk|Astral Projection(Empty Body)									SOURCEPAGE:PHB						
Perfect Self	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:At 20th level, when you roll for initiative and have no ki points remaining, you regain 4 ki points.	KEY:Monk ~ Perfect Self																											SOURCEPAGE:PHB						
																																						
Flurry of Blows	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Ki		DESC:Immediately after you take the Attack action on your turn, you can spend 1 ki point to make two unarmed strikes as a bonus action.	KEY:Ki ~ Flurry of Blows																											SOURCEPAGE:PHB						
Patient Defense	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Ki		DESC:You can spend 1 ki point to take the Dodge action as a bonus action on your turn.	KEY:Ki ~ Patient Defense																											SOURCEPAGE:PHB						
Step of the Wind	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Ki		DESC:You can spend 1 ki point to take the Disengage or Dash action as a bonus action on your turn, and your jump distance is doubled for the turn.	KEY:Ki ~ Step of the Wind																											SOURCEPAGE:PHB						
																																						
# Monastic Traditions																																						
Way of the Open Hand	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Monastic Tradition		DESC:Monks of the Way of the Open Hand are the ultimate masters of martial arts combat, whether armed or unarmed. They learn techniques to push and trip their opponents, manipulate ki to heal damage to their bodies, and practice advanced meditation that can protect them from harm.	KEY:Monastic Tradition ~ Way of the Open Hand																		ABILITY:Monk Class Feature|AUTOMATIC|Way of the Open Hand ~ Open Hand Technique|PRECLASS:1,Monk=3	ABILITY:Monk Class Feature|AUTOMATIC|Way of the Open Hand ~ Wholeness of Body|PRECLASS:1,Monk=6	ABILITY:Monk Class Feature|AUTOMATIC|Way of the Open Hand ~ Tranquility|PRECLASS:1,Monk=11	ABILITY:Monk Class Feature|AUTOMATIC|Way of the Open Hand ~ Quivering Palm|PRECLASS:1,Monk=17						SOURCEPAGE:PHB						
Way of Shadow	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Monastic Tradition		DESC:Monks of the Way of Shadow follow a tradition that values stealth and subterfuge. These monks might be called ninjas or shadowdancers, and they serve as spies and assassins. Sometimes the members of a ninja monastery are family members, forming a clan sworn to secrecy about their arts and missions. Other monasteries are more like thieves' guilds, hiring out their services to nobles, rich merchants, or anyone else who can pay their fees. Regardless of their methods, the heads of these monasteries expect the unquestioning obedience of their students.	KEY:Monastic Tradition ~ Way of Shadow																		ABILITY:Monk Class Feature|AUTOMATIC|Way of Shadow ~ Shadow Arts|PRECLASS:1,Monk=3	ABILITY:Monk Class Feature|AUTOMATIC|Way of Shadow ~ Shadow Step|PRECLASS:1,Monk=6	ABILITY:Monk Class Feature|AUTOMATIC|Way of Shadow ~ Cloak of Shadows|PRECLASS:1,Monk=11	ABILITY:Monk Class Feature|AUTOMATIC|Way of Shadow ~ Opportunist|PRECLASS:1,Monk=17						SOURCEPAGE:PHB						
Way of the Four Elements	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Monastic Tradition		DESC:You follow a monastic tradition that teaches you to harness the elements. When you focus your ki, you can align yourself with the forces of creation and bend the four elements to your will, using them as an extension of your body. Some members of this tradition dedicate themselves to a single element, but others weave the elements together. Many monks of this tradition tattoo their bodies with representations of their ki powers, commonly imagined as coiling dragons, but also as phoenixes, fish, plants, mountains, and cresting waves.	KEY:Monastic Tradition ~ Way of the Four Elements																		ABILITY:Monk Class Feature|AUTOMATIC|Way of the Four Elements ~ Disciple of the Elements|PRECLASS:1,Monk=3	ABILITY:Monk Class Feature|AUTOMATIC|Way of the Four Elements ~ Elemental Disciplines|PRECLASS:1,Monk=3								SOURCEPAGE:PHB						
																																						
# Way of the Open Hand																																						
Open Hand Technique	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Starting when you choose this tradition at 3rd level, you can manipulate your enemy's ki when you harness your own. Whenever you hit a creature with one of the attacks granted by your Flurry of Blows, you can impose one of the following effects on that target: * It must succeed on a Dexterity saving throw or be knocked prone. * It must make a Strength saving throw. If it fails, you can push it up to 15 feet away from you. * It can't take reactions until the end of your next turn.	KEY:Way of the Open Hand ~ Open Hand Technique																											SOURCEPAGE:PHB						
Wholeness of Body	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:At 6th level, you gain the ability to heal yourself. As an action, you can regain hit points equal to %1. You must finish a long rest before you can use this feature again.|MonkLVL*3	KEY:Way of the Open Hand ~ Wholeness of Body																											SOURCEPAGE:PHB						
Tranquility	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Beginning at 11th level, you can enter a special meditation that surrounds you with an aura of peace. At the end of a long rest, you gain the effect of a sanctuary spell that lasts until the start of your next long rest (the spell can end early as normal). The saving throw DC for the spell equals %1.|8+Proficiency_Bonus+WIS	KEY:Way of the Open Hand ~ Tranquility																		SPELLS:Monk|Sanctuary(Tranquility),8+Proficiency_Bonus+WIS									SOURCEPAGE:PHB						
Quivering Palm	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:At 17th level, you gain the ability to set up lethal vibrations in someone's body. When you hit a creature with an unarmed strike, you can spend 3 ki points to start these imperceptible vibrations, which last for a number of days equal to %1. The vibrations are harmless unless you use your action to end them. To do so, you and the target must be on the same plane of existence. When you use this action, the creature must make a Constitution saving throw. If it fails, it is reduced to 0 hit points. If it succeeds, it takes 10d10 necrotic damage. You can have only one creature under the effect of this feature at a time. You can choose to end the vibrations harmlessly without using an action.|MonkLVL	KEY:Way of the Open Hand ~ Quivering Palm																											SOURCEPAGE:PHB						
																																						
# Way of Shadow																																						
Shadow Arts	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:Starting when you choose this tradition at 3rd level, you can use your ki to duplicate the effects of certain spells. As an action, you can spend 2 ki points to cast darkness, darkvision, pass without trace, or silence, without providing material components. Additionally, you gain the minor illusion cantrip if you don't already know it.	KEY:Way of Shadow ~ Shadow Arts																		SPELLS:Monk|Minor Illusion	SPELLS:Monk|Darkness	SPELLS:Monk|Darkvision	SPELLS:Monk|Pass without Trace	SPELLS:Monk|Silence					SOURCEPAGE:PHB						
Shadow Step	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:At 6th level, you gain the ability to step from one shadow into another. When you are in dim light or darkness, as a bonus action you can teleport up to 60 feet to an unoccupied space you can see that is also in dim light or darkness. You then have advantage on the first melee attack you make before the end of the turn.	KEY:Way of Shadow ~ Shadow Step																											SOURCEPAGE:PHB						
Cloak of Shadows	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:By 11th level, you have learned to become one with the shadows. When you are in an area of dim light or darkness, you can use your action to become invisible. You remain invisible until you make an attack, cast a spell, or are in an area of bright light.	KEY:Way of Shadow ~ Cloak of Shadows																											SOURCEPAGE:PHB						
Opportunist	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:At 17th level, you can exploit a creature's momentary distraction when it is hit by an attack. Whenever a creature within 5 feet of you is hit by an attack made by a creature other than you, you can use your reaction to make a melee attack against that creature.	KEY:Way of Shadow ~ Opportunist																											SOURCEPAGE:PHB						
																																						
# Way of the Four Elements																																						
Disciple of the Elements	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:When you choose this tradition at 3rd level, you learn magical disciplines that harness the power of the four elements. A discipline requires you to spend ki points each time you use it. You know the Elemental Attunement discipline and one other elemental discipline of your choice, which are detailed in the "Elemental Disciplines" section below. You learn one additional elemental discipline of your choice at 6th, 11th, and 17th level. Whenever you learn a new elemental discipline, you can also replace one elemental discipline that you already know with a different discipline. Casting Elemental Spells. Some elemental disciplines allow you to cast spells. See chapter 10 for the general rules of spellcasting. To cast one of these spells, you use its casting time and other rules, but you don't need to provide material components for it. Once you reach 5th level in this class, you can spend additional ki points to increase the level of an elemental discipline spell that you cast, provided that the spell has an enhanced effect at a higher level, as burning hands does. The spell's level increases by 1 for each additional ki point you spend. For example, if you are a 5th-level monk and use Sweeping Cinder Strike to cast burning hands, you can spend 3 ki points to cast it as a 2nd-level spell (the discipline's base cost of 2 ki points plus 1). The maximum number of ki points you can spend to cast a spell in this way (including its base ki point cost and any additional ki points you spend to increase its level) is equal to %1.|ElementalKiLimit	KEY:Way of the Four Elements ~ Disciple of the Elements				DEFINE:ElementalKiLimit|0	DEFINE:ElementalDisciplineCount|0				BONUS:ABILITYPOOL|Elemental Discipline|ElementalDisciplineCount	BONUS:VAR|ElementalKiLimit|2+(MonkLVL>=5)+(MonkLVL>=9)+(MonkLVL>=13)+(MonkLVL>=17)	BONUS:VAR|ElementalDisciplineCount|1+(MonkLVL>=6)+(MonkLVL>=11)+(MonkLVL>=17)																SOURCEPAGE:PHB						
Elemental Disciplines	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature		DESC:The elemental disciplines are presented in alphabetical order. If a discipline requires a level, you must be that level in this class to learn the discipline.	KEY:Way of the Four Elements ~ Elemental Disciplines																		ABILITY:Elemental Discipline|AUTOMATIC|Elemental Discipline ~ Elemental Attunement									SOURCEPAGE:PHB						
# Elemental Disciplines																																						
Breath of Winter	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:(17th Level Required). You can spend 6 ki points to cast cone of cold.	KEY:Elemental Discipline ~ Breath of Winter	PRECLASS:1,Monk=17																	SPELLS:Monk|Cone of Cold,8+Proficiency_Bonus+WIS									SOURCEPAGE:PHB						
Clench of the North Wind	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:(6th Level Required). You can spend 3 ki points to cast hold person.	KEY:Elemental Discipline ~ Clench of the North Wind	PRECLASS:1,Monk=6																	SPELLS:Monk|Hold Person,8+Proficiency_Bonus+WIS									SOURCEPAGE:PHB						
Elemental Attunement	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:You can use your action to briefly control elemental forces nearby, causing one of the following effects of your choice: Create a harmless, instantaneous sensory effect related to air, earth, fire, or water, such as a shower of sparks, a puff of wind, a spray of light mist, or a gentle rumbling of stone.	KEY:Elemental Discipline ~ Elemental Attunement	DESC:&nl;Instantaneously light or snuff out a candle, a torch, or a small campfire.	DESC:&nl;Chill or warm up to 1 pound of nonliving material for up to 1 hour.	DESC:&nl;Cause earth, fire, water, or mist that can fit within a 1-foot cube to shape itself into a crude form you designate for 1 minute.																								SOURCEPAGE:PHB						
Eternal Mountain Defense	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:(17th Level Required). You can spend 5 ki points to cast stoneskin, targeting yourself.	KEY:Elemental Discipline ~ Eternal Mountain Defense	PRECLASS:1,Monk=17																	SPELLS:Monk|Stoneskin(Eternal Mountain Defense)									SOURCEPAGE:PHB						
Fangs of the Fire Snake	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:When you use the Attack action on your turn, you can spend 1 ki point to cause tendrils of flame to stretch out from your fists and feet. Your reach with your unarmed strikes increases by 10 feet for that action, as well as the rest of the turn. A hit with such an attack deals fire damage instead of bludgeoning damage, and if you spend 1 ki point when the attack hits, it also deals an extra 1d10 fire damage.	KEY:Elemental Discipline ~ Fangs of the Fire Snake																											SOURCEPAGE:PHB						
Fist of Four Thunders	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:You can spend 2 ki points to cast thunderwave.	KEY:Elemental Discipline ~ Fist of Four Thunders																		SPELLS:Monk|Thunderwave,8+Proficiency_Bonus+WIS									SOURCEPAGE:PHB						
Fist of Unbroken Air	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:You can create a blast of compressed air that strikes like a mighty fist. As an action, you can spend 2 ki points and choose a creature within 30 feet of you. That creature must make a Strength saving throw. On a failed save, the creature takes 3d10 bludgeoning damage, plus an extra 1d10 bludgeoning damage for each additional ki point you spend, and you can push the creature up to 20 feet away from you and knock it prone. On a successful save, the creature takes half as much damage, and you don't push it or knock it prone.	KEY:Elemental Discipline ~ Fist of Unbroken Air																											SOURCEPAGE:PHB						
Flames of the Phoenix	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:(11th Level Required). You can spend 4 ki points to cast fireball.	KEY:Elemental Discipline ~ Flames of the Phoenix	PRECLASS:1,Monk=11																	SPELLS:Monk|Fireball,8+Proficiency_Bonus+WIS									SOURCEPAGE:PHB						
Gong of the Summit	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:(6th Level Required). You can spend 3 ki points to cast shatter.	KEY:Elemental Discipline ~ Gong of the Summit	PRECLASS:1,Monk=6																	SPELLS:Monk|Shatter,8+Proficiency_Bonus+WIS									SOURCEPAGE:PHB						
Mist Stance	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:(11th Level Required). You can spend 4 ki points to cast gaseous form, targeting yourself.	KEY:Elemental Discipline ~ Mist Stance	PRECLASS:1,Monk=11																	SPELLS:Monk|Gaseous Form(Mist Stance)									SOURCEPAGE:PHB						
Ride the Wind	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:(11th Level Required). You can spend 4 ki points to cast fly, targeting yourself.	KEY:Elemental Discipline ~ Ride the Wind	PRECLASS:1,Monk=11																	SPELLS:Monk|Fly(Ride the Wind)									SOURCEPAGE:PHB						
River of Hungry Flame	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:(17th Level Required). You can spend 5 ki points to cast wall of fire.	KEY:Elemental Discipline ~ River of Hungry Flame	PRECLASS:1,Monk=17																	SPELLS:Monk|Wall of Fire,8+Proficiency_Bonus+WIS									SOURCEPAGE:PHB						
Rush of the Gale Spirits	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:You can spend 2 ki points to cast gust of wind.	KEY:Elemental Discipline ~ Rush of the Gale Spirits																		SPELLS:Monk|Gust of Wind,8+Proficiency_Bonus+WIS									SOURCEPAGE:PHB						
Shape the Flowing River	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:As an action, you can spend 1 ki point to choose an area of ice or water no larger than 30 feet on a side within 120 feet of you. You can change water to ice within the area and vice versa, and you can reshape ice in the area in any manner you choose. You can raise or lower the ice's elevation, create or fill in a trench, erect or flatten a wall, or form a pillar. The extent of any such changes can't exceed half the area's largest dimension. For example, if you affect a 30-foot square, you can create a pillar up to 15 feet high, raise or lower the square's elevation by up to 15 feet, dig a trench up to 15 feet deep, and so on. You can't shape the ice to trap or injure a creature in the area.	KEY:Elemental Discipline ~ Shape the Flowing River																											SOURCEPAGE:PHB						
Sweeping Cinder Strike	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:You can spend 2 ki points to cast burning hands.	KEY:Elemental Discipline ~ Sweeping Cinder Strike																		SPELLS:Monk|Burning Hands,8+Proficiency_Bonus+WIS									SOURCEPAGE:PHB						
Water Whip	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:You can spend 2 ki points as an action to create a whip of water that shoves and pulls a creature to unbalance it. A creature that you can see that is within 30 feet of you must make a Dexterity saving throw. On a failed save, the creature takes 3d10 bludgeoning damage, plus an extra 1d10 bludgeoning damage for each additional ki point you spend, and you can either knock it prone or pull it up to 25 feet closer to you. On a successful save, the creature takes half as much damage, and you don't pull it or knock it prone.	KEY:Elemental Discipline ~ Water Whip																											SOURCEPAGE:PHB						
Wave of Rolling Earth	CATEGORY:Special Ability	TYPE:Monk Class Feature.SpecialQuality.Class Feature.Elemental Discipline Selection		DESC:(17th Level Required). You can spend 6 ki points to cast wall of stone.	KEY:Elemental Discipline ~ Wave of Rolling Earth	PRECLASS:1,Monk=17																	SPELLS:Monk|Wall of Stone,8+Proficiency_Bonus+WIS									SOURCEPAGE:PHB						
																																						
																																						
###Block - Support																																						
# COMMENT:  Var works, but the ABILITY grant is not getting applied by the var...																																						
CATEGORY=Special Ability|Monk ~ Martial Arts.MOD	DEFINE:MonkUnarmedTier|0	BONUS:VAR|MonkUnarmedTier|(MonkLVL>=5)+(MonkLVL>=12)+(MonkLVL>=17)																																				
CATEGORY=Special Ability|Monk ~ Martial Arts.MOD	ABILITY:Internal|AUTOMATIC|Monk Unarmed Damage LVL 1|PREVAREQ:MonkUnarmedTier,0																																					
CATEGORY=Special Ability|Monk ~ Martial Arts.MOD	ABILITY:Internal|AUTOMATIC|Monk Unarmed Damage LVL 5|PREVAREQ:MonkUnarmedTier,1																																					
CATEGORY=Special Ability|Monk ~ Martial Arts.MOD	ABILITY:Internal|AUTOMATIC|Monk Unarmed Damage LVL 12|PREVAREQ:MonkUnarmedTier,2																																					
CATEGORY=Special Ability|Monk ~ Martial Arts.MOD	ABILITY:Internal|AUTOMATIC|Monk Unarmed Damage LVL 17|PREVAREQ:MonkUnarmedTier,3																																					
																																						
###Block - Monk Unarmed Damage																																						
Monk Unarmed Damage LVL 1	CATEGORY:Internal													BONUS:VAR|MonkUnarmedDice|1|TYPE=Base	BONUS:VAR|MonkUnarmedDieSize|4|TYPE=Base								UDAM:1d4	UMULT:2								SOURCEPAGE:PHB						
Monk Unarmed Damage LVL 5	CATEGORY:Internal													BONUS:VAR|MonkUnarmedDice|1|TYPE=Base	BONUS:VAR|MonkUnarmedDieSize|6|TYPE=Base								UDAM:1d6	UMULT:2								SOURCEPAGE:PHB						
Monk Unarmed Damage LVL 12	CATEGORY:Internal													BONUS:VAR|MonkUnarmedDice|1|TYPE=Base	BONUS:VAR|MonkUnarmedDieSize|8|TYPE=Base								UDAM:1d8	UMULT:2								SOURCEPAGE:PHB						
