SOURCELONG:Epic Level Handbook 3.0	SOURCESHORT:ELH30	SOURCEWEB:http://www.gozzilioni.net																																																				
#																																																						
# Feat Name	CATEGORY:	TYPE:	visible	key	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	DESC:	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page												
Negative Energy Burst	CATEGORY:FEAT	TYPE:Epic.Divine	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Rebuke Undead									PRESTAT:1,CHA=25				PRESPELL:1,Inflict Critical Wounds	PREALIGN:LE,NE,CE				DESC:You can use one rebuke or command undead attempt to unleash a wave of negative energy in a 60-footburst. Roll a normal rebuke (or command) check, except that the negative energy burst affects living creatures rather than undead. Any creature that would be rebuked by this result gains one negative level. Any creature that would be commanded by this check gains two negative levels. The Fortitude save DC to remove these levels one day later is equal to 10 + 1/2 your effective turning level + your Charisma modifier.																	SOURCEPAGE:ELH												
Overwhelming Critical	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:5,CATEGORY=FEAT,Cleave,Great Cleave,Improved Critical,Power Attack,Weapon Focus									PRESTAT:1,STR=23									DESC:See text.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|ABILITY=FEAT[Improved Critical]														SOURCEPAGE:ELH												
Penetrate Damage Reduction	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																			DESC:Your melee weapons (including natural weapons) are treated as being crafted from the chosen special material for purposes of bypassing the damage reduction of any creature you strike. None of the other special properties of special materials (such as adamantine's ability to ignore hardness, or the -1 penalty to damage for silver weapons) are gained by your melee weapons.	STACK:NO	MULT:YES	CHOOSE:STRING|Silver|Adamantine|Cold Iron														SOURCEPAGE:ELH												
Perfect Health	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Great Fortitude									PRESTAT:1,CON=25									DESC:You are immune to all nonmagical diseases, as well as to all poisons whose Fortitude save DC is 25 or less.																	SOURCEPAGE:ELH												
Perfect Multiweapon Fighting	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=FEAT,Greater Multiweapon Fighting,Multiweapon Fighting									PRESTAT:1,DEX=25					PREHANDSGTEQ:3				DESC:You can make as many attacks with each extra weapon as with your primary weapon, using the same base attack bonus. For example, a four-armed creature with this feat and a base attack of +18/+13/+8/+3 could make four attacks per round with his primary weapon and four attacks per round with each extra weapon, using this base attack bonus. You still take the normal penalties for fighting with two weapons.															BONUS:COMBAT|SECONDARYATTACKS|1		SOURCEPAGE:ELH	SERVESAS:ABILITY=FEAT|Perfect Two-Weapon Fighting											
Perfect Two-Weapon Fighting	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=FEAT,Greater Two-Weapon Fighting,Improved Two-Weapon Fighting,Two-Weapon Fighting									PRESTAT:1,DEX=25									DESC:You can make as many attacks with your offhand weapon as with your primary weapon, using the same base attack bonus. For example, a character with this feat and a base attack bonus of +18/+13/+8/+3 could make four attacks per round with his primary weapon and four attacks per round with his off-hand weapon using this base attack bonus. You still take the normal penalties for fighting with two weapons.															BONUS:COMBAT|SECONDARYATTACKS|1		SOURCEPAGE:ELH	SERVESAS:ABILITY=FEAT|Perfect Multiweapon Fighting											
Permanent Emanation	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Spellcraft=25												DESC:Designate any one of your spells whose area is an emanation from you, such as detect magic. This spell effect is permanent (though you can dismiss or restart it as a free action). Effects that would normally dispel you spell instead suppress it for 2d4 rounds.	STACK:NO	MULT:YES	CHOOSE:SPELLS|ALL[KNOWN=YES]														SOURCEPAGE:ELH												
Planar Turning	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Turn Undead,Rebuke Undead									PRESTAT:2,WIS=25,CHA=25									DESC:See text.																	SOURCEPAGE:ELH	BONUS:ABILITYPOOL|Turn Outsider|1											
Plant Wild Shape	CATEGORY:FEAT	TYPE:Epic.Wild	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Knowledge (Nature)=24			PRESTAT:1,WIS=25						PREVARGTEQ:WildShapeTimes,4			DESC:You can use your normal wild shape ability to take the form of a plant. The size limitation is the same as your limitation on animal size.																	SOURCEPAGE:ELH												
Polygloth	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,INT=25					PRELANG:5,TYPE=Spoken				DESC:You can speak all languages. If you're literate, you can also read and write all languages (not including magical script).																	SOURCEPAGE:ELH	AUTO:LANG|TYPE=Spoken											
Positive Energy Aura	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Turn Undead									PRESTAT:1,CHA=25					PRESPELL:1,Dispel Evil				DESC:Every undead creature that comes within 15 feet of you is automatically affected as if you had turned it. This doesn't cost a turning attempt, and you don't have to roll turning damage (it automatically affects all undead in a 15-foot burst), but it only turns undead with Hit Dice equal to or less than your effective cleric level minus 10 (and automatically destroys undead with Hit Dice equal to or less than your effective cleric level minus 20). For example, a 22nd-level cleric would automatically turn any nearby wights or wraiths and would automatically destroy any Medium-size skeletons or zombies that came near him, but would have to turn nightshades and the like normally. Just as with normal turning, you can't affect undead that have total cover relative to you.																	SOURCEPAGE:ELH												
Ranged Inspiration	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Bardic Music						PRESKILL:1,TYPE.Perform=25												DESC:Double the range of any bardic music ability that has a range. For instance, you can use countersong to protect creatures within 60 feet of you (rather than 30 feet); you can fascinate a creature up to 180 feet away; and you can inspire competence or greatness in an ally up to 60 feet away. (If the creature must hear the bard to be affected by the ability, that requirement doesn't change regardless of any extended range the bard's ability may have.) Special: A character can gain this feat multiple times. Its effects stack. Remember that two doublings equals a tripling, and so forth.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH												
Rapid Inspiration	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Bardic Music						PRESKILL:1,TYPE.Perform=25												DESC:You can use any of your bardic music inspiration abilities as a standard action. The inspiration takes effect immediately after you conclude the action.																	SOURCEPAGE:ELH												
Reactive Countersong	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Combat Reflexes	PREABILITY:1,CATEGORY=Special Ability,Bardic Music					PRESKILL:1,TYPE.Perform=30												DESC:You can begin a countersong at any time, even when it isn't your turn (much like a wizard who has readied a counterspell action), though you don't have to ready an action to do so. Thus, you could use the countersong as a reaction to a sonic or language-dependent magical attack. You can't use Reactive Countersong at the same time  you are using another bardic music ability (though you could stop the other bardic music ability to begin Reactive Countersong if so desired).																	SOURCEPAGE:ELH												
Reflect Arrows	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=FEAT,Deflect Arrows,Improved Unarmed Strike									PRESTAT:1,DEX=25									DESC:When you deflect an arrow or other ranged attack, the attack is reflected back upon the attacker at your base ranged attack bonus.																	SOURCEPAGE:ELH												
Righteous Strike	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=FEAT,Improved Unarmed Strike,Stunning Fist	PREABILITY:1,CATEGORY=Special Ability,Ki Strike								PRESTAT:1,WIS=19						PREVARGTEQ:KiStrikeLawful,1			DESC:Your unarmed strike is treated as an axiomatic weapon (it is lawfully aligned and deals an extra 2d6 points of damage against creatures of chaotic alignment). This ability doesn't stack with similar abilities (for instance, if some other effect has granted the axiomatic property to your unarmed strike).																	SOURCEPAGE:ELH												
Ruinous Rage	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=FEAT,Power Attack,Sunder									PRESTAT:1,STR=25						PREVARGTEQ:RageTimes,5			DESC:While in a rage, you ignore the hardness of any object you strike. Also, double your Strength bonus for the purposes of any Strength check made to break an object with sudden force rather than by dealing normal damage (including bursting bindings, such as ropes or manacles).																	SOURCEPAGE:ELH												
Scribe Epic Scroll	CATEGORY:FEAT	TYPE:Epic.ItemCreation	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Scribe Scroll						PRESKILL:2,Knowledge (Arcana)=24,Spellcraft=24												DESC:You can scribe scrolls that exceed the normal limits for such items (as stated in this book and in the DUNGEON MASTER's Guide). For instance, you could scribe a scroll with spells of greater than 9th level, or a scroll with a caster level greater than 20th. Even this feat does not allow you to scribe a scroll with an epic spell (see Chapter 2: Epic Spells). Such magic defies the power of the written word and thus cannot be scribed into scroll form.																	SOURCEPAGE:ELH												
Self Concealment	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Bane of Enemies	PREVARLTEQ:SelfConcealmentConcealment,50					PRESKILL:2,Hide=30,Tumble=30			PRESTAT:1,DEX=30						PREVARGTEQ:EvasionTracker,2		DEFINE:SelfConcealmentConcealment|0	DESC:Attacks against you have a 10%% miss chance, similar to the effect of concealment. You lose this benefit whenever you would lose your Dexterity bonus to AC.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|SelfConcealmentConcealment|10			SOURCEPAGE:ELH	DESC:%1%% concealment.|SelfConcealmentConcealment											
Shattering Strike	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Epic Weapon Focus (Unarmed Strike),Weapon Focus (Unarmed Strike)						PRESKILL:1,Concentration=25									PREVARGTEQ:KiStrikeAdamantine,1			DESC:When using an unarmed strike to attempt to break an object with sudden force (rather than by dealing normal damage), make a Concentration check rather than a Strength check. The break DC remains the same. Using Shattering Strike is a full-round action that incurs attacks of opportunity. You can't use Shattering Strike to escape bonds (unless you are so bound as to allow you to make an unarmed strike against your bindings, such as when you are bound by a length of chain).																	SOURCEPAGE:ELH												
Sneak Attack of Opportunity	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=Special Ability,Sneak Attack,Rogue Special Ability ~ Opportunist															PREVARGTEQ:SneakAttackDice,8			DESC:Any attack of opportunity you make is considered a sneak attack.																	SOURCEPAGE:ELH												
Spectral Strike	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Turn Undead,Rebuke Undead									PRESTAT:1,WIS=19									DESC:Your attacks deal damage normally against incorporeal creatures.																	SOURCEPAGE:ELH												
Spell Knowledge	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21															PRETEXT:Ability to cast spells of the maximum normal spell level of an arcane spellcasting class.				DESC:See text.	STACK:YES	MULT:YES	CHOOSE:SPELLLEVEL|SPELLTYPE=Arcane|0|MAXLEVEL	BONUS:SPELLKNOWN|%LIST|1													SOURCEPAGE:ELH												
Spell Opportunity	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:3,CATEGORY=FEAT,Combat Casting,Combat Reflexes,Quicken Spell						PRESKILL:1,Spellcraft=25												DESC:Whenever you are allowed an attack of opportunity, you may cast (and attack with) a touch spell as your attack of opportunity. This incurs attacks of opportunity just as if you had cast the spell normally.																	SOURCEPAGE:ELH												
Spell Stowaway	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Spellcraft=24								PRECLASS:1,SPELLCASTER=12				DESC:You are attuned to the magic you chose. If another spellcaster within 300 feet of you uses this magic, you also immediately gain the magic's effect as if it had been used on you by the same caster. You must have direct line of effect to the spellcaster in order to gain the benefit of the attuned magic (though you do not have to know the spellcaster is present, and you can be flat-footed). The magic's duration, effect, and other specifics are determined by its original caster's level.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH												
Spellcasting Harrier	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Combat Reflexes																		DESC:Any spellcaster you threaten in melee takes a penalty on Concentration checks made to cast defensively equal to 1/2 your level																	SOURCEPAGE:ELH												
Spontaneous Domain Access	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Spellcraft=30			PRESTAT:1,WIS=25					PRETEXT:Ability to cast 9th divine spells.				DESC:You may spontaneously convert any prepared cleric spell (except a domain spell) into a domain spell of the same level in the selected domain, just as a cleric channels energy to convert spells into cure spells.	STACK:NO	MULT:YES	CHOOSE:DOMAIN|PC														SOURCEPAGE:ELH												
Spontaneous Spell	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Spellcraft=25								PRETEXT:Ability to cast the maximum normal spell level of at least one spellcasting class.				DESC:You may spontaneously convert any prepared spell of the selected spell's level into the selected spell, just as a cleric channels energy to convert spells into cure spells	STACK:NO	MULT:YES	CHOOSE:SPELLS|SPELLTYPE=Arcane[KNOWN=YES]|SPELLTYPE=Divine[KNOWN=YES]														SOURCEPAGE:ELH												
Storm of Throws	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:3,CATEGORY=FEAT,Point Blank Shot,Quick Draw,Rapid Shot									PRESTAT:1,DEX=23									DESC:As a full-round action, you may throw a light weapon at your full base attack bonus at each opponent within 30 feet. All light weapons thrown need not be the same type; for instance, a human could throw a mix of daggers, darts, and throwing axes.																	SOURCEPAGE:ELH												
Superior Initiative	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Improved Initiative																		DESC:You get a +8 bonus on initiative checks. This bonus overlaps (does not stack with) the bonus from Improved Initiative.									BONUS:VAR|InitiativeBonus|8|TYPE=Base								SOURCEPAGE:ELH												
Swarm of Arrows	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:3,CATEGORY=FEAT,Point Blank Shot,Rapid shot,Weapon Focus																		DESC:As a full-round action, you may fire an arrow at your full base attack bonus at each opponent within 30 feet.																	SOURCEPAGE:ELH												
Tenacious Magic	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Spellcraft=15												DESC:Choose one spell you know or spell-like ability you possess, such as improved invisibility or stoneskin. Whenever the chosen form of magic would otherwise end due to a dispel effect, the magic is instead only suppressed for 1d4 rounds. The magic still ends when its duration expires, but the suppressed rounds do not count against its duration. You can dismiss your own spell or spell-like ability (if dismissible) or dispel your own tenacious magic normally.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:ELH												
Terrifying Rage	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Intimidate=25									PREVARGTEQ:RageTimes,5			DESC:See text.																	SOURCEPAGE:ELH												
Thundering Rage	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21										PRESTAT:1,STR=25						PREVARGTEQ:RageTimes,5			DESC:Any weapon you wield while in a rage is treated as a thundering weapon (see the DUNGEON MASTER's Guide). The DC of the Fortitude save to resist deafness is equal to 10 + 1/2 your level. This ability does not stack with similar abilities (for instance, if the weapon is already a thundering weapon).																	SOURCEPAGE:ELH												
Epic Trapfinding	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Rogue ~ Trapfinding						PRESKILL:1,Search=25,Spot=25												DESC:If you pass within 5 feet of a trap, you are entitled to a Search check to notice it as if you were actively looking for it.																	SOURCEPAGE:ELH												
Two-Weapon Rend	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES		PRETOTALAB:9	PRELEVEL:MIN=21	PREABILITY:2,CATEGORY=FEAT,Improved Two-Weapon Fighting,Two-Weapon Fighting									PRESTAT:1,DEX=15									DESC:If you hit an opponent with a weapon in each hand in the same round, you may automatically rend the opponent. This deals additional damage equal to the base damage of the smaller weapon plus 1 1/2 times your Strength modifier. Base weapon damage includes an enhancement bonus on damage, if any. You can only rend once per round, regardless of how many successful attacks you make.																	SOURCEPAGE:ELH	SERVESAS:ABILITY=FEAT|Multiweapon Rend											
Uncanny Accuracy	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES		PRETOTALAB:11	PRELEVEL:MIN=21	PREABILITY:3,CATEGORY=FEAT,Improved Precise Shot,Point Blank Shot,Precise Shot						PRESKILL:1,Spot=20			PRESTAT:1,DEX=21									DESC:Your ranged attacks ignore the miss chance granted to targets by total concealment. You must aim your attacks at the correct square to gain the advantage of this feat.																	SOURCEPAGE:ELH												
Uncanny Accuracy (Ranger)	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21															PRECLASS:1,Ranger=11				DESC:Your ranged attacks ignore the miss chance granted to targets by total concealment. You must aim your attacks at the correct square to gain the advantage of this feat.																	SOURCEPAGE:ELH	SERVESAS:ABILITY=FEAT|Uncanny Accuracy											
Undead Mastery	CATEGORY:FEAT	TYPE:Epic.Divine	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Rebuke Undead									PRESTAT:1,CHA=21									DESC:You may command up to ten times your level in HD of undead.																	SOURCEPAGE:ELH												
Unholy Strike	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Smite Good														PREALIGN:LE,NE,CE				DESC:Any weapon you wield is treated as an unholy weapon (it is evil-aligned and deals an extra 2d6 points of damage against creatures of good alignment). This ability doesn't stack with similar abilities (for instance, if the weapon is already unholy). If the weapon already has an alignment, this feat has no effect on the weapon.																	SOURCEPAGE:ELH												
Vermin Wild Shape	CATEGORY:FEAT	TYPE:Epic.Wild	VISIBLE:YES			PRELEVEL:MIN=21							PRESKILL:1,Knowledge (Nature)=24									PREVARGTEQ:WildShapeTimes,6			DESC:You can use your normal wild shape ability to take the form of a vermin. The size limitation is the same as your limitation on animal size.																	SOURCEPAGE:ELH												
Vorpal Strike	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Improved Critical (Unarmed Strike),Improved Unarmed Strike,Stunning Fist	PREABILITY:1,CATEGORY=Special Ability,Ki Strike								PRESTAT:2,STR=25,WIS=25						PREVARGTEQ:KiStrikeAdamantine,1			DESC:Your unarmed strike is considered to be a slashing vorpal weapon. (At your option, any unarmed strike can do bludgeoning damage instead, but it loses the vorpal quality.) This ability doesn't stack with similar abilities (for instance, if some other effect has already granted your unarmed strikes the vorpal quality).																	SOURCEPAGE:ELH												
Widen Aura of Courage	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Paladin ~ Aura of Courage									PRESTAT:1,CHA=25									DESC:Your aura of courage extends to all allies within 100 feet of you.																	SOURCEPAGE:ELH												
Widen Aura of Despair	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=Special Ability,Blackguard ~ Aura of Despair									PRESTAT:1,CHA=25									DESC:Your aura of despair extends to all allies within 100 feet of you.																	SOURCEPAGE:ELH												
Zone of Animation	CATEGORY:FEAT	TYPE:Epic.Divine	VISIBLE:YES			PRELEVEL:MIN=21	PREABILITY:1,CATEGORY=FEAT,Undead Mastery	PREABILITY:1,CATEGORY=Special Ability,Rebuke Undead								PRESTAT:1,CHA=25									DESC:You can use a rebuke or command undead attempt to animate corpses within range of your rebuke or command attempt. You animate a total number of HD of undead equal to the number of undead that would be commanded by your result (though you can't animate more undead than there are available corpses within range). You can't animate more undead with any single attempt than the maximum number you can command (including any undead already under your command). These undead are automatically under your command, though your normal limit of commanded undead still applies. If the corpses are relatively fresh, the animated undead are zombies. Otherwise, they are skeletons.																	SOURCEPAGE:ELH												
Resist Death	CATEGORY:FEAT	TYPE:Epic	VISIBLE:YES			PRELEVEL:MIN=21																		DEFINE:DamageThreshold|0	DESC:The amount of damage from a single attack that causes you to make a Fortitude save (DC 15) or die doubles (from 50 points to 100 points).	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|DamageThreshold|50			SOURCEPAGE:ELH, p. 111	DESC:%1 massive damage threshold.|DamageThreshold											
Enhance Item	CATEGORY:FEAT	TYPE:Generic.ItemCreation	VISIBLE:YES				PREABILITY:1,CATEGORY=FEAT,TYPE.ItemCreation																		DESC:Choose any item creation feat you already know. When you create an item with that feat, adjust the DC for saving throws required by the magic item, if any, by your key ability modifier.	STACK:NO	MULT:YES	CHOOSE:FEAT|PC[TYPE=ItemCreation] 														SOURCEPAGE:ELH, p. 114												
