SOURCELONG:Fiend Folio	SOURCESHORT:FF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-04																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	DESC:					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Tremorsense	CATEGORY:Special Ability	TYPE:LucentWormRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A lucent worm can automatically sense the location of anything within 60 feet that is in contact with the ground.	KEY:Lucent Worm ~ Tremorsense									BONUS:VAR|TremorsenseRange|60|TYPE=Base																		SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:LucentWormRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Lucent worms have a +15 racial bonus on Hide checks. Lucent worms have a +8 racial bonus on any Swim check to perform some special action or avoid a hazard and can always choose to take 10 on Swim checks, even if distracted or endangered.	KEY:Lucent Worm ~ Skills									BONUS:SKILL|Hide|15|TYPE=Racial	BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																	SOURCEPAGE:FF	
																																	
Race Traits ~ Maelephant	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MaelephantRaceTrait|Scent	AUTO:LANG|Common|Infernal										BONUS:VAR|FastHealing|2|TYPE=Base																			
Breath Weapon	CATEGORY:Special Ability	TYPE:MaelephantRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:Three times per day, a maelephant can breathe out a cloud of noxious vapor 10 feet wide and 30 feet long. Victims within the area of the cloud must make a Fortitude save (DC %4) or suffer complete memory loss. Memory loss suppresses all of a creature's ranks in its skills and its feats, and it prevents the use of any class abilities (including spellcasting). Currently prepared spells are not lost; they are simply not accessible to be cast. Racial abilities are retained. Additionally, the victim no longer knows who its friends and enemies are, doesn't remember its past, and can't even remember its name. The victim can create new memories, but each time it sleeps or rests, any new memories it has created vanish. This condition can be cured by any effect that cures poison (a heal or neutralize poison spell, for example); otherwise, it is permanent. The save DC is Constitution-based.|BreathWeaponCone|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Maelephant ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)								ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:FF	
Frenzied Charge	CATEGORY:Special Ability	TYPE:MaelephantRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Once per minute, a maelephant can make a frenzied charge. During the round in which this occurs, the maelephant's speed increases to 45 feet and it gains a +2 bonus on all attack rolls. This bonus stacks with any bonuses gained from making a charge attack.	KEY:Maelephant ~ Frenzied Charge																											SOURCEPAGE:FF	
Improved Grab	CATEGORY:Special Ability	TYPE:MaelephantRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If a maelephant hits an opponent that is at least one size category smaller than itself with a claw attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (grapple bonus +18). If it gets a hold, it automatically hits with its trunk-spike. Thereafter, the maelephant has the option to conduct the grapple normally, or simply use its claw to hold the opponent (-20 penalty on grapple check, but the maelephant is not considered grappled). In either case, each successful grapple check it makes during successive rounds automatically deals claw damage.	KEY:Maelephant ~ Improved Grab																											SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:MaelephantRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Maelephant ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Alarm|Entangle|Gust of Wind|Light|True Seeing|Warp Wood	SPELLS:Innate|TIMES=3|CASTERLEVEL=8|Blade Barrier|Baleful Polymorph								SOURCEPAGE:FF	
Defensive Stance	CATEGORY:Special Ability	TYPE:MaelephantRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Once per encounter, a maelephant can adopt a defensive stance as a free action on its turn. In this defensive stance, the maelephant gains +2 Strength, +4 Constitution, a +2 resistance bonus on all saves, and a +4 dodge bonus to Armor Class. The following changes are in effect as long as the defensive stance lasts: HD 8d8+40 (76 hp); AC 24, touch 13, flat-footed 20; Base Attack/Grapple +9/+19; Full Attack 2 claws +14 melee and trunk-spike +9 melee; Damage claw 1d6+7, trunk-spike 2d6+4; SV Fort +11, Ref +8, Will +14; Str 24, Con 20; Concentration +16, Jump +17. These benefits persist for a number of rounds equal to 3 + the maelephant's newly improved Constitution modifier, or until the maelephant moves. While in a defensive stance, a maelephant cannot use skills or abilities that require it to shift its position. A maelephant can end its defensive stance at will. At the end of the defensive stance, the maelephant takes a -2 penalty to Strength for the duration of the current encounter.	KEY:Maelephant ~ Defensive Stance				DEFINE:MaelephantDefensiveStanceTimes|0	DEFINE:MaelephantDefensiveStanceLVL|0				BONUS:VAR|DefensiveStanceTimes|1	BONUS:VAR|MaelephantDefensiveStanceLVL|OutsiderLVL								ABILITY:Special Ability|AUTOMATIC|Defensive Stance									SOURCEPAGE:FF	
Keen Senses	CATEGORY:Special Ability	TYPE:MaelephantRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A maelephant's sight is four times as good as a human's. It has low-light vision and darkvision to a range of 240 feet.	KEY:Maelephant ~ Keen Senses									BONUS:VAR|LowLightDistance|2	BONUS:VAR|DarkvisionRange|240|TYPE=Base																	SOURCEPAGE:FF	
																																	
Race Traits ~ Maug	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MaugRaceTrait	AUTO:LANG|Common|Draconic|Giant										BONUS:VAR|AdvancementByClass|1									ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy		AUTO:WEAPONPROF|Sword (Two-Bladed)	ABILITY:FEAT|AUTOMATIC|Alertness							
Pulverize	CATEGORY:Special Ability	TYPE:MaugRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Three times per day as a standard action, a maug can touch an object and negate its hardness for 1d4 rounds (Fortitude DC %1 negates). This power can affect an object of up to 1,000 cubic feet in volume (a 10-foot cube); if the object is larger, only a 10-foot cube of it is affected. Unattended nonmagical objects do not receive a saving throw. If a creature holds, wears, or carries the object, the maug must succeed on a melee touch attack. This attack does not provoke an attack of opportunity. Many maug fighters learn the Improved Sunder feat to use this power against dangerous foes.|PulverizeDC	KEY:Maug ~ Pulverize				DEFINE:PulverizeDC|0					BONUS:VAR|PulverizeDC|DefaultDCStr	BONUS:VAR|PulverizeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Pulverize)								ABILITY:Ability Focus|AUTOMATIC|Pulverize									SOURCEPAGE:FF	
Rapid Repair	CATEGORY:Special Ability	TYPE:MaugRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A maug that rests for 1 full hour repairs 1 point of damage, so long as it has at least 1 hit point. Rapid repair does not allow a maug to regrow or reattach lost body parts. A character can assist a maug's self-repair with a Craft (stonemasonry) check (DC 15). If the check is successful, the maug repairs 2 hit points per hour of rest. Providing assistance to the maug counts as light activity for the assisting character, and a character can assist only one maug at a time. A maug cannot assist its own repair.	KEY:Maug ~ Rapid Repair																											SOURCEPAGE:FF	
Grafts	CATEGORY:Special Ability	TYPE:MaugRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When maugs are created on the plane of Acheron, they are frequently equipped with special grafts. These grafts are described in the Maug Grafts section in Appendix 2. A maug without class levels can have up to 2,000 gp worth of maug grafts. A maug with class levels can purchase additional grafts with treasure it amasses.	KEY:Maug ~ Grafts				DEFINE:UseMaugGrafts|0					BONUS:VAR|UseMaugGrafts|1|TYPE=Base																		SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:MaugRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Maugs receive skills as though they were outsiders. *Due to their innate understanding of machinery and engineering, maugs have a +4 racial bonus on Craft (stonemasonry) and Knowledge (architecture and engineering) checks.	KEY:Maug ~ Skills									BONUS:SKILL|Craft (Stonemasonry),Knowledge (Architecture and Engineering)|4|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Maulgoth	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MaulgothRaceTrait	AUTO:LANG|Undercommon|Terran																													
Constrict	CATEGORY:Special Ability	TYPE:MaulgothRaceTrait.SpecialAttack.Extraordinary.Constrict	VISIBLE:YES	DESC:With a successful grapple check, a maulgoth can constrict a grabbed opponent, dealing 3d6+3 points of bludgeoning damage.	KEY:Maulgoth ~ Constrict									BONUS:VAR|ConstrictDice|3	BONUS:VAR|ConstrictDieSize|6|TYPE=Base																	SOURCEPAGE:FF	
Ethereal Jolt	CATEGORY:Special Ability	TYPE:MaulgothRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:As a standard action, a maulgoth can attempt to force an opponent onto the Ethereal Plane. The maulgoth makes a touch attack with one of its tentacles, and if the attack hits, the creature struck must make a Fortitude saving throw (DC %1) to avoid being forced onto the Ethereal Plane.|EtherealJoltDC	KEY:Maulgoth ~ Ethereal Jolt				DEFINE:EtherealJoltDC|0					BONUS:VAR|EtherealJoltDC|DefaultDCStr	BONUS:VAR|EtherealJoltDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Ethereal Jolt)								ABILITY:Ability Focus|AUTOMATIC|Ethereal Jolt									SOURCEPAGE:FF	
Improved Grab	CATEGORY:Special Ability	TYPE:MaulgothRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If a maulgoth hits an opponent that is at least one size category smaller than itself with a tentacle attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (grapple bonus +32). If it gets a hold, it also constricts on the same round. Thereafter, the maulgoth has the option to conduct the grapple normally, or simply use its tentacle to hold the opponent (-20 penalty on grapple check, but the maulgoth is not considered grappled). In either case, each successful grapple check it makes during successive rounds automatically deals tentacle damage.	KEY:Maulgoth ~ Improved Grab																											SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:MaulgothRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Maulgoth ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=13|Calm Animals|Control Plants|Cure Light Wounds|Dominate Animal|Soften Earth and Stone|Stone Tell|Transmute Rock to Mud	SPELLS:Innate|TIMES=5|CASTERLEVEL=13|Cure Serious Wounds|True Seeing|Wall of Stone								SOURCEPAGE:FF	
Perfect Climbing	CATEGORY:Special Ability	TYPE:MaulgothRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A maulgoth moves with perfect ease while climbing. It can move at full speed across ceilings, overhangs, and other slanted or vertical surfaces without making Climb checks, and it does not have to make a Climb check to avoid losing its grip when it takes damage.	KEY:Maulgoth ~ Perfect Climbing																											SOURCEPAGE:FF	
Tremorsense	CATEGORY:Special Ability	TYPE:MaulgothRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A maulgoth can automatically sense the location of anything within 60 feet that is in contact with the ground.	KEY:Maulgoth ~ Tremorsense									BONUS:VAR|TremorsenseRange|60|TYPE=Base																		SOURCEPAGE:FF	
Xorn Movement	CATEGORY:Special Ability	TYPE:MaulgothRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A maulgoth can glide through stone, dirt, or almost any other sort of earth except metal as easily as a fish swims through water. Its burrowing leaves behind no tunnel or hole, nor does it create any ripple or other sign of its presence. A move earth spell cast on an area containing a burrowing maulgoth pushes the maulgoth back 30 feet but has no other effect.	KEY:Maulgoth ~ Xorn Movement																											SOURCEPAGE:FF	
																																	
Race Traits ~ Megatherium	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MegatheriumRaceTrait|Scent																														
Improved Grab	CATEGORY:Special Ability	TYPE:MegatheriumRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If a megatherium hits an opponent that is at least one size category smaller than itself with a claw attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (grapple bonus +25). If it gets a hold, it can pin down the opponent on its next successful grapple check. Thereafter, the megatherium has the option to conduct the grapple normally, or simply use its claw to hold the opponent (-20 penalty on grapple check, but the megatherium is not considered grappled). In either case, each successful grapple check it makes during successive rounds automatically deals claw damage.	KEY:Megatherium ~ Improved Grab																											SOURCEPAGE:FF	
Pin Down	CATEGORY:Special Ability	TYPE:MegatheriumRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A megatherium can make a grapple check against an already grappled opponent in an attempt to pin it down. If successful, the opponent is pinned down beneath the megatherium's claw. Pinned opponents take trample damage in each round they are pinned, including the round in which the pin is established.	KEY:Megatherium ~ Pin Down																											SOURCEPAGE:FF	
Trample	CATEGORY:Special Ability	TYPE:MegatheriumRaceTrait.SpecialAttack.Extraordinary.Trample	VISIBLE:YES	DESC:Reflex half DC %1. The save DC is Strength based.|TrampleDC	KEY:Megatherium ~ Trample				DEFINE:TrampleDC|0					BONUS:VAR|TrampleDC|DefaultDCStr	BONUS:VAR|TrampleDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Trample)								ABILITY:Ability Focus|AUTOMATIC|Trample									SOURCEPAGE:FF	
																																	
Race Traits ~ Mongrelfolk	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MongrelfolkRaceTrait	AUTO:LANG|Common|Mongrelfolk Pidgin										BONUS:VAR|AdvancementByClass|1									ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight		AUTO:WEAPONPROF|Club|Sling								
Emulate Race	CATEGORY:Special Ability	TYPE:MongrelfolkRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Because of their radically mixed heritage, mongrelfolk can use magic items that only function for a user of a certain race. This ability works like the emulate race function of the Use Magic Device skill. A mongrelfolk can automatically emulate any humanoid race, with no need for a skill check. Mongrelfolk that have the Use Magic Device skill have a +4 racial bonus on attempts to emulate nonhumanoid races using that skill.	KEY:Mongrelfolk ~ Emulate Race																											SOURCEPAGE:FF	
Sound Imitation	CATEGORY:Special Ability	TYPE:MongrelfolkRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A mongrelfolk can mimic any voice or sound it has heard. Listeners must succeed on a Will save (DC %1) to detect the ruse.|SoundImitationDC	KEY:Mongrelfolk ~ Sound Imitation				DEFINE:SoundImitationDC|0					BONUS:VAR|SoundImitationDC|16																		SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:MongrelfolkRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Mongrelfolk have a +8 racial bonus on Hide and Sleight of Hand checks.	KEY:Mongrelfolk ~ Skills									BONUS:SKILL|Hide,Sleight of Hand|8|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Necrophidius	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NecrophidiusRaceTrait	AUTO:LANG|Common																													
Dance of Death	CATEGORY:Special Ability	TYPE:NecrophidiusRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A necrophidius can sway in a hypnotic manner, riveting the attention of any creature within 30 feet that can see it. Creatures that fail a Will saving throw (DC %1) are dazed (can take no actions but can defend themselves) for as long as the necrophidius continues its dance. Creatures that make their saving throws can avert their eyes from the necrophidius as if they were avoiding a gaze attack (50%% chance per round of not having to make a saving throw, 20%% miss chance on attacks against the necrophidius). A necrophidius can move up to its normal speed as a move action even if performing its dance of death. This is a mind-affecting effect.|DanceOfDeathDC	KEY:Necrophidius ~ Dance of Death				DEFINE:DanceOfDeathDC|0					BONUS:VAR|DanceOfDeathDC|DefaultDCCha	BONUS:VAR|DanceOfDeathDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Dance of Death)								ABILITY:Ability Focus|AUTOMATIC|Dance of Death									SOURCEPAGE:FF	
Paralysis	CATEGORY:Special Ability	TYPE:NecrophidiusRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A creature bitten by a necrophidius must succeed on a Will saving throw (DC %1) or be paralyzed and unconscious for 10 minutes. The save DC is Charisma-based.|ParalysisDC	KEY:Necrophidius ~ Paralysis				DEFINE:ParalysisDC|0					BONUS:VAR|ParalysisDC|DefaultDCCha	BONUS:VAR|ParalysisDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Paralysis)								ABILITY:Ability Focus|AUTOMATIC|Paralysis									SOURCEPAGE:FF	
Sneak Attack	CATEGORY:Special Ability	TYPE:NecrophidiusRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Anytime a necrophidius's target is denied a Dexterity bonus, or when a target is flanked by a necrophidius, the necrophidius deals an additional 2d6 points of damage on a successful melee attack.	KEY:Necrophidius ~ Sneak Attack									BONUS:VAR|SneakAttackDice|2									ABILITY:Special Ability|AUTOMATIC|Sneak Attack									SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:NecrophidiusRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A necrophidius has a +8 racial bonus on Hide and Move Silently checks. It also has a +8 racial bonus on Climb checks and can always choose to take 10 on Climb checks, even if rushed or threatened.	KEY:Necrophidius ~ Skills									BONUS:SKILL|Hide,Move Silently,Climb|8|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Nerra (Kalareem)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Nerra Subtraits|TYPE=NerraKalareemRaceTrait|Resistance to Cold|Resistance to Electricity|Resistance to Fire											BONUS:VAR|AdvancementByClass|1	BONUS:VAR|ColdResistanceBonus,ElectricityResistanceBonus,FireResistanceBonus|10|TYPE=Resistance								ABILITY:FEAT|AUTOMATIC|Exotic Weapon Proficiency (Longsword)|Weapon Focus (Longsword)		AUTO:WEAPONPROF|Longsword								
Shard Spray	CATEGORY:Special Ability	TYPE:NerraKalareemRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Three times per day, a kalareem can release a spray of mirrorlike shards from its hands that can flay flesh and cause massive lacerations. The spray is a 30-foot cone, and it deals 1d4 points of damage per level of the kalareem, up to a maximum of 5d4. In addition, a wound resulting from a kalareem's shard spray attack bleeds for an additional 2 points of damage per round thereafter. Multiple wounds from such attacks result in cumulative bleeding loss (two wounds for 4 points of damage per round, and so on). The bleeding can be stopped only by a successful Heal check (DC 10) or the application of any cure spell or other healing spell (heal, healing circle, or the like).	KEY:Nerra (Kalareem) ~ Shard Spray																											SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:NerraKalareemRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Nerra (Kalareem) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Mirror Image									SOURCEPAGE:FF	
																																	
Race Traits ~ Nerra (Sillit)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Nerra Subtraits|TYPE=NerraSillitRaceTrait											BONUS:VAR|AdvancementByClass|1	BONUS:VAR|ColdResistanceBonus,ElectricityResistanceBonus,FireResistanceBonus|15|TYPE=Resistance								ABILITY:FEAT|AUTOMATIC|Exotic Weapon Proficiency (Longsword)|Weapon Focus (Longsword)	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium		AUTO:WEAPONPROF|Longsword							
Shard Spray	CATEGORY:Special Ability	TYPE:NerraSillitRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Three times per day, a sillit can release a shard spray. It is exactly as the kalareem's shard spray described above, but it deals 1d6 points of damage per level of the sillit (maximum 5d6).	KEY:Nerra (Sillit) ~ Shard Spray																											SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:NerraSillitRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Nerra (Sillit) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=16|Disguise Self|False Vision|Mirror Image	SPELLS:Innate|TIMES=3|CASTERLEVEL=16|Mislead								SOURCEPAGE:FF	
																																	
Race Traits ~ Nerra (Varoot)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Nerra Subtraits|TYPE=NerraVarootRaceTrait											BONUS:VAR|AdvancementByClass|1	BONUS:VAR|ColdResistanceBonus,ElectricityResistanceBonus,FireResistanceBonus|5|TYPE=Resistance								ABILITY:FEAT|AUTOMATIC|Exotic Weapon Proficiency (Longsword)|Exotic Weapon Proficiency (Dagger)			AUTO:WEAPONPROF|Longsword|Dagger							
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:NerraVarootRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Nerra (Varoot) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=3|CASTERLEVEL=12|Disguise Self	SPELLS:Innate|TIMES=1|CASTERLEVEL=12|Mirror Image								SOURCEPAGE:FF	
																																	
Race Traits ~ Octopus Tree	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=OctopusTreeRaceTrait|Immunity to Acid	AUTO:LANG|Common																													
Frightful Presence	CATEGORY:Special Ability	TYPE:OctopusTreeRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:An octopus tree inspires terror in all creatures within %1 feet that have fewer Hit Dice or levels than it has. Each potentially affected opponent must succeed on a Will save (DC %2) or become shaken, a condition that lasts until the opponent is out of range. A successful save leaves that opponent immune to that octopus tree's frightful presence for one day.The save DC is Charisma-based.|FrightfulPresenceDC|FrightfulPresenceRange	KEY:Octopus Tree ~ Frightful Presence				DEFINE:FrightfulPresenceRange|0	DEFINE:FrightfulPresenceDC|0				BONUS:VAR|FrightfulPresenceDC|DefaultDCCha	BONUS:VAR|FrightfulPresenceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frightful Presence)	BONUS:VAR|FrightfulPresenceRange|30							ABILITY:Ability Focus|AUTOMATIC|Frightful Presence									SOURCEPAGE:FF	
Improved Grab	CATEGORY:Special Ability	TYPE:OctopusTreeRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If an octopus tree hits an opponent that is at least one size category smaller than itself with a tentacle attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (grapple bonus +28). If it gets a hold, it can transfer the opponent to its maw with another successful grapple check, dealing automatic bite damage. Alternatively, the octopus tree has the option to conduct the grapple normally, or simply use its tentacle to hold the opponent (-20 penalty on grapple check, but the octopus tree is not considered grappled). In either case, each successful grapple check it makes during successive rounds automatically deals bite damage.	KEY:Octopus Tree ~ Improved Grab																											SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:OctopusTreeRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Octopus Tree ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Diminish Plants|Obscuring Mist|Plant Growth|Warp Wood	SPELLS:Innate|TIMES=3|CASTERLEVEL=14|Call Lightning|Turn Wood|Wall of Thorns								SOURCEPAGE:FF	
Swallow Whole	CATEGORY:Special Ability	TYPE:OctopusTreeRaceTrait.SpecialAttack.Extraordinary.Swallow Whole	VISIBLE:YES	DESC:An octopus tree can swallow a single creature that is at least two size categories smaller than itself by making a successful grapple check (grapple bonus +28), provided it already has that opponent in its maw (see Improved Grab, above). Once inside the octopus tree, the opponent takes 2d6+9 points of bludgeoning damage and 2d4 points of acid damage per round from the plant's internal cavity. A successful grapple check allows the swallowed creature to climb out of the internal cavity and return to the octopus tree's maw, where another successful grapple check is needed to get free. Alternatively, a swallowed creature can try to cut its way out with either claws or a light piercing or slashing weapon. Dealing a total of at least 20 points of damage to the internal cavity (AC 22) in this way creates an opening large enough to permit escape. Once a single swallowed creature exits, rapid growth closes the hole; thus, another swallowed opponent must cut its own way out. An octopus tree's cavity can hold 1 Large, 4 Medium-size, or 16 Small or smaller opponents.	KEY:Octopus Tree ~ Swallow Whole																											SOURCEPAGE:FF	
Regeneration	CATEGORY:Special Ability	TYPE:OctopusTreeRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An octopus tree takes normal damage from fire and cold. Attack forms that don't deal hit point damage ignore regeneration, and an octopus tree does not restore hit points lost from starvation, thirst, or suffocation.	KEY:Octopus Tree ~ Regeneration									BONUS:VAR|RegenerationRate|10|TYPE=Racial																		SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:OctopusTreeRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Octopus trees have a +8 racial bonus on any Swim check to perform some special action or avoid a hazard and can always choose to take 10 on Swim checks, even if distracted or endangered.	KEY:Octopus Tree ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Ocularon	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=OcularonRaceTrait|Immunity to Acid|Immunity to Poison	AUTO:LANG|Common|Undercommon										BONUS:VAR|Maneuverability|5|TYPE=Base																			
Animate Eyeballs	CATEGORY:Special Ability	TYPE:OcularonRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An ocularon can control up to six captured eyeballs at one time, as if they were levitating eyes like those created by a prying eyes spell. These eyes are filled with the ocularon's toxic gas while skewered on the creature's barbed tendrils, and the ocularon can also use them as weapons. It can make a ranged touch attack against any opponent within 80 feet. Success indicates the eye impacts on the victim and explodes. Such characters take 3d6 points of damage and are exposed to the ocularon's poison (see below).	KEY:Ocularon ~ Animate Eyeballs																											SOURCEPAGE:FF	
Death Throes	CATEGORY:Special Ability	TYPE:OcularonRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:When killed, an ocularon explodes in a cloud of toxic gas that deals 3d6 points of damage to everything within 20 feet and exposes those victims to its poison (see below). The save DC is Constitution-based.|DeathThroesDC	KEY:Ocularon ~ Death Throes				DEFINE:DeathThroesDC|0					BONUS:VAR|DeathThroesDC|DefaultDCCon	BONUS:VAR|DeathThroesDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Death Throes)								ABILITY:Ability Focus|AUTOMATIC|Death Throes									SOURCEPAGE:FF	
Improved Grab	CATEGORY:Special Ability	TYPE:OcularonRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If an ocularon hits an opponent that is at least one size category smaller than itself with a tendril attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (grapple bonus +17). If it gets a hold, it can attempt to remove the opponent's eyes on the following round. Thereafter, the ocularon has the option to conduct the grapple normally, or simply use its tendril to hold the opponent (-20 penalty on grapple check, but the ocularon is not considered grappled). In either case, each successful grapple check it makes during successive rounds automatically deals tendril damage.	KEY:Ocularon ~ Improved Grab																											SOURCEPAGE:FF	
