SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05
																																				
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page				
Drift	CATEGORY:Special Ability	TYPE:ClassFeatures.GeomancerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The character slowly becomes closer to nature. At each geomancer level, choose a drift from the appropriate stage (see Drift, below).	KEY:Geomancer ~ Drift				DEFINE:DriftLVL|0					BONUS:VAR|DriftLVL|(GeomancerLVL+1)/2	BONUS:ABILITYPOOL|Geomancer Drift|GeomancerLVL																SORTKEY:Class_Geomancer	SOURCEPAGE:CD				
Ley Lines	CATEGORY:Special Ability	TYPE:ClassFeatures.GeomancerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 2nd level, the geomancer learns to create magical connections with a specific type of terrain. Choose one of the following terrain types: aquatic, desert, forest, hills, marsh, mountains, or plains. In that terrain, the geomancer's effective caster level for all spells increases by +1. At 6th level and again at 10th level, the character may either choose a new terrain in which to receive the benefit (at +1), or increase his effective caster level in a previously chosen terrain by an additional +1.	KEY:Geomancer ~ Ley Lines									BONUS:ABILITYPOOL|Geomancer Ley Lines|GeomancerLVL																	SORTKEY:Class_Geomancer	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.HolyLiberatorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Holy liberators are proficient with all simple and martial weapons, with all types of armor, and with shields.	KEY:Holy Liberator ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Holy_Liberator	SOURCEPAGE:CD				
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.HolyLiberatorClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A holy liberator has the ability to cast a small number of divine spells. To cast a spell, the holy liberator must have a Wisdom score of at least 10 + the spell's level, so a holy liberator with a Wisdom of 10 or lower cannot cast these spells. Holy liberator bonus spells are based on Wisdom, and saving throws against these spells have a DC of 10 + spell level + the holy liberator's Wisdom modifi er. When the holy liberator gets 0 spells of a given level, such as 0 1st-level spells at 1st level, he gets only bonus spells. (A holy liberator without a bonus spell for that level cannot yet cast a spell of that level.) The holy liberator uses the paladin spell list, with a few changes. The holy liberator's spell list does not include any spells with the law descriptor. The following spells are added to the holy liberator's spell list: 1st-protection from law; 2nd-heroism; 3rd-magic circle against law; 4th-dispel law, freedom of movement. A holy liberator prepares and casts spells just as a cleric does (though the liberator cannot spontaneously cast cure or inflict spells).	KEY:Holy Liberator ~ Spells				DEFINE:Caster_Level_Holy_Liberator|0	DEFINE:Caster_Level_BL_Holy_Liberator|0				BONUS:CASTERLEVEL|Holy Liberator|Caster_Level_Holy_Liberator	BONUS:VAR|Caster_Level_Holy_Liberator|HolyLiberatorLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Holy_Liberator|charbonusto("PCLEVEL","Holy Liberator")	BONUS:VAR|Caster_Level_Highest__Divine|Caster_Level_Holy_Liberator+Caster_Level_BL_Holy_Liberator|TYPE=Base						BONUS:VAR|Caster_Level_Holy_Liberator|PaladinLVL|PRECLASS:1,Ex-Paladin=1	BONUS:VAR|Caster_Level_Holy_Liberator|PaladinLVL|PRECLASS:1,Ex-Paladin=1							SORTKEY:Class_Holy_Liberator	SOURCEPAGE:CD				
Aura of Good	CATEGORY:Special Ability	TYPE:ClassFeatures.HolyLiberatorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The power of a holy liberator's aura of good (see the detect good spell) is equal to his class level plus his cleric level, if any.	KEY:Holy Liberator ~ Aura of Good				DEFINE:AlignmentAura|0					BONUS:VAR|AlignmentAura|DivineCrusaderLVL									ABILITY:Special Ability|VIRTUAL|Aura of Good								SORTKEY:Class_Holy_Liberator	SOURCEPAGE:CD				
Detect Evil	CATEGORY:Special Ability	TYPE:ClassFeatures.HolyLiberatorClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:The holy liberator can use detect evil as a spell-like ability at will.	KEY:Holy Liberator ~ Detect Evil																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=HolyLiberatorLVL|Detect Evil								SORTKEY:Class_Holy_Liberator	SOURCEPAGE:CD				
Smite Evil	CATEGORY:Special Ability	TYPE:ClassFeatures.HolyLiberatorClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, a holy liberator may attempt to smite evil with one normal melee attack. He adds his Charisma modifier (if positive) to his attack roll and deals 1 extra point of damage per class level. For example, a 9th-level holy liberator armed with a longsword would deal 1d8+9 points of damage, plus any additional bonuses for high Strength or magical effects that normally apply. If the holy liberator Accidentally smites a creature that is not evil, the smite has no effect but it is still used up for that day. At 5th level, the holy liberator may smite evil twice per day, and at 10th level three times per day.	KEY:Holy Liberator ~ Smite Evil									BONUS:VAR|SmiteEvilLVL|HolyLiberatorLVL	BONUS:VAR|SmiteEvilToHit|max(CHA,0)|TYPE=Base	BONUS:VAR|SmiteEvilDamage|HolyLiberatorLVL	BONUS:VAR|SmiteEvil|1+(((HolyLiberatorLVL)/5))						ABILITY:Special Ability|VIRTUAL|Smite Evil	BONUS:VAR|SmiteEvilLVL|PaladinLVL|PRECLASS:1,Ex-Paladin=1	BONUS:VAR|SmiteEvilDamage|PaladinLVL|PRECLASS:1,Ex-Paladin=1						SORTKEY:Class_Holy_Liberator	SOURCEPAGE:CD				
Remove Fatigue	CATEGORY:Special Ability	TYPE:ClassFeatures.HolyLiberatorClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:holy liberator of 2nd level or higher can eliminate fatigue in any creature he touches. Using this ability is a standard action; the holy liberator may use it a number of times per day equal to 3 + his Charisma modifier.	KEY:Holy Liberator ~ Remove Fatigue	DESC:%1/day|RemoveFatigueTimes			DEFINE:RemoveFatigueTimes|0					BONUS:VAR|RemoveFatigueTimes|3+CHA																	SORTKEY:Class_Holy_Liberator	SOURCEPAGE:CD				
Aura of Resolve	CATEGORY:Special Ability	TYPE:ClassFeatures.HolyLiberatorClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Beginning at 3rd level, the holy liberator gains immunity to all charm and compulsion effects. His mind is his own, and no other creature can control his thoughts or actions. Each ally within 10 feet of him gains a +4 morale bonus on saving throws against charm or compulsion effects. This ability functions while the holy liberator is conscious, but not if he is unconscious or dead.	KEY:Holy Liberator ~ Aura of Resolve	DESC:+%1 morale bonus vs Charm and Compulsion|AuraOfResolveBonus			DEFINE:AuraOfResolveBonus|0					BONUS:VAR|AuraOfResolveBonus|4|TYPE=Base									ABILITY:Special Ability|AUTOMATIC|Immunity To Charm|Immunity to Compulsion								SORTKEY:Class_Holy_Liberator	SOURCEPAGE:CD				
Divine Grace	CATEGORY:Special Ability	TYPE:ClassFeatures.HolyLiberatorClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A holy liberator of 4th level or higher applies his Charisma modifi er (if positive) as a bonus on all saving throws.	KEY:Holy Liberator ~ Divine Grace									BONUS:SAVE|ALL|max(CHA,0)									ABILITY:Special Ability|AUTOMATIC|Divine Grace								SORTKEY:Class_Holy_Liberator	SOURCEPAGE:CD				
Break Enchantment	CATEGORY:Special Ability	TYPE:ClassFeatures.HolyLiberatorClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Beginning at 4th level, a holy liberator can use break enchantment once per week. He can use this ability twice per week at 8th level.	KEY:Holy Liberator ~ Break Enchantment				DEFINE:BreakEnchantmentTimes|0					BONUS:VAR|BreakEnchantmentTimes|min(2,HolyLiberatorLVL/4)	BONUS:VAR|BreakEnchantmentTimes|(((HolyLiberatorLVL-2)/4))|PREVARGTEQ:HolyLiberatorLVL,11								SPELLS:Innate|TIMES=BreakEnchantmentTimes|TIMEUNIT=Week|CASTERLEVEL=HolyLiberatorLVL|Break Enchantment								SORTKEY:Class_Holy_Liberator	SOURCEPAGE:CD				
Celestial Companion	CATEGORY:Special Ability	TYPE:ClassFeatures.HolyLiberatorClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Upon reaching 6th level, a holy liberator gains the service of a celestial companion (a cat, eagle, hawk, warhorse, owl, pony, riding dog, or wolf) to serve him in his struggle against tyranny (see sidebar). The creature has the celestial template (see page 31 of the Monster Manual). This creature may willingly act as a guardian (such as a hawk), a helper (such as a cat), or a mount (such as a horse). Once per day, as a full-round action, a holy liberator may magically call his companion from the celestial realms in which it resides. The companion immediately appears adjacent to the holy liberator and remains for 2 hours per holy liberator level; it may be dismissed at any time as a free action. The companion is the same creature each time it is summoned, though the holy liberator may release a particular companion from service (if it has grown too old to join her struggle, for instance). Each time the companion is called, it appears in full health, regardless of any damage it may have taken previously. The companion also appears wearing or carrying any gear it had when it was last dismissed (including barding, saddle, and the like for mounts). Calling the companion is a conjuration (calling) Effect. Should the holy liberator's companion die, it immediately disappears, leaving behind any equipment it was carrying. The liberator may not call another companion for thirty days or until he gains a liberator level, whichever comes fi rst, even if the companion is somehow returned from the dead. During this thirty-day period, the liberator takes a -1 penalty on attack and weapon damage rolls. Treat the companion as a special mount for the purpose of spells that specifi cally affect a paladin's special mount (such as heal mount).	KEY:Holy Liberator ~ Celestial Companion									BONUS:VAR|CelestialCompanionLVL|HolyLiberatorLVL									ABILITY:Special Ability|AUTOMATIC|Celestial Companion								SORTKEY:Class_Holy_Liberator	SOURCEPAGE:CD				
Code of Conduct	CATEGORY:Special Ability	TYPE:ClassFeatures.HolyLiberatorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Holy liberators must be of chaotic good alignment and lose all special class abilities if they ever willingly commit an act of evil. True to their alignment, holy liberators have no more formalized code of conduct than that.	KEY:Holy Liberator ~ Code of Conduct																										SORTKEY:Class_Holy_Liberator	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.HospitalerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Hospitalers gain proficiency with all simple and martial weapons, with all types of armor, and with shields.	KEY:Hospitaler ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Hospitaler	SOURCEPAGE:CD				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.HospitalerClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A hospitaler continues advancing in divine spellcasting ability as well as learning the skills of the hospitalers. Thus, when a new hospitaler level is gained (except for 1st, 5th, and 9th levels), the character gains new divine spells per day (and spells known, if applicable) as if she had gained a level in the a divine spellcasting class to which she belonged before adding the prestige class level. She does not, however, gain any other benefi t a character of that class would have gained (improved chance of controlling or rebuking undead, greater damage with the smite evil ability, and so on). If the character had more than one divine spellcasting class before becoming a hospitaler, the player must decide to which class to add each hospitaler level for the purposes of determining spells per day and spells known.	KEY:Hospitaler ~ Spells per Day																										SORTKEY:Class_Hospitaler	SOURCEPAGE:CD				
Lay on Hands	CATEGORY:Special Ability	TYPE:ClassFeatures.HospitalerClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A hospitaler with a Charisma score of 12 or higher can heal wounds by touch. Each day she can heal a total number of hit points of damage equal to her hospitaler level times her Charisma modifier. A hospitaler may choose to divide her healing among multiple recipients, and she doesn't have to use it all at once. Using lay on hands is a standard action. If the hospitaler has this ability from another class, her levels in those classes stack to determine the total number of hit points of damage she can heal each day.	KEY:Hospitaler ~ Lay on Hands									BONUS:VAR|LayOnHandsLVL|1|TYPE=Base|PRESTAT:1,CHA=12	BONUS:VAR|LayOnHandsCHABonus|CHA|TYPE=Base|PRESTAT:1,CHA=12	BONUS:VAR|LayOnHands|HospitalerLVL*LayOnHandsCHABonus|TYPE=Base|PRESTAT:1,CHA=12							ABILITY:Special Ability|AUTOMATIC|Lay on Hands|PRESTAT:1,CHA=12								SORTKEY:Class_Hospitaler	SOURCEPAGE:CD				
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.HospitalerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At the indicated levels, a hospitaler may take a bonus feat. These feats are drawn from the feats designated as fighter bonus feats (in the Player's Handbook and elsewhere).	KEY:Hospitaler ~ Bonus Feat									BONUS:ABILITYPOOL|Fighter Feat|(((HospitalerLVL+3)/4))																	SORTKEY:Class_Hospitaler	SOURCEPAGE:CD				
Remove Disease	CATEGORY:Special Ability	TYPE:ClassFeatures.HospitalerClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Beginning at 3rd level, a hospitaler can use remove disease as a spell-like ability once per week. At 7th level and higher, she can use this ability twice per week.	KEY:Hospitaler ~ Remove Disease				DEFINE:RemoveDiseaseTimes|0					BONUS:VAR|RemoveDiseaseTimes|1	BONUS:VAR|RemoveDiseaseTimes|1|PREVARGTEQ:HospitalerLVL,7								SPELLS:Innate|TIMES=RemoveDiseaseTimes|TIMEUNIT=Week|CASTERLEVEL=HospitalerLVL|Remove Disease								SORTKEY:Class_Hospitaler	SOURCEPAGE:CD				
Code of Conduct	CATEGORY:Special Ability	TYPE:ClassFeatures.HospitalerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Hospitalers take an oath of poverty, obedience, and defense of those in their care. This does not mean that hospitalers live mean, penny-pinching lives. They share their wealth among themselves and give any excess to their order. Obedience is not related to character or social rank, but rather to position assigned within the order, and often changes with the situation. Regardless of their relative ranks, all hospitalers defer to the head of a facility while on the grounds. Hospitalers must be willing to lay down their lives to protect the pilgrims or hospitaler facilities under their care, but should not do so recklessly.	KEY:Hospitaler ~ Code of Conduct																										SORTKEY:Class_Hospitaler	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.PiousTemplarClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Pious templars gain no weapon or armor proficiencies.	KEY:Pious Templar ~ Weapon and Armor Proficiency																										SORTKEY:Class_Pious_Templar	SOURCEPAGE:CD				
Mettle	CATEGORY:Special Ability	TYPE:ClassFeatures.PiousTemplarClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A pious templar's special blessing allows her to shrug off magical effects that would otherwise harm her. If a pious templar makes a successful Will or Fortitude saving throw that would normally reduce the spell's effect, she suffers no effect from the spell at all. Only those spells with a Saving Throw entry of "Will partial," "Fortitude half," or similar entries can be negated through this ability.	KEY:Pious Templar ~ Mettle																										SORTKEY:Class_Pious_Templar	SOURCEPAGE:CD				
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.PiousTemplarClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A pious templar has the ability to cast a small number of divine spells. To cast a spell, the pious templar must have a Wisdom score of at least 10 + the spell's level, so a pious templar with a Wisdom of 10 or lower cannot cast these spells. Pious templar bonus spells are based on Wisdom, and saving throws against these spells have a DC of 10 + spell level + the pious templar's Wisdom modifi er. When the pious templar gets 0 spells of a given level, such as 0 1st-level spells at 1st level, she gets only bonus spells. (A pious templar without a bonus spell for that level cannot yet cast a spell of that level.) A pious templar has access to any spell on the list and can freely choose which to prepare, just like a cleric. A pious templar prepares and casts spells just as a cleric does (though the pious templar cannot spontaneously cast cure or infl ict spells). A good pious templar (or a neutral pious templar of a good deity) uses the paladin spell list. An evil pious templar (or a neutral pious templar of an evil deity) uses the blackguard spell list. A pious templar who is neither good nor evil and whose deity is neither good nor evil can chose to use the paladin or the blackguard spell list. Once the player makes this choice, it cannot be reversed.	KEY:Pious Templar ~ Spells				DEFINE:Caster_Level_Pious_Templar|0	DEFINE:Caster_Level_BL_Pious_Templar|0				BONUS:CASTERLEVEL|Favored Soul|Caster_Level_Favored_Soul	BONUS:VAR|Caster_Level_Favored Soul|FavoredSoulLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Pious_Templar|charbonusto("PCLEVEL","Pious Templar")	BONUS:VAR|Caster_Level_Highest__Divine|Caster_Level_Pious_Templar+Caster_Level_BL_Pious_Templar|TYPE=Base														SORTKEY:Class_Pious_Templar	SOURCEPAGE:CD				
Smite	CATEGORY:Special Ability	TYPE:ClassFeatures.PiousTemplarClassFeatures.SpecialAttack	VISIBLE:YES	DESC:Once per day, a pious templar of 2nd level or higher may make a single melee attack with a +4 attack bonus and a damage bonus equal to her pious templar level (if she hits). The pious templar must declare the smite before making the attack. Starting at 6th level, a pious templar can smite twice per day and at 10th level, three times per day. If a pious templar has a smite evil or smite ability (for being a paladin or a cleric with the Destruction domain) already, she can use the ability one extra time per day (two extra times at 7th level). The attack bonus does not increase, but the damage bonus is based on the character's combined level (pious templar level plus cleric or paladin level).	KEY:Pious Templar ~ Smite									BONUS:VAR|SmiteLVL|PiousTemplarLVL	BONUS:VAR|SmiteToHit|4|TYPE=Base	BONUS:VAR|SmiteDamage|PiousTemplarLVL	BONUS:VAR|Smite|(((PiousTemplarLVLLVL+2)/4))	BONUS:VAR|SmiteEvil|1					ABILITY:Special Ability|VIRTUAL|Smite	BONUS:VAR|SmiteEvil|1|PREVARGTEQ:PiousTemplarLVL,7	BONUS:VAR|SmiteEvilDamage|PiousTemplarLVL						SORTKEY:Class_Pious_Templar	SOURCEPAGE:CD				
Damage Reduction	CATEGORY:Special Ability	TYPE:ClassFeatures.PiousTemplarClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Starting at 3rd level, pious templars have the ability to shrug off some amount of injury from each blow or attack. A pious templar gains damage reduction 1/-. At 7th level, this damage reduction rises to 2/-.	KEY:Pious Templar ~ Damage Reduction				DEFINE:PiousTemplarDR|0					BONUS:VAR|PiousTemplarDR|1	BONUS:VAR|PiousTemplarDR|1|PREVARGTEQ:PiousTemplarLVL,7								DR:PiousTemplarDR/-								SORTKEY:Class_Pious_Templar	SOURCEPAGE:CD				
Weapon Specialization	CATEGORY:Special Ability	TYPE:ClassFeatures.PiousTemplarClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a pious templar gains the Weapon Specialization feat with her deity's favored weapon.	KEY:Pious Templar ~ Weapon Specialization									BONUS:ABILITYPOOL|Pious Templar Weapon Specialization|1																	SORTKEY:Class_Pious_Templar	SOURCEPAGE:CD				
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.PiousTemplarClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 4th level and again at 8th level, a pious templar gets a bonus feat. These bonus feats must be drawn from the feats noted as fi ghter bonus feats in the Player's Handbook and other books. If a pious templar selects a feat that requires her to apply its effects to a specifi c weapon (such as Improved Critical), she may only apply that feat to her deity's favored weapon.	KEY:Pious Templar ~ Bonus Feat									BONUS:ABILITYPOOL|Fighter Feat|(PiousTemplarLVL/4)																	SORTKEY:Class_Pious_Templar	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.RadiantServantOfPelorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Radiant servants of Pelor are proficient with all simple and martial weapons, with all armor, and with shields.	KEY:Radiant Servant of Pelor ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Radiant_Servant_Of_Pelor	SOURCEPAGE:CD				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.RadiantServantOfPelorClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new radiant servant of Pelor level is gained, the character gains new spells per day (and spells known, if applicable) as if he had also gained a level in whatever spellcasting class he belonged to before he added the prestige class. He does not, however, gain any other benefi t a character of that class would have gained (improved chance of controlling or rebuking undead, wild shape ability, and so on). This essentially means that he adds the level of radiant servant of Pelor to the level of whatever other spellcasting class the character has, then determines spells per day and spells known accordingly. If a character had more than one spellcasting class in which he could cast 1st-level divine spells before he became a radiant servant of Pelor, the player must decide which class to assign each level of radiant servant of Pelor for the purpose of determining spells per day.	KEY:Radiant Servant of Pelor ~ Spells per Day																										SORTKEY:Class_Radiant_Servant_Of_Pelor	SOURCEPAGE:CD				
Radiance	CATEGORY:Special Ability	TYPE:ClassFeatures.RadiantServantOfPelorClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a radiant servant of Pelor casts any spell with the light descriptor, the radius of illumination is doubled, and the spell is treated as if it were one level higher than it actually is for all purposes, including determining whether it can counter or dispel a spell with the darkness descriptor. Thus, a daylight spell cast by a radiant servants sheds light in a 120-foot radius and is treated as a 4th-level spell, allowing it to counter or dispel any darkness spell of 4th level or lower.	KEY:Radiant Servant of Pelor ~ Radiance																										SORTKEY:Class_Radiant_Servant_Of_Pelor	SOURCEPAGE:CD				
Extra Greater Turning	CATEGORY:Special Ability	TYPE:ClassFeatures.RadiantServantOfPelorClassFeatures.SpecialAttack	VISIBLE:YES	DESC:The radiant servant of Pelor can perform a greater turning (the granted power of the Sun domain) a number of times per day equal to 3 + her Charisma modifier.	KEY:Radiant Servant of Pelor ~ Extra Greater Turning									BONUS:VAR|GreaterTurnTimesBase|3+CHA|TYPE=Base.REPLACE																	SORTKEY:Class_Radiant_Servant_Of_Pelor	SOURCEPAGE:CD				
Turn Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.RadiantServantOfPelorClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A radiant servant of Pelor adds his radiant servant class levels to his cleric levels for all purposes related to turning undead.	KEY:Radiant Servant of Pelor ~ Turn Undead									BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|RadiantServantOfPelorLVL|TYPE=Level.REPLACE																	SORTKEY:Class_Radiant_Servant_Of_Pelor	SOURCEPAGE:CD				
Divine Health	CATEGORY:Special Ability	TYPE:ClassFeatures.RadiantServantOfPelorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A radiant servant of Pelor who is at least 2nd level is immune to all diseases, including magical diseases such as mummy rot and lycanthropy.	KEY:Radiant Servant of Pelor ~ Divine Health																		ABILITY:Special Ability|AUTOMATIC|Immunity To Disease								SORTKEY:Class_Radiant_Servant_Of_Pelor	SOURCEPAGE:CD				
Empower Healing	CATEGORY:Special Ability	TYPE:ClassFeatures.RadiantServantOfPelorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When a radiant servant of Pelor of at least 2nd level casts a domain spell from the Healing domain, that spell is affected as though by the Empower Spell feat. This spell does not use up a higher-level slot.	KEY:Radiant Servant of Pelor ~ Empower Healing																		ADDSPELLLEVEL:0								SORTKEY:Class_Radiant_Servant_Of_Pelor	SOURCEPAGE:CD				
Aura of Warding	CATEGORY:Special Ability	TYPE:ClassFeatures.RadiantServantOfPelorClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Starting at 3rd level, a radiant servant and all allies within 10 feet of him gain a +2 morale bonus on all Will saving throws.	KEY:Radiant Servant of Pelor ~ Aura of Warding									BONUS:SAVE|Will|2|TYPE=Morale	TEMPBONUS:ANYPC|SAVE|Will|2|TYPE=Morale																SORTKEY:Class_Radiant_Servant_Of_Pelor	SOURCEPAGE:CD				
Bonus Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.RadiantServantOfPelorClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A radiant servant who reaches 5th level is granted another of Pelor's domains as a third cleric domain, or he can choose the Glory or Purifi cation domain. He can use the granted power of the new domain, and he can choose from the spell lists of three domains when selecting his domain spells for the day	KEY:Radiant Servant of Pelor ~ Bonus Domain									BONUS:DOMAIN|NUMBER|1																	SORTKEY:Class_Radiant_Servant_Of_Pelor	SOURCEPAGE:CD				
Maximize Healing	CATEGORY:Special Ability	TYPE:ClassFeatures.RadiantServantOfPelorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	 DESC:When a radiant servant of Pelor who is at least 6th level casts a domain spell from the Healing domain that spell is affect as though by the Maximize Spell feat. The spell does not use up a higher level slot. This power supersedes the empower healing ability until the character reaches 10th level.	KEY:Radiant Servant of Pelor ~ Maximize Healing																		ADDSPELLLEVEL:0								SORTKEY:Class_Radiant_Servant_Of_Pelor	SOURCEPAGE:CD				
Positive Energy Burst	CATEGORY:Special Ability	TYPE:ClassFeatures.RadiantServantOfPelorClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a standard action, a radiant servant of Pelor who is at least 8th level can create a positive energy burst that deals 1d6 points of damage per class level to all undead creatures within 100 feet of the character. Undead are allowed a Refl ex save (DC equal to 10 + the class level of the radiant servant) to avoid half the damage. This supernatural ability uses up two turning attempts. A radiant servant cannot use this ability if he has fewer than two turning attempts left for the day.	KEY:Radiant Servant of Pelor ~ Positive Energy Burst									BONUS:VAR|PositiveEnergyBurstDC|10+RadiantServantOfPelorLVL+CHA|TYPE=Base	BONUS:VAR|PositiveEnergyBurstDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Blinding Spittle)	BONUS:VAR|PositiveEnergyBurstDice|RadiantServantOfPelorLVL							ABILITY:Ability Focus|AUTOMATIC|Positive Energy Burst								SORTKEY:Class_Radiant_Servant_Of_Pelor	SOURCEPAGE:CD				
Supreme Healing	CATEGORY:Special Ability	TYPE:ClassFeatures.RadiantServantOfPelorClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	 DESC:When a radiant servant of Pelor who is at least 10th level casts a domain spell from the Healing domain, that spell is affected as though by both the Empower Spell and the Maximize Spell feats. The spell does not use up a higher-level slot.	KEY:Radiant Servant of Pelor ~ Supreme Healing																		ADDSPELLLEVEL:0								SORTKEY:Class_Radiant_Servant_Of_Pelor	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.RainbowServantClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Rainbow servants gain no proficiency in weapons or armor.	KEY:Rainbow Servant ~ Weapon and Armor Proficiency																										SORTKEY:Class_Rainbow_Servant	SOURCEPAGE:CD				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.RainbowServantClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new rainbow servant level is gained, the character gains new spells per day as if she had also gained a level in whatever spellcasting class in which she could cast 3rd-level arcane spells before she added the prestige class. She does not, however, gain any other benefi t a character of that class would have gained (improved chance of controlling or rebuking undead, wild shape ability, and so on). This essentially means that she adds the level of rainbow servant to the level of whatever other spellcasting class the character has, then determines spells per day accordingly. If a character had more than one spellcasting class in which she could cast 3rd-level arcane spells before she became a rainbow servant, the player must decide which class to assign each level of rainbow servant for the purpose of determining spells per day and spells known.	KEY:Rainbow Servant ~ Spells per Day																										SORTKEY:Class_Rainbow_Servant	SOURCEPAGE:CD				
Detect Evil	CATEGORY:Special Ability	TYPE:ClassFeatures.RainbowServantClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At will, a rainbow servant can use detect evil, as the spell.	KEY:Rainbow Servant ~ Detect Evil																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=RainbowServantLVL|Detect Evil								SORTKEY:Class_Rainbow_Servant	SOURCEPAGE:CD				
