SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Forbid Necromancy	CATEGORY:Special Ability	TYPE:IncantatrixClassFeatures.IncantatrixProhibitSchool		KEY:Incantatrix ~ Forbid Necromancy		!PRESUBCLASS:1,Incantatrix ~ Necromancer			DEFINE:IncantatrixProhibitNecromancy|0					BONUS:VAR|IncantatrixProhibitNecromancy|1																				
Forbid Transmutation	CATEGORY:Special Ability	TYPE:IncantatrixClassFeatures.IncantatrixProhibitSchool		KEY:Incantatrix ~ Forbid Transmutation		!PRESUBCLASS:1,Incantatrix ~ Transmuter			DEFINE:IncantatrixProhibitTransmutation|0					BONUS:VAR|IncantatrixProhibitTransmutation|1																				
Cooperative Metamagic	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 2nd level, an incantatrix gains the ability to apply any metamagic feat she possesses (except Silent Spell, Still Spell, or Quicken Spell) to a spell being cast by a willing allied spellcaster. The caster need not prepare the spell in metamagic form or in a higher-level spell slot; the incantatrix simply modifi es the spell during the casting. Using this ability is a standard action that provokes an attack of opportunity, just like casting a spell, though the incantatrix can use the Concentration skill with this ability as though she were casting defensively. The incantatrix must ready an action to use cooperative metamagic when her ally begins casting and must be adjacent to the caster. The incantatrix must make a Spellcraft check (DC 18 + [3 x modified spell level]) to succeed. "Modified spell level" is the level of the spell slot that the spell would occupy if it were prepared with the metamagic feat applied. Any spell level increases from metamagic feats that the caster applied also count toward the modifi ed spell level. For example, if an incantatrix applies the Maximize Spell feat to an ally's chain lightning spell, the modifi ed spell level is 9th (6th for the spell, +1 for the Maximize Spell feat), and the DC is 18 + (3 * 9) = 45. If she applies the same feat to an ally's silent chain lightning spell, the modifi ed spell level i s 10th and the Spellcraft DC is 48. An incantatrix can use this ability a number of times per day equal to 3 + her Int modifier.	KEY:Incantatrix ~ Cooperative Metamagic	DESC:%1/day.|CooperativeMetamagicTimes			DEFINE:CooperativeMetamagicTimes|0					BONUS:VAR|CooperativeMetamagicTimes|3+INT|TYPE=Base																	SORTKEY:Class_Incantatrix	SOURCEPAGE:PGtF		
Metamagic Effect	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 3rd level, an incantatrix can attempt to apply a metamagic feat she possesses to a persistent spell effect that is already in place. For example, she could use Extend Spell to extend the duration of a wall of force or Maximize Spell to maximize the damage dealt by a cloudkill. To use this ability, the incantatrix must be adjacent to or within the spell effect and make a successful Spellcraft check (DC 18 + [3 x modified spell level]. "Modified spell level" is the level of the spell slot that the spell would occupy if it were prepared with the metamagic feat applied). Spell slot increases for metamagic feats that were applied to affect the spell's casting (such as Still Spell, Silent Spell, or Quicken Spell) do not count toward the modified spell level, but adjustments for metamagic that change the spell's effect (such as Empower Spell, Enlarge Spell, or Widen Spell) do count. For example, applying the Extend Spell feat to a wall of fire gives it a modified spell level of 5th (4th for the spell +1 for the Extend Spell feat), so the DC would be 18 + (3 x 5) = 33. If the wall of fire had been cast with the Silent Spell feat applied, the DC is still 33, since that feat applies to the spell's casting, not its effect. On the other hand, extending an empowered wall of fire would give it a modified spell level of 7th and a Spellcraft DC of 39. An incantatrix can use this ability a number of times per day equal to 3 + her Int modifier. Using this ability is a full-round action that provokes attacks of opportunity.	KEY:Incantatrix ~ Metamagic Effect	DESC:%1/day.|MetamagicEffectTimes			DEFINE:MetamagicEffectTimes|0					BONUS:VAR|MetamagicEffectTimes|3+INT|TYPE=Base																	SORTKEY:Class_Incantatrix	SOURCEPAGE:PGtF		
Metamagic Spell Trigger	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 5th level, an incantatrix gains the ability to apply a metamagic feat she possesses to the effect of a spell trigger item (generally a wand). To use this ability, she must have the appropriate item creation feat to make the spell trigger item she is using. Using metamagic spell trigger expends a number of additional charges from the item equal to the number of effective spell levels the metamagic feat would add to a spell. For example, an incantatrix can use Quicken Spell to modify a spell cast from a wand by spending 5 charges (1 + 4 additional charges for the spell slot increase). Alternatively, she can apply Empower Spell to the effect by spending 3 charges, or trigger it silently by spending 2 charges. The Still Spell feat confers no benefit when applied to a spell trigger item. An incantatrix cannot use this ability when using a spell trigger item that does not h ave charges, such as a strand of prayer beads.	KEY:Incantatrix ~ Metamagic Spell Trigger																										SORTKEY:Class_Incantatrix	SOURCEPAGE:PGtF		
Seize Concentration	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 6th level, an incantatrix gains the ability to wrest control of a spell that requires concentration (such as implosion, major image, or summon swarm) from another spellcaster within 30 feet. If the target spellcaster is willing, this transfer of concentration occurs automatically. Otherwise, the incantatrix and the target spellcaster make an opposed caster level check. A divine spellcaster receives a +2 bonus on this check. If the incantatrix wins, she gains control of the spell for as long as she maintains concentration or until the original spell duration expires. The spell functions as though the incantatrix were the caster (even if it is a spell she cannot cast), except that any variables determined when the spell was cast (including its caster level) remain a s determined by the original c aster. The original spellcaster can be affected by his own spell, though he receives a +2 circumstance bonus on any saving throw allowed against it. If the incantatrix allows her concentration to lapse before the spell duration expires, the original caster may reassert control over his spell by making a successful caster level check (DC 15 + spell level). If he fails to do so, no one controls the spell.	KEY:Incantatrix ~ Seize Concentration																										SORTKEY:Class_Incantatrix	SOURCEPAGE:PGtF		
Instant Metamagic	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, a 7th-level or higher incantatrix can apply a single metamagic feat she possesses to a spell without preparing it that way beforehand (if she prepares spells) or increasing its casting time (if she does not prepare spells). Thus, a wizard's prepared spell works as if she had prepared it with the metamagic feat, but it does not use a higher-level spell slot. A sorcerer or bard's spell is cast without adjusting its casting time, but it works as if he had cast it with the metamagic feat. A 9th-level incantatrix can use this power twice per day.	KEY:Incantatrix ~ Instant Metamagic	DESC:%1/day.|InstantMetamagicTimes			DEFINE:InstantMetamagicTimes|0					BONUS:VAR|InstantMetamagicTimes|1|TYPE=Base																	SORTKEY:Class_Incantatrix	SOURCEPAGE:PGtF		
Snatch Spell	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 8th level, an incantatrix can attempt to seize control over a persistent effect created by another spellcaster. The effect must be one that does not depend on concentration but still relies on or responds to the caster's control (such as a summon monster spell or spiritual weapon, but not a wall of fire or acid fog). Furthermore, the effect (but not necessarily the spellcaster) must be within 30 feet of the incantatrix. The target spellcaster and the incantatrix make an opposed caster level check. A divine spellcaster receives a +2 bonus on this check. If the incantatrix wins, she gains control of the spell until its original duration expires. The spell functions as though the incantatrix had cast it, except that any variables determined when the spell was cast (including its caster level) remain as determined by the caster. The original caster can be affected by his own spell, though he receives a +2 circumstance bonus on any saving throw allowed against it. If the spell is dismissible and the incantatrix wishes to dismiss it, she must make a second successful opposed caster level check to do so. If she fails, the spell remains in effect and control reverts to the original caster.	KEY:Incantatrix ~ Snatch Spell																										SORTKEY:Class_Incantatrix	SOURCEPAGE:PGtF		
Improved Metamagic	CATEGORY:Special Ability	TYPE:ClassFeatures.IncantatrixClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 10th level, an incantatrix has mastered metamagic to such an extent t hat whenever she uses a metamagic feat, the required increase in spell level (if any) is reduced by one (minimum +1 spell level). For example, a wizard incantatrix could prepare a quickened fireball as a 6th-level spell instead of a 7th-level spell. This benefi t also applies to the incantatrix's other class abilities. Thus, the DC for using her metamagic effect or cooperative metamagic ability is reduced appropriately for the metamagic feats involved, and she spends fewer charges when using metamagic spell trigger.	KEY:Incantatrix ~ Improved Metamagic																		ADDSPELLLEVEL:-1								SORTKEY:Class_Incantatrix	SOURCEPAGE:PGtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTyrClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Justiciars of Tyr are proficient with all simple and martial weapons, but not with any armor or shields.	KEY:Justiciar of Tyr ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial								SORTKEY:Class_Justiciar_Of_Tyr	SOURCEPAGE:PgtF		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTyrClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new justiciar of Tyr level is gained, the character gains new spells per day (and spells known, if applicable) as if she had also gained a level in whatever divine spellcasting class granted her access to 2nd-level spells before she added the prestige class. She does not, however, gain any other benefi t a character of that class would have gained (bonus metamagic or item creation feats, bard or assassin abilities, and so on), except for an increased effective level of spellcasting. This essentially means that she adds the level of justiciar to the level o f whatever other divine spellcasting class granted her access to 2nd-level spells, then determines spells per day, spells known, and caster level accordingly. If a character had more than one divine spellcasting class that granted access to 2nd-level spells before she became a justiciar of Tyr, she must decide to which class she adds each level of justiciar for the purpose of determining spells per day and spells known.	KEY:Justiciar of Tyr ~ Spells per Day																										SORTKEY:Class_Justiciar_Of_Tyr	SOURCEPAGE:PgtF		
Detect Chaos	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTyrClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 1st level, the justiciar of Tyr may use detect chaos at will (caster level equals justiciar of Tyr's divine caster level).	KEY:Justiciar of Tyr ~ Detect Chaos																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=Caster_Level_Highest__Divine|Detect Chaos								SORTKEY:Class_Justiciar_Of_Tyr	SOURCEPAGE:PgtF		
Smite Anarchy	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTyrClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, a 1st level justiciar of Tyr may attempt to smite a chaotic opponent with one normal melee attack. She adds her Charisma bonus (if any) to the attack roll and deals 1 extra point of damage per justiciar of Tyr level. For example, a 4th-level justiciar of Tyr armed with a longsword would deal 1d8+4 points of damage, plus any additional bonuses from high strength or magical effects that normally apply. If a justiciar of Tyr accidentally smites a creature that is not chaotic, the smite has no effect but is still used up for that day. The justiciar can use this ability twice per day at 5th level and three times per day at 10th level.	KEY:Justiciar of Tyr ~ Smite Anarchy									BONUS:VAR|SmiteChaosLVL|JusticiarOfTyrLVL	BONUS:VAR|SmiteChaosToHit|max(CHA,0)|TYPE=Base	BONUS:VAR|SmiteChaosDamage|JusticiarOfTyr	BONUS:VAR|SmiteChaos|(JusticiarOfTyrLVL/5)+1						ABILITY:Special Ability|VIRTUAL|Smite Chaos								SORTKEY:Class_Justiciar_Of_Tyr	SOURCEPAGE:PgtF		
Bureaucratic Knowledge	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTyrClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Although battling the forces of chaos is one of the primary functions of the justiciar, she is also expected to have a thorough grasp of legal processes in civilizations all across Faerun. Beginning at 2nd level, the character gains a bonus equal to her justiciar of Tyr level on all Knowledge and Gather Information checks related to laws or legal proceedings (such as recalling whether carrying weapons is illegal in a certain city or researching proper courtroom etiquette). She also gains the same bonus on Charisma-based skill or ability checks made to argue legal matters.	KEY:Justiciar of Tyr ~ Bureaucratic Knowledge																										SORTKEY:Class_Justiciar_Of_Tyr	SOURCEPAGE:PgtF		
Axiomatic Spellcasting	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTyrClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When the justiciar of Tyr reaches 3 rd level, her devotion to the cause of law infuses and empowers her spells. The save DC (if any) for any spell with the lawful descriptor that she casts increases by +1. This increase rises to +2 at 9th level.	KEY:Justiciar of Tyr ~ Axiomatic Spellcasting									BONUS:CASTERLEVEL|DESCRIPTOR.Lawful|1	BONUS:CASTERLEVEL|DESCRIPTOR.Lawful|1|PREVARGTEQ:JusticiarOfTyrLVL,9																SORTKEY:Class_Justiciar_Of_Tyr	SOURCEPAGE:PgtF		
Detect Lies	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTyrClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Beginning at 4th level, the justiciar of Tyr may use detect lie (caster level equals justiciar of Tyr's divine caster level) once per day.	KEY:Justiciar of Tyr ~ Detect Lies																		SPELLS:Innate|TIMES=1|CASTERLEVEL=Caster_Level_Highest__Divine|Discern Lies								SORTKEY:Class_Justiciar_Of_Tyr	SOURCEPAGE:PgtF		
Maimed God's Boon	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTyrClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Tyr's hand shelters his most faithful servants, protecting them from the ravages of disorder and anarchy. At 5th level, the justiciar of Tyr gains a bonus equal to her Charisma bonus (if any) on all saving throws against spells with the chaotic descriptor and against the spell-like and Supernatural abilities of chaotic outsiders. This bonus stacks with that provided by the paladin's divine grace ability. (Thus, a paladin/justiciar adds her Charisma bonus twice to saving throws against chaotic effects.)	KEY:Justiciar of Tyr ~ Maimed God's Boon				DEFINE:MaimedGodSBoonBonus|0					BONUS:VAR|MaimedGodSBoonBonus|max(0,CHA)|TYPE=Base																	SORTKEY:Class_Justiciar_Of_Tyr	SOURCEPAGE:PgtF	ASPECT:SaveBonus|+%1 sacred bonus on all saving throws against spells with the chaotic descriptor and against the spell-like and Supernatural abilities of chaotic outsiders.|MaimedGodSBoonBonus	
Order's Calm	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTyrClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day with her touch, a justiciar of at least 7th level may negate any of the following effects: heroism, rage, symbol of insanity, any fear effect, or a barbarian's rage ability. To use this ability on an unwilling target, the justiciar must make a successful melee touch attack, and the target receives a Will save (DC 10 + 1/2 justiciar of Tyr level + justiciar of Tyr's Cha modifier) to avoid the effect.	KEY:Justiciar of Tyr ~ Order's Calm	DESC:%1/day.|OrderSCalmTimes			DEFINE:OrderSCalmTimes|0					BONUS:VAR|OrderSCalmTimes|1|TYPE=Base																	SORTKEY:Class_Justiciar_Of_Tyr	SOURCEPAGE:PgtF		
Blade of Justice	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTyrClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 8th level, the justiciar of Tyr may imbue her melee weapon with the raw power of justice. Once per day per point of Charisma bonus (minimum once per day), the justiciar may cause any melee weapon she is currently wielding to behave as an axiomatic weapon (dealing an extra 2d6 points of damage against chaotic foes). If the justiciar's weapon already has this enhancement, it gains no further benefi t. Each usage of this ability is a free action, and the effect lasts for 1 round.	KEY:Justiciar of Tyr ~ Blade of Justice	DESC:%1/day.|BladeOfJusticeTimes			DEFINE:BladeOfJusticeTimes|0					BONUS:VAR|BladeOfJusticeTimes|max(1,CHA)|TYPE=Base																	SORTKEY:Class_Justiciar_Of_Tyr	SOURCEPAGE:PgtF		
Aura of Absolute Law	CATEGORY:Special Ability	TYPE:ClassFeatures.JusticiarOfTyrClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Upon attaining 10th level, the justiciar of Tyr has proven herself such a shining beacon of order and justice that chaos cannot stand against her. She is surrounded by a constant dispel chaos effect at all times. Driving a chaotic outsider back to its home plane or dispelling a chaotic enchantment spell temporarily discharges and ends this effect, but the justiciar may reactivate it as a free action on her next turn.	KEY:Justiciar of Tyr ~ Aura of Absolute Law																										SORTKEY:Class_Justiciar_Of_Tyr	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkOfTheLongDeathClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Monks of the long death gain no proficiency with any weapon, armor, or shield.	KEY:Monk of the Long Death ~ Weapon and Armor Proficiency																										SORTKEY:Class_Monk_Of_The_Long_Death	SOURCEPAGE:PgtF		
Deathguard	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkOfTheLongDeathClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:At 1st level, the monk of the long death gains a +1 bonus on saving throws against death effects. This bonus increases by 1 at every odd-numbered level (to +2 at 3rd level, +3 at 5th level, +4 at 7th level, and +5 at 9th level).	KEY:Monk of the Long Death ~ Deathguard				DEFINE:DeathguardBonus|0					BONUS:VAR|DeathguardBonus|(MonkOfTheLongDeath+1)/2	BONUS:VAR|DeathEffectResistance|DeathguardBonus|TYPE=Resistance								ABILITY:Special Ability|AUTOMATIC|Resistance to Death Effects								SORTKEY:Class_Monk_Of_The_Long_Death	SOURCEPAGE:PgtF	ASPECT:Name|Deathguard +%1|DeathguardBonus	
AC Bonus	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkOfTheLongDeathClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:As a Monk of the same level.	KEY:Monk of the Long Death ~ AC Bonus				DEFINE:MonkOfTheLongDeathACBonus|0	DEFINE:MonkOfTheLongDeathACStatBonus|0	DEFINE:MonkOfTheLongDeathACLVLBonus|0			BONUS:COMBAT|AC|MonkOfTheLongDeathACBonus|PREVAREQ:ENCUMBERANCE,0,var("COUNT[EQTYPE.ARMOR.EQUIPPED]"),0	BONUS:VAR|MonkOfTheLongDeathACBonus|MonkOfTheLongDeathACStatBonus+(MonkOfTheLongDeathACLVLBonus/5)	BONUS:VAR|MonkOfTheLongDeathACStatBonus|max(WIS,0)	BONUS:VAR|MonkOfTheLongDeathACLVLBonus|MonkOfTheLongDeathLVL|TYPE=Class														SORTKEY:Class_Monk_Of_The_Long_Death	SOURCEPAGE:PgtF		
Fast Movement	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkOfTheLongDeathClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:As a Monk of the same level.	KEY:Monk of the Long Death ~ Fast Movement				DEFINE:MonkOfTheLongDeathFastMovement|0	DEFINE:MonkOfTheLongDeathFastMovementLVL|0				BONUS:VAR|FastMovement|MonkOfTheLongDeathFastMovement|TYPE=FastMovement	BONUS:VAR|MonkOfTheLongDeathFastMovement|floor(MonkOfTheLongDeathFastMovementLVL/3)*10|PREVAREQ:ENCUMBERANCE,0,var("COUNT[EQTYPE.ARMOR.EQUIPPED]"),0	BONUS:VAR|MonkOfTheLongDeathFastMovementLVL|MonkOfTheLongDeathLVL							ABILITY:Special Ability|AUTOMATIC|Fast Movement								SORTKEY:Class_Monk_Of_The_Long_Death	SOURCEPAGE:PgtF		
Poison Use	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkOfTheLongDeathClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Monks of the long death are trained in the use of poison and never risk accidentally poisoning themselves when applying poison to a blade.	KEY:Monk of the Long Death ~ Poison Use																										SORTKEY:Class_Monk_Of_The_Long_Death	SOURCEPAGE:PgtF		
Macabre Shroud	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkOfTheLongDeathClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Monks of the long death are disturbing and even frightening to most people, so those who see them tend to forget them as quickly as possible. When a monk of the long death reaches 2nd level, the DC of any Gather Information, bardic knowledge, or similar check made to learn about him increases by an amount equal to his monk of the long death level.	KEY:Monk of the Long Death ~ Macabre Shroud																										SORTKEY:Class_Monk_Of_The_Long_Death	SOURCEPAGE:PgtF		
Death Knell	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkOfTheLongDeathClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:At 3rd level, a monk of the long death may use death knell once per day (caster level equals monk of the long death level).	KEY:Monk of the Long Death ~ Death Knell																		SPELLS:Innate|TIMES=1|CASTERLEVEL=MonkOfTheLongDeathLVL|Death Knell								SORTKEY:Class_Monk_Of_The_Long_Death	SOURCEPAGE:PgtF		
Death Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkOfTheLongDeathClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:At 6th level, the monk of the long death gains the ability to make a death attack. This ability functions like the assassin ability of the same name, except that the save DC is 10 + monk of the long death level + the monk of the long death's Int modifier (see page 180 of the Dungeon Master's Guide for more Information). If the monk of the long death also has the death attack ability from another class (such as assassin), levels of that class stack with his monk of the long death levels for the purpose of determining the save DC.	KEY:Monk of the Long Death ~ Death Attack									BONUS:VAR|DeatAttackLVL|MonkOfTheLongDeathLVL									ABILITY:Special Ability|AUTOMATIC|Death Attack	ABILITY:Ability Focus|AUTOMATIC|Death Attack							SORTKEY:Class_Monk_Of_The_Long_Death	SOURCEPAGE:PgtF		
Death Touch	CATEGORY:Special Ability	TYPE:ClassFeatures.MonkOfTheLongDeathClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per day, a 10th-level monk of the long death may make a death touch attack. This ability functions like the Death domain's granted power, except that the required die roll is 1d6 per monk of the long death level. If the monk of the long death also has the death touch ability from another class (such as cleric), levels of that class stack with his monk of the long death levels for the purpose of determining the save DC.	KEY:Monk of the Long Death ~ Death Touch									BONUS:VAR|DeathTouchTimes|1	BONUS:VAR|DeathTouch|MonkOfTheLongDeathLVL|TYPE=Level.REPLACE								ABILITY:Special Ability|AUTOMATIC|Death Touch								SORTKEY:Class_Monk_Of_The_Long_Death	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.MorninglordOfLathanderClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Morninglords of Lathander gain no proficiency with any weapon, armor, or shield.	KEY:Morninglord of Lathander ~ Weapon and Armor Proficiency																										SORTKEY:Class_Monrninglord_Of_Lathander	SOURCEPAGE:PgtF		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.MorninglordOfLathanderClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new morninglord of Lathander level is gained, the character gains new spells per day (and spells known, if  applicable) as if she had also gained a levelin whatever divine spellcasting class granted her access to 3rd-level spells before she added the prestige class. She does not, however, gain any other benefi t a character of that class would have gained (improved chance of turning or rebuking undead, and so on), except for an increased effective level of spellcasting. This essentially means that she adds the level of morninglord of Lathander to the level of whatever o ther d ivine spellcasting c lass g ranted h er a ccess to 3rd-level spells, then determines spells per day, spells known, and caster level accordingly. If a character had more than one divine spellcasting class that granted access to 3rd-level spells before she became a morninglord of Lathander, she must decide to which class she adds each level of morninglord for the purpose of determining spells per day and spells known.	KEY:Morninglord of Lathander ~ Spells per Day																										SORTKEY:Class_Monrninglord_Of_Lathander	SOURCEPAGE:PgtF		
Bane of the Reckless	CATEGORY:Special Ability	TYPE:ClassFeatures.MorninglordOfLathanderClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The character's morninglord of Lathander levels stack with her levels in any other class that grants the ability to turn undead for the purpose of turning attempts.	KEY:Morninglord of Lathander ~ Bane of the Reckless									BONUS:VAR|TurnLevelUndead,TurnDamagePlusUndead|MorningLordOfLathanderLVL|TYPE=Level.REPLACE																	SORTKEY:Class_Monrninglord_Of_Lathander	SOURCEPAGE:PgtF		
Lathander's Light	CATEGORY:Special Ability	TYPE:ClassFeatures.MorninglordOfLathanderClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Whenever a morninglord casts a spell with the light descriptor, its area is doubled.	KEY:Morninglord of Lathander ~ Lathander's Light																										SORTKEY:Class_Monrninglord_Of_Lathander	SOURCEPAGE:PgtF		
Creative Fire	CATEGORY:Special Ability	TYPE:ClassFeatures.MorninglordOfLathanderClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Morninglords are creative, expressive people, much like their god. At 2nd level, the character gains a bonus equal to her morninglord of Lathander level on all Craft and Perform checks.	KEY:Morninglord of Lathander ~ Creative Fire									BONUS:SKILL|TYPE.Craft,TYPE.Perform|MorninglordOfLathanderLVL																	SORTKEY:Class_Monrninglord_Of_Lathander	SOURCEPAGE:PgtF		
Daylight	CATEGORY:Special Ability	TYPE:ClassFeatures.MorninglordOfLathanderClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:At 3rd level, the morninglord of Lathander may use daylight once per day (caster level equals morninglord of Lathander's divine caster level).	KEY:Morninglord of Lathander ~ Daylight																		SPELLS:Innate|TIMES=1|CASTERLEVEL=Caster_Level_Highest__Divine|Daylight								SORTKEY:Class_Monrninglord_Of_Lathander	SOURCEPAGE:PgtF		
Searing Light	CATEGORY:Special Ability	TYPE:ClassFeatures.MorninglordOfLathanderClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:4th level, a morninglord of Lathander may use searing ray once per day (caster level equals morninglord of Lathander's divine caster l evel). If this ability is used a gainst undead, the damage increases as if the Empower Spell feat had been applied.	KEY:Morninglord of Lathander ~ Searing Light																		SPELLS:Innate|TIMES=1|CASTERLEVEL=Caster_Level_Highest__Divine|Searing Light								SORTKEY:Class_Monrninglord_Of_Lathander	SOURCEPAGE:PgtF		
Greater Turning	CATEGORY:Special Ability	TYPE:ClassFeatures.MorninglordOfLathanderClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:4th level, a morninglord of Lathander may use searing ray once per day (caster level equals morninglord of Lathander's divine caster l evel). If this ability is used a gainst undead, the damage increases as if the Empower Spell feat had been applied.	KEY:Morninglord of Lathander ~ Greater Turning									BONUS:VAR|GreaterTurnLevelBase,GreaterTurnDamagePlusBase|MorninglordOfLathanderLVL|TYPE=Level.REPLACE		BONUS:VAR|GreaterTurnTimesBase|1|TYPE=Base.REPLACE|PREVARGTEQ:MorninglordOfLathander,9							ABILITY:Special Ability|AUTOMATIC|Basic Greater Turning|Greater Turn Undead								SORTKEY:Class_Monrninglord_Of_Lathander	SOURCEPAGE:PgtF		
Blessing of Dawn	CATEGORY:Special Ability	TYPE:ClassFeatures.MorninglordOfLathanderClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The sight of the morning sun is an inspirational vision for all morninglords. Beginning at 6th level, a morninglord of Lathander gains a +2 morale bonus on Will saves from sunrise until noon. This ability is in effect only while she can see the sun; the effect is suppressed any time she is deprived of the sight of it during this period.	KEY:Morninglord of Lathander ~ Blessing of Dawn																										SORTKEY:Class_Monrninglord_Of_Lathander	SOURCEPAGE:PgtF	ASPECT:SaveBonus|+2 morale bonus on Will saves from sunrise until noon.	
Maximize Turning	CATEGORY:Special Ability	TYPE:ClassFeatures.MorninglordOfLathanderClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Once per day, a morninglord of at least 7th level can automatically achieve the maximum possible result on a turning damage roll.	KEY:Morninglord of Lathander ~ Maximize Turning																										SORTKEY:Class_Monrninglord_Of_Lathander	SOURCEPAGE:PgtF		
Rejuvenation of the Morn	CATEGORY:Special Ability	TYPE:ClassFeatures.MorninglordOfLathanderClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Dawn is a powerful symbol of rebirth and renewal. Once per tenday, a morninglord of at least 8th level may spend one uninterrupted hour before dawn praying to Lathander. As soon as the sun rises after this prayer ritual, she gains one benefit of her choice from the following list.&nl;-Healing up to full normal hit points (self only).&nl;Removal of any poisons or diseases (self only). This effect does not restore ability damage or ability drain caused by poison or disease.&nl;Full restoration of ability damage due to one poison or disease.&nl;If the morninglord's prayers are interrupted for even a single round, the attempt is ruined, and she must wait a full tenday to try again.	KEY:Morninglord of Lathander ~ Rejuvenation of the Morn																										SORTKEY:Class_Monrninglord_Of_Lathander	SOURCEPAGE:PgtF		
