SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
					
STARTPACK:Mercantile Background Kit	TYPE:Feat	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PREABILITY:1,CATEGORY=FEAT,Merchantile Background
GEAR:Dagger	EQMOD:MWORKW				
					
					
					
REGION:Shaar					
STARTPACK:Human ~ Shaar Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Javelin	EQMOD:MWORKW				
					
STARTPACK:Human ~ Shaar Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Horse (Light)					
GEAR:Bit and Bridle					
GEAR:Saddle (Military)					
GEAR:Barding (Studded Leather)					
TEMPLATE:Human ~ Shaar Region A1 ~ Light Horse
					
					
					
REGION:Shadovar					
STARTPACK:Human ~ Shadovar Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Ranseur	EQMOD:MWORKW				
					
STARTPACK:Human ~ Shadovar Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Sword (Short)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Shadovar Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Sleep]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
					
					
REGION:Shou Expatriate					
STARTPACK:Human ~ Shou Expatriate Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Katana					
					
STARTPACK:Human ~ Shou Expatriate Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Nunchaku	EQMOD:MWORKW				
					
STARTPACK:Human ~ Shou Expatriate Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Kukri	EQMOD:MWORKW				
					
					
					
REGION:Sildeyuir					
STARTPACK:Elf ~ Sildeyuir Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Sildeyuir Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Rapier	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Sildeyuir Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Chain Shirt	EQMOD:MWORKA				
GEAR:Musical Instrument (Lute)	EQMOD:MWORKI				
					
					
REGION:Silverymoon					
STARTPACK:Human ~ Silverymoon Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Human ~ Silverymoon Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Rapier	EQMOD:MWORKW				
					
STARTPACK:Human ~ Silverymoon Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Longbow	EQMOD:MWORKW				
					
STARTPACK:Human ~ Silverymoon Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Scroll	EQMOD:SCROLL_ARCANE.SCROLL_MINOR.A_1USEMI|2	QTY:2			
					
STARTPACK:Human ~ Silverymoon Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Scroll	EQMOD:SCROLL_DIVINE.SCROLL_MINOR.A_1USEMI|2	QTY:2			
					
STARTPACK:Elf ~ Silverymoon Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Silverymoon Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Rapier	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Silverymoon Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Breastplate					
GEAR:Arrows (20)	EQMOD:MWORKW				
					
STARTPACK:Half-Elf ~ Silverymoon Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Half-Elf ~ Silverymoon Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Rapier	EQMOD:MWORKW				
					
STARTPACK:Half-Elf ~ Silverymoon Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Breastplate					
GEAR:Arrows (20)	EQMOD:MWORKW				
					
					
					
REGION:Smoking Mountains					
STARTPACK:Dwarf ~ Smoking Mountains Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Chain Shirt	EQMOD:MWORKA				
					
STARTPACK:Dwarf ~ Smoking Mountains Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Cure Light Wounds]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
					
					
REGION:Snow Eagle Aerie					
STARTPACK:Elf ~ Snow Eagle Aerie Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Rapier	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Snow Eagle Aerie Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Snow Eagle Aerie Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Cure Light Wounds]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
					
					
REGION:Spine of the World					
STARTPACK:Dwarf ~ Spine of the World Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Warhammer	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Spine of the World Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Waraxe (Dwarven)	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Spine of the World Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Breastplate	EQMOD:MWORKA				
GEAR:Potion (Cure Light Wounds)	QTY:2				
					
					
					
REGION:Sword Coast					
STARTPACK:Human ~ Sword Coast Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Human ~ Sword Coast Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Dagger	EQMOD:MWORKW				
					
STARTPACK:Human ~ Sword Coast Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Pistol					
GEAR:Gunpowder (Horn)					
GEAR:Bullet (Firearm/10)	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Sword Coast Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Handaxe	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Sword Coast Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Greataxe	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Sword Coast Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Trade Bar (Gold)	QTY:5				
					
					
					
REGION:Tashalar					
STARTPACK:Human ~ Tashalar Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Crossbow (Light)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Tashalar Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Hide	EQMOD:MWORKA				
					
STARTPACK:Human ~ Tashalar Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Shield (Heavy/Wood)	EQMOD:DARKWOOD_SHLD				
					
					
					
REGION:Tethyr					
STARTPACK:Human ~ Tethyr Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Potion (Cure Moderate Wounds)					
					
STARTPACK:Human ~ Tethyr Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Chainmail	EQMOD:MWORKA				
					
					
					
REGION:Thay					
STARTPACK:Human ~ Thay Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scroll	EQMOD:SCROLL_ARCANE.SCROLL_MINOR.A_1USEMI|2	QTY:2			
					
STARTPACK:Human ~ Thay Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scroll	EQMOD:SCROLL_ARCANE.SCROLL_MINOR.A_1USEMI|2				
GEAR:Scroll	EQMOD:SCROLL_ARCANE.SCROLL_MINOR.A_1USEMI|1	QTY:6			
					
STARTPACK:Planetouched (Air Genasi) ~ Thay Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Air Genasi)
GEAR:Scroll (Invisibility)					
GEAR:Scroll (Scorching Ray)					
					
STARTPACK:Planetouched (Air Genasi) ~ Thay Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Air Genasi)
GEAR:Breastplate	EQMOD:MWORKA				
					
STARTPACK:Planetouched (Earth Genasi) ~ Thay Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Earth Genasi)
GEAR:Scroll (Invisibility)					
GEAR:Scroll (Scorching Ray)					
					
STARTPACK:Planetouched (Earth Genasi) ~ Thay Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Earth Genasi)
GEAR:Breastplate	EQMOD:MWORKA				
					
STARTPACK:Planetouched (Fire Genasi) ~ Thay Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Fire Genasi)
GEAR:Scroll (Invisibility)					
GEAR:Scroll (Scorching Ray)					
					
STARTPACK:Planetouched (Fire Genasi) ~ Thay Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Fire Genasi)
GEAR:Breastplate	EQMOD:MWORKA				
					
STARTPACK:Planetouched (Water Genasi) ~ Thay Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Water Genasi)
GEAR:Scroll (Invisibility)					
GEAR:Scroll (Scorching Ray)					
					
STARTPACK:Planetouched (Water Genasi) ~ Thay Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Water Genasi)
GEAR:Breastplate	EQMOD:MWORKA				
					
STARTPACK:Planetouched (Tiefling) ~ Thay Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Tiefling)
GEAR:Scroll (Invisibility)					
GEAR:Scroll (Scorching Ray)					
					
STARTPACK:Planetouched (Tiefling) ~ Thay Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Tiefling)
GEAR:Breastplate	EQMOD:MWORKA				
					
					
					
REGION:Thesk					
STARTPACK:Human ~ Thesk Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Thieves' Tools	EQMOD:MWORKI				
					
STARTPACK:Human ~ Thesk Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scale Mail	EQMOD:MWORKA				
GEAR:Healer's Kit					
					
STARTPACK:Gnome ~ Thesk Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Mace (Light)	EQMOD:MWORKW				
					
STARTPACK:Gnome ~ Thesk Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Gnome ~ Thesk Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Thunderstone	QTY:5				
GEAR:Potion (Cure Light Wounds)	QTY:2				
					
STARTPACK:Half-Orc ~ Thesk Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Thesk Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Thesk Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Greataxe	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Thesk Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Chainmail	EQMOD:MWORKA.SPIKE_A				
					
STARTPACK:Orc ~ Thesk Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Thesk Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Thesk Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Greataxe	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Thesk Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Chainmail	EQMOD:MWORKA.SPIKE_A				
					
					
					
REGION:Turmish					
STARTPACK:Human ~ Turmish Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Splint Mail					
GEAR:Shield (Heavy/Steel)	EQMOD:MWORKA				
					
STARTPACK:Human ~ Turmish Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
KIT:Gems 50GP					
KIT:Gems 50GP					
KIT:Gems 50GP					
KIT:Gems 50GP					
KIT:Gems 50GP					
					
STARTPACK:Dwarf ~ Turmish Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Splint Mail					
GEAR:Shield (Heavy/Steel)	EQMOD:MWORKA				
					
					
					
REGION:Underdark (Darklands)					
STARTPACK:Dwarf ~ Underdark (Darklands) Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Warhammer	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Underdark (Darklands) Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Sword (Short)	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Underdark (Darklands) Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Splint Mail	EQMOD:MWORKA				
					
					
					
REGION:Underdark (Northdark)					
STARTPACK:Dwarf ~ Underdark (Northdark) Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Chain Shirt	EQMOD:MWORKA				
GEAR:Bolts (Crossbow/10)	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Underdark (Northdark) Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Handaxe	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Underdark (Northdark) Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Battleaxe	EQMOD:MWORKW				
					
STARTPACK:Gnome ~ Underdark (Northdark) Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Dagger	EQMOD:MWORKW				
					
STARTPACK:Gnome ~ Underdark (Northdark) Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Pick (Light)	EQMOD:MWORKW				
					
STARTPACK:Gnome ~ Underdark (Northdark) Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Pick (Heavy)	EQMOD:MWORKW				
					
STARTPACK:Gnome ~ Underdark (Northdark) Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Chain Shirt	EQMOD:MWORKA				
GEAR:Bolts (Crossbow/10)	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Underdark (Northdark) Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Greataxe	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Underdark (Northdark) Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Underdark (Northdark) Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Underdark (Northdark) Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Banded Mail	EQMOD:MWORKA.SPIKE_A				
					
					
					
REGION:Underdark (Old Shanatar)					
STARTPACK:Dwarf ~ Underdark (Old Shanatar) Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Mace (Heavy)	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Underdark (Old Shanatar) Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Urgrosh (Dwarven)	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Underdark (Old Shanatar) Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Chainmail	EQMOD:MWORKA				
					
					
					
REGION:Unther					
STARTPACK:Human ~ Unther Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Breastplate	EQMOD:MWORKA				
					
STARTPACK:Human ~ Unther Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scroll (Detect Thoughts)					
GEAR:Scroll (Scorching Ray)					
					
STARTPACK:Planetouched (Aasimar) ~ Unther Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Aasimar)
GEAR:Scale Mail	EQMOD:MWORKA				
GEAR:Arrows (20)	EQMOD:COLDIRON_AMMO				
					
STARTPACK:Planetouched (Aasimar) ~ Unther Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Aasimar)
GEAR:Poison (Black Adder Venom)	QTY:3				
					
STARTPACK:Planetouched (Fire Genasi) ~ Unther Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Fire Genasi)
GEAR:Scale Mail	EQMOD:MWORKA				
GEAR:Arrows (20)	EQMOD:COLDIRON_AMMO				
					
STARTPACK:Planetouched (Fire Genasi) ~ Unther Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Fire Genasi)
GEAR:Poison (Black Adder Venom)	QTY:3				
					
STARTPACK:Planetouched (Tiefling) ~ Unther Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Tiefling)
GEAR:Scale Mail	EQMOD:MWORKA				
GEAR:Arrows (20)	EQMOD:COLDIRON_AMMO				
					
STARTPACK:Planetouched (Tiefling) ~ Unther Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Planetouched (Tiefling)
GEAR:Poison (Black Adder Venom)	QTY:3				
					
					
					
REGION:Uthgardt Tribesfolk					
STARTPACK:Human ~ Uthgardt Tribesfolk Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Battleaxe	EQMOD:MWORKW				
					
STARTPACK:Human ~ Uthgardt Tribesfolk Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Greataxe	EQMOD:MWORKW				
					
STARTPACK:Human ~ Uthgardt Tribesfolk Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Arrows (20)					
					
					
					
REGION:Vaasa					
STARTPACK:Human ~ Vaasa Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Splint Mail	EQMOD:MWORKA				
					
STARTPACK:Human ~ Vaasa Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Mace (Heavy)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Vaasa Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Mace (Light)	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Vaasa Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Vaasa Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Vaasa Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Axe (Double/Orc)	EQMOD:MWORKW				
					
STARTPACK:Half-Orc ~ Vaasa Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Orc
GEAR:Chain Shirt					
GEAR:Shield (Heavy/Steel)	EQMOD:MWORKA				
					
STARTPACK:Orc ~ Vaasa Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Shortspear	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Vaasa Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Longspear	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Vaasa Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Axe (Double/Orc)	EQMOD:MWORKW				
					
STARTPACK:Orc ~ Vaasa Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Orc
GEAR:Chain Shirt					
GEAR:Shield (Heavy/Steel)	EQMOD:MWORKA				
					
					
					
REGION:Vast					
STARTPACK:Human ~ Vast Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Potion (Cure Light Wounds)	QTY:3				
GEAR:Arrows (20)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Vast Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Banded Mail	EQMOD:SPIKE_A				
					
					
					
REGION:Vilhon Reach					
STARTPACK:Human ~ Vilhon Reach Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
