SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10										
CLASS:Swanmay	STARTSKILLPTS:4	CSKILL:Concentration|TYPE.Craft|Handle Animal|Heal|Hide|Knowledge (Geography)|Knowledge (Nature)|Listen|TYPE.Profession|Ride|Search|Spellcraft|Spot|Survival|Swim											
1				ABILITY:Swanmay Class Feature|AUTOMATIC|Swanmay ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.SwanmayProficiencies									
2				ABILITY:Swanmay Class Feature|AUTOMATIC|Swanmay ~ Spells per Day									
#													
1				ABILITY:Swanmay Class Feature|AUTOMATIC|Swanmay ~ Shifting|!PREABILITY:1,CATEGORY=ACF,TYPE.SwanmayShifting									
1				ABILITY:Swanmay Class Feature|AUTOMATIC|Swanmay ~ Spell Resistance|!PREABILITY:1,CATEGORY=ACF,TYPE.SwanmaySpellResistance									
1				ABILITY:Swanmay Class Feature|AUTOMATIC|Swanmay ~ Wild Empathy|!PREABILITY:1,CATEGORY=ACF,TYPE.SwanmayWildEmpathy									
2				ABILITY:Swanmay Class Feature|AUTOMATIC|Swanmay ~ Favored Enemy|!PREABILITY:1,CATEGORY=ACF,TYPE.SwanmayFavoredEnemy									
3				ABILITY:Swanmay Class Feature|AUTOMATIC|Swanmay ~ Low-Light Vision|!PREABILITY:1,CATEGORY=ACF,TYPE.SwanmayLowLightVision									
4				ABILITY:Swanmay Class Feature|AUTOMATIC|Swanmay ~ Charm Person|!PREABILITY:1,CATEGORY=ACF,TYPE.SwanmayCharmPerson									
5				ABILITY:Swanmay Class Feature|AUTOMATIC|Swanmay ~ Speak with Animals|!PREABILITY:1,CATEGORY=ACF,TYPE.SwanmaySpeakWithAnimals									
6				ABILITY:Swanmay Class Feature|AUTOMATIC|Swanmay ~ Speak with Plants|!PREABILITY:1,CATEGORY=ACF,TYPE.SwanmaySpeakWithPlants									
10				ABILITY:Swanmay Class Feature|AUTOMATIC|Swanmay ~ Fey Transformation|!PREABILITY:1,CATEGORY=ACF,TYPE.SwanmayFeyTransformation									
#													
2	ADD:SPELLCASTER|Druid,Ranger												
3	ADD:SPELLCASTER|Druid,Ranger												
4	ADD:SPELLCASTER|Druid,Ranger												
5	ADD:SPELLCASTER|Druid,Ranger												
6	ADD:SPELLCASTER|Druid,Ranger												
7	ADD:SPELLCASTER|Druid,Ranger												
8	ADD:SPELLCASTER|Druid,Ranger												
9	ADD:SPELLCASTER|Druid,Ranger												
10	ADD:SPELLCASTER|Druid,Ranger												
													
###TODO: CONTIGUOUS:Paladin,Monk													
CLASS:Sword of Righteousness	HD:10	TYPE:PC.Prestige	FACT:Abb|SwR	MAXLEVEL:3	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:SwordOfRighteousnessLVL|0	BONUS:VAR|SwordOfRighteousnessLVL|CL
CLASS:Sword of Righteousness	PREALIGN:LG,NG,CG	PREATT:6	PREABILITY:1,CATEGORY=FEAT,Favored of the Companions,Knight of Stars,Servant of the Heavens	PREABILITY:2,CATEGORY=FEAT,TYPE=Exalted									
CLASS:Sword of Righteousness	STARTSKILLPTS:4	CSKILL:Climb|TYPE.Craft|Diplomacy|Handle Animal|Intimidate|Jump|Knowledge (Nature)|Knowledge (Religion)|TYPE.Profession|Ride|Sense Motive|Swim											
1				ABILITY:Sword of Righteousness Class Feature|AUTOMATIC|Sword of Righteousness ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.SwordOfRighteousnessProficiencies									
1				ABILITY:Sword of Righteousness Class Feature|AUTOMATIC|Sword of Righteousness ~ Multiclass Note									
#													
1				ABILITY:Sword of Righteousness Class Feature|AUTOMATIC|Sword of Righteousness ~ Bonus Exalted Feat|!PREABILITY:1,CATEGORY=ACF,TYPE.SwordOfRighteousnessBonusExaltedFeat									
													
CLASS:Troubadour of Stars	HD:6	TYPE:PC.Prestige	FACT:Abb|ToS	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:TroubadourOfStarsLVL|0	BONUS:VAR|TroubadourOfStarsLVL|CL
CLASS:Troubadour of Stars	PREALIGN:CG	PRESKILL:1,TYPE.Perform=6	PREABILITY:1,CATEGORY=FEAT,Knight of Stars	PRESPELLCAST:MEMORIZE=N	PRESPELLTYPE:1,Arcane=4								
CLASS:Troubadour of Stars	STARTSKILLPTS:6	CSKILL:Balance|Bluff|Climb|Concentration|TYPE.Craft|Decipher Script|Diplomacy|Disguise|Escape Artist|Gather Information|Hide|Jump|TYPE.Knowledge|Listen|Move Silently|TYPE.Perform|TYPE.Profession|Sense Motive|Sleight of Hand|Speak Language|Spellcraft|Swim|Tumble|Use Magic Device											
1				ABILITY:Troubadour of Stars Class Feature|AUTOMATIC|Troubadour of Stars ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.TroubadourOfStarsProficiencies									
2				ABILITY:Troubadour of Stars Class Feature|AUTOMATIC|Troubadour of Stars ~ Spells per Day									
#													
1				ABILITY:Troubadour of Stars Class Feature|AUTOMATIC|Troubadour of Stars ~ Bardic Music|!PREABILITY:1,CATEGORY=ACF,TYPE.TroubadourOfStarsBardicMusic									
1				ABILITY:Troubadour of Stars Class Feature|AUTOMATIC|Troubadour of Stars ~ Detect Evil|!PREABILITY:1,CATEGORY=ACF,TYPE.TroubadourOfStarsDetectEvil									
2				ABILITY:Troubadour of Stars Class Feature|AUTOMATIC|Troubadour of Stars ~ Holy Cacophony|!PREABILITY:1,CATEGORY=ACF,TYPE.TroubadourOfStarsHolyCacophony|PRESKILL:1,TYPE.Perform=8|PREVARGTEQ:BardicMusicLVL,2									
2				ABILITY:Troubadour of Stars Class Feature|AUTOMATIC|Troubadour of Stars ~ Celestial Spells|!PREABILITY:1,CATEGORY=ACF,TYPE.TroubadourOfStarsCelestialSpells									
3				ABILITY:Troubadour of Stars Class Feature|AUTOMATIC|Troubadour of Stars ~ Starmantle|!PREABILITY:1,CATEGORY=ACF,TYPE.TroubadourOfStarsStarmantle									
5				ABILITY:Troubadour of Stars Class Feature|AUTOMATIC|Troubadour of Stars ~ Song of Hope|!PREABILITY:1,CATEGORY=ACF,TYPE.TroubadourOfStarsSongOfHope|PRESKILL:1,TYPE.Perform=11|PREVARGTEQ:BardicMusicLVL,5									
6				ABILITY:Troubadour of Stars Class Feature|AUTOMATIC|Troubadour of Stars ~ Sanctified Spells|!PREABILITY:1,CATEGORY=ACF,TYPE.TroubadourOfStarsSanctifiedSpells									
7				ABILITY:Troubadour of Stars Class Feature|AUTOMATIC|Troubadour of Stars ~ Eladrin Form|!PREABILITY:1,CATEGORY=ACF,TYPE.TroubadourOfStarsEladrinForm									
9				ABILITY:Troubadour of Stars Class Feature|AUTOMATIC|Troubadour of Stars ~ Celestial Symphony|!PREABILITY:1,CATEGORY=ACF,TYPE.TroubadourOfStarsCelestialSymphony|PRESKILL:1,TYPE.Perform=15|PREVARGTEQ:BardicMusicLVL,9									
10				ABILITY:Troubadour of Stars Class Feature|AUTOMATIC|Troubadour of Stars ~ Celestial Ascension|!PREABILITY:1,CATEGORY=ACF,TYPE.TroubadourOfStarsCelestialAscension									
#													
2	ADD:SPELLCASTER|Arcane												
4	ADD:SPELLCASTER|Arcane												
6	ADD:SPELLCASTER|Arcane												
8	ADD:SPELLCASTER|Arcane												
10	ADD:SPELLCASTER|Arcane												
													
CLASS:Vassal of Bahamut	HD:10	TYPE:PC.Prestige	FACT:Abb|VoB	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:VassalOfBahamutLVL|0	BONUS:VAR|VassalOfBahamutLVL|CL
CLASS:Vassal of Bahamut	PREALIGN:LG	PREATT:7	PRESKILL:2,Craft (Armorsmithing)=5,Diplomacy=5	PREABILITY:2,CATEGORY=FEAT,Sacred Vow,Vow of Obedience	PRETEXT:must have single handedly slain a juvenile (or older) red dragon.								
CLASS:Vassal of Bahamut	STARTSKILLPTS:2	CSKILL:Bluff|Craft (Armorsmithing)|Craft (Weaponsmithing)|Diplomacy|Heal|Intimidate|Knowledge (Nobility and Royalty)|Knowledge (Religion)|Ride|Sense Motive											
CLASS:Vassal of Bahamut	SPELLSTAT:WIS	FACT:SpellType|Divine	MEMORIZE:NO	KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4	BONUS:CASTERLEVEL|Vassal of Bahamut|CL								
1				ABILITY:Vassal of Bahamut Class Feature|AUTOMATIC|Vassal of Bahamut ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.VassalOfBahamutProficiencies									
2				ABILITY:Vassal of Bahamut Class Feature|AUTOMATIC|Vassal of Bahamut ~ Spells									
#													
1				ABILITY:Vassal of Bahamut Class Feature|AUTOMATIC|Vassal of Bahamut ~ Imperious Aura|!PREABILITY:1,CATEGORY=ACF,TYPE.VassalOfBahamutImperiousAura									
1				ABILITY:Vassal of Bahamut Class Feature|AUTOMATIC|Vassal of Bahamut ~ Platinum Armor|!PREABILITY:1,CATEGORY=ACF,TYPE.VassalOfBahamutPlatinumArmor									
2				ABILITY:Vassal of Bahamut Class Feature|AUTOMATIC|Vassal of Bahamut ~ Dragon Senses|!PREABILITY:1,CATEGORY=ACF,TYPE.VassalOfBahamutDragonSenses									
2				ABILITY:Vassal of Bahamut Class Feature|AUTOMATIC|Vassal of Bahamut ~ Shared Trove|!PREABILITY:1,CATEGORY=ACF,TYPE.VassalOfBahamutSharedTrove									
3				ABILITY:Vassal of Bahamut Class Feature|AUTOMATIC|Vassal of Bahamut ~ Bonus Feat|!PREABILITY:1,CATEGORY=ACF,TYPE.VassalOfBahamutBonusFeat									
4				ABILITY:Vassal of Bahamut Class Feature|AUTOMATIC|Vassal of Bahamut ~ Dragonwrack|!PREABILITY:1,CATEGORY=ACF,TYPE.VassalOfBahamutDragonwrack									
													
CLASS:Wonderworker	HD:6	TYPE:PC.Prestige	FACT:Abb|Won	MAXLEVEL:3	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|Prestige	ROLE:Skill	DEFINE:WonerworkerLVL|0	BONUS:VAR|WonderworkerLVL|CL
CLASS:Wonderworker	PREALIGN:LG,NG,CG	PRECHECKBASE:1,Will=5	PREABILITY:1,CATEGORY=FEAT,Favored of the Companions,Knight of Stars,Servant of the Heavens	PREFEAT:2,TYPE=Exalted	PRESPELLTYPE:1,ANY=3								
CLASS:Wonderworker	STARTSKILLPTS:4	CSKILL:Concentration|TYPE.Craft|Diplomacy|Heal|Knowledge (Arcana)|Knowledge (Nature)|Knowledge (Religion)|TYPE.Profession|Sense Motive|Spellcraft|Knowledge (Psionics)											
1				ABILITY:Wonderworker Class Feature|AUTOMATIC|Wonderworker ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.WonderworkerProficiencies									
#													
1				ABILITY:Wonderworker Class Feature|AUTOMATIC|Wonderworker ~  Bonus Exalted Feat|!PREABILITY:1,CATEGORY=ACF,TYPE.WonderworkerBonusExaltedFeat									
1				ABILITY:Wonderworker Class Feature|AUTOMATIC|Wonderworker ~ Bonus Spells per Day|!PREABILITY:1,CATEGORY=ACF,TYPE.WonderworkerBonusSpellsPerDay									

# 
CLASS:Sanctified (Divine/WIS)	HD:1	TYPE:SanctifiedSpells	FACT:Abb|Sanctified Spells	VISIBLE:NO
CLASS:Sanctified (Divine/WIS)	SPELLSTAT:WIS	BONUSSPELLSTAT:NONE	FACT:SpellType|Divine	SPELLBOOK:YES	BONUS:CASTERLEVEL|Sanctified (Divine/WIS)|TL
1	CAST:0,0,0,0,0,0,0,0,0,0,0
CLASS:Sanctified (Arcane/INT)	HD:1	TYPE:SanctifiedSpells	FACT:Abb|Sanctified Spells	VISIBLE:NO
CLASS:Sanctified (Arcane/INT)	SPELLSTAT:INT	BONUSSPELLSTAT:NONE	FACT:SpellType|Divine	SPELLBOOK:YES	BONUS:CASTERLEVEL|Sanctified (Arcane/INT)|TL
1	CAST:0,0,0,0,0,0,0,0,0,0,0

CLASS:Cleric.MOD
1	ABILITY:Cleric Class Feature|AUTOMATIC|Cleric ~ Sanctified Spells|!PREABILITY:1,CATEGORY=ACF,TYPE.ClericSanctifiedSpells									
CLASS:Wizard.MOD
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard ~ Sanctified Spells|!PREABILITY:1,CATEGORY=ACF,TYPE.WizardSanctifiedSpells									

# Class Name	Hit Dice	Type			Class Type		Max Level		Source Page				Ability														Combat bonus							Misc bonus					Save bonus
CLASS:Deathless	HD:12		TYPE:Monster	FACT:ClassType|Monster	MAXLEVEL:NOLIMIT	SOURCEPAGE:ExD	ABILITY:Special Ability|AUTOMATIC|Deathless Proficiencies|PREVAREQ:NoTypeProficiencies,0	BONUS:COMBAT|BASEAB|classlevel()/2|TYPE=Base.REPLACE	BONUS:MISC|CR|floor((HD-BASEHD)/4)	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Fortitude,BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3
# Class Name	Reg. Race Type
CLASS:Deathless	PRERACETYPE:Deathless
# Class Name	Skill Pts/Lvl	Add INT to Skill Points?
CLASS:Deathless	STARTSKILLPTS:4	MODTOSKILLS:YES
